x,y
399.1926,0.0
400.1569,0.01427811
401.1211,0.0170766
402.0853,0.01711765
403.0496,0.01914209
404.0138,0.01863807
404.978,0.01870965
405.9423,0.02017932
406.9065,0.01889753
407.8707,0.01854596
408.835,0.02030313
409.7992,0.0164019
410.7634,0.01168586
411.7277,0.01344997
412.6919,0.0199097
413.6561,0.02022279
414.6204,0.01468662
415.5846,0.01433165
416.5488,0.01917635
417.5131,0.01791222
418.4773,0.01533971
419.4415,0.01495055
420.4058,0.01430844
421.37,0.01447996
422.3342,0.01608242
423.2985,0.01845443
424.2627,0.01841658
425.2269,0.01358056
426.1912,0.01399194
427.1554,0.01618675
428.1196,0.01624411
429.0839,0.01524101
430.0481,0.0135451
431.0123,0.01127809
431.9766,0.009640706
432.9408,0.01166702
433.905,0.01382767
434.8693,0.01218256
435.8335,0.01174835
436.7977,0.01251274
437.762,0.01176202
438.7262,0.01172965
439.6904,0.01253997
440.6547,0.01418
441.6189,0.01350936
442.5831,0.01425896
443.5474,0.01323477
444.5116,0.01346104
445.4758,0.01327117
446.4401,0.01168415
447.4043,0.0122597
448.3685,0.01302307
449.3328,0.01216975
450.297,0.01165049
451.2612,0.01245274
452.2255,0.01270171
453.1897,0.01116431
454.1539,0.01054666
455.1182,0.01127711
456.0824,0.01281897
457.0466,0.01249457
458.0109,0.01175441
458.9751,0.01155874
459.9393,0.01047084
460.9036,0.01098987
461.8678,0.0121297
462.832,0.01293635
463.7963,0.01389447
464.7605,0.01443304
465.7247,0.01485282
466.689,0.01361047
467.6532,0.01315171
468.6174,0.01464461
469.5817,0.0155688
470.5459,0.01463109
471.5101,0.01296605
472.4744,0.01213317
473.4386,0.01263512
474.4028,0.01203181
475.3671,0.01029403
476.3313,0.01021805
477.2955,0.01178783
478.2598,0.01086189
479.224,0.01020699
480.1882,0.01147033
481.1525,0.01287429
482.1167,0.01254424
483.0809,0.01196793
484.0452,0.01195292
485.0094,0.01274449
485.9736,0.01345558
486.9379,0.01408638
487.9021,0.01382283
488.8663,0.0121147
489.8306,0.01179809
490.7948,0.01203771
491.759,0.01176144
492.7233,0.0119635
493.6875,0.01209455
494.6517,0.01147523
495.616,0.01166154
496.5802,0.01234184
497.5444,0.0132067
498.5087,0.01159975
499.4729,0.01060097
500.4371,0.0110064
501.4014,0.01067172
502.3656,0.009714218
503.3298,0.009004631
504.2941,0.01029755
505.2583,0.01108369
506.2225,0.01033327
507.1868,0.0109811
508.151,0.01137862
509.1152,0.01157232
510.0795,0.01188383
511.0437,0.01106582
512.0079,0.01000419
512.9722,0.009698428
513.9364,0.01056684
514.9006,0.01156765
515.8649,0.01212833
516.8291,0.01162975
517.7933,0.01179006
518.7576,0.01215784
519.7218,0.01160008
520.686,0.01143927
521.6503,0.0115759
522.6145,0.01192739
523.5787,0.01159188
