x,y
399.1926,0.0
400.1569,0.01609285
401.1211,0.01431709
402.0853,0.0143515
403.0496,0.01555704
404.0138,0.01388144
404.978,0.01318478
405.9423,0.01366872
406.9065,0.0126483
407.8707,0.01131553
408.835,0.01250916
409.7992,0.01337133
410.7634,0.01327705
411.7277,0.01202892
412.6919,0.01292879
413.6561,0.01489161
414.6204,0.01427085
415.5846,0.01363271
416.5488,0.01415293
417.5131,0.01585457
418.4773,0.01547629
419.4415,0.01551078
420.4058,0.01583743
421.37,0.0130075
422.3342,0.01250398
423.2985,0.0149122
424.2627,0.01472911
425.2269,0.01412984
426.1912,0.01379502
427.1554,0.01398678
428.1196,0.01415571
429.0839,0.01334241
430.0481,0.01286337
431.0123,0.01305389
431.9766,0.0127768
432.9408,0.01193634
433.905,0.01182805
434.8693,0.01172697
435.8335,0.01164709
436.7977,0.0121532
437.762,0.0138269
438.7262,0.01465584
439.6904,0.01456945
440.6547,0.01505636
441.6189,0.0148874
442.5831,0.01388247
443.5474,0.01425338
444.5116,0.01537614
445.4758,0.0162736
446.4401,0.0159028
447.4043,0.01497746
448.3685,0.01556951
449.3328,0.01630314
450.297,0.01570221
451.2612,0.01551559
452.2255,0.01574853
453.1897,0.01624203
454.1539,0.01600338
455.1182,0.01616445
456.0824,0.01605982
457.0466,0.01637775
458.0109,0.01734038
458.9751,0.01795262
459.9393,0.01839648
460.9036,0.01829481
461.8678,0.01777127
462.832,0.01825422
463.7963,0.01827101
464.7605,0.01804588
465.7247,0.01925077
466.689,0.01987047
467.6532,0.01987044
468.6174,0.02049588
469.5817,0.02077143
470.5459,0.02042785
471.5101,0.02093218
472.4744,0.02158408
473.4386,0.02180292
474.4028,0.02209407
475.3671,0.02293385
476.3313,0.02328419
477.2955,0.02346895
478.2598,0.02409814
479.224,0.02385201
480.1882,0.02379124
481.1525,0.02450945
482.1167,0.02483575
483.0809,0.02465646
484.0452,0.02469944
485.0094,0.02524662
485.9736,0.02567131
486.9379,0.02587816
487.9021,0.02585028
488.8663,0.02590996
489.8306,0.02624373
490.7948,0.02617401
491.759,0.02598704
492.7233,0.02589008
493.6875,0.02558923
494.6517,0.02582738
495.616,0.02629217
496.5802,0.02626452
497.5444,0.02601092
498.5087,0.02572912
499.4729,0.02551783
500.4371,0.02584688
501.4014,0.02725638
502.3656,0.0277015
503.3298,0.02692972
504.2941,0.02651199
505.2583,0.02633674
506.2225,0.02681449
507.1868,0.0272724
508.151,0.02724599
509.1152,0.02770016
510.0795,0.02796796
511.0437,0.02796218
512.0079,0.02820178
512.9722,0.02784665
513.9364,0.02789879
514.9006,0.02848993
515.8649,0.02912114
516.8291,0.0298536
517.7933,0.02995622
518.7576,0.03014919
519.7218,0.03022793
520.686,0.0300678
521.6503,0.03015329
522.6145,0.03029956
523.5787,0.03048798
524.543,0.0306987
