x,y
400.1569,0.06724144
401.1211,0.06798704
402.0853,0.06815046
403.0496,0.06934137
404.0138,0.06772459
404.978,0.06796356
405.9423,0.06974352
406.9065,0.07062829
407.8707,0.07218023
408.835,0.07256605
409.7992,0.06636655
410.7634,0.06035581
411.7277,0.06351636
412.6919,0.0702503
413.6561,0.0703452
414.6204,0.06677394
415.5846,0.0665899
416.5488,0.07189346
417.5131,0.07186022
418.4773,0.06950707
419.4415,0.07023271
420.4058,0.06992537
421.37,0.06883702
422.3342,0.07072514
423.2985,0.07379632
424.2627,0.07310784
425.2269,0.06940784
426.1912,0.06979567
427.1554,0.07124219
428.1196,0.07001767
429.0839,0.06881079
430.0481,0.06967767
431.0123,0.06826419
431.9766,0.06619086
432.9408,0.06775515
433.905,0.07161703
434.8693,0.07130481
435.8335,0.06976882
436.7977,0.07022868
437.762,0.06989191
438.7262,0.06928571
439.6904,0.06948446
440.6547,0.07213414
441.6189,0.07408758
442.5831,0.07485662
443.5474,0.07208707
444.5116,0.07044856
445.4758,0.07129084
446.4401,0.07160611
447.4043,0.07204381
448.3685,0.07234004
449.3328,0.07201403
450.297,0.07241303
451.2612,0.07342865
452.2255,0.07419575
453.1897,0.07306693
454.1539,0.0727929
455.1182,0.07420301
456.0824,0.0764221
457.0466,0.07693467
458.0109,0.07785707
458.9751,0.07867511
459.9393,0.08035761
460.9036,0.08310701
461.8678,0.08590603
462.832,0.0879573
463.7963,0.09011737
464.7605,0.09114177
465.7247,0.09071393
466.689,0.08847573
467.6532,0.08708705
468.6174,0.0862882
469.5817,0.08344117
470.5459,0.07917773
471.5101,0.0758369
472.4744,0.07400949
473.4386,0.07412902
474.4028,0.07260939
475.3671,0.06909437
476.3313,0.06763671
477.2955,0.0680815
478.2598,0.0669735
479.224,0.06730892
480.1882,0.06952734
481.1525,0.07080689
482.1167,0.06953391
483.0809,0.06923887
484.0452,0.07097346
485.0094,0.0727111
485.9736,0.07354232
486.9379,0.07470281
487.9021,0.07442766
488.8663,0.0730253
489.8306,0.07295399
490.7948,0.07306852
491.759,0.07327388
492.7233,0.07428288
493.6875,0.07480276
494.6517,0.07487793
495.616,0.07493552
496.5802,0.07539931
497.5444,0.07672034
498.5087,0.07601846
499.4729,0.07476122
500.4371,0.07447373
501.4014,0.07485206
502.3656,0.07496203
503.3298,0.07443835
504.2941,0.07590656
505.2583,0.07694269
506.2225,0.07634714
507.1868,0.07692392
508.151,0.07704836
509.1152,0.07762074
510.0795,0.07788923
511.0437,0.07691073
512.0079,0.07680561
512.9722,0.07699126
513.9364,0.07758978
514.9006,0.07804819
515.8649,0.07873345
516.8291,0.0782734
517.7933,0.07820303
518.7576,0.07929344
519.7218,0.07918122
