x,y
399.1926,0.0
401.1211,0.1156775
403.0496,0.1162076
404.978,0.1161922
406.9065,0.1143632
408.835,0.1107423
410.7634,0.1103533
412.6919,0.1074596
414.6204,0.1036973
416.5488,0.1013802
418.4773,0.0984249
420.4058,0.09642499
422.3342,0.09450222
424.2627,0.0927628
426.1912,0.09037443
428.1196,0.08788628
430.0481,0.0853464
431.9766,0.08372407
433.905,0.08303782
435.8335,0.08112042
437.762,0.07813624
439.6904,0.07664785
441.6189,0.07584168
443.5474,0.07397126
445.4758,0.07235617
447.4043,0.07173155
449.3328,0.07107382
451.2612,0.0707958
453.1897,0.07064949
455.1182,0.06955627
457.0466,0.06913611
458.9751,0.06917193
460.9036,0.0693688
462.832,0.0677289
464.7605,0.06540645
466.689,0.06308708
468.6174,0.05985155
470.5459,0.05667722
472.4744,0.05364805
474.4028,0.05044348
476.3313,0.04787024
478.2598,0.04510762
480.1882,0.04209922
482.1167,0.03937811
484.0452,0.03804253
485.9736,0.03658779
487.9021,0.03527256
489.8306,0.03442061
491.759,0.0337225
493.6875,0.03242769
495.616,0.0313511
497.5444,0.03096696
499.4729,0.030855
501.4014,0.0306297
503.3298,0.03048585
505.2583,0.03131129
507.1868,0.03266405
509.1152,0.03418111
511.0437,0.03580509
512.9722,0.03749493
514.9006,0.03911572
516.8291,0.04069766
518.7576,0.04216482
520.686,0.04462347
522.6145,0.04712228
524.543,0.04892718
526.4714,0.05008452
528.3999,0.0506874
530.3284,0.05077291
532.2568,0.0499217
534.1853,0.04862666
536.1138,0.04699545
538.0422,0.04527327
539.9707,0.04371741
541.8992,0.04265112
543.8276,0.04195214
545.7561,0.04185545
547.6846,0.04258486
549.613,0.04436819
551.5415,0.04723596
553.47,0.05088589
555.3984,0.05528731
557.3269,0.05904508
559.2554,0.06254273
561.1838,0.06631177
563.1123,0.06953421
565.0408,0.07140839
566.9692,0.07196347
568.8977,0.07083978
570.8262,0.0675223
572.7546,0.06329624
574.6831,0.05827309
576.6116,0.05301867
578.54,0.04827735
580.4685,0.04383826
582.397,0.03977888
584.3254,0.03605051
586.2539,0.03316701
588.1824,0.03082109
590.1108,0.0295
592.0393,0.02900481
593.9678,0.02808807
595.8962,0.02668184
597.8247,0.02523664
599.7532,0.02416258
601.6816,0.02308644
603.6101,0.02203933
605.5386,0.02146179
607.467,0.02101856
609.3955,0.02101163
611.324,0.02089395
613.2524,0.02061438
615.1809,0.0207318
617.1094,0.02114209
619.0378,0.02151536
620.9663,0.02175341
622.8948,0.0218602
624.8232,0.02224267
626.7517,0.02294448
628.6802,0.02331605
630.6086,0.02349727
632.5371,0.02393716
634.4656,0.02433058
636.394,0.02461934
638.3225,0.02510886
640.251,0.02592272
642.1794,0.02646147
644.1079,0.02687855
646.0364,0.02768358
647.9648,0.02839285
649.8933,0.02877601
651.8218,0.02929318
653.7502,0.03019549
655.6787,0.03114784
657.6072,0.03181609
659.5356,0.03238105
661.4641,0.03339197
663.3926,0.03440962
665.321,0.03553203
667.2495,0.03661271
669.178,0.03773718
671.1064,0.03905782
673.0349,0.04059249
674.9634,0.04202588
676.8918,0.04309892
678.8203,0.04421244
680.7488,0.04506329
682.6772,0.04587402
684.6057,0.04726669
686.5342,0.04872376
688.4626,0.05030835
690.3911,0.05197579
692.3196,0.0535153
694.248,0.05527129
696.1765,0.05730598
698.105,0.05949862
700.0334,0.06177131
701.9619,0.06406249
703.8904,0.06626449
705.8188,0.06867738
707.7473,0.07114898
709.6758,0.0736731
711.6042,0.07632153
713.5327,0.07944123
715.4612,0.08254504
