x,y
399.1926,0.0
401.1211,0.301174
403.0496,0.3025748
404.978,0.2933609
406.9065,0.298996
408.835,0.3184517
410.7634,0.3243708
412.6919,0.3250098
414.6204,0.3308763
416.5488,0.3237157
418.4773,0.313712
420.4058,0.3001015
422.3342,0.2936405
424.2627,0.2970041
426.1912,0.3078787
428.1196,0.329851
430.0481,0.3561015
431.9766,0.3737275
433.905,0.3869002
435.8335,0.3948345
437.762,0.3951137
439.6904,0.3863747
441.6189,0.3731004
443.5474,0.3646784
445.4758,0.3602009
447.4043,0.3474972
449.3328,0.3380615
451.2612,0.3347483
453.1897,0.3347992
455.1182,0.3304518
457.0466,0.3215423
458.9751,0.313897
460.9036,0.3095088
462.832,0.3007277
464.7605,0.2907718
466.689,0.2790287
468.6174,0.2677591
470.5459,0.2579273
472.4744,0.2463666
474.4028,0.2356941
476.3313,0.2281943
478.2598,0.2208808
480.1882,0.2123915
482.1167,0.2044771
484.0452,0.2006841
485.9736,0.1988714
487.9021,0.1985024
489.8306,0.2007718
491.759,0.2054721
493.6875,0.2103297
495.616,0.2162518
497.5444,0.2200931
499.4729,0.2211046
501.4014,0.2227017
503.3298,0.2229186
505.2583,0.2191468
507.1868,0.2113615
509.1152,0.2020736
511.0437,0.1925128
512.9722,0.1824068
514.9006,0.173897
516.8291,0.1685857
518.7576,0.1640154
520.686,0.1600763
522.6145,0.1577701
524.543,0.1569459
526.4714,0.1558659
528.3999,0.1533843
530.3284,0.1503524
532.2568,0.1466503
534.1853,0.1421439
536.1138,0.1368696
538.0422,0.1293949
539.9707,0.121345
541.8992,0.1135334
543.8276,0.1054264
545.7561,0.09768544
547.6846,0.09117842
549.613,0.08487641
551.5415,0.07917707
553.47,0.07442804
555.3984,0.06934255
557.3269,0.06444246
559.2554,0.06017458
561.1838,0.05615006
563.1123,0.05245408
565.0408,0.04886929
566.9692,0.04551637
568.8977,0.04257443
570.8262,0.0400057
572.7546,0.03799694
574.6831,0.03578504
576.6116,0.03368393
578.54,0.03219178
580.4685,0.0308799
582.397,0.02988983
584.3254,0.02898844
586.2539,0.02801243
588.1824,0.02728978
590.1108,0.02678964
592.0393,0.02612491
593.9678,0.02606653
595.8962,0.026278
597.8247,0.02606216
599.7532,0.02618011
601.6816,0.02663963
603.6101,0.02701237
605.5386,0.02764802
607.467,0.02839316
609.3955,0.02910382
611.324,0.02945924
613.2524,0.0302604
615.1809,0.0314668
617.1094,0.03281642
619.0378,0.03409601
620.9663,0.03578613
622.8948,0.03785917
624.8232,0.0400065
626.7517,0.04281669
628.6802,0.04656751
630.6086,0.05090025
632.5371,0.05590927
634.4656,0.06221681
636.394,0.06969518
638.3225,0.07762772
640.251,0.08377089
642.1794,0.08583039
644.1079,0.08425444
646.0364,0.0820528
647.9648,0.08132254
649.8933,0.08297642
651.8218,0.08676072
653.7502,0.09125727
655.6787,0.0956414
657.6072,0.09836134
659.5356,0.09822799
661.4641,0.0960298
663.3926,0.09253906
665.321,0.08852255
667.2495,0.08535032
669.178,0.08385096
671.1064,0.08436142
673.0349,0.08672639
674.9634,0.09135143
676.8918,0.09856367
678.8203,0.1065538
680.7488,0.1138248
682.6772,0.1186553
684.6057,0.1187502
686.5342,0.114042
688.4626,0.1060214
690.3911,0.09654541
692.3196,0.08720183
694.248,0.07856099
696.1765,0.07134458
698.105,0.06535485
700.0334,0.06040667
701.9619,0.05674518
703.8904,0.05399805
705.8188,0.05198493
707.7473,0.05044508
709.6758,0.04947504
711.6042,0.04945777
713.5327,0.05002251
715.4612,0.05100791
717.3896,0.05274644
719.3181,0.05521975
721.2466,0.0582204
723.175,0.06060218
725.1035,0.06121836
727.032,0.06050063
728.9604,0.06012728
730.8889,0.06152241
732.8174,0.06458069
734.7458,0.06859209
736.6743,0.07281388
738.6028,0.07560534
740.5313,0.07698695
742.4597,0.08010856
744.3882,0.08587637
746.3167,0.09331819
748.2451,0.1024199
750.1736,0.1133987
752.1021,0.1274782
754.0305,0.1440762
755.959,0.1574645
757.8875,0.1604865
759.8159,0.151147
761.7444,0.1339807
763.6729,0.1151383
765.6013,0.09799451
767.5298,0.08355565
769.4583,0.0721275
771.3867,0.06403852
773.3152,0.05860216
775.2437,0.05475152
777.1721,0.05189876
779.1006,0.049816
781.0291,0.04841855
782.9575,0.04741699
784.886,0.04660613
786.8145,0.04602035
788.7429,0.04563795
790.6714,0.04535525
792.5999,0.04515807
794.5283,0.04537826
796.4568,0.04569798
798.3853,0.04616211
800.3137,0.04666287
802.2422,0.0472567
804.1707,0.04806513
806.0991,0.04881641
808.0276,0.04966499
809.9561,0.05070797
811.8845,0.05188211
813.813,0.05303064
815.7415,0.05424344
817.6699,0.05565219
819.5984,0.05706777
821.5269,0.05852736
823.4553,0.05966966
825.3838,0.0609077
827.3123,0.06245599
829.2407,0.06399744
831.1692,0.06536838
833.0977,0.06688385
835.0261,0.06863297
836.9546,0.07084337
838.8831,0.07348021
840.8115,0.07634245
842.74,0.07940101
844.6685,0.08294031
846.5969,0.08646215
848.5254,0.08967399
850.4539,0.09290241
852.3823,0.0966965
854.3108,0.100799
856.2393,0.1053591
858.1677,0.1101004
860.0962,0.1152115
862.0247,0.1206655
863.9531,0.1265901
865.8816,0.1328948
867.8101,0.1395179
869.7385,0.1464684
871.667,0.1541655
873.5955,0.162542
875.5239,0.1711699
877.4524,0.1805194
879.3809,0.1908429
881.3093,0.2016878
883.2378,0.213154
885.1663,0.2248091
887.0947,0.2367671
889.0232,0.2488037
890.9517,0.2608021
892.8801,0.2732498
894.8085,0.2868295
896.737,0.3015109
898.6655,0.3172262
900.5939,0.333316
902.5224,0.3498728
904.4509,0.3674416
906.3793,0.3850658
908.3078,0.4020386
910.2363,0.4180903
912.1647,0.4321739
914.0932,0.4423777
916.0217,0.4454217
917.9501,0.4402792
919.8786,0.4285597
921.8071,0.4126605
923.7355,0.3938901
925.664,0.3747281
927.5925,0.3590831
929.5209,0.3518536
931.4494,0.3558167
933.3779,0.3693902
935.3063,0.3893417
937.2348,0.4119563
939.1633,0.4347565
941.0917,0.455475
943.0202,0.4716784
944.9487,0.4819691
946.8771,0.4865871
948.8056,0.4860548
950.7341,0.481666
952.6625,0.4742368
954.591,0.4651783
956.5195,0.4560292
958.4479,0.4459635
960.3764,0.4353734
962.3049,0.4255109
964.2333,0.41707
966.1618,0.4091419
968.0903,0.4020907
970.0187,0.3959815
971.9472,0.3904916
973.8757,0.38575
975.8041,0.3818306
977.7326,0.378845
979.6611,0.3762619
981.5895,0.3732081
983.518,0.3689437
985.4465,0.3632084
987.3749,0.355518
989.3034,0.3462166
991.2319,0.3354664
993.1603,0.322771
995.0888,0.3091033
997.0173,0.2947815
998.9457,0.2796778
1000.874,0.2649688
1002.803,0.2514391
1004.731,0.23873
1006.66,0.2266271
1008.588,0.2152644
1010.517,0.2047752
1012.445,0.1948076
1014.373,0.1854757
1016.302,0.1768188
1018.23,0.1685993
1020.159,0.1607911
1022.087,0.1539481
1024.016,0.1484629
1025.944,0.1446812
1027.873,0.1427806
1029.801,0.1432279
1031.73,0.1466379
1033.658,0.1516889
1035.587,0.155609
1037.515,0.1556083
1039.444,0.1518357
1041.372,0.1475572
1043.301,0.1450501
1045.229,0.1441741
1047.157,0.1438487
1049.086,0.1438004
1051.014,0.1441571
1052.943,0.1446728
1054.871,0.1450833
1056.8,0.145357
1058.728,0.1454105
1060.657,0.1452698
1062.585,0.144803
1064.514,0.1440234
1066.442,0.1425919
1068.371,0.1406796
1070.299,0.138152
1072.228,0.1350077
1074.156,0.1314465
1076.084,0.1278076
1078.013,0.1242795
1079.941,0.1211695
1081.87,0.1183939
1083.798,0.1164824
1085.727,0.1155274
1087.655,0.1155817
1089.584,0.116699
1091.512,0.1184113
1093.441,0.1201123
1095.369,0.1221562
1097.298,0.1241057
1099.226,0.1256061
1101.155,0.1267041
1103.083,0.126867
1105.011,0.1263173
1106.94,0.1247718
1108.868,0.1219585
1110.797,0.1183042
1112.725,0.1138905
1114.654,0.1086231
1116.582,0.10268
1118.511,0.09647217
1120.439,0.09038959
1122.368,0.08505014
1124.296,0.08082979
1126.225,0.07714284
1128.153,0.07260154
1130.082,0.06704128
1132.01,0.06106277
1133.938,0.05498898
1135.867,0.04939236
1137.795,0.04434787
1139.724,0.03958895
1141.652,0.03536301
1143.581,0.03130003
1145.509,0.02767189
1147.438,0.02470507
1149.366,0.02210939
1151.295,0.01990226
1153.223,0.01802958
1155.152,0.01651945
1157.08,0.01510755
1159.009,0.01386185
1160.937,0.01298036
1162.865,0.01226659
1164.794,0.01148524
1166.722,0.01085205
1168.651,0.0104434
1170.579,0.01000885
1172.508,0.009704901
1174.436,0.009510784
1176.365,0.009213778
1178.293,0.008725952
1180.222,0.008488787
1182.15,0.008415421
1184.079,0.008210414
1186.007,0.008003151
1187.936,0.007836626
1189.864,0.007652014
1191.792,0.007479618
1193.721,0.007237577
1195.649,0.007061863
1197.578,0.007003721
1199.506,0.006861229
1201.435,0.006750832
1203.363,0.0066599
1205.292,0.006537365
1207.22,0.00648101
1209.149,0.006262203
1211.077,0.006188877
1213.006,0.005991417
1214.934,0.005521448
1216.863,0.005189387
1218.791,0.005199906
1220.719,0.005423698
1222.648,0.005491013
1224.576,0.005199504
1226.505,0.005147791
1228.433,0.00526153
1230.362,0.005222661
1232.29,0.005062286
1234.219,0.004914684
1236.147,0.004839791
1238.076,0.004728564
1240.004,0.004714842
1241.933,0.004726711
1243.861,0.004708575
1245.79,0.004675081
1247.718,0.004530766
1249.646,0.004355053
1251.575,0.004294317
1253.503,0.00430266
1255.432,0.004179622
1257.36,0.004109735
1259.289,0.004060474
1261.217,0.004147543
1263.146,0.00422808
1265.074,0.0043953
1267.003,0.004386524
1268.931,0.004176343
1270.86,0.004094878
1272.788,0.004178137
1274.717,0.004221249
1276.645,0.004315589
1278.573,0.004339495
1280.502,0.004346394
1282.43,0.004258697
1284.359,0.004166232
1286.287,0.00409663
1288.216,0.004120755
1290.144,0.004232366
1292.073,0.004382669
1294.001,0.004444318
1295.93,0.004408625
1297.858,0.004279943
1299.787,0.004274943
1301.715,0.004273126
1303.644,0.004117757
1305.572,0.004061811
1307.5,0.004158851
1309.429,0.004208573
1311.357,0.004264073
1313.286,0.004287188
1315.214,0.004507936
1317.143,0.004617103
1319.071,0.004488579
1321.0,0.004380728
1322.928,0.004502696
1324.857,0.004604224
1326.785,0.004598262
1328.714,0.004690703
1330.642,0.00474833
1332.571,0.004715068
1334.499,0.0047721
1336.427,0.00495289
1338.356,0.004869486
1340.284,0.004933435
1342.213,0.005054389
1344.141,0.004990818
1346.07,0.004903889
1347.998,0.004875839
1349.927,0.005035384
1351.855,0.005210859
1353.784,0.005261207
1355.712,0.005190124
1357.641,0.005245671
1359.569,0.005128609
1361.498,0.005115235
1363.426,0.005206435
1365.354,0.005481089
1367.283,0.005572888
1369.211,0.005544261
1371.14,0.00566889
1373.068,0.005668468
1374.997,0.005617799
1376.925,0.00571246
1378.854,0.005733064
1380.782,0.005804424
1382.711,0.00596735
1384.639,0.00605321
1386.568,0.006104486
1388.496,0.006050991
1390.424,0.006268338
1392.353,0.006487271
1394.281,0.006672947
1396.21,0.006784727
1398.138,0.006754756
1400.067,0.006729371
1401.995,0.006886015
1403.924,0.007101459
1405.852,0.007191536
1407.781,0.007348071
1409.709,0.007489821
1411.638,0.007632196
1413.566,0.007509811
1415.495,0.007550786
1417.423,0.007721429
1419.351,0.007882453
1421.28,0.007946739
1423.208,0.0079325
1425.137,0.007907005
1427.065,0.008101027
1428.994,0.008141102
1430.922,0.008057086
1432.851,0.007981963
1434.779,0.007983567
1436.708,0.007983895
1438.636,0.008106596
1440.565,0.008178354
1442.493,0.008167665
1444.422,0.008156775
1446.35,0.008049706
1448.278,0.007945797
1450.207,0.008008408
1452.135,0.007950798
1454.064,0.007872231
1455.992,0.007679995
1457.921,0.007574352
1459.849,0.00761414
1461.778,0.007674307
1463.706,0.007559276
1465.635,0.007530279
1467.563,0.007532862
1469.492,0.007451233
1471.42,0.007344374
1473.349,0.007484791
1475.277,0.007665889
1477.205,0.007399869
1479.134,0.007217596
1481.062,0.007326975
1482.991,0.007497277
1484.919,0.00747946
1486.848,0.007168041
1488.776,0.007074303
1490.705,0.007166478
1492.633,0.007258274
1494.562,0.007192897
1496.49,0.007002071
1498.419,0.006989121
1500.347,0.006963402
1502.276,0.007019605
1504.204,0.007026509
1506.132,0.006707574
1508.061,0.006617384
1509.989,0.006808378
1511.918,0.00697731
1513.846,0.006995547
1515.775,0.006662881
1517.703,0.006501314
1519.632,0.006714645
1521.56,0.00674233
1523.489,0.006747108
1525.417,0.006809223
1527.346,0.006795139
1529.274,0.006776032
1531.203,0.006922271
1533.131,0.007029254
1535.059,0.007229249
1536.988,0.00720081
1538.916,0.007099302
1540.845,0.007284501
1542.773,0.00741756
1544.702,0.00759697
1546.63,0.007692456
1548.559,0.007597274
1550.487,0.007546372
1552.416,0.007841249
1554.344,0.007877678
1556.273,0.00773592
1558.201,0.007590326
1560.13,0.007635384
1562.058,0.007882091
1563.986,0.007983531
1565.915,0.008092405
1567.843,0.008067051
1569.772,0.008009829
1571.7,0.008013827
1573.629,0.008031211
