x,y
399.1926,0.0
401.1211,0.1777672
403.0496,0.1786777
404.978,0.1752943
406.9065,0.1678932
408.835,0.1622428
410.7634,0.1617317
412.6919,0.1582388
414.6204,0.1519565
416.5488,0.1446105
418.4773,0.1367681
420.4058,0.1271873
422.3342,0.119565
424.2627,0.1188517
426.1912,0.1227111
428.1196,0.1273377
430.0481,0.133225
431.9766,0.1397363
433.905,0.1437793
435.8335,0.1465544
437.762,0.14863
439.6904,0.1491113
441.6189,0.1480905
443.5474,0.1450187
445.4758,0.1410633
447.4043,0.1394301
449.3328,0.1397468
451.2612,0.1407446
453.1897,0.1431486
455.1182,0.1450961
457.0466,0.1475429
458.9751,0.151461
460.9036,0.1544799
462.832,0.157003
464.7605,0.1606034
466.689,0.1634714
468.6174,0.1629575
470.5459,0.15965
472.4744,0.1556153
474.4028,0.1507397
476.3313,0.146911
478.2598,0.1434765
480.1882,0.1408412
482.1167,0.1382456
484.0452,0.1321894
485.9736,0.1237622
487.9021,0.1158383
489.8306,0.11049
491.759,0.1088156
493.6875,0.1105349
495.616,0.1151511
497.5444,0.1219317
499.4729,0.1308837
501.4014,0.1404386
503.3298,0.1486616
505.2583,0.1539632
507.1868,0.1570347
509.1152,0.1587811
511.0437,0.1593458
512.9722,0.1577301
514.9006,0.1552861
516.8291,0.1537248
518.7576,0.1524509
520.686,0.1520099
522.6145,0.1525526
524.543,0.1533363
526.4714,0.1547188
528.3999,0.1566092
530.3284,0.1604795
532.2568,0.1659027
534.1853,0.1725526
536.1138,0.1793384
538.0422,0.1838764
539.9707,0.1860145
541.8992,0.1876482
543.8276,0.1887639
545.7561,0.1897928
547.6846,0.1913759
549.613,0.1931103
551.5415,0.193821
553.47,0.1933422
555.3984,0.1942631
557.3269,0.1967018
559.2554,0.1992189
561.1838,0.2009999
563.1123,0.2019099
565.0408,0.2021166
566.9692,0.2006935
568.8977,0.1979053
570.8262,0.1940656
572.7546,0.1878539
574.6831,0.1817385
576.6116,0.1755545
578.54,0.1678431
580.4685,0.159144
582.397,0.1502166
584.3254,0.1414629
586.2539,0.1344126
588.1824,0.1301249
590.1108,0.1289455
592.0393,0.12963
593.9678,0.1302626
595.8962,0.1293833
597.8247,0.1270685
599.7532,0.1237117
601.6816,0.1194388
603.6101,0.1150585
605.5386,0.1106802
607.467,0.1067996
609.3955,0.1057002
611.324,0.1084536
613.2524,0.1143446
615.1809,0.1220369
617.1094,0.1278128
619.0378,0.1290381
620.9663,0.1266886
622.8948,0.1219476
624.8232,0.1153098
626.7517,0.1079647
628.6802,0.1009139
630.6086,0.09479923
632.5371,0.09008514
634.4656,0.08725464
636.394,0.08636312
638.3225,0.08652548
640.251,0.08733941
642.1794,0.08906111
644.1079,0.09125997
646.0364,0.09375323
647.9648,0.09576204
649.8933,0.09738495
651.8218,0.09786151
653.7502,0.09772295
655.6787,0.09771568
657.6072,0.09729344
659.5356,0.0961896
661.4641,0.09487777
663.3926,0.0928107
665.321,0.08982245
667.2495,0.08678714
669.178,0.08427924
671.1064,0.08200657
673.0349,0.08039488
674.9634,0.0799627
676.8918,0.07982492
678.8203,0.07923675
680.7488,0.07770243
682.6772,0.07581942
684.6057,0.07538384
686.5342,0.0762933
688.4626,0.07776046
690.3911,0.0787324
692.3196,0.07850844
694.248,0.07779044
696.1765,0.07668123
698.105,0.07426123
700.0334,0.07045808
701.9619,0.06630919
703.8904,0.06268951
705.8188,0.06047748
707.7473,0.05995186
709.6758,0.06082579
711.6042,0.06236574
713.5327,0.06395865
715.4612,0.06509312
717.3896,0.06520233
719.3181,0.06482732
721.2466,0.06427009
723.175,0.06326239
725.1035,0.06193316
727.032,0.06048219
728.9604,0.05873719
730.8889,0.0566539
732.8174,0.0545749
734.7458,0.05302067
736.6743,0.05186847
738.6028,0.05147331
740.5313,0.05209199
742.4597,0.05364852
744.3882,0.05616558
746.3167,0.05934826
748.2451,0.0626353
750.1736,0.06611003
752.1021,0.06938001
754.0305,0.07048542
755.959,0.06918039
757.8875,0.06644309
759.8159,0.06277512
761.7444,0.05863455
763.6729,0.05506241
765.6013,0.05302072
767.5298,0.05190935
769.4583,0.05178989
771.3867,0.05202679
773.3152,0.05182055
775.2437,0.05122327
777.1721,0.04999
779.1006,0.04843849
781.0291,0.04686577
782.9575,0.04523266
784.886,0.04355597
786.8145,0.04201228
788.7429,0.04087267
790.6714,0.04012382
792.5999,0.03965041
794.5283,0.03969472
796.4568,0.03994871
798.3853,0.0404609
800.3137,0.04114563
802.2422,0.0419964
804.1707,0.04303722
806.0991,0.0440042
808.0276,0.045353
809.9561,0.04728064
811.8845,0.04947042
813.813,0.05164101
815.7415,0.05413807
817.6699,0.05724345
819.5984,0.0607082
821.5269,0.06483779
823.4553,0.0692853
825.3838,0.07366842
827.3123,0.07824796
829.2407,0.08264016
831.1692,0.08673454
833.0977,0.09021038
835.0261,0.09365392
836.9546,0.09772077
838.8831,0.1024046
840.8115,0.1073752
842.74,0.1123247
844.6685,0.1170501
846.5969,0.1223919
848.5254,0.1289501
850.4539,0.13617
852.3823,0.1439317
854.3108,0.1518867
856.2393,0.1591525
858.1677,0.1652198
860.0962,0.1698637
862.0247,0.1730032
863.9531,0.1752717
865.8816,0.1777066
867.8101,0.1813268
869.7385,0.1864552
871.667,0.1926336
873.5955,0.1994047
875.5239,0.2054464
877.4524,0.2101376
879.3809,0.2148443
881.3093,0.2198936
883.2378,0.225293
885.1663,0.2312851
887.0947,0.2370774
889.0232,0.2418227
890.9517,0.2452956
892.8801,0.2477034
894.8085,0.248724
896.737,0.2484557
898.6655,0.2477601
900.5939,0.2466815
902.5224,0.2451797
904.4509,0.2433358
906.3793,0.2403059
908.3078,0.2363903
910.2363,0.2323589
