x,y
399.1926,0.0
401.1211,0.1939678
403.0496,0.1948972
404.978,0.2112476
406.9065,0.2261441
408.835,0.2384494
410.7634,0.2488419
412.6919,0.2552661
414.6204,0.257137
416.5488,0.2719756
418.4773,0.2849337
420.4058,0.2957898
422.3342,0.3043205
424.2627,0.3078818
426.1912,0.3086397
428.1196,0.3126711
430.0481,0.3193455
431.9766,0.3288145
433.905,0.3347804
435.8335,0.3361481
437.762,0.3359794
439.6904,0.3370539
441.6189,0.3334875
443.5474,0.3293395
445.4758,0.3283829
447.4043,0.3254795
449.3328,0.3163534
451.2612,0.306936
453.1897,0.2979783
455.1182,0.2856622
457.0466,0.2728919
458.9751,0.2673476
460.9036,0.2689567
462.832,0.2774763
464.7605,0.2899794
466.689,0.2946964
468.6174,0.292656
470.5459,0.2860427
472.4744,0.2744846
474.4028,0.2616182
476.3313,0.2499233
478.2598,0.2394488
480.1882,0.2275164
482.1167,0.2172686
484.0452,0.2087816
485.9736,0.1997886
487.9021,0.1915236
489.8306,0.1852611
491.759,0.1785235
493.6875,0.1709495
495.616,0.1635459
497.5444,0.1570286
499.4729,0.1508922
501.4014,0.1445784
503.3298,0.1379751
505.2583,0.1308424
507.1868,0.1247973
509.1152,0.1187805
511.0437,0.1128995
512.9722,0.1077416
514.9006,0.1037159
516.8291,0.1012556
518.7576,0.1000929
520.686,0.1019894
522.6145,0.1058963
524.543,0.1088975
526.4714,0.1084371
528.3999,0.1044921
530.3284,0.09812362
532.2568,0.08940105
534.1853,0.08128411
536.1138,0.07530993
538.0422,0.06996323
539.9707,0.06628931
541.8992,0.06581463
543.8276,0.06696902
545.7561,0.07106078
547.6846,0.07926179
549.613,0.09062733
551.5415,0.1063482
553.47,0.1272815
555.3984,0.1526794
557.3269,0.1784624
559.2554,0.2004122
561.1838,0.2156111
563.1123,0.2227284
565.0408,0.2195294
566.9692,0.2079427
568.8977,0.1936676
570.8262,0.1784365
572.7546,0.1628367
574.6831,0.1481933
576.6116,0.1350718
578.54,0.1233049
580.4685,0.1126602
582.397,0.1035088
584.3254,0.09485999
586.2539,0.0860218
588.1824,0.07820871
590.1108,0.0711986
592.0393,0.06471517
593.9678,0.05854922
595.8962,0.0528701
597.8247,0.04810321
599.7532,0.04412894
601.6816,0.04072248
603.6101,0.03786064
605.5386,0.03598359
607.467,0.03472404
609.3955,0.0334493
611.324,0.03242126
613.2524,0.03193186
615.1809,0.03147605
617.1094,0.03144478
619.0378,0.03200833
620.9663,0.03308081
622.8948,0.03428309
624.8232,0.03559258
626.7517,0.03728839
628.6802,0.03942382
630.6086,0.0424407
632.5371,0.04581764
634.4656,0.04822626
636.394,0.0487665
638.3225,0.04749601
640.251,0.04455319
642.1794,0.04072436
644.1079,0.03713776
646.0364,0.03422573
647.9648,0.03190347
649.8933,0.02974293
651.8218,0.02800895
653.7502,0.02689939
655.6787,0.02622186
657.6072,0.02568547
659.5356,0.02508473
661.4641,0.02459659
663.3926,0.02444027
665.321,0.02456047
667.2495,0.0247138
669.178,0.02470813
671.1064,0.02494135
673.0349,0.0250873
674.9634,0.02530475
676.8918,0.0254616
678.8203,0.02572268
680.7488,0.02609283
682.6772,0.02647889
684.6057,0.02681141
686.5342,0.02718911
688.4626,0.02761598
690.3911,0.02805665
692.3196,0.02856628
694.248,0.02861808
696.1765,0.02869581
698.105,0.0293739
700.0334,0.03001578
701.9619,0.03050999
703.8904,0.03103222
705.8188,0.03144878
707.7473,0.03217727
709.6758,0.03290148
711.6042,0.03358508
713.5327,0.03440629
715.4612,0.03535592
717.3896,0.03629835
719.3181,0.03709688
721.2466,0.03806281
723.175,0.03894481
725.1035,0.03985449
727.032,0.04054372
728.9604,0.04148568
730.8889,0.0428532
732.8174,0.04421611
734.7458,0.04533407
736.6743,0.04680219
738.6028,0.0485128
740.5313,0.04996197
742.4597,0.05155078
744.3882,0.05333463
746.3167,0.0551924
748.2451,0.05705008
750.1736,0.05898063
752.1021,0.0611477
754.0305,0.06307287
755.959,0.0649405
757.8875,0.06710132
759.8159,0.0695429
761.7444,0.072065
763.6729,0.07480257
765.6013,0.077823
767.5298,0.08093485
769.4583,0.08391829
771.3867,0.08714835
773.3152,0.0907081
775.2437,0.09437954
777.1721,0.09831695
779.1006,0.1023762
781.0291,0.1065016
782.9575,0.1108217
784.886,0.1153145
786.8145,0.1200141
788.7429,0.1250244
790.6714,0.1301304
792.5999,0.1351884
794.5283,0.1405277
796.4568,0.146192
798.3853,0.1521593
800.3137,0.1582951
802.2422,0.1642661
804.1707,0.1704957
806.0991,0.1770484
808.0276,0.1836047
809.9561,0.1904886
811.8845,0.1970478
813.813,0.2036339
815.7415,0.2103659
817.6699,0.2175004
819.5984,0.2244859
821.5269,0.2312131
823.4553,0.2383187
825.3838,0.2460277
827.3123,0.253741
829.2407,0.2617862
831.1692,0.2701776
833.0977,0.2782062
835.0261,0.2864013
836.9546,0.2947327
838.8831,0.3026802
840.8115,0.3103909
842.74,0.3180355
844.6685,0.3257176
846.5969,0.3331067
848.5254,0.3399006
850.4539,0.3460163
852.3823,0.3520181
854.3108,0.3575319
856.2393,0.3630403
858.1677,0.3678207
860.0962,0.3705256
862.0247,0.3718821
863.9531,0.3721644
865.8816,0.3715917
867.8101,0.3698566
869.7385,0.3671925
871.667,0.3625346
873.5955,0.3552009
875.5239,0.3447688
877.4524,0.3325648
879.3809,0.3193159
881.3093,0.306104
883.2378,0.2951055
885.1663,0.2882339
887.0947,0.2873718
889.0232,0.2923029
890.9517,0.3002695
892.8801,0.3072591
894.8085,0.3102145
896.737,0.3071934
898.6655,0.2991911
900.5939,0.2875212
902.5224,0.2738098
904.4509,0.2593172
906.3793,0.2445794
908.3078,0.2303302
910.2363,0.2167744
912.1647,0.203563
914.0932,0.1908748
916.0217,0.1787014
917.9501,0.1670368
919.8786,0.1554255
921.8071,0.1445235
923.7355,0.1349352
925.664,0.1267202
927.5925,0.1202248
929.5209,0.1154842
931.4494,0.1128242
933.3779,0.1124005
935.3063,0.1142552
937.2348,0.1194612
939.1633,0.1286357
941.0917,0.1421715
943.0202,0.1611936
944.9487,0.1856501
946.8771,0.2136423
948.8056,0.2433901
950.7341,0.2717463
952.6625,0.2956516
954.591,0.3135079
956.5195,0.3243412
958.4479,0.3279283
960.3764,0.3247081
962.3049,0.3152773
964.2333,0.3013794
966.1618,0.2854497
968.0903,0.2691471
970.0187,0.252894
971.9472,0.2377159
973.8757,0.223968
975.8041,0.2112849
977.7326,0.1996244
979.6611,0.1889279
981.5895,0.1788486
983.518,0.1695482
985.4465,0.1608587
987.3749,0.1526139
989.3034,0.1448588
991.2319,0.1376041
993.1603,0.1306307
995.0888,0.1237392
997.0173,0.1172945
998.9457,0.1111834
1000.874,0.1052662
1002.803,0.09971301
1004.731,0.09408682
1006.66,0.08857651
1008.588,0.08338746
1010.517,0.07845119
1012.445,0.07344161
1014.373,0.06837121
1016.302,0.06343896
1018.23,0.05874898
1020.159,0.05439152
1022.087,0.05043486
1024.016,0.04678326
1025.944,0.04341431
1027.873,0.04031819
1029.801,0.03769245
1031.73,0.03529475
1033.658,0.0332352
1035.587,0.03166401
1037.515,0.03021858
1039.444,0.02866537
1041.372,0.02748906
1043.301,0.02642102
1045.229,0.02526621
1047.157,0.02428535
1049.086,0.02315631
1051.014,0.0221032
1052.943,0.02134115
1054.871,0.02064851
1056.8,0.01982483
1058.728,0.0191121
1060.657,0.01865298
1062.585,0.01804948
1064.514,0.0174457
1066.442,0.01709328
1068.371,0.01690294
1070.299,0.01644577
1072.228,0.01589552
1074.156,0.01553115
1076.084,0.01511157
1078.013,0.0146694
1079.941,0.01450004
1081.87,0.01433453
1083.798,0.01426351
1085.727,0.01403136
1087.655,0.01378501
1089.584,0.01347953
1091.512,0.01340911
1093.441,0.01333491
1095.369,0.01310587
1097.298,0.01280869
1099.226,0.01258127
1101.155,0.01234671
1103.083,0.01210167
1105.011,0.01177352
1106.94,0.01153693
1108.868,0.01146217
1110.797,0.01128521
1112.725,0.01122257
1114.654,0.01128199
1116.582,0.01098072
1118.511,0.01052639
1120.439,0.0102767
1122.368,0.01013167
1124.296,0.01007256
1126.225,0.00994507
1128.153,0.009912133
1130.082,0.009874408
1132.01,0.009491351
1133.938,0.009143923
1135.867,0.009109985
1137.795,0.009153105
1139.724,0.009022232
1141.652,0.008843537
1143.581,0.008716669
1145.509,0.008679963
1147.438,0.008540935
1149.366,0.00837518
1151.295,0.00821765
1153.223,0.008203569
1155.152,0.00809518
1157.08,0.00799463
1159.009,0.007995239
1160.937,0.007899052
1162.865,0.007662261
1164.794,0.007551756
1166.722,0.007335079
1168.651,0.007125601
1170.579,0.007054179
1172.508,0.007037995
1174.436,0.006967436
1176.365,0.006664057
1178.293,0.006456141
1180.222,0.0065603
1182.15,0.006568088
1184.079,0.006329233
1186.007,0.006175465
1187.936,0.006209772
1189.864,0.006066297
1191.792,0.006072058
1193.721,0.005956403
1195.649,0.005743947
1197.578,0.005701983
1199.506,0.005720733
1201.435,0.005645824
1203.363,0.00562704
1205.292,0.005677603
1207.22,0.005627133
1209.149,0.005454291
1211.077,0.005464698
1213.006,0.00549379
1214.934,0.005412477
1216.863,0.005520721
1218.791,0.005575221
1220.719,0.005450115
1222.648,0.005457419
1224.576,0.005442584
1226.505,0.005408873
1228.433,0.005332727
1230.362,0.005433757
1232.29,0.005219999
1234.219,0.005020044
1236.147,0.005113605
1238.076,0.005240709
1240.004,0.005053377
1241.933,0.005003007
1243.861,0.004993517
1245.79,0.004966312
1247.718,0.005044561
1249.646,0.004993647
1251.575,0.00499374
1253.503,0.005090687
1255.432,0.004990709
1257.36,0.004929221
1259.289,0.004919987
1261.217,0.004851168
1263.146,0.004737797
1265.074,0.004757042
1267.003,0.004860601
1268.931,0.004805272
1270.86,0.004722704
1272.788,0.004691808
1274.717,0.004479168
1276.645,0.004420282
1278.573,0.004637742
1280.502,0.004712045
1282.43,0.004673294
1284.359,0.004699037
1286.287,0.00472776
1288.216,0.004710359
1290.144,0.004816918
1292.073,0.004979682
1294.001,0.00493997
1295.93,0.004802282
1297.858,0.004924509
1299.787,0.005072392
1301.715,0.005134107
1303.644,0.005243114
1305.572,0.005354971
1307.5,0.00529484
1309.429,0.005389852
1311.357,0.005688159
1313.286,0.005722768
1315.214,0.005650981
1317.143,0.005597878
1319.071,0.005766489
1321.0,0.005889843
1322.928,0.005848183
1324.857,0.005702938
1326.785,0.005797918
1328.714,0.005995247
1330.642,0.00611654
1332.571,0.006135627
1334.499,0.006147505
1336.427,0.006173265
1338.356,0.006410665
1340.284,0.006609286
1342.213,0.006793754
1344.141,0.006785361
1346.07,0.006899836
1347.998,0.007211613
1349.927,0.007413511
1351.855,0.007525589
1353.784,0.007444785
1355.712,0.00746622
1357.641,0.007611485
1359.569,0.007636903
1361.498,0.007754365
1363.426,0.007962661
1365.354,0.008184562
1367.283,0.008293741
1369.211,0.008526816
1371.14,0.008625204
1373.068,0.008898793
1374.997,0.00909963
1376.925,0.009155431
1378.854,0.009202079
1380.782,0.009167706
1382.711,0.009188655
1384.639,0.009310587
1386.568,0.009429577
1388.496,0.009553463
1390.424,0.00974935
1392.353,0.009851963
1394.281,0.01002472
1396.21,0.01014669
1398.138,0.01026821
1400.067,0.01030498
1401.995,0.01041585
1403.924,0.01079802
1405.852,0.01103522
1407.781,0.01123286
1409.709,0.01144791
1411.638,0.01143456
1413.566,0.0114049
1415.495,0.01138243
1417.423,0.01138526
1419.351,0.01144776
1421.28,0.01158844
1423.208,0.01187711
1425.137,0.01185518
1427.065,0.01185522
1428.994,0.01222043
1430.922,0.01239056
1432.851,0.01222562
1434.779,0.01194447
1436.708,0.01179906
1438.636,0.01213394
1440.565,0.01250889
1442.493,0.01268174
1444.422,0.01292433
1446.35,0.01311787
1448.278,0.01328003
1450.207,0.0135075
1452.135,0.01371667
1454.064,0.01368358
1455.992,0.01358205
1457.921,0.01372078
1459.849,0.01421458
1461.778,0.01450777
1463.706,0.01446634
1465.635,0.01470711
1467.563,0.01503771
1469.492,0.01541521
1471.42,0.01581149
1473.349,0.01612508
1475.277,0.01657739
1477.205,0.01709803
1479.134,0.01750048
1481.062,0.0176752
1482.991,0.01775929
1484.919,0.01799848
1486.848,0.01808894
1488.776,0.01816278
1490.705,0.01814055
1492.633,0.01814342
1494.562,0.01797189
1496.49,0.01772018
1498.419,0.01769006
1500.347,0.01758161
1502.276,0.0173288
1504.204,0.01703553
1506.132,0.01682785
1508.061,0.01684904
1509.989,0.01680478
1511.918,0.01655786
1513.846,0.01629427
1515.775,0.01600872
1517.703,0.01578888
1519.632,0.01545448
1521.56,0.01487029
1523.489,0.01492321
1525.417,0.0149495
1527.346,0.0146979
1529.274,0.0143956
1531.203,0.01422319
1533.131,0.0140898
1535.059,0.01413329
1536.988,0.0137981
1538.916,0.01346607
1540.845,0.01358345
1542.773,0.01352893
1544.702,0.01346819
1546.63,0.01365286
1548.559,0.01375854
1550.487,0.01352818
1552.416,0.01337562
1554.344,0.01331313
1556.273,0.01341454
1558.201,0.01314306
1560.13,0.01308233
1562.058,0.01342377
1563.986,0.01362431
1565.915,0.01382123
1567.843,0.01384429
1569.772,0.01360404
1571.7,0.01342528
1573.629,0.01349169
1575.557,0.01359598
1577.486,0.01373676
1579.414,0.01365233
1581.343,0.01340357
1583.271,0.0134754
1585.2,0.01348421
