x,y
399.1926,0.0
401.1211,0.2106699
403.0496,0.211709
404.978,0.2067131
406.9065,0.2025155
408.835,0.2046135
410.7634,0.2076676
412.6919,0.2053145
414.6204,0.201263
416.5488,0.2021624
418.4773,0.2043507
420.4058,0.2063434
422.3342,0.2076607
424.2627,0.2080732
426.1912,0.2056034
428.1196,0.206561
430.0481,0.208252
431.9766,0.2116184
433.905,0.2129572
435.8335,0.2115389
437.762,0.20827
439.6904,0.2050726
441.6189,0.2000702
443.5474,0.1929311
445.4758,0.1850946
447.4043,0.1752122
449.3328,0.1666358
451.2612,0.1578169
453.1897,0.1473095
455.1182,0.137625
457.0466,0.1289987
458.9751,0.1210213
460.9036,0.1135155
462.832,0.1080835
464.7605,0.1036014
466.689,0.09841736
468.6174,0.09304979
470.5459,0.08727325
472.4744,0.08227872
474.4028,0.07854988
476.3313,0.0747657
478.2598,0.07211663
480.1882,0.06966493
482.1167,0.06685412
484.0452,0.06419007
485.9736,0.06185156
487.9021,0.05907064
489.8306,0.05747733
491.759,0.05639287
493.6875,0.05481406
495.616,0.05284641
497.5444,0.0507689
499.4729,0.04871378
501.4014,0.0469074
503.3298,0.04590004
505.2583,0.04473582
507.1868,0.04334364
509.1152,0.042309
511.0437,0.04158237
512.9722,0.04143057
514.9006,0.04146884
516.8291,0.04138694
518.7576,0.04106145
520.686,0.04065253
522.6145,0.0402495
524.543,0.03992111
526.4714,0.03992223
528.3999,0.03971646
530.3284,0.03955113
532.2568,0.03977272
534.1853,0.03925979
536.1138,0.0384941
538.0422,0.03874436
539.9707,0.03922223
541.8992,0.03931869
543.8276,0.0397358
545.7561,0.03974411
547.6846,0.03931312
549.613,0.03909127
551.5415,0.03929954
553.47,0.0395942
555.3984,0.03977177
557.3269,0.03939379
559.2554,0.0393016
561.1838,0.03950559
563.1123,0.03973319
565.0408,0.03988935
566.9692,0.0395083
568.8977,0.03880229
570.8262,0.03873796
572.7546,0.03936915
574.6831,0.03996196
576.6116,0.04011597
578.54,0.04010852
580.4685,0.03984585
582.397,0.04016009
584.3254,0.0406719
586.2539,0.04091467
588.1824,0.04120369
590.1108,0.04177381
592.0393,0.0423951
593.9678,0.04285766
595.8962,0.04330043
597.8247,0.04407334
599.7532,0.04490315
601.6816,0.04592267
603.6101,0.04701266
605.5386,0.04845263
607.467,0.0502044
609.3955,0.05184278
611.324,0.05326159
613.2524,0.05419745
615.1809,0.05524849
617.1094,0.05635259
619.0378,0.05677382
620.9663,0.05631898
622.8948,0.05571843
624.8232,0.054731
626.7517,0.05343162
628.6802,0.05173471
630.6086,0.05007674
632.5371,0.04896607
634.4656,0.04782326
636.394,0.04652463
638.3225,0.04569415
640.251,0.04516773
642.1794,0.04472739
644.1079,0.04455954
646.0364,0.04465071
647.9648,0.04489568
649.8933,0.04519505
651.8218,0.04575697
653.7502,0.0463501
655.6787,0.04717921
657.6072,0.04802194
