x,y
399.1926,0.0
401.1211,0.01883976
403.0496,0.01887921
404.978,0.01723428
406.9065,0.01858098
408.835,0.0183526
410.7634,0.02037016
412.6919,0.02245065
414.6204,0.02197648
416.5488,0.02290159
418.4773,0.02517347
420.4058,0.02687956
422.3342,0.02630247
424.2627,0.02574308
426.1912,0.02714425
428.1196,0.02855317
430.0481,0.02994039
431.9766,0.03117156
433.905,0.03362092
435.8335,0.03632051
437.762,0.03830971
439.6904,0.03863877
441.6189,0.03683983
443.5474,0.03537794
445.4758,0.03522373
447.4043,0.03634244
449.3328,0.0374463
451.2612,0.03981863
453.1897,0.04346464
455.1182,0.04609855
457.0466,0.04774324
458.9751,0.04941959
460.9036,0.05227868
462.832,0.05602106
464.7605,0.05765191
466.689,0.05713558
468.6174,0.0568226
470.5459,0.05716663
472.4744,0.05739231
474.4028,0.05783082
476.3313,0.05895352
478.2598,0.06115333
480.1882,0.06337292
482.1167,0.06450403
484.0452,0.06615947
485.9736,0.06796314
487.9021,0.06897192
489.8306,0.06871965
491.759,0.06856623
493.6875,0.06943136
495.616,0.07108035
497.5444,0.07264276
499.4729,0.07438689
501.4014,0.07653405
503.3298,0.07907746
505.2583,0.08222542
507.1868,0.08631591
509.1152,0.08977452
511.0437,0.09293238
512.9722,0.09625565
514.9006,0.09968784
516.8291,0.1032321
518.7576,0.1071266
520.686,0.1111014
522.6145,0.1147839
524.543,0.1193706
526.4714,0.1248838
528.3999,0.1304778
530.3284,0.1360795
532.2568,0.1421201
534.1853,0.148922
536.1138,0.1557444
538.0422,0.1626741
539.9707,0.1699772
541.8992,0.1775065
543.8276,0.1844822
545.7561,0.1913988
547.6846,0.1991042
549.613,0.2071799
551.5415,0.2153979
553.47,0.2244049
555.3984,0.2346889
557.3269,0.245939
559.2554,0.2573727
561.1838,0.2672606
563.1123,0.2770695
565.0408,0.288856
566.9692,0.3016319
568.8977,0.3142821
570.8262,0.3277025
572.7546,0.3419726
574.6831,0.3557104
576.6116,0.3686121
578.54,0.3826216
580.4685,0.397344
582.397,0.4112684
584.3254,0.4219048
586.2539,0.4280917
588.1824,0.4302491
590.1108,0.4254248
592.0393,0.4091232
593.9678,0.3841243
595.8962,0.3537535
597.8247,0.3211164
599.7532,0.2870346
601.6816,0.2550186
603.6101,0.2265881
605.5386,0.2015486
607.467,0.1802941
609.3955,0.1635848
611.324,0.1525685
613.2524,0.148031
615.1809,0.1508211
617.1094,0.1607099
619.0378,0.1756101
620.9663,0.1919975
622.8948,0.20678
624.8232,0.2160986
626.7517,0.2177079
628.6802,0.2110438
630.6086,0.1961498
632.5371,0.1758463
634.4656,0.1518934
636.394,0.1260573
638.3225,0.09987499
640.251,0.07636241
642.1794,0.05819828
644.1079,0.04484333
646.0364,0.03569672
647.9648,0.02999326
649.8933,0.0265469
651.8218,0.02416971
653.7502,0.02223933
655.6787,0.02097046
657.6072,0.02065197
