x,y
399.1926,0.0
401.1211,0.01475125
403.0496,0.0148013
404.978,0.01279836
406.9065,0.01388245
408.835,0.01150957
410.7634,0.0116114
412.6919,0.01400189
414.6204,0.01354668
416.5488,0.01276568
418.4773,0.01357143
420.4058,0.01349148
422.3342,0.01400613
424.2627,0.01279492
426.1912,0.01274073
428.1196,0.01437856
430.0481,0.01534602
431.9766,0.01364205
433.905,0.01314139
435.8335,0.01453366
437.762,0.01493438
439.6904,0.01369509
441.6189,0.01459154
443.5474,0.01405329
445.4758,0.01239297
447.4043,0.01176642
449.3328,0.01237499
451.2612,0.01389157
453.1897,0.01414618
455.1182,0.01449985
457.0466,0.01526955
458.9751,0.01495967
460.9036,0.01469
462.832,0.01516196
464.7605,0.01545619
466.689,0.01415964
468.6174,0.01446399
470.5459,0.01484576
472.4744,0.01467293
474.4028,0.01444139
476.3313,0.01557204
478.2598,0.01562165
480.1882,0.01518602
482.1167,0.01422159
484.0452,0.01346764
485.9736,0.01386848
487.9021,0.01539231
489.8306,0.01578873
491.759,0.01596332
493.6875,0.0166652
495.616,0.01654386
497.5444,0.0158348
499.4729,0.01624897
501.4014,0.01642062
503.3298,0.01639342
505.2583,0.01816318
507.1868,0.0201509
509.1152,0.02207268
511.0437,0.02423106
512.9722,0.02379164
514.9006,0.0206454
516.8291,0.01758032
518.7576,0.01605369
520.686,0.01518278
522.6145,0.01489523
524.543,0.01598785
526.4714,0.01663218
528.3999,0.01636202
530.3284,0.01634491
532.2568,0.01630003
534.1853,0.01681385
536.1138,0.01726084
538.0422,0.01782601
539.9707,0.01911521
541.8992,0.02025606
543.8276,0.02089212
545.7561,0.02165069
547.6846,0.02271617
549.613,0.02379964
551.5415,0.02443858
553.47,0.02456013
555.3984,0.02589709
557.3269,0.02802052
559.2554,0.03085293
561.1838,0.03312052
563.1123,0.03477112
565.0408,0.03684988
566.9692,0.03989455
568.8977,0.04372118
570.8262,0.04893173
572.7546,0.0555977
574.6831,0.06304825
576.6116,0.07254628
578.54,0.08510346
580.4685,0.1012451
582.397,0.1220197
584.3254,0.1480893
586.2539,0.1811909
588.1824,0.2247111
590.1108,0.2751022
592.0393,0.3008953
