x,y
399.1926,0.0
401.1211,0.05621814
403.0496,0.05647758
404.978,0.05333454
406.9065,0.05136798
408.835,0.04634763
410.7634,0.04086563
412.6919,0.04029089
414.6204,0.03826627
416.5488,0.03668345
418.4773,0.0358661
420.4058,0.03310734
422.3342,0.03049921
424.2627,0.02978472
426.1912,0.0287294
428.1196,0.02812214
430.0481,0.02796507
431.9766,0.02722949
433.905,0.0265576
435.8335,0.02606113
437.762,0.0248755
439.6904,0.02422565
441.6189,0.02424233
443.5474,0.02433189
445.4758,0.023591
447.4043,0.02303343
449.3328,0.02219185
451.2612,0.02214813
453.1897,0.02187194
455.1182,0.02197186
457.0466,0.02242126
458.9751,0.02185237
460.9036,0.02080528
462.832,0.02033374
464.7605,0.01992629
466.689,0.01987395
468.6174,0.01964751
470.5459,0.01933999
472.4744,0.01972134
474.4028,0.01906313
476.3313,0.01844919
478.2598,0.01869814
480.1882,0.01844771
482.1167,0.01787743
484.0452,0.01748889
485.9736,0.01750862
487.9021,0.01788467
489.8306,0.01782251
491.759,0.0177731
493.6875,0.01829888
495.616,0.01826333
497.5444,0.01791767
499.4729,0.01786516
501.4014,0.01743682
503.3298,0.01716677
505.2583,0.01735465
507.1868,0.01731833
509.1152,0.01671158
511.0437,0.0163313
512.9722,0.01605894
514.9006,0.01570411
516.8291,0.01582435
518.7576,0.01540766
520.686,0.01485572
522.6145,0.01461872
524.543,0.01528585
526.4714,0.0159332
528.3999,0.01592526
530.3284,0.01554676
532.2568,0.01548955
534.1853,0.01604411
536.1138,0.01592837
538.0422,0.01563876
539.9707,0.01584611
541.8992,0.01571553
543.8276,0.0152817
545.7561,0.01502158
547.6846,0.01469205
549.613,0.0148687
551.5415,0.0147117
553.47,0.01401594
555.3984,0.01378841
557.3269,0.01454711
559.2554,0.01532824
561.1838,0.01508121
563.1123,0.01412875
565.0408,0.01357177
566.9692,0.01309886
568.8977,0.01268317
570.8262,0.0128332
572.7546,0.01264537
574.6831,0.01231478
576.6116,0.01229338
578.54,0.01208988
580.4685,0.01204082
582.397,0.0121932
584.3254,0.01174816
586.2539,0.01138429
588.1824,0.01167186
590.1108,0.01152057
592.0393,0.01114314
593.9678,0.01126789
595.8962,0.01160809
597.8247,0.01160581
599.7532,0.01148261
601.6816,0.01154658
603.6101,0.0118775
605.5386,0.01212383
607.467,0.01245277
609.3955,0.01287109
611.324,0.01310622
613.2524,0.01338744
615.1809,0.0138785
617.1094,0.01430538
619.0378,0.01447688
620.9663,0.01400875
622.8948,0.01375537
624.8232,0.01390996
626.7517,0.01371245
628.6802,0.01352709
630.6086,0.01362675
632.5371,0.01349843
634.4656,0.01290778
636.394,0.01256339
638.3225,0.01254388
640.251,0.01237044
