x,y
399.1926,0.0
401.1211,0.2034461
403.0496,0.2043683
404.978,0.1970482
406.9065,0.1838848
408.835,0.1644837
410.7634,0.1474147
412.6919,0.1387699
414.6204,0.129631
416.5488,0.1260261
418.4773,0.1222319
420.4058,0.1185828
422.3342,0.1170963
424.2627,0.1174456
426.1912,0.1212917
428.1196,0.1296961
430.0481,0.1385702
431.9766,0.146634
433.905,0.1553383
435.8335,0.1696659
437.762,0.1872657
439.6904,0.2078292
441.6189,0.2333928
443.5474,0.2533932
445.4758,0.2669497
447.4043,0.2734167
449.3328,0.2644286
451.2612,0.249779
453.1897,0.2376144
455.1182,0.2297297
457.0466,0.218241
458.9751,0.2047971
460.9036,0.1876296
462.832,0.1696597
464.7605,0.1533983
466.689,0.1383027
468.6174,0.1263882
470.5459,0.1175269
472.4744,0.1114323
474.4028,0.1085886
476.3313,0.1091391
478.2598,0.1133636
480.1882,0.1198427
482.1167,0.1274661
484.0452,0.1368294
485.9736,0.1457863
487.9021,0.1528549
489.8306,0.1564677
491.759,0.1574659
493.6875,0.156116
495.616,0.1506163
497.5444,0.1430057
499.4729,0.1340484
501.4014,0.1236965
503.3298,0.1135405
505.2583,0.1035691
507.1868,0.09387836
509.1152,0.08536664
511.0437,0.0774794
512.9722,0.07064503
514.9006,0.0658427
516.8291,0.06258452
518.7576,0.05987478
520.686,0.05771744
522.6145,0.05656257
524.543,0.05573846
526.4714,0.0542083
528.3999,0.05280595
530.3284,0.05218275
532.2568,0.05066413
534.1853,0.04933616
536.1138,0.04867468
538.0422,0.04783721
539.9707,0.04687304
541.8992,0.04607283
543.8276,0.04525916
545.7561,0.04481141
547.6846,0.04452608
549.613,0.04459869
551.5415,0.0437737
553.47,0.04249082
555.3984,0.0421568
557.3269,0.04206715
559.2554,0.04198553
561.1838,0.04193247
563.1123,0.04182847
565.0408,0.04133895
566.9692,0.04076691
568.8977,0.04034394
570.8262,0.03999662
572.7546,0.04020602
574.6831,0.04024919
576.6116,0.04028634
578.54,0.04016698
580.4685,0.040259
582.397,0.04004931
584.3254,0.03942432
586.2539,0.03929713
588.1824,0.03946537
590.1108,0.03932664
592.0393,0.03940102
593.9678,0.03948987
595.8962,0.03959658
597.8247,0.03954457
599.7532,0.03950458
