x,y
399.1926,0.0
401.1211,0.04499385
403.0496,0.04505876
404.978,0.04776076
406.9065,0.05117356
408.835,0.05328957
410.7634,0.05551971
412.6919,0.05993861
414.6204,0.06324568
416.5488,0.06621373
418.4773,0.07075457
420.4058,0.0765151
422.3342,0.08244017
424.2627,0.09033034
426.1912,0.09846492
428.1196,0.1065602
430.0481,0.1162752
431.9766,0.1254975
433.905,0.1353365
435.8335,0.1460781
437.762,0.1557852
439.6904,0.1608789
441.6189,0.1621374
443.5474,0.1608218
445.4758,0.153797
447.4043,0.140793
449.3328,0.126616
451.2612,0.117391
453.1897,0.1144109
455.1182,0.1190039
457.0466,0.1291983
458.9751,0.1377991
460.9036,0.138142
462.832,0.1329203
464.7605,0.1260087
466.689,0.1191513
468.6174,0.1139757
470.5459,0.1113344
472.4744,0.1096464
474.4028,0.1066456
476.3313,0.1009276
478.2598,0.09389272
480.1882,0.08668989
482.1167,0.08074353
484.0452,0.07592292
485.9736,0.07195664
487.9021,0.06927924
489.8306,0.06775617
491.759,0.06647928
493.6875,0.06632477
495.616,0.06719457
497.5444,0.06852556
499.4729,0.07116962
501.4014,0.07536115
503.3298,0.07987821
505.2583,0.08615518
507.1868,0.09372617
509.1152,0.1012651
511.0437,0.1072263
512.9722,0.1106126
514.9006,0.1104782
516.8291,0.106016
518.7576,0.0984925
520.686,0.08992141
522.6145,0.08138388
524.543,0.07330883
526.4714,0.06524541
528.3999,0.05835955
530.3284,0.05266933
532.2568,0.04795602
534.1853,0.04418259
536.1138,0.04116725
538.0422,0.03880911
539.9707,0.03716909
541.8992,0.03550639
543.8276,0.03386217
545.7561,0.03300588
547.6846,0.03250699
549.613,0.03203588
551.5415,0.03157975
553.47,0.03101146
555.3984,0.03051263
557.3269,0.0297888
559.2554,0.0287839
561.1838,0.02768364
563.1123,0.02701381
565.0408,0.02655215
566.9692,0.02628455
568.8977,0.02585076
570.8262,0.02530587
572.7546,0.02536795
574.6831,0.02578239
576.6116,0.02598386
578.54,0.02602118
580.4685,0.02589204
582.397,0.02583641
584.3254,0.02634875
586.2539,0.02672896
588.1824,0.02664994
590.1108,0.02697494
592.0393,0.02729753
593.9678,0.02775209
595.8962,0.02837975
597.8247,0.02892105
599.7532,0.02921977
601.6816,0.02942947
603.6101,0.02968264
605.5386,0.02980977
607.467,0.03015456
609.3955,0.03060969
611.324,0.03063579
613.2524,0.03086577
615.1809,0.0316663
617.1094,0.03224416
619.0378,0.03204729
620.9663,0.03236686
622.8948,0.03292696
624.8232,0.03368919
626.7517,0.03421904
628.6802,0.03454908
630.6086,0.035071
632.5371,0.03587218
634.4656,0.03672527
636.394,0.03740492
638.3225,0.03794611
640.251,0.03861132
642.1794,0.03955861
644.1079,0.04038712
646.0364,0.04124011
647.9648,0.04233047
649.8933,0.04340566
651.8218,0.04456709
653.7502,0.04573629
655.6787,0.04698494
657.6072,0.04825351
659.5356,0.04942803
661.4641,0.05077565
663.3926,0.05247403
665.321,0.054446
667.2495,0.05642037
669.178,0.05803454
671.1064,0.05957686
673.0349,0.06140274
674.9634,0.06324357
676.8918,0.06527279
678.8203,0.06766815
680.7488,0.07005588
682.6772,0.07266176
684.6057,0.07546826
686.5342,0.07862916
688.4626,0.08201282
690.3911,0.08600683
