x,y
399.1926,0.0
401.1211,0.02434231
403.0496,0.02440185
404.978,0.02255727
406.9065,0.02278228
408.835,0.02249368
410.7634,0.02111479
412.6919,0.01951397
414.6204,0.01826734
416.5488,0.01825847
418.4773,0.01905932
420.4058,0.01933332
422.3342,0.01951917
424.2627,0.01940669
426.1912,0.01804936
428.1196,0.01738705
430.0481,0.01737799
431.9766,0.01654604
433.905,0.01624589
435.8335,0.01695562
437.762,0.01613787
439.6904,0.01387455
441.6189,0.01313391
443.5474,0.01330926
445.4758,0.01357739
447.4043,0.0138068
449.3328,0.0141599
451.2612,0.01413919
453.1897,0.0135798
455.1182,0.01310901
457.0466,0.0129391
458.9751,0.01254541
460.9036,0.0128391
462.832,0.01189815
464.7605,0.01075356
466.689,0.01077895
468.6174,0.01139046
470.5459,0.0112528
472.4744,0.01101195
474.4028,0.01095085
476.3313,0.01117867
478.2598,0.01078749
480.1882,0.01002523
482.1167,0.01012754
484.0452,0.0101891
485.9736,0.01020709
487.9021,0.009957687
489.8306,0.009872616
491.759,0.009848861
493.6875,0.009992152
495.616,0.009760048
497.5444,0.009225936
499.4729,0.009147253
501.4014,0.009405622
503.3298,0.009302309
505.2583,0.009047052
507.1868,0.008714561
509.1152,0.008450563
511.0437,0.007844264
512.9722,0.007619322
514.9006,0.008059639
516.8291,0.008000906
518.7576,0.007956871
520.686,0.007640194
522.6145,0.007478654
524.543,0.00765716
526.4714,0.00750505
528.3999,0.007103025
530.3284,0.006889085
532.2568,0.006933276
534.1853,0.006942258
536.1138,0.006612904
538.0422,0.006808931
539.9707,0.00701493
541.8992,0.006689576
543.8276,0.006334151
545.7561,0.006284888
547.6846,0.006222567
549.613,0.006000008
551.5415,0.006234237
553.47,0.006384329
555.3984,0.006205503
557.3269,0.005991469
559.2554,0.005887432
561.1838,0.005894056
563.1123,0.006107069
565.0408,0.006445557
566.9692,0.006207827
568.8977,0.00611665
570.8262,0.005733868
572.7546,0.005750965
574.6831,0.005938346
576.6116,0.005740911
578.54,0.005851724
580.4685,0.006177192
582.397,0.006310977
584.3254,0.006359582
586.2539,0.006171251
588.1824,0.006182405
590.1108,0.006485523
592.0393,0.006799746
593.9678,0.006723958
595.8962,0.006568696
597.8247,0.006404656
599.7532,0.006364922
601.6816,0.006422956
603.6101,0.006640292
605.5386,0.006741215
607.467,0.006353921
609.3955,0.006001902
611.324,0.005712411
613.2524,0.005953481
615.1809,0.005983764
617.1094,0.005755566
619.0378,0.005982317
620.9663,0.00620834
622.8948,0.006028353
624.8232,0.005900107
626.7517,0.005979928
628.6802,0.005901834
630.6086,0.005897511
632.5371,0.005828926
634.4656,0.005902696
636.394,0.005980353
638.3225,0.005946254
640.251,0.006047256
642.1794,0.006156744
644.1079,0.006241451
646.0364,0.00643512
647.9648,0.006241835
649.8933,0.006260533
651.8218,0.006710719
653.7502,0.006798645
655.6787,0.006398139
657.6072,0.006121112
659.5356,0.006174934
661.4641,0.00642988
663.3926,0.006484649
665.321,0.006426633
667.2495,0.006458089
669.178,0.006596478
671.1064,0.006581834
673.0349,0.00675853
674.9634,0.006938691
676.8918,0.007069332
678.8203,0.007089114
680.7488,0.007149422
682.6772,0.007466157
684.6057,0.007961216
686.5342,0.00813505
688.4626,0.008548634
690.3911,0.009031556
692.3196,0.009572805
694.248,0.0100276
696.1765,0.01025093
698.105,0.01119868
700.0334,0.01296725
701.9619,0.01539251
