x,y
399.1926,0.0
401.1211,0.2972615
403.0496,0.2986744
404.978,0.2933595
406.9065,0.2991912
408.835,0.2954632
410.7634,0.2957897
412.6919,0.2986455
414.6204,0.2956806
416.5488,0.2965537
418.4773,0.2984345
420.4058,0.3027016
422.3342,0.3044335
424.2627,0.3046495
426.1912,0.3022372
428.1196,0.3019491
430.0481,0.3024763
431.9766,0.3030564
433.905,0.3064539
435.8335,0.3071291
437.762,0.3084528
439.6904,0.3095939
441.6189,0.3086997
443.5474,0.3111465
445.4758,0.3122686
447.4043,0.3124095
449.3328,0.31494
451.2612,0.3174229
453.1897,0.3166644
455.1182,0.3172425
457.0466,0.3195833
458.9751,0.3200118
460.9036,0.3194528
462.832,0.3207568
464.7605,0.3222506
466.689,0.3226525
468.6174,0.3230751
470.5459,0.3246947
472.4744,0.3271862
474.4028,0.3278988
476.3313,0.32747
478.2598,0.3283769
480.1882,0.3289676
482.1167,0.3297174
484.0452,0.3309332
485.9736,0.331598
487.9021,0.333586
489.8306,0.336065
491.759,0.3370706
493.6875,0.3364154
495.616,0.3359736
497.5444,0.334971
499.4729,0.3332371
501.4014,0.3343651
503.3298,0.3358613
505.2583,0.3357994
507.1868,0.3363576
509.1152,0.3372593
511.0437,0.3376637
512.9722,0.3383087
514.9006,0.3369273
516.8291,0.3363158
518.7576,0.3365905
520.686,0.3359253
522.6145,0.3353722
524.543,0.3340929
526.4714,0.3334788
528.3999,0.3329981
530.3284,0.3325409
532.2568,0.3325549
534.1853,0.3314107
536.1138,0.3295099
538.0422,0.327933
539.9707,0.3263164
541.8992,0.3254105
543.8276,0.3248656
545.7561,0.3255078
547.6846,0.3266343
549.613,0.3264427
551.5415,0.3253648
553.47,0.3261883
555.3984,0.3271379
557.3269,0.3266664
559.2554,0.3275106
561.1838,0.3279309
563.1123,0.3293224
565.0408,0.3301962
566.9692,0.3298762
568.8977,0.3293527
570.8262,0.3293592
572.7546,0.3302191
574.6831,0.3309902
576.6116,0.3329822
578.54,0.3347239
580.4685,0.3357176
582.397,0.3370542
584.3254,0.3388916
586.2539,0.3402967
588.1824,0.3427591
590.1108,0.3460101
592.0393,0.3482436
593.9678,0.3501279
595.8962,0.3515462
597.8247,0.3515306
599.7532,0.3512171
601.6816,0.3482719
603.6101,0.3410704
605.5386,0.3340425
607.467,0.3308854
609.3955,0.3309504
611.324,0.3329617
613.2524,0.3357059
615.1809,0.3395597
617.1094,0.3434756
619.0378,0.3471193
620.9663,0.351615
622.8948,0.3550757
624.8232,0.3551771
626.7517,0.3508559
628.6802,0.3423893
630.6086,0.3334764
632.5371,0.3270715
634.4656,0.3238812
636.394,0.3245031
638.3225,0.3282872
640.251,0.3329152
642.1794,0.3365861
644.1079,0.3399624
646.0364,0.3438204
647.9648,0.3476593
649.8933,0.3512255
651.8218,0.3537299
653.7502,0.3567772
655.6787,0.3610122
657.6072,0.3649508
659.5356,0.3676083
661.4641,0.3690922
663.3926,0.3702368
665.321,0.3697391
667.2495,0.366236
669.178,0.3598909
671.1064,0.3518618
673.0349,0.3431773
674.9634,0.3339286
676.8918,0.326916
678.8203,0.3241419
680.7488,0.3249939
682.6772,0.3277499
684.6057,0.3314171
686.5342,0.3354156
688.4626,0.3385614
690.3911,0.3406634
692.3196,0.3428008
694.248,0.3449463
696.1765,0.3468268
698.105,0.3489793
700.0334,0.351463
701.9619,0.3531378
703.8904,0.3541763
705.8188,0.3559245
707.7473,0.3580012
709.6758,0.3591424
711.6042,0.3605275
713.5327,0.3622427
715.4612,0.3637281
717.3896,0.3655699
719.3181,0.3666361
721.2466,0.3675801
723.175,0.3693968
725.1035,0.3709113
727.032,0.3723295
728.9604,0.3736177
730.8889,0.3743188
732.8174,0.3757131
734.7458,0.3773607
736.6743,0.3785602
738.6028,0.3798467
740.5313,0.3814879
742.4597,0.3828652
744.3882,0.3842345
746.3167,0.3856544
748.2451,0.3868953
750.1736,0.3886672
752.1021,0.3901521
754.0305,0.3917283
755.959,0.3935002
757.8875,0.3951565
759.8159,0.3968455
761.7444,0.3982026
763.6729,0.3996083
765.6013,0.4015008
767.5298,0.4033973
769.4583,0.4046637
771.3867,0.4059137
773.3152,0.407541
775.2437,0.4094431
777.1721,0.411191
779.1006,0.4121763
781.0291,0.4125913
782.9575,0.4131991
784.886,0.4137928
786.8145,0.4141087
788.7429,0.4140032
790.6714,0.413834
792.5999,0.4133889
794.5283,0.4130004
796.4568,0.4123834
798.3853,0.4114642
800.3137,0.4097925
802.2422,0.4086035
804.1707,0.4079969
806.0991,0.4062879
