x,y
399.1926,0.0
401.1211,0.01223068
403.0496,0.01227917
404.978,0.01414235
406.9065,0.01533959
408.835,0.01623368
410.7634,0.01567206
412.6919,0.01563643
414.6204,0.01538007
416.5488,0.01498114
418.4773,0.01427314
420.4058,0.01421964
422.3342,0.01350054
424.2627,0.01323391
426.1912,0.01370539
428.1196,0.01477343
430.0481,0.01542761
431.9766,0.01522076
433.905,0.01473586
435.8335,0.01479349
437.762,0.01501818
439.6904,0.015538
441.6189,0.01590187
443.5474,0.01508842
445.4758,0.01549947
447.4043,0.01669551
449.3328,0.01690922
451.2612,0.01677289
453.1897,0.0169112
455.1182,0.01713006
457.0466,0.01701583
458.9751,0.01657047
460.9036,0.01674495
462.832,0.0173124
464.7605,0.01701285
466.689,0.01715202
468.6174,0.01831884
470.5459,0.01911991
472.4744,0.01909595
474.4028,0.01876828
476.3313,0.01864027
478.2598,0.01883746
480.1882,0.01959944
482.1167,0.02033076
484.0452,0.02103086
485.9736,0.021406
487.9021,0.02146709
489.8306,0.02157228
491.759,0.02158913
493.6875,0.02181292
495.616,0.02237456
497.5444,0.02270691
499.4729,0.0228155
501.4014,0.0232601
503.3298,0.02411827
505.2583,0.0243214
507.1868,0.02426436
509.1152,0.02457159
511.0437,0.02499096
512.9722,0.02560781
514.9006,0.02588279
516.8291,0.02619743
518.7576,0.02652642
520.686,0.026562
522.6145,0.0273125
524.543,0.02784557
526.4714,0.02798288
528.3999,0.02820119
530.3284,0.02861794
532.2568,0.02895741
534.1853,0.02911328
536.1138,0.02973506
538.0422,0.03007692
539.9707,0.03045698
541.8992,0.03104297
543.8276,0.03195208
545.7561,0.03267203
547.6846,0.03283064
549.613,0.03267216
551.5415,0.0329651
553.47,0.03325658
555.3984,0.03371262
557.3269,0.03420967
559.2554,0.034659
561.1838,0.0350166
563.1123,0.03559637
565.0408,0.03613357
566.9692,0.03653176
568.8977,0.03690771
570.8262,0.03729601
572.7546,0.03806191
574.6831,0.03882051
576.6116,0.03937928
578.54,0.03974748
580.4685,0.04024986
582.397,0.04093565
584.3254,0.0413016
586.2539,0.04143418
588.1824,0.04177032
590.1108,0.04263264
592.0393,0.04320011
593.9678,0.04356002
595.8962,0.04413949
597.8247,0.04485071
599.7532,0.04531915
601.6816,0.04589722
603.6101,0.04666705
605.5386,0.04755514
607.467,0.04843573
609.3955,0.04895055
611.324,0.04930101
613.2524,0.05003574
615.1809,0.05110954
617.1094,0.05235728
619.0378,0.05333933
620.9663,0.05421702
622.8948,0.05507734
624.8232,0.05598709
626.7517,0.05684791
628.6802,0.05802055
630.6086,0.05894643
632.5371,0.05977222
634.4656,0.06095037
636.394,0.06233665
638.3225,0.06391358
640.251,0.06562196
642.1794,0.06744458
644.1079,0.06933883
646.0364,0.07117639
647.9648,0.07330877
649.8933,0.07549998
651.8218,0.07825056
653.7502,0.08161877
655.6787,0.08551392
657.6072,0.0903065
659.5356,0.09622638
661.4641,0.1036514
663.3926,0.1130002
665.321,0.1248393
667.2495,0.1395839
669.178,0.1601931
671.1064,0.1898242
673.0349,0.2321753
674.9634,0.2794083
676.8918,0.2790957
678.8203,0.21469
680.7488,0.1337738
682.6772,0.06705908
684.6057,0.03188493
686.5342,0.02088913
688.4626,0.01842823
690.3911,0.01860841
692.3196,0.01984001
694.248,0.02131322
696.1765,0.02395472
698.105,0.02781849
700.0334,0.02868569
701.9619,0.0279064
703.8904,0.02890193
705.8188,0.03038343
707.7473,0.03195591
709.6758,0.0336807
711.6042,0.03502723
713.5327,0.03637966
715.4612,0.03811991
717.3896,0.03959611
719.3181,0.04092541
721.2466,0.04240116
723.175,0.04360202
725.1035,0.04444614
727.032,0.04555359
728.9604,0.04655939
730.8889,0.04729233
732.8174,0.04808361
734.7458,0.04868176
736.6743,0.04876513
738.6028,0.04875826
740.5313,0.04922308
742.4597,0.04964679
744.3882,0.05013402
746.3167,0.05057346
748.2451,0.05115048
750.1736,0.0518048
752.1021,0.0524882
754.0305,0.05335572
755.959,0.0541526
757.8875,0.05475253
759.8159,0.05549659
761.7444,0.0564904
763.6729,0.05733831
765.6013,0.05828254
767.5298,0.05913473
769.4583,0.06008995
771.3867,0.0608694
773.3152,0.06176304
775.2437,0.06281469
777.1721,0.06361726
779.1006,0.06440954
781.0291,0.06543148
782.9575,0.06595436
784.886,0.06660972
786.8145,0.06751588
788.7429,0.06830186
790.6714,0.06951676
792.5999,0.07082253
794.5283,0.07171387
796.4568,0.07249846
798.3853,0.07375932
800.3137,0.07528305
802.2422,0.07675251
804.1707,0.07843456
806.0991,0.08047179
808.0276,0.08264937
809.9561,0.08511573
811.8845,0.08787213
813.813,0.09159336
815.7415,0.09626488
817.6699,0.1020329
819.5984,0.1104074
821.5269,0.12248
823.4553,0.1298212
825.3838,0.129027
827.3123,0.1369463
829.2407,0.156025
831.1692,0.1818325
833.0977,0.2147628
835.0261,0.2513184
836.9546,0.2720901
838.8831,0.2518389
840.8115,0.1966783
842.74,0.1383972
844.6685,0.09958912
846.5969,0.08096491
848.5254,0.07279634
850.4539,0.06894794
852.3823,0.06704787
854.3108,0.06610752
856.2393,0.06555939
858.1677,0.06520935
860.0962,0.0652988
862.0247,0.06555273
863.9531,0.06601989
865.8816,0.06621205
867.8101,0.06661531
869.7385,0.06753413
871.667,0.06803609
873.5955,0.06779226
875.5239,0.06779078
877.4524,0.06820268
879.3809,0.06875554
881.3093,0.06909703
883.2378,0.06942354
885.1663,0.07020226
887.0947,0.07082376
889.0232,0.07113153
890.9517,0.07155075
892.8801,0.0720857
894.8085,0.07252572
896.737,0.0728729
898.6655,0.07327653
900.5939,0.07390369
902.5224,0.07454348
904.4509,0.07508964
906.3793,0.07563149
908.3078,0.07619836
910.2363,0.07685993
912.1647,0.07736763
914.0932,0.07808574
916.0217,0.07867252
917.9501,0.07904733
919.8786,0.07964042
921.8071,0.08034728
923.7355,0.08097596
925.664,0.08142349
927.5925,0.0818686
929.5209,0.08233245
931.4494,0.08305907
933.3779,0.08361826
935.3063,0.0839935
937.2348,0.08460846
939.1633,0.08532623
941.0917,0.08594284
943.0202,0.08658389
944.9487,0.08713491
946.8771,0.08769451
948.8056,0.08823686
950.7341,0.0887792
952.6625,0.08947724
954.591,0.09025603
956.5195,0.09073728
958.4479,0.0911037
960.3764,0.09151751
962.3049,0.09221451
964.2333,0.09301388
966.1618,0.09352658
968.0903,0.09399892
970.0187,0.09454425
971.9472,0.09511466
973.8757,0.09568539
975.8041,0.09646205
977.7326,0.09744252
979.6611,0.09829938
981.5895,0.09941681
983.518,0.1008576
985.4465,0.1019671
987.3749,0.1028524
989.3034,0.1034305
991.2319,0.1036289
993.1603,0.1038636
995.0888,0.1039779
997.0173,0.1037905
998.9457,0.103736
1000.874,0.1039313
1002.803,0.1039754
1004.731,0.103918
1006.66,0.1041212
1008.588,0.1045445
1010.517,0.1050137
1012.445,0.1056139
1014.373,0.1061694
1016.302,0.1067996
1018.23,0.107756
1020.159,0.1088033
1022.087,0.1095274
1024.016,0.1106228
1025.944,0.1116634
1027.873,0.1132109
1029.801,0.1149444
1031.73,0.1159546
1033.658,0.1167861
1035.587,0.1184186
1037.515,0.1203313
1039.444,0.1231576
1041.372,0.1267674
1043.301,0.1322406
1045.229,0.1414049
1047.157,0.1603265
1049.086,0.2020768
1051.014,0.2296346
1052.943,0.1732402
1054.871,0.119842
1056.8,0.1086217
1058.728,0.1088085
1060.657,0.1105121
1062.585,0.1120179
1064.514,0.1136694
1066.442,0.1151808
1068.371,0.1166342
1070.299,0.1177447
1072.228,0.1189686
1074.156,0.1202005
1076.084,0.1216142
1078.013,0.1228244
1079.941,0.1242964
1081.87,0.1253177
1083.798,0.1265559
1085.727,0.1278989
1087.655,0.1295228
1089.584,0.1311488
1091.512,0.1333351
1093.441,0.1353267
1095.369,0.1368082
1097.298,0.1379026
1099.226,0.1390472
1101.155,0.1400206
1103.083,0.1411713
1105.011,0.1416437
1106.94,0.1414202
1108.868,0.1408479
1110.797,0.1400624
1112.725,0.1392504
1114.654,0.1386984
1116.582,0.1380969
1118.511,0.1383109
1120.439,0.1392383
