x,y
399.1926,0.0
401.1211,0.2228505
403.0496,0.2239213
404.978,0.2241103
406.9065,0.2267643
408.835,0.2280048
410.7634,0.2234802
412.6919,0.2247695
414.6204,0.2273871
416.5488,0.2266016
418.4773,0.2293736
420.4058,0.2311479
422.3342,0.230581
424.2627,0.2307158
426.1912,0.2287925
428.1196,0.2287079
430.0481,0.2290758
431.9766,0.228903
433.905,0.2298286
435.8335,0.2306965
437.762,0.2300113
439.6904,0.2303462
441.6189,0.2308277
443.5474,0.2311242
445.4758,0.2313716
447.4043,0.2308179
449.3328,0.2320529
451.2612,0.2335905
453.1897,0.2327065
455.1182,0.2328328
457.0466,0.232983
458.9751,0.2329192
460.9036,0.2346934
462.832,0.2365951
464.7605,0.236306
466.689,0.2360787
468.6174,0.2368463
470.5459,0.236712
472.4744,0.2362598
474.4028,0.2368428
476.3313,0.2385125
478.2598,0.239426
480.1882,0.2400562
482.1167,0.2398262
484.0452,0.2398032
485.9736,0.239988
487.9021,0.2397949
489.8306,0.2400942
491.759,0.2401111
493.6875,0.2401256
495.616,0.2414006
497.5444,0.2422583
499.4729,0.2425272
501.4014,0.2431666
503.3298,0.2438793
505.2583,0.2443173
507.1868,0.2451183
509.1152,0.2453456
511.0437,0.2452377
512.9722,0.2455118
514.9006,0.2458327
516.8291,0.2463006
518.7576,0.247328
520.686,0.2480029
522.6145,0.2485336
524.543,0.2483075
526.4714,0.2485112
528.3999,0.2490766
530.3284,0.249102
532.2568,0.2490193
534.1853,0.2496756
536.1138,0.2509139
538.0422,0.2509447
539.9707,0.2509298
541.8992,0.2514031
543.8276,0.2512851
545.7561,0.2519061
547.6846,0.2530977
549.613,0.2535932
551.5415,0.2531997
553.47,0.2532485
555.3984,0.2536737
557.3269,0.254662
559.2554,0.2547393
561.1838,0.2549441
563.1123,0.2555422
565.0408,0.2556509
566.9692,0.255817
568.8977,0.2561492
570.8262,0.2567285
572.7546,0.2572045
574.6831,0.2576495
576.6116,0.2577533
578.54,0.2582885
580.4685,0.2592894
582.397,0.2599849
584.3254,0.2594728
586.2539,0.2594351
588.1824,0.2599721
590.1108,0.2602446
592.0393,0.2603953
593.9678,0.2607467
595.8962,0.2609549
597.8247,0.2613865
599.7532,0.2620195
601.6816,0.262314
603.6101,0.2626758
605.5386,0.2627879
607.467,0.2629724
609.3955,0.2631993
611.324,0.2632407
613.2524,0.2640165
615.1809,0.2647872
617.1094,0.2648273
619.0378,0.2649891
620.9663,0.2655398
622.8948,0.2657239
624.8232,0.2661473
626.7517,0.2669855
628.6802,0.2670712
630.6086,0.2672662
632.5371,0.2673916
634.4656,0.267598
636.394,0.2681724
638.3225,0.2689101
640.251,0.2689486
642.1794,0.2688942
644.1079,0.2690932
646.0364,0.2689654
647.9648,0.2694502
649.8933,0.270164
651.8218,0.2703947
653.7502,0.2700541
655.6787,0.2706568
657.6072,0.271528
659.5356,0.2716872
661.4641,0.2713342
663.3926,0.2716744
665.321,0.2725222
667.2495,0.2729684
669.178,0.2730934
671.1064,0.2730781
673.0349,0.2733114
674.9634,0.27339
676.8918,0.2737679
678.8203,0.274811
680.7488,0.2745916
682.6772,0.2743291
684.6057,0.274611
686.5342,0.2749633
688.4626,0.2756596
690.3911,0.2762154
692.3196,0.2765622
694.248,0.276839
696.1765,0.2768306
698.105,0.2769657
700.0334,0.2772176
701.9619,0.277594
703.8904,0.2781225
705.8188,0.2782707
707.7473,0.2783218
709.6758,0.2784995
711.6042,0.2786378
713.5327,0.2789065
715.4612,0.2791294
717.3896,0.2794999
719.3181,0.2794651
721.2466,0.2794578
723.175,0.2797151
725.1035,0.280194
727.032,0.2804618
728.9604,0.2803921
730.8889,0.2806718
732.8174,0.2809168
734.7458,0.281381
736.6743,0.2817627
738.6028,0.2820744
740.5313,0.2826161
742.4597,0.2828108
744.3882,0.2827705
746.3167,0.2831071
748.2451,0.2831038
750.1736,0.2834865
752.1021,0.2841466
754.0305,0.2843286
755.959,0.2842788
757.8875,0.284365
759.8159,0.284417
761.7444,0.2850589
763.6729,0.2856692
765.6013,0.2859748
767.5298,0.2862576
769.4583,0.2863242
771.3867,0.2864647
773.3152,0.2865125
775.2437,0.2866997
777.1721,0.2873624
779.1006,0.2880025
781.0291,0.2882414
782.9575,0.2883301
784.886,0.2888518
786.8145,0.2890489
788.7429,0.2891275
790.6714,0.2893426
792.5999,0.2899273
794.5283,0.2900603
796.4568,0.2903486
798.3853,0.2911899
800.3137,0.2913233
802.2422,0.2911962
804.1707,0.2913479
806.0991,0.29166
808.0276,0.2924922
809.9561,0.2929028
811.8845,0.2928197
813.813,0.2927873
815.7415,0.2933209
817.6699,0.2937022
819.5984,0.2940667
821.5269,0.2941772
823.4553,0.2943724
825.3838,0.2949232
827.3123,0.2952248
829.2407,0.2955844
831.1692,0.295792
833.0977,0.2955244
835.0261,0.2955694
836.9546,0.2959893
838.8831,0.2968388
840.8115,0.2974036
842.74,0.2976526
844.6685,0.2980773
846.5969,0.298367
848.5254,0.2985368
850.4539,0.2986661
852.3823,0.2985829
854.3108,0.2989942
856.2393,0.2996671
858.1677,0.3000449
860.0962,0.3003966
862.0247,0.3007707
863.9531,0.3007751
865.8816,0.300987
867.8101,0.3012953
869.7385,0.3017135
871.667,0.3020232
873.5955,0.3017773
875.5239,0.3018242
877.4524,0.3021734
879.3809,0.3025953
881.3093,0.3027829
883.2378,0.3031965
885.1663,0.3036761
887.0947,0.3038754
889.0232,0.3038865
890.9517,0.3043853
892.8801,0.3048514
894.8085,0.3049596
896.737,0.3050592
898.6655,0.3053465
900.5939,0.3056933
902.5224,0.3061599
904.4509,0.3065384
906.3793,0.3070209
908.3078,0.3072458
910.2363,0.307425
912.1647,0.3076732
914.0932,0.3078343
916.0217,0.3081508
917.9501,0.3085938
919.8786,0.3088913
921.8071,0.3086848
923.7355,0.3086621
925.664,0.3090785
927.5925,0.3093683
929.5209,0.3098011
931.4494,0.3101887
933.3779,0.3101468
935.3063,0.3101042
937.2348,0.3103295
939.1633,0.3107013
941.0917,0.3110792
943.0202,0.3115525
944.9487,0.3116542
946.8771,0.3117041
948.8056,0.3117731
950.7341,0.3119968
952.6625,0.3125575
954.591,0.3130033
956.5195,0.3131928
958.4479,0.3133588
960.3764,0.3135431
