x,y
399.1926,0.0
401.1211,0.203709
403.0496,0.204635
404.978,0.2033827
406.9065,0.2014785
408.835,0.1983475
410.7634,0.201365
412.6919,0.2058256
414.6204,0.2048434
416.5488,0.2043077
418.4773,0.2006867
420.4058,0.2010605
422.3342,0.203462
424.2627,0.2036561
426.1912,0.2041647
428.1196,0.2001384
430.0481,0.1953155
431.9766,0.1923239
433.905,0.1916584
435.8335,0.190385
437.762,0.1895474
439.6904,0.1867601
441.6189,0.1843204
443.5474,0.183404
445.4758,0.181496
447.4043,0.1786565
449.3328,0.1764752
451.2612,0.1763873
453.1897,0.1769877
455.1182,0.1752018
457.0466,0.1733311
458.9751,0.1719054
460.9036,0.1702257
462.832,0.1692354
464.7605,0.1688684
466.689,0.1681135
468.6174,0.166379
470.5459,0.1649569
472.4744,0.1628651
474.4028,0.1604294
476.3313,0.1586938
478.2598,0.1572876
480.1882,0.1564034
482.1167,0.154618
484.0452,0.1535897
485.9736,0.1535407
487.9021,0.1532963
489.8306,0.1525229
491.759,0.152738
493.6875,0.1521475
495.616,0.1505168
497.5444,0.1481272
499.4729,0.1459843
501.4014,0.1433389
503.3298,0.1399703
505.2583,0.1362236
507.1868,0.1328633
509.1152,0.129019
511.0437,0.1246502
512.9722,0.1200048
514.9006,0.1158979
516.8291,0.1125547
518.7576,0.108732
520.686,0.1048668
522.6145,0.101912
524.543,0.09983829
526.4714,0.09699345
528.3999,0.09407196
530.3284,0.09149518
532.2568,0.08874895
534.1853,0.08604878
536.1138,0.08365635
538.0422,0.08223999
539.9707,0.08077128
541.8992,0.07867905
543.8276,0.07711025
545.7561,0.07623573
547.6846,0.07473309
549.613,0.07349965
551.5415,0.07262421
553.47,0.0715312
555.3984,0.07072665
557.3269,0.0702245
559.2554,0.06950004
561.1838,0.06824795
563.1123,0.06742052
565.0408,0.0667918
566.9692,0.06606723
568.8977,0.06558178
570.8262,0.06507585
572.7546,0.06509716
574.6831,0.06462416
576.6116,0.06439562
578.54,0.0645152
580.4685,0.0639817
582.397,0.063664
584.3254,0.06342116
586.2539,0.06260906
588.1824,0.06239634
590.1108,0.06241754
592.0393,0.06196216
593.9678,0.06156472
595.8962,0.06148057
597.8247,0.06118866
599.7532,0.06081222
601.6816,0.06078738
603.6101,0.06074156
605.5386,0.06044748
607.467,0.06034755
609.3955,0.06015234
611.324,0.05996614
613.2524,0.05969898
615.1809,0.05920693
617.1094,0.05918494
619.0378,0.05950745
620.9663,0.05936531
622.8948,0.05894846
624.8232,0.05859359
626.7517,0.05860605
628.6802,0.05870692
630.6086,0.05863057
632.5371,0.05851935
634.4656,0.05850958
636.394,0.05848736
638.3225,0.05855093
640.251,0.05866041
642.1794,0.05915681
644.1079,0.05926515
646.0364,0.05942657
647.9648,0.06004843
649.8933,0.06090744
651.8218,0.06183468
653.7502,0.06255429
655.6787,0.06314482
657.6072,0.06369864
659.5356,0.06435593
661.4641,0.06525934
663.3926,0.06611496
665.321,0.06705683
667.2495,0.06828873
669.178,0.06876305
671.1064,0.06907704
673.0349,0.0690533
674.9634,0.06873274
676.8918,0.06835635
678.8203,0.06722592
680.7488,0.06547435
682.6772,0.06344936
684.6057,0.06155269
686.5342,0.06013984
688.4626,0.05896483
690.3911,0.05778427
692.3196,0.05737844
694.248,0.05714395
696.1765,0.05706343
698.105,0.05674263
700.0334,0.05627411
701.9619,0.05621258
703.8904,0.05635832
705.8188,0.05660274
707.7473,0.05650013
709.6758,0.05645166
711.6042,0.05646956
713.5327,0.05652428
715.4612,0.05673222
717.3896,0.05709992
719.3181,0.05732203
721.2466,0.05717432
723.175,0.05739205
725.1035,0.05764832
727.032,0.05774688
728.9604,0.05819142
730.8889,0.05879057
732.8174,0.05943485
734.7458,0.05985678
736.6743,0.05965585
738.6028,0.05926226
740.5313,0.05887925
742.4597,0.0589472
744.3882,0.05925037
746.3167,0.05942429
748.2451,0.05950743
750.1736,0.05964164
752.1021,0.06012151
754.0305,0.06061759
755.959,0.06108157
757.8875,0.06140596
759.8159,0.06144185
761.7444,0.06182292
763.6729,0.06216803
765.6013,0.06249104
767.5298,0.06279562
769.4583,0.06304488
771.3867,0.06307463
773.3152,0.06314736
775.2437,0.06326407
777.1721,0.06293501
779.1006,0.06271528
781.0291,0.06267308
782.9575,0.06234467
784.886,0.0618442
786.8145,0.06146062
788.7429,0.06109695
790.6714,0.06081544
792.5999,0.06033073
794.5283,0.0601075
796.4568,0.05988353
798.3853,0.059338
800.3137,0.05891386
802.2422,0.05852661
804.1707,0.05827693
806.0991,0.05821043
808.0276,0.05781175
809.9561,0.05722912
811.8845,0.05679594
813.813,0.05655283
815.7415,0.05629415
817.6699,0.05612938
819.5984,0.05604296
821.5269,0.05601392
823.4553,0.05560391
825.3838,0.05520769
827.3123,0.05462838
829.2407,0.05435267
831.1692,0.05442815
833.0977,0.05439532
835.0261,0.05423642
836.9546,0.05445238
838.8831,0.05479343
840.8115,0.0550769
842.74,0.0549082
844.6685,0.05508423
846.5969,0.05545949
848.5254,0.05560796
850.4539,0.05615363
852.3823,0.05684277
854.3108,0.05744395
856.2393,0.05822492
858.1677,0.05906602
860.0962,0.05993079
862.0247,0.06070039
863.9531,0.06182737
865.8816,0.06304965
867.8101,0.0640051
869.7385,0.06532901
871.667,0.066791
873.5955,0.06820453
875.5239,0.06968879
877.4524,0.07097562
879.3809,0.07212098
881.3093,0.07265899
883.2378,0.07366536
885.1663,0.0751684
887.0947,0.07632717
889.0232,0.07732245
890.9517,0.07888354
892.8801,0.08041167
894.8085,0.08156388
896.737,0.08279048
898.6655,0.08439827
900.5939,0.08595011
902.5224,0.08716913
904.4509,0.08836654
906.3793,0.08971427
908.3078,0.09108315
910.2363,0.09254983
912.1647,0.09404191
914.0932,0.09541377
916.0217,0.09702332
917.9501,0.09863827
919.8786,0.09998045
921.8071,0.1012416
923.7355,0.1028266
925.664,0.1046748
927.5925,0.1063305
929.5209,0.1081464
931.4494,0.110143
933.3779,0.1122239
935.3063,0.1143718
937.2348,0.1168473
939.1633,0.1198834
941.0917,0.1231954
943.0202,0.126733
944.9487,0.1306069
946.8771,0.1345418
948.8056,0.1389909
950.7341,0.1441434
952.6625,0.1494552
954.591,0.1553569
956.5195,0.161883
958.4479,0.1688149
960.3764,0.1763466
962.3049,0.1843662
964.2333,0.1932112
966.1618,0.2026248
968.0903,0.2122961
970.0187,0.2222586
971.9472,0.2330888
973.8757,0.2445072
975.8041,0.2561318
977.7326,0.2682397
979.6611,0.2804469
981.5895,0.2923181
983.518,0.3040577
985.4465,0.3154495
987.3749,0.3264289
989.3034,0.3364631
991.2319,0.3454681
993.1603,0.3534263
995.0888,0.3606381
997.0173,0.3666951
998.9457,0.3710776
1000.874,0.3740616
1002.803,0.3760413
1004.731,0.3768962
1006.66,0.3767252
1008.588,0.3755281
1010.517,0.3726336
1012.445,0.3685325
1014.373,0.3640626
1016.302,0.3590298
1018.23,0.353075
1020.159,0.3461815
1022.087,0.3382781
1024.016,0.330097
1025.944,0.3218434
1027.873,0.3135216
1029.801,0.304751
1031.73,0.2956418
1033.658,0.2863507
1035.587,0.2766949
1037.515,0.2669022
1039.444,0.2570967
1041.372,0.2475004
1043.301,0.2376439
1045.229,0.2275557
1047.157,0.2175075
1049.086,0.2077007
1051.014,0.1982531
1052.943,0.1892786
1054.871,0.1810134
1056.8,0.1735834
1058.728,0.1666549
1060.657,0.1600968
1062.585,0.1541836
1064.514,0.1491148
1066.442,0.1444344
1068.371,0.1399794
1070.299,0.1359059
1072.228,0.1321675
1074.156,0.1285251
1076.084,0.1255865
1078.013,0.1230366
1079.941,0.1202817
1081.87,0.1174448
1083.798,0.1147982
1085.727,0.1122935
1087.655,0.1098601
1089.584,0.1077833
1091.512,0.1056962
1093.441,0.1033851
1095.369,0.1010745
1097.298,0.09900359
1099.226,0.09726223
1101.155,0.09555994
1103.083,0.09393177
1105.011,0.09235683
1106.94,0.09075795
1108.868,0.089201
1110.797,0.08756431
1112.725,0.08581141
1114.654,0.0843333
1116.582,0.0828746
1118.511,0.08148628
1120.439,0.0800019
1122.368,0.07863032
1124.296,0.07758503
1126.225,0.07633726
1128.153,0.07473388
1130.082,0.07308115
1132.01,0.07158644
1133.938,0.07021966
1135.867,0.06874011
1137.795,0.0675434
1139.724,0.06632414
1141.652,0.06514984
1143.581,0.06417713
1145.509,0.06312885
1147.438,0.06193472
1149.366,0.06082733
1151.295,0.0596946
1153.223,0.05857768
1155.152,0.0577056
1157.08,0.05664611
1159.009,0.05540225
1160.937,0.05447745
1162.865,0.05356901
1164.794,0.05247298
1166.722,0.05137453
1168.651,0.05010852
1170.579,0.048836
1172.508,0.04794888
1174.436,0.0468934
1176.365,0.04573966
1178.293,0.04478193
1180.222,0.04353323
1182.15,0.04217845
1184.079,0.0407938
1186.007,0.03941406
1187.936,0.03820907
1189.864,0.03706357
1191.792,0.03590452
1193.721,0.03462497
1195.649,0.03361589
1197.578,0.03249937
1199.506,0.03104458
1201.435,0.02963813
1203.363,0.0282378
1205.292,0.02684211
1207.22,0.02545891
1209.149,0.02417996
1211.077,0.02310359
1213.006,0.02187023
1214.934,0.02067731
1216.863,0.01970798
1218.791,0.0186738
1220.719,0.0176097
1222.648,0.01680942
1224.576,0.01621258
1226.505,0.01572433
1228.433,0.01503802
1230.362,0.01448098
1232.29,0.01393914
1234.219,0.01356155
1236.147,0.01316937
1238.076,0.0127609
1240.004,0.01255534
1241.933,0.01241349
1243.861,0.01208323
1245.79,0.01194256
1247.718,0.01174743
1249.646,0.01158185
1251.575,0.01148275
1253.503,0.01122587
1255.432,0.01104769
1257.36,0.01099495
1259.289,0.01076507
1261.217,0.01055169
1263.146,0.01044193
1265.074,0.01039531
1267.003,0.01037689
1268.931,0.01044591
1270.86,0.01046703
1272.788,0.01055848
1274.717,0.01075887
1276.645,0.01112343
1278.573,0.01123752
1280.502,0.01149569
1282.43,0.01193305
1284.359,0.01224473
1286.287,0.01249907
1288.216,0.01279596
1290.144,0.01299027
1292.073,0.01340488
1294.001,0.01366147
1295.93,0.01352105
1297.858,0.01319422
1299.787,0.0129498
1301.715,0.01246671
1303.644,0.01183826
1305.572,0.01159398
1307.5,0.01151321
1309.429,0.01134776
1311.357,0.01109976
1313.286,0.01088108
1315.214,0.01082188
1317.143,0.01053049
1319.071,0.01015537
1321.0,0.009946003
1322.928,0.009916311
1324.857,0.009815263
1326.785,0.009663678
1328.714,0.009458722
1330.642,0.009441886
1332.571,0.009418081
1334.499,0.009475593
1336.427,0.009556536
1338.356,0.009584731
1340.284,0.00960872
1342.213,0.009753408
1344.141,0.009881878
1346.07,0.009778076
1347.998,0.009721629
1349.927,0.009893348
1351.855,0.009728314
1353.784,0.009567929
