x,y
399.1926,0.0
401.1211,0.2746247
403.0496,0.2758982
404.978,0.2709622
406.9065,0.270865
408.835,0.2752043
410.7634,0.2739293
412.6919,0.2635234
414.6204,0.2530643
416.5488,0.2420984
418.4773,0.23549
420.4058,0.2234736
422.3342,0.2168204
424.2627,0.216444
426.1912,0.2174062
428.1196,0.2149946
430.0481,0.2131176
431.9766,0.2158842
433.905,0.2174586
435.8335,0.2168807
437.762,0.2196733
439.6904,0.2238175
441.6189,0.2256912
443.5474,0.2253463
445.4758,0.2305935
447.4043,0.2369001
449.3328,0.239724
451.2612,0.2405987
453.1897,0.2411163
455.1182,0.23879
457.0466,0.2357652
458.9751,0.2321662
460.9036,0.228987
462.832,0.2250071
464.7605,0.2221347
466.689,0.219743
468.6174,0.218868
470.5459,0.2196805
472.4744,0.2202705
474.4028,0.2203081
476.3313,0.2181017
478.2598,0.214215
480.1882,0.2098893
482.1167,0.2042967
484.0452,0.1995192
485.9736,0.1963083
487.9021,0.194241
489.8306,0.1925791
491.759,0.1918398
493.6875,0.1937456
495.616,0.1961079
497.5444,0.1973446
499.4729,0.1996871
501.4014,0.2037528
503.3298,0.2077792
505.2583,0.2119173
507.1868,0.2167626
509.1152,0.2215573
511.0437,0.225258
512.9722,0.2276588
514.9006,0.2290414
516.8291,0.229043
518.7576,0.2279969
520.686,0.2253499
522.6145,0.2232247
524.543,0.22213
526.4714,0.2195016
528.3999,0.2165418
530.3284,0.2146571
532.2568,0.2131479
534.1853,0.2118693
536.1138,0.2093796
538.0422,0.2070489
539.9707,0.2053492
541.8992,0.2037082
543.8276,0.2019892
545.7561,0.1995457
547.6846,0.1971511
549.613,0.1956345
551.5415,0.194157
553.47,0.1922573
555.3984,0.1893899
557.3269,0.1849431
559.2554,0.180623
561.1838,0.1766483
563.1123,0.1729503
565.0408,0.1689695
566.9692,0.1649954
568.8977,0.1619731
570.8262,0.1603495
572.7546,0.1581353
574.6831,0.1549002
576.6116,0.1510174
578.54,0.1472104
580.4685,0.1428038
582.397,0.1375372
584.3254,0.1319319
586.2539,0.1266219
588.1824,0.1212758
590.1108,0.1164274
592.0393,0.112865
593.9678,0.1109849
595.8962,0.1108983
597.8247,0.1112585
599.7532,0.1106258
601.6816,0.1087287
603.6101,0.104795
605.5386,0.09959019
607.467,0.09400028
609.3955,0.08937223
611.324,0.08645909
613.2524,0.08508153
615.1809,0.08487444
617.1094,0.08646239
619.0378,0.08980718
620.9663,0.09460421
622.8948,0.1003264
624.8232,0.1072803
626.7517,0.1152648
628.6802,0.1229311
630.6086,0.1301799
632.5371,0.1372509
634.4656,0.1435322
636.394,0.1485309
638.3225,0.1533501
640.251,0.1581425
642.1794,0.1617448
644.1079,0.1641732
646.0364,0.1646913
647.9648,0.1624983
649.8933,0.1579481
651.8218,0.1524918
653.7502,0.1468959
655.6787,0.1413234
657.6072,0.1366147
659.5356,0.1333334
661.4641,0.1310498
663.3926,0.1298066
665.321,0.1292145
667.2495,0.1284805
669.178,0.1268607
671.1064,0.1239522
673.0349,0.1195218
674.9634,0.1141718
676.8918,0.1086961
678.8203,0.104243
680.7488,0.1005984
682.6772,0.0969009
684.6057,0.09314271
686.5342,0.08955908
688.4626,0.08530498
690.3911,0.08128164
692.3196,0.0778414
694.248,0.07475751
696.1765,0.07167082
698.105,0.06851766
700.0334,0.06542231
701.9619,0.06222261
