x,y
399.1926,0.0
401.1211,0.08673269
403.0496,0.08717094
404.978,0.08894839
406.9065,0.09234615
408.835,0.09286968
410.7634,0.09304501
412.6919,0.09569176
414.6204,0.09777492
416.5488,0.09921873
418.4773,0.09915818
420.4058,0.09790929
422.3342,0.09668903
424.2627,0.09681737
426.1912,0.0965173
428.1196,0.09450585
430.0481,0.09334744
431.9766,0.09337536
433.905,0.09243622
435.8335,0.09076474
437.762,0.08874873
439.6904,0.08758522
441.6189,0.08671911
443.5474,0.08661062
445.4758,0.0851863
447.4043,0.08288809
449.3328,0.08203049
451.2612,0.08174829
453.1897,0.08147953
455.1182,0.08147966
457.0466,0.08204953
458.9751,0.08165255
460.9036,0.08089686
462.832,0.07952205
464.7605,0.07841754
466.689,0.07784005
468.6174,0.07704853
470.5459,0.07597849
472.4744,0.07549424
474.4028,0.07512437
476.3313,0.07506672
478.2598,0.07510507
480.1882,0.07547214
482.1167,0.07673427
484.0452,0.07812998
485.9736,0.07939184
487.9021,0.0812353
489.8306,0.08387034
491.759,0.08526175
493.6875,0.08547407
495.616,0.08471852
497.5444,0.08261798
499.4729,0.08019714
501.4014,0.07921624
503.3298,0.08000113
505.2583,0.08157562
507.1868,0.08425836
509.1152,0.08853266
511.0437,0.09290189
512.9722,0.09694257
514.9006,0.09731968
516.8291,0.09308667
518.7576,0.08630449
520.686,0.0791577
522.6145,0.07395072
524.543,0.07130653
526.4714,0.07081655
528.3999,0.07172964
530.3284,0.07347903
532.2568,0.07509616
534.1853,0.07666419
536.1138,0.07887913
538.0422,0.08100367
539.9707,0.08270876
541.8992,0.0838684
543.8276,0.08391232
545.7561,0.08509193
547.6846,0.08840671
549.613,0.08974104
551.5415,0.08594958
553.47,0.08032826
555.3984,0.07758082
557.3269,0.07720456
559.2554,0.0780005
561.1838,0.07946223
563.1123,0.08180223
565.0408,0.08504824
566.9692,0.08874097
568.8977,0.09359951
570.8262,0.09936867
572.7546,0.1058001
574.6831,0.1135433
576.6116,0.1216529
578.54,0.1277954
580.4685,0.1293025
582.397,0.1228527
584.3254,0.1101519
586.2539,0.09638842
588.1824,0.08558369
590.1108,0.07866346
592.0393,0.07467815
593.9678,0.07296598
595.8962,0.07296161
597.8247,0.07399475
599.7532,0.07645632
601.6816,0.08032428
603.6101,0.08398772
605.5386,0.08542432
607.467,0.08505749
609.3955,0.08451817
611.324,0.08478959
613.2524,0.08543723
615.1809,0.0872027
617.1094,0.09003437
619.0378,0.09237541
620.9663,0.09442685
622.8948,0.09623921
624.8232,0.09732653
626.7517,0.09759545
628.6802,0.09729598
630.6086,0.09687073
632.5371,0.09603786
634.4656,0.09538003
636.394,0.09490876
638.3225,0.09425507
640.251,0.0935109
642.1794,0.09279084
644.1079,0.09225862
646.0364,0.09206915
647.9648,0.0918849
649.8933,0.09187497
651.8218,0.09225727
653.7502,0.09298344
655.6787,0.09411278
657.6072,0.09551488
659.5356,0.09705542
661.4641,0.0991719
663.3926,0.1015731
665.321,0.1042411
667.2495,0.1073652
669.178,0.1106142
671.1064,0.1136114
673.0349,0.1152296
674.9634,0.1129277
676.8918,0.1075521
678.8203,0.1037492
680.7488,0.1038623
682.6772,0.1071686
684.6057,0.1125588
686.5342,0.1179629
688.4626,0.122219
690.3911,0.1249205
692.3196,0.1256367
694.248,0.1250581
696.1765,0.1243322
698.105,0.1237886
700.0334,0.1237048
701.9619,0.1244597
703.8904,0.1260409
705.8188,0.1283241
707.7473,0.1308965
709.6758,0.1338379
711.6042,0.1368579
713.5327,0.1401801
715.4612,0.1435463
717.3896,0.1472894
719.3181,0.1519259
721.2466,0.157063
723.175,0.1623123
725.1035,0.1675636
727.032,0.1725901
728.9604,0.1753544
730.8889,0.1737169
732.8174,0.1671448
734.7458,0.1568386
736.6743,0.1451014
738.6028,0.1354092
740.5313,0.1300225
742.4597,0.1294653
744.3882,0.1319163
746.3167,0.1362281
748.2451,0.1419654
750.1736,0.1486802
752.1021,0.1560159
754.0305,0.1624859
755.959,0.1671115
757.8875,0.1688929
759.8159,0.166382
761.7444,0.1586473
763.6729,0.1463967
765.6013,0.1314637
767.5298,0.116845
769.4583,0.1055074
771.3867,0.09881847
773.3152,0.09715256
775.2437,0.09883188
777.1721,0.102666
779.1006,0.1084309
781.0291,0.1158832
782.9575,0.1237227
784.886,0.1313219
786.8145,0.13744
788.7429,0.1417076
790.6714,0.1444952
792.5999,0.1463388
794.5283,0.1480332
796.4568,0.1502267
798.3853,0.1536233
800.3137,0.1588503
802.2422,0.1649042
804.1707,0.17144
806.0991,0.1774207
808.0276,0.1824684
809.9561,0.1861638
811.8845,0.1874595
813.813,0.1860207
815.7415,0.1829948
817.6699,0.1792218
819.5984,0.1757275
821.5269,0.1737869
823.4553,0.1736038
825.3838,0.1746833
827.3123,0.176727
829.2407,0.1797619
831.1692,0.1840708
833.0977,0.1889726
835.0261,0.1941397
836.9546,0.1991726
838.8831,0.2037867
840.8115,0.2081642
842.74,0.2127819
844.6685,0.2169801
846.5969,0.2206815
848.5254,0.2242378
850.4539,0.227242
852.3823,0.2297212
854.3108,0.2318316
856.2393,0.2330936
858.1677,0.2340694
860.0962,0.2351234
862.0247,0.2359006
863.9531,0.236499
865.8816,0.2372251
867.8101,0.238415
869.7385,0.2397146
871.667,0.2411094
873.5955,0.2430232
875.5239,0.2452618
877.4524,0.2475344
879.3809,0.2493412
881.3093,0.2506164
883.2378,0.2515326
885.1663,0.2519846
887.0947,0.2513886
889.0232,0.2500443
890.9517,0.2482703
892.8801,0.2462831
894.8085,0.2440489
896.737,0.2421127
898.6655,0.2404723
900.5939,0.2393914
902.5224,0.2392266
904.4509,0.2392649
906.3793,0.2392972
908.3078,0.2394986
910.2363,0.2399605
912.1647,0.240438
914.0932,0.2404744
916.0217,0.2404101
917.9501,0.2399858
919.8786,0.2394895
921.8071,0.2391595
923.7355,0.2384557
925.664,0.2370445
927.5925,0.2348898
929.5209,0.232226
931.4494,0.2291047
933.3779,0.2254521
935.3063,0.2212915
937.2348,0.2172974
939.1633,0.2132717
941.0917,0.2091792
943.0202,0.2051173
944.9487,0.2006477
946.8771,0.1960927
948.8056,0.1915992
950.7341,0.1868247
952.6625,0.1816442
954.591,0.1758984
956.5195,0.1695902
958.4479,0.1631056
960.3764,0.1560877
962.3049,0.1485472
964.2333,0.140998
966.1618,0.1334377
968.0903,0.1259125
970.0187,0.1190444
971.9472,0.1125669
973.8757,0.1066239
975.8041,0.1014256
977.7326,0.09719271
979.6611,0.09368399
981.5895,0.09075654
983.518,0.08848754
985.4465,0.08707747
987.3749,0.08621891
989.3034,0.08590621
991.2319,0.08617038
993.1603,0.0870548
995.0888,0.0881786
997.0173,0.08995552
998.9457,0.09200796
1000.874,0.0938122
1002.803,0.09593095
1004.731,0.09870289
1006.66,0.1014575
1008.588,0.1040844
1010.517,0.1068519
1012.445,0.1094062
1014.373,0.1115842
1016.302,0.1132062
1018.23,0.1146015
1020.159,0.1157785
1022.087,0.1166608
1024.016,0.1175054
1025.944,0.1181696
1027.873,0.1187708
1029.801,0.1194944
1031.73,0.1202547
1033.658,0.1212035
1035.587,0.1224936
1037.515,0.1237092
1039.444,0.1244264
1041.372,0.1246136
1043.301,0.124076
1045.229,0.1222078
1047.157,0.1188972
1049.086,0.1146315
1051.014,0.1098669
1052.943,0.1046907
1054.871,0.09993503
1056.8,0.09602549
1058.728,0.09303586
1060.657,0.09081484
1062.585,0.08932315
1064.514,0.08826208
1066.442,0.08763915
1068.371,0.08715436
1070.299,0.08639196
1072.228,0.08507246
1074.156,0.08347251
1076.084,0.08154672
1078.013,0.07929965
1079.941,0.0767228
1081.87,0.07388701
1083.798,0.07121484
1085.727,0.06902048
1087.655,0.06715637
1089.584,0.0657699
1091.512,0.06497026
1093.441,0.06475681
1095.369,0.06512545
1097.298,0.06611882
1099.226,0.06757548
1101.155,0.06907661
1103.083,0.07033654
1105.011,0.07152808
1106.94,0.07292328
1108.868,0.07443231
1110.797,0.07596531
1112.725,0.0771626
1114.654,0.07810967
