x,y
399.1926,0.0
401.1211,0.1608939
403.0496,0.1616435
404.978,0.1504801
406.9065,0.1454333
408.835,0.1454951
410.7634,0.1510666
412.6919,0.1571106
414.6204,0.1552374
416.5488,0.1559827
418.4773,0.1580499
420.4058,0.1566043
422.3342,0.1507976
424.2627,0.144605
426.1912,0.1373751
428.1196,0.1278434
430.0481,0.1255184
431.9766,0.1311393
433.905,0.1384128
435.8335,0.1434904
437.762,0.1464291
439.6904,0.1475481
441.6189,0.1460863
443.5474,0.1415126
445.4758,0.1343854
447.4043,0.1282304
449.3328,0.1229684
451.2612,0.1162984
453.1897,0.1113932
455.1182,0.1065496
457.0466,0.103475
458.9751,0.1015398
460.9036,0.1004746
462.832,0.09997601
464.7605,0.1000727
466.689,0.1008167
468.6174,0.102489
470.5459,0.1042793
472.4744,0.1064161
474.4028,0.1108567
476.3313,0.1153431
478.2598,0.1163169
480.1882,0.1156971
482.1167,0.1140236
484.0452,0.1109733
485.9736,0.1049709
487.9021,0.0957999
489.8306,0.08572318
491.759,0.07636639
493.6875,0.06893192
495.616,0.06237286
497.5444,0.05572369
499.4729,0.04944019
501.4014,0.0439995
503.3298,0.03913438
505.2583,0.0345789
507.1868,0.03055483
509.1152,0.0276714
511.0437,0.0256899
512.9722,0.02411262
514.9006,0.02317933
516.8291,0.02275239
518.7576,0.02253433
520.686,0.0226256
522.6145,0.02249463
524.543,0.02238856
526.4714,0.0225309
528.3999,0.02262369
530.3284,0.02273661
532.2568,0.0228862
534.1853,0.02270125
536.1138,0.02273477
538.0422,0.02317259
539.9707,0.0242574
541.8992,0.02543148
543.8276,0.02642513
545.7561,0.02786366
547.6846,0.02990258
549.613,0.03248927
551.5415,0.03529767
553.47,0.03911439
555.3984,0.04454921
557.3269,0.05102282
559.2554,0.05918906
561.1838,0.06776956
563.1123,0.07469281
565.0408,0.07804491
566.9692,0.07809584
568.8977,0.0766733
570.8262,0.0763542
572.7546,0.07843931
574.6831,0.08275325
576.6116,0.08790027
578.54,0.09146163
580.4685,0.09099519
582.397,0.08631144
584.3254,0.07853317
586.2539,0.06878261
588.1824,0.06028062
590.1108,0.05496046
592.0393,0.05241882
593.9678,0.05114771
595.8962,0.05020449
597.8247,0.04948135
599.7532,0.04952789
601.6816,0.05078854
603.6101,0.05289757
605.5386,0.05530121
607.467,0.0576758
609.3955,0.05984744
611.324,0.06236852
613.2524,0.06487247
615.1809,0.0660558
617.1094,0.06562385
619.0378,0.06391069
620.9663,0.0606957
622.8948,0.05625663
624.8232,0.05163225
626.7517,0.04721651
628.6802,0.04317234
630.6086,0.0396645
632.5371,0.03729586
634.4656,0.03601658
636.394,0.03479832
638.3225,0.0339913
640.251,0.03393316
642.1794,0.03408113
644.1079,0.03487786
646.0364,0.0359363
647.9648,0.03661792
649.8933,0.03728704
651.8218,0.03851182
653.7502,0.03975109
655.6787,0.0408235
657.6072,0.04156784
659.5356,0.04226459
661.4641,0.04354454
663.3926,0.0455437
665.321,0.04840861
667.2495,0.05186019
669.178,0.05578827
671.1064,0.05964402
673.0349,0.06210305
674.9634,0.06247881
676.8918,0.06015322
678.8203,0.05596358
680.7488,0.05161174
682.6772,0.04835282
684.6057,0.04637101
686.5342,0.04529803
688.4626,0.04477033
690.3911,0.04477159
692.3196,0.04510165
694.248,0.0457789
696.1765,0.04704754
698.105,0.04884659
700.0334,0.05088402
701.9619,0.05270582
703.8904,0.05361777
705.8188,0.05299266
707.7473,0.05199857
709.6758,0.05155876
711.6042,0.05180712
713.5327,0.05253853
715.4612,0.05403136
717.3896,0.05618902
719.3181,0.05859952
721.2466,0.06113084
723.175,0.06427027
725.1035,0.06782492
727.032,0.07193142
728.9604,0.07658529
730.8889,0.08151073
732.8174,0.08685307
734.7458,0.09236694
736.6743,0.0983016
738.6028,0.1048446
740.5313,0.1113755
742.4597,0.1172035
744.3882,0.1222171
746.3167,0.1251171
748.2451,0.1254862
750.1736,0.1252453
752.1021,0.1266052
754.0305,0.1311162
755.959,0.138687
757.8875,0.1469712
759.8159,0.1547546
761.7444,0.1614153
763.6729,0.1651628
765.6013,0.1655509
767.5298,0.162271
769.4583,0.1556945
771.3867,0.1468032
773.3152,0.1368662
775.2437,0.1267903
777.1721,0.1166374
779.1006,0.1065312
781.0291,0.09641884
782.9575,0.08683138
784.886,0.07806018
786.8145,0.07030877
788.7429,0.0631355
790.6714,0.05683611
792.5999,0.0516372
794.5283,0.04774081
796.4568,0.04501478
798.3853,0.04297423
800.3137,0.04148195
802.2422,0.04040268
804.1707,0.03967103
806.0991,0.03946657
808.0276,0.03950227
809.9561,0.03961474
811.8845,0.03991612
813.813,0.04046196
815.7415,0.04140259
817.6699,0.04233684
819.5984,0.04350703
821.5269,0.04494572
823.4553,0.04628927
825.3838,0.04746283
827.3123,0.04828116
829.2407,0.04890884
831.1692,0.04982246
833.0977,0.05101438
835.0261,0.05232649
836.9546,0.05378154
838.8831,0.05543668
840.8115,0.05729591
842.74,0.05932279
844.6685,0.06147071
846.5969,0.06397995
848.5254,0.06642841
850.4539,0.06892202
852.3823,0.07191934
854.3108,0.07473943
856.2393,0.07768825
858.1677,0.08102371
860.0962,0.08460609
862.0247,0.08827998
863.9531,0.09218922
865.8816,0.09612972
867.8101,0.1003131
869.7385,0.1049371
871.667,0.1098154
873.5955,0.1148596
875.5239,0.1197306
877.4524,0.1247776
879.3809,0.1301488
881.3093,0.1355947
883.2378,0.1414218
885.1663,0.1477704
887.0947,0.1541188
889.0232,0.1606556
890.9517,0.1677479
892.8801,0.1749067
894.8085,0.1816738
896.737,0.1879939
898.6655,0.1938877
900.5939,0.1986835
902.5224,0.2017817
904.4509,0.2023996
906.3793,0.2005353
908.3078,0.1962683
910.2363,0.1894647
912.1647,0.1819638
914.0932,0.1752659
916.0217,0.169027
917.9501,0.1630417
919.8786,0.1572263
921.8071,0.1527434
923.7355,0.1527342
925.664,0.1597523
927.5925,0.1722962
929.5209,0.1868673
931.4494,0.2003671
933.3779,0.2115742
935.3063,0.22007
937.2348,0.2263851
939.1633,0.2304972
941.0917,0.2333987
943.0202,0.2358239
944.9487,0.2380266
946.8771,0.2397071
948.8056,0.2402904
950.7341,0.2397924
952.6625,0.2387127
954.591,0.2364592
956.5195,0.2329955
958.4479,0.2284207
960.3764,0.222378
962.3049,0.2150978
964.2333,0.2071905
966.1618,0.1987569
968.0903,0.190309
970.0187,0.1819458
971.9472,0.1739809
973.8757,0.1662185
975.8041,0.1585251
977.7326,0.1511359
979.6611,0.1440656
981.5895,0.1368124
983.518,0.1293636
985.4465,0.1221059
987.3749,0.1150425
989.3034,0.1079006
991.2319,0.1015438
993.1603,0.09570051
995.0888,0.09019423
997.0173,0.08569661
998.9457,0.08193657
1000.874,0.07887197
1002.803,0.07625727
1004.731,0.07429866
1006.66,0.07324196
1008.588,0.07273296
1010.517,0.072276
1012.445,0.07158571
1014.373,0.07077908
1016.302,0.06999252
1018.23,0.0697926
1020.159,0.07060037
1022.087,0.07257456
1024.016,0.07484744
1025.944,0.07521874
1027.873,0.07181264
1029.801,0.06569221
1031.73,0.05923232
1033.658,0.05393089
1035.587,0.04972731
1037.515,0.04653905
1039.444,0.04415892
1041.372,0.04215577
1043.301,0.04074166
1045.229,0.03955412
1047.157,0.03861919
1049.086,0.0376186
1051.014,0.03665265
1052.943,0.0359151
1054.871,0.03517928
1056.8,0.03463966
1058.728,0.03425663
1060.657,0.03389249
1062.585,0.03355885
1064.514,0.03339736
1066.442,0.03329301
1068.371,0.03333382
1070.299,0.0334001
1072.228,0.03351545
1074.156,0.03377995
1076.084,0.03414956
1078.013,0.03453232
1079.941,0.03533218
1081.87,0.03610666
1083.798,0.03697857
1085.727,0.03798955
1087.655,0.03886076
1089.584,0.03969257
1091.512,0.04051933
1093.441,0.04134108
1095.369,0.04199511
1097.298,0.04250451
1099.226,0.04320507
1101.155,0.04441994
1103.083,0.04570243
1105.011,0.04711079
1106.94,0.04877305
1108.868,0.05109901
1110.797,0.05392798
1112.725,0.05682208
1114.654,0.06000849
1116.582,0.06378259
1118.511,0.06784898
1120.439,0.07223319
1122.368,0.07717337
1124.296,0.08227749
1126.225,0.08719207
1128.153,0.09127592
1130.082,0.0943182
1132.01,0.09689317
1133.938,0.09971472
1135.867,0.1030709
1137.795,0.1065469
1139.724,0.1092295
1141.652,0.1105074
1143.581,0.1097159
1145.509,0.1075058
1147.438,0.1056282
1149.366,0.1053478
1151.295,0.1071824
1153.223,0.1102188
1155.152,0.1133857
1157.08,0.1168133
1159.009,0.1211472
1160.937,0.1257018
1162.865,0.1291717
1164.794,0.1309521
1166.722,0.1321553
1168.651,0.1343973
1170.579,0.1374377
1172.508,0.1393821
1174.436,0.1388096
1176.365,0.1357526
1178.293,0.1308851
1180.222,0.1248845
1182.15,0.1182198
1184.079,0.1115442
1186.007,0.1049164
1187.936,0.0986769
1189.864,0.09265937
1191.792,0.08686063
1193.721,0.08138784
1195.649,0.07596471
1197.578,0.0709553
1199.506,0.0661218
1201.435,0.06105506
1203.363,0.05614197
1205.292,0.05155781
1207.22,0.0473172
1209.149,0.04312162
1211.077,0.0390227
1213.006,0.03531683
1214.934,0.03188543
1216.863,0.02871114
1218.791,0.02563394
1220.719,0.02258614
1222.648,0.01963762
1224.576,0.01694989
1226.505,0.0145056
1228.433,0.0126522
1230.362,0.01112007
1232.29,0.009936625
1234.219,0.00900382
1236.147,0.008127319
1238.076,0.007435823
1240.004,0.006844663
1241.933,0.006497892
1243.861,0.006177928
1245.79,0.00576829
1247.718,0.005456117
1249.646,0.005139198
1251.575,0.004784849
1253.503,0.004506559
1255.432,0.004375141
1257.36,0.004219019
1259.289,0.004052872
1261.217,0.003897183
1263.146,0.003823719
1265.074,0.00376752
1267.003,0.003579554
1268.931,0.003395645
1270.86,0.003254168
1272.788,0.003157012
