x,y
399.1926,0.0
401.1211,0.2241087
403.0496,0.2251634
404.978,0.234536
406.9065,0.2359542
408.835,0.2294995
410.7634,0.2311785
412.6919,0.2343609
414.6204,0.2324265
416.5488,0.2298107
418.4773,0.2293743
420.4058,0.2272049
422.3342,0.2298049
424.2627,0.2341329
426.1912,0.2359872
428.1196,0.2332289
430.0481,0.2332512
431.9766,0.2337922
433.905,0.2314535
435.8335,0.2303916
437.762,0.2327528
439.6904,0.2328829
441.6189,0.232737
443.5474,0.2355617
445.4758,0.2379688
447.4043,0.2366446
449.3328,0.2330862
451.2612,0.2310577
453.1897,0.2279436
455.1182,0.2215299
457.0466,0.2142608
458.9751,0.208413
460.9036,0.2011473
462.832,0.1915865
464.7605,0.1819298
466.689,0.1718351
468.6174,0.1610677
470.5459,0.1509339
472.4744,0.139436
474.4028,0.1271323
476.3313,0.1149473
478.2598,0.1030092
480.1882,0.09542605
482.1167,0.09458252
484.0452,0.09843266
485.9736,0.1033469
487.9021,0.1082894
489.8306,0.1121637
491.759,0.115364
493.6875,0.1168581
495.616,0.1162363
497.5444,0.1147784
499.4729,0.1129975
501.4014,0.1097281
503.3298,0.1070452
505.2583,0.1060346
507.1868,0.1060409
509.1152,0.107638
511.0437,0.1114328
512.9722,0.1173308
514.9006,0.1244891
516.8291,0.1320378
518.7576,0.1410023
520.686,0.1510385
522.6145,0.1608976
524.543,0.1707533
526.4714,0.1803607
528.3999,0.1892519
530.3284,0.1981569
532.2568,0.2064476
534.1853,0.2136844
536.1138,0.2199776
538.0422,0.2258753
539.9707,0.230364
541.8992,0.2338299
543.8276,0.2380007
545.7561,0.2417837
547.6846,0.2448218
549.613,0.247044
551.5415,0.2479811
553.47,0.2496526
555.3984,0.2506457
557.3269,0.2502341
559.2554,0.2498768
561.1838,0.2488515
563.1123,0.2476174
565.0408,0.2457342
566.9692,0.2441199
568.8977,0.2434377
570.8262,0.2433799
572.7546,0.2428169
574.6831,0.2427462
576.6116,0.2435334
578.54,0.2442931
580.4685,0.245197
582.397,0.2461473
584.3254,0.2483066
586.2539,0.2507115
588.1824,0.2522362
590.1108,0.2532767
592.0393,0.2547605
593.9678,0.2547458
595.8962,0.2540035
597.8247,0.2531519
599.7532,0.2524575
601.6816,0.2518419
603.6101,0.2509233
605.5386,0.2488535
607.467,0.2462626
609.3955,0.2434241
611.324,0.2400225
613.2524,0.2367899
615.1809,0.2330232
617.1094,0.2284885
619.0378,0.2245473
620.9663,0.2206621
622.8948,0.2162705
624.8232,0.2126604
626.7517,0.2111031
628.6802,0.2128288
630.6086,0.2182532
632.5371,0.2245961
634.4656,0.2279285
636.394,0.2291191
638.3225,0.228619
640.251,0.2266183
642.1794,0.2242269
644.1079,0.2211554
646.0364,0.2180554
647.9648,0.2153985
649.8933,0.2124092
651.8218,0.2089325
653.7502,0.2057486
655.6787,0.2032782
657.6072,0.2010024
659.5356,0.1981708
661.4641,0.1951865
663.3926,0.1927013
665.321,0.1904014
667.2495,0.1876227
669.178,0.1850382
671.1064,0.1827509
673.0349,0.1806962
674.9634,0.1786865
676.8918,0.176417
678.8203,0.1743625
680.7488,0.1726126
682.6772,0.1708689
684.6057,0.1688685
686.5342,0.1666364
688.4626,0.1648315
690.3911,0.163098
692.3196,0.16149
694.248,0.1600497
696.1765,0.1586573
698.105,0.157013
700.0334,0.1552144
701.9619,0.153578
703.8904,0.1522013
705.8188,0.150462
707.7473,0.1487038
709.6758,0.147302
711.6042,0.1459369
713.5327,0.1443664
715.4612,0.1425259
717.3896,0.1408707
719.3181,0.1396615
721.2466,0.138201
723.175,0.1365587
725.1035,0.1350643
727.032,0.1336416
728.9604,0.1319916
730.8889,0.130334
732.8174,0.1289207
734.7458,0.1274606
736.6743,0.1258959
738.6028,0.12413
740.5313,0.1226644
742.4597,0.1214091
744.3882,0.1201329
746.3167,0.1185796
748.2451,0.1169302
750.1736,0.1156626
752.1021,0.1147316
754.0305,0.1131912
755.959,0.1115378
757.8875,0.1099403
759.8159,0.108703
761.7444,0.107627
763.6729,0.106406
765.6013,0.1048608
767.5298,0.1034923
769.4583,0.1023481
771.3867,0.1010774
773.3152,0.09960556
775.2437,0.09807307
777.1721,0.0967434
779.1006,0.09558364
781.0291,0.09413269
782.9575,0.09257659
784.886,0.09113875
786.8145,0.08982122
788.7429,0.0886541
790.6714,0.08747295
792.5999,0.08625535
794.5283,0.08493202
796.4568,0.08363754
798.3853,0.08236076
800.3137,0.08117273
802.2422,0.08018529
804.1707,0.07891287
806.0991,0.07718498
808.0276,0.07563791
809.9561,0.07434081
811.8845,0.07294262
813.813,0.07157339
815.7415,0.07021616
817.6699,0.06872019
819.5984,0.06732891
821.5269,0.06599388
823.4553,0.06484298
825.3838,0.06347408
827.3123,0.06185748
829.2407,0.06042274
831.1692,0.05906185
833.0977,0.05762115
835.0261,0.05614174
836.9546,0.05476765
838.8831,0.05332622
840.8115,0.05176524
842.74,0.05053378
844.6685,0.04932393
846.5969,0.04785807
848.5254,0.04636779
850.4539,0.0448666
852.3823,0.04338335
854.3108,0.04197833
856.2393,0.04059821
858.1677,0.03920338
860.0962,0.03769976
862.0247,0.0360506
863.9531,0.03456033
865.8816,0.0330658
867.8101,0.03172838
869.7385,0.0304062
871.667,0.0291419
873.5955,0.02802398
875.5239,0.02662862
877.4524,0.02551649
879.3809,0.02449083
881.3093,0.02331661
883.2378,0.02236924
885.1663,0.02168021
887.0947,0.02109809
889.0232,0.02045025
890.9517,0.01982321
892.8801,0.01929074
894.8085,0.01891495
896.737,0.01847509
898.6655,0.01795506
900.5939,0.01744147
902.5224,0.01687173
904.4509,0.01631926
906.3793,0.01574238
908.3078,0.01521333
910.2363,0.01455287
912.1647,0.01416503
914.0932,0.01381036
916.0217,0.01336343
917.9501,0.01318535
919.8786,0.01280286
921.8071,0.01222576
923.7355,0.01198368
925.664,0.01190886
927.5925,0.01173842
929.5209,0.01152908
931.4494,0.01137235
933.3779,0.01114389
935.3063,0.0107628
937.2348,0.0106881
939.1633,0.01054267
941.0917,0.01028543
943.0202,0.01014133
944.9487,0.00994787
946.8771,0.009661351
948.8056,0.009552668
950.7341,0.009415852
952.6625,0.009152579
954.591,0.008996143
956.5195,0.008977827
958.4479,0.008883084
960.3764,0.008622726
962.3049,0.008346864
964.2333,0.00834512
966.1618,0.008501158
968.0903,0.008472014
970.0187,0.008342331
971.9472,0.00831527
973.8757,0.008360342
975.8041,0.008437921
977.7326,0.008424762
979.6611,0.008444367
981.5895,0.008599629
983.518,0.008530883
985.4465,0.008419826
987.3749,0.008425266
989.3034,0.008547315
991.2319,0.008697817
993.1603,0.008743189
995.0888,0.008640071
997.0173,0.008700977
998.9457,0.008909239
1000.874,0.009046631
1002.803,0.008997107
1004.731,0.009047655
1006.66,0.009251582
1008.588,0.009166173
1010.517,0.009027858
1012.445,0.009036465
1014.373,0.009010904
1016.302,0.008823726
1018.23,0.008677082
1020.159,0.008637406
1022.087,0.008640895
1024.016,0.008541393
1025.944,0.00851164
1027.873,0.008260772
1029.801,0.008155645
1031.73,0.008214376
1033.658,0.008102363
1035.587,0.008036123
1037.515,0.008070168
1039.444,0.008030023
1041.372,0.007938584
1043.301,0.007765114
1045.229,0.007771865
1047.157,0.007703838
1049.086,0.007394936
1051.014,0.007178566
1052.943,0.007143582
1054.871,0.007200168
1056.8,0.007378345
1058.728,0.007200351
1060.657,0.00700397
1062.585,0.007078772
1064.514,0.007166886
1066.442,0.007033441
1068.371,0.006655793
1070.299,0.006461645
1072.228,0.006522939
1074.156,0.006532586
1076.084,0.006547936
1078.013,0.006525268
1079.941,0.00630536
1081.87,0.006157954
1083.798,0.006203214
1085.727,0.006255487
1087.655,0.006202956
1089.584,0.006184222
1091.512,0.006054929
1093.441,0.00588494
1095.369,0.005945341
1097.298,0.00613584
