x,y
399.1926,0.0
401.1211,0.1426413
403.0496,0.1432269
404.978,0.1468636
406.9065,0.149326
408.835,0.152474
410.7634,0.1559186
412.6919,0.1570327
414.6204,0.1597984
416.5488,0.1658693
418.4773,0.172594
420.4058,0.1767898
422.3342,0.1803989
424.2627,0.1832473
426.1912,0.175182
428.1196,0.1683531
430.0481,0.1687694
431.9766,0.1726434
433.905,0.1775634
435.8335,0.180911
437.762,0.1819723
439.6904,0.1854016
441.6189,0.1868588
443.5474,0.1869173
445.4758,0.1875082
447.4043,0.1891299
449.3328,0.1904922
451.2612,0.1904454
453.1897,0.1910117
455.1182,0.1924723
457.0466,0.1949312
458.9751,0.1975041
460.9036,0.1989997
462.832,0.200376
464.7605,0.2011603
466.689,0.202533
468.6174,0.202435
470.5459,0.203379
472.4744,0.2062266
474.4028,0.2078175
476.3313,0.2089311
478.2598,0.2101281
480.1882,0.2111651
482.1167,0.2127216
484.0452,0.2144955
485.9736,0.2159275
487.9021,0.2169016
489.8306,0.2177452
491.759,0.2188902
493.6875,0.220934
495.616,0.2226995
497.5444,0.2233239
499.4729,0.2251969
501.4014,0.2272523
503.3298,0.2282969
505.2583,0.2292023
507.1868,0.2302186
509.1152,0.2326068
511.0437,0.2339243
512.9722,0.2348758
514.9006,0.2358184
516.8291,0.2368686
518.7576,0.2381698
520.686,0.2399969
522.6145,0.2413993
524.543,0.2418503
526.4714,0.2419125
528.3999,0.2434094
530.3284,0.2452712
532.2568,0.246516
534.1853,0.2471094
536.1138,0.2482744
538.0422,0.2495886
539.9707,0.251655
541.8992,0.2536698
543.8276,0.2546326
545.7561,0.2560288
547.6846,0.2582381
549.613,0.2605098
551.5415,0.2625307
553.47,0.2635144
555.3984,0.2639005
557.3269,0.2654837
559.2554,0.2660679
561.1838,0.266366
563.1123,0.2681538
565.0408,0.2697475
566.9692,0.2714401
568.8977,0.273159
570.8262,0.2741622
572.7546,0.2749561
574.6831,0.2769231
576.6116,0.2790662
578.54,0.2806601
580.4685,0.2820565
582.397,0.2837207
584.3254,0.2850946
586.2539,0.2865767
588.1824,0.2885035
590.1108,0.289949
592.0393,0.2912069
593.9678,0.2933438
595.8962,0.2950488
597.8247,0.2963701
599.7532,0.2983977
601.6816,0.3002433
603.6101,0.3023498
605.5386,0.3042816
607.467,0.3060629
