x,y
399.1926,0.0
401.1211,0.132045
403.0496,0.132724
404.978,0.1339713
406.9065,0.1378993
408.835,0.1331125
410.7634,0.124945
412.6919,0.1228178
414.6204,0.1210945
416.5488,0.1198197
418.4773,0.121875
420.4058,0.1231034
422.3342,0.1242993
424.2627,0.1258531
426.1912,0.1305982
428.1196,0.1360242
430.0481,0.1428436
431.9766,0.1490023
433.905,0.1532837
435.8335,0.1587504
437.762,0.1652036
439.6904,0.1719773
441.6189,0.1792605
443.5474,0.186763
445.4758,0.1927115
447.4043,0.1980719
449.3328,0.2011843
451.2612,0.2017635
453.1897,0.2004915
455.1182,0.1976395
457.0466,0.1916511
458.9751,0.181316
460.9036,0.1691721
462.832,0.1567517
464.7605,0.1437332
466.689,0.1307529
468.6174,0.1197783
470.5459,0.1106661
472.4744,0.1033339
474.4028,0.09701902
476.3313,0.09325451
478.2598,0.09254259
480.1882,0.09200991
482.1167,0.09157646
484.0452,0.09237541
485.9736,0.09494761
487.9021,0.09836704
489.8306,0.1009658
491.759,0.1037554
493.6875,0.108412
495.616,0.113175
497.5444,0.116644
499.4729,0.1208725
501.4014,0.1253484
503.3298,0.1292594
505.2583,0.1341482
507.1868,0.1387875
509.1152,0.1419035
511.0437,0.1436037
512.9722,0.1438405
514.9006,0.1434845
516.8291,0.1448756
518.7576,0.1469853
520.686,0.1486377
522.6145,0.151381
524.543,0.1563104
526.4714,0.1609139
528.3999,0.164618
530.3284,0.1679795
532.2568,0.1712806
534.1853,0.1743266
536.1138,0.1759481
538.0422,0.1784635
539.9707,0.1815634
541.8992,0.1842008
543.8276,0.1873673
545.7561,0.1905501
547.6846,0.1929136
549.613,0.1962424
551.5415,0.1996169
553.47,0.2008203
555.3984,0.2026171
557.3269,0.2051639
559.2554,0.2074028
561.1838,0.209784
563.1123,0.2125743
565.0408,0.2150769
566.9692,0.2174251
568.8977,0.2194422
570.8262,0.2217155
572.7546,0.2249637
574.6831,0.2272843
576.6116,0.2292915
578.54,0.2321361
580.4685,0.2349399
582.397,0.2375038
584.3254,0.2391367
586.2539,0.2406787
588.1824,0.2432719
590.1108,0.2456629
592.0393,0.2476199
593.9678,0.2501411
595.8962,0.2530182
597.8247,0.2556073
599.7532,0.2576265
601.6816,0.2598546
603.6101,0.262357
605.5386,0.2650572
607.467,0.2679701
609.3955,0.2702518
611.324,0.2727581
613.2524,0.2750387
615.1809,0.27708
617.1094,0.2792489
619.0378,0.2819822
620.9663,0.2843767
622.8948,0.2861609
624.8232,0.2880851
626.7517,0.2908806
628.6802,0.2938217
630.6086,0.2959735
632.5371,0.2983479
634.4656,0.3009184
636.394,0.3031077
638.3225,0.3053516
