x,y
399.1926,0.0
401.1211,0.2154308
403.0496,0.2164496
404.978,0.2207074
406.9065,0.2216316
408.835,0.220047
410.7634,0.2211245
412.6919,0.2261414
414.6204,0.2289121
416.5488,0.2302514
418.4773,0.233232
420.4058,0.2337179
422.3342,0.2328111
424.2627,0.2320265
426.1912,0.2283379
428.1196,0.2234504
430.0481,0.2205781
431.9766,0.2177912
433.905,0.2176885
435.8335,0.219433
437.762,0.2209436
439.6904,0.2234307
441.6189,0.2260727
443.5474,0.230972
445.4758,0.2341603
447.4043,0.2345921
449.3328,0.2363253
451.2612,0.2369954
453.1897,0.2369838
455.1182,0.2384114
457.0466,0.2386494
458.9751,0.2379664
460.9036,0.239677
462.832,0.2400902
464.7605,0.2402461
466.689,0.2416661
468.6174,0.242847
470.5459,0.244476
472.4744,0.2463458
474.4028,0.2474086
476.3313,0.2495409
478.2598,0.2522582
480.1882,0.2538181
482.1167,0.2540555
484.0452,0.254306
485.9736,0.2557868
487.9021,0.2561775
489.8306,0.2541251
491.759,0.2515981
493.6875,0.2495905
495.616,0.2469607
497.5444,0.243373
499.4729,0.2400589
501.4014,0.2371453
503.3298,0.2331113
505.2583,0.2293277
507.1868,0.2260259
509.1152,0.2219082
511.0437,0.2171204
512.9722,0.2118922
514.9006,0.2061242
516.8291,0.2004666
518.7576,0.194594
520.686,0.1891103
522.6145,0.1835462
524.543,0.1788887
526.4714,0.1748452
528.3999,0.1706857
530.3284,0.165996
532.2568,0.1614057
534.1853,0.1578901
536.1138,0.1539441
538.0422,0.1512208
539.9707,0.1483059
541.8992,0.1453171
543.8276,0.1423282
545.7561,0.140082
547.6846,0.1381399
549.613,0.1363106
551.5415,0.1355002
553.47,0.1351878
555.3984,0.1341266
557.3269,0.1335972
559.2554,0.1352016
561.1838,0.1364483
563.1123,0.1366211
565.0408,0.1370758
566.9692,0.1373178
568.8977,0.1371275
570.8262,0.1374821
572.7546,0.1379137
574.6831,0.1378144
576.6116,0.1370137
578.54,0.1356967
580.4685,0.1340761
582.397,0.1322406
584.3254,0.1295905
586.2539,0.1265211
588.1824,0.1239474
590.1108,0.1212497
592.0393,0.1184355
593.9678,0.1154431
595.8962,0.1129112
597.8247,0.1106439
599.7532,0.1088614
601.6816,0.10811
603.6101,0.1081035
605.5386,0.1081619
607.467,0.1079817
609.3955,0.1072858
611.324,0.1056595
613.2524,0.1029858
615.1809,0.1000911
617.1094,0.09674377
619.0378,0.09345508
620.9663,0.08985546
622.8948,0.08627112
624.8232,0.08311461
626.7517,0.08044626
628.6802,0.07801867
630.6086,0.0759192
632.5371,0.07421955
634.4656,0.07235204
636.394,0.06998843
638.3225,0.06767418
640.251,0.06565612
642.1794,0.06446026
644.1079,0.06502881
646.0364,0.06690358
647.9648,0.06903531
649.8933,0.07127835
651.8218,0.07305437
653.7502,0.07439591
655.6787,0.07489769
657.6072,0.07416944
659.5356,0.07324889
661.4641,0.07259695
663.3926,0.07164908
665.321,0.07061272
667.2495,0.07032504
669.178,0.07037313
671.1064,0.07076761
673.0349,0.07154969
674.9634,0.07274743
676.8918,0.07422008
678.8203,0.0754916
680.7488,0.07680924
682.6772,0.07773575
684.6057,0.07830883
686.5342,0.07872417
688.4626,0.0791029
690.3911,0.08004341
692.3196,0.08148226
694.248,0.08351058
696.1765,0.08626606
698.105,0.08953521
700.0334,0.09297204
701.9619,0.0962204
703.8904,0.09925773
705.8188,0.1016885
707.7473,0.1033061
709.6758,0.1042314
711.6042,0.1041338
713.5327,0.1034066
715.4612,0.1019178
717.3896,0.09947764
719.3181,0.09597749
721.2466,0.09112523
723.175,0.08547357
725.1035,0.07962255
727.032,0.07425891
728.9604,0.06983622
730.8889,0.0664986
732.8174,0.06433825
734.7458,0.06285846
736.6743,0.06260557
738.6028,0.06330681
740.5313,0.06349578
742.4597,0.06354021
744.3882,0.06388978
746.3167,0.06468008
748.2451,0.06620634
750.1736,0.06819248
752.1021,0.07097041
754.0305,0.07449725
755.959,0.07784445
757.8875,0.08023391
759.8159,0.08097899
761.7444,0.07999164
763.6729,0.07771996
765.6013,0.07529277
767.5298,0.07354389
769.4583,0.07328027
771.3867,0.07466473
773.3152,0.07692702
775.2437,0.07874448
777.1721,0.07956952
779.1006,0.07977819
781.0291,0.07937896
782.9575,0.07832725
784.886,0.07631478
786.8145,0.07353833
788.7429,0.0698446
790.6714,0.0652303
792.5999,0.06000469
794.5283,0.05396545
796.4568,0.04767653
798.3853,0.04215099
800.3137,0.03783551
802.2422,0.03470761
804.1707,0.03286172
806.0991,0.03230238
808.0276,0.03241028
809.9561,0.03278707
811.8845,0.03329407
813.813,0.03403446
815.7415,0.03440833
817.6699,0.0346386
819.5984,0.0347998
821.5269,0.03474332
823.4553,0.03452043
825.3838,0.03435232
827.3123,0.03377454
829.2407,0.03320542
831.1692,0.03291912
833.0977,0.03226094
835.0261,0.03193013
836.9546,0.03171754
838.8831,0.0315504
840.8115,0.03126565
842.74,0.03100835
844.6685,0.03087183
846.5969,0.03110127
848.5254,0.03146483
850.4539,0.03194411
852.3823,0.03254121
854.3108,0.03312871
856.2393,0.03371553
858.1677,0.03434793
860.0962,0.03505933
862.0247,0.03541553
863.9531,0.03556244
865.8816,0.03591578
867.8101,0.03642434
869.7385,0.0369818
871.667,0.03747608
873.5955,0.03754467
875.5239,0.0379287
877.4524,0.03872953
879.3809,0.03979878
881.3093,0.0410183
883.2378,0.04265071
885.1663,0.04472813
887.0947,0.04693107
889.0232,0.04932811
890.9517,0.05208412
892.8801,0.05500268
894.8085,0.05801833
896.737,0.06136308
898.6655,0.06513017
900.5939,0.06892277
902.5224,0.0725036
904.4509,0.07607149
906.3793,0.07986025
908.3078,0.08366744
910.2363,0.08752616
912.1647,0.09138633
914.0932,0.09522601
916.0217,0.09933737
917.9501,0.1035402
919.8786,0.1076818
921.8071,0.1118275
923.7355,0.1164755
925.664,0.1217437
927.5925,0.1273392
929.5209,0.1331424
931.4494,0.1391275
933.3779,0.1454903
935.3063,0.1522166
937.2348,0.1590016
939.1633,0.1658887
941.0917,0.1730107
943.0202,0.1799431
944.9487,0.1866408
946.8771,0.193239
948.8056,0.1996115
950.7341,0.2057807
