x,y
399.1926,0.0
401.1211,0.1934341
403.0496,0.1943783
404.978,0.1997868
406.9065,0.2006614
408.835,0.1936153
410.7634,0.1880269
412.6919,0.1887892
414.6204,0.1914255
416.5488,0.1939672
418.4773,0.1935377
420.4058,0.194911
422.3342,0.1999498
424.2627,0.2070574
426.1912,0.2144357
428.1196,0.2202106
430.0481,0.2211922
431.9766,0.22173
433.905,0.2265184
435.8335,0.2304697
437.762,0.2341601
439.6904,0.2383505
441.6189,0.2385711
443.5474,0.2354398
445.4758,0.2324559
447.4043,0.2276547
449.3328,0.2214492
451.2612,0.2175854
453.1897,0.2139129
455.1182,0.211495
457.0466,0.2103671
458.9751,0.207985
460.9036,0.2047755
462.832,0.2035705
464.7605,0.2032203
466.689,0.2033646
468.6174,0.2026864
470.5459,0.2007767
472.4744,0.1995372
474.4028,0.2018943
476.3313,0.2067713
478.2598,0.2115077
480.1882,0.2120587
482.1167,0.2125241
484.0452,0.2135946
485.9736,0.214081
487.9021,0.2164597
489.8306,0.2200253
491.759,0.2232812
493.6875,0.2252527
495.616,0.2258531
497.5444,0.225149
499.4729,0.223198
501.4014,0.2187966
503.3298,0.2134804
505.2583,0.208595
507.1868,0.2027726
509.1152,0.1966813
511.0437,0.1903727
512.9722,0.1845259
514.9006,0.1787173
516.8291,0.1733554
518.7576,0.1680959
520.686,0.1616095
522.6145,0.1537898
524.543,0.1467071
526.4714,0.1431759
528.3999,0.1429915
530.3284,0.1460043
532.2568,0.1510935
534.1853,0.1537526
536.1138,0.1534349
538.0422,0.1516119
539.9707,0.1492086
541.8992,0.1461863
543.8276,0.1414693
545.7561,0.1364446
547.6846,0.1316595
549.613,0.1263666
551.5415,0.1206421
553.47,0.115231
555.3984,0.1102522
557.3269,0.1054452
559.2554,0.1014333
561.1838,0.09810106
563.1123,0.09458445
565.0408,0.09027209
566.9692,0.08510621
568.8977,0.07972477
570.8262,0.07477468
572.7546,0.07076403
574.6831,0.06719245
576.6116,0.06372908
578.54,0.06068381
580.4685,0.05764105
582.397,0.05504372
584.3254,0.05225119
586.2539,0.04948419
588.1824,0.04762607
590.1108,0.04530573
592.0393,0.04262969
593.9678,0.04078491
595.8962,0.03901378
597.8247,0.03725984
599.7532,0.03576916
601.6816,0.03424398
603.6101,0.0329896
605.5386,0.03211509
607.467,0.03118089
609.3955,0.03091206
611.324,0.03092057
613.2524,0.03083155
615.1809,0.03100498
617.1094,0.03156167
619.0378,0.03274471
620.9663,0.03443962
622.8948,0.03607726
624.8232,0.03805538
626.7517,0.04063055
628.6802,0.04354411
630.6086,0.0466959
632.5371,0.05020747
634.4656,0.0541915
636.394,0.05908307
638.3225,0.06413783
640.251,0.06898781
642.1794,0.07221824
644.1079,0.07335901
646.0364,0.07282384
647.9648,0.0714711
649.8933,0.06962697
651.8218,0.06691633
653.7502,0.06380145
655.6787,0.06064747
657.6072,0.05699158
659.5356,0.05321409
661.4641,0.05053791
663.3926,0.04889279
665.321,0.04828372
667.2495,0.04857581
669.178,0.04887226
671.1064,0.04936597
673.0349,0.05038721
674.9634,0.05185786
676.8918,0.05369023
678.8203,0.0555194
680.7488,0.05779938
682.6772,0.06120327
684.6057,0.06512859
686.5342,0.06831673
688.4626,0.06997396
690.3911,0.06882112
692.3196,0.06500348
694.248,0.05960605
696.1765,0.05399251
698.105,0.04976887
700.0334,0.04720159
701.9619,0.0461198
703.8904,0.04615917
705.8188,0.04705346
707.7473,0.04842967
709.6758,0.05015248
711.6042,0.05142178
713.5327,0.05208834
715.4612,0.0528052
717.3896,0.05419217
719.3181,0.05650563
721.2466,0.0593637
723.175,0.06181993
725.1035,0.06257606
727.032,0.06052877
728.9604,0.05636139
730.8889,0.05200739
732.8174,0.04865996
734.7458,0.04678765
736.6743,0.04611734
738.6028,0.04653592
740.5313,0.04786434
742.4597,0.04917426
744.3882,0.04976553
746.3167,0.04920325
748.2451,0.04820243
750.1736,0.04761537
752.1021,0.04797843
754.0305,0.04924672
755.959,0.05080368
757.8875,0.05151211
759.8159,0.05123769
761.7444,0.0499447
763.6729,0.04858273
765.6013,0.04765148
767.5298,0.04713472
769.4583,0.04704601
771.3867,0.04732745
773.3152,0.04852438
775.2437,0.05072537
777.1721,0.05355329
779.1006,0.05620357
781.0291,0.05801057
782.9575,0.05871593
784.886,0.05892793
786.8145,0.05913074
788.7429,0.05961163
790.6714,0.06018677
792.5999,0.06087246
794.5283,0.06166684
796.4568,0.06239546
798.3853,0.06349269
800.3137,0.0654259
802.2422,0.06778277
804.1707,0.07045591
806.0991,0.07322579
808.0276,0.07628004
809.9561,0.07958734
811.8845,0.08296064
813.813,0.08681063
815.7415,0.09094794
817.6699,0.09535247
819.5984,0.1000351
821.5269,0.1048553
823.4553,0.1102554
825.3838,0.115974
827.3123,0.1218116
829.2407,0.1277962
831.1692,0.1338814
833.0977,0.14011
835.0261,0.1467233
836.9546,0.1538865
838.8831,0.1611742
840.8115,0.1687371
842.74,0.1761493
844.6685,0.1831791
846.5969,0.189787
848.5254,0.1953879
850.4539,0.2003739
852.3823,0.204647
854.3108,0.2079453
856.2393,0.2109229
858.1677,0.2135395
860.0962,0.2158633
862.0247,0.2179288
863.9531,0.2196856
865.8816,0.2211446
867.8101,0.2225106
869.7385,0.223542
871.667,0.2241754
873.5955,0.2240904
875.5239,0.2235619
877.4524,0.2231552
879.3809,0.222427
881.3093,0.22182
883.2378,0.2215251
885.1663,0.2213379
887.0947,0.221109
889.0232,0.2213225
890.9517,0.2215479
892.8801,0.221924
894.8085,0.2220878
896.737,0.2217049
898.6655,0.2207557
900.5939,0.2198466
902.5224,0.219249
904.4509,0.2195052
906.3793,0.2218629
908.3078,0.2264366
910.2363,0.2322953
912.1647,0.2390065
914.0932,0.2459836
916.0217,0.2520975
917.9501,0.2566744
919.8786,0.2596667
921.8071,0.2610399
923.7355,0.2609298
925.664,0.2601772
927.5925,0.2594216
929.5209,0.2588697
931.4494,0.2589442
933.3779,0.2596959
935.3063,0.2610371
937.2348,0.2623957
939.1633,0.2636955
941.0917,0.2644885
943.0202,0.2649377
944.9487,0.265187
946.8771,0.2643965
948.8056,0.2627894
950.7341,0.2605505
952.6625,0.2576448
954.591,0.2546963
956.5195,0.2517981
958.4479,0.2487198
960.3764,0.2458821
962.3049,0.2431725
964.2333,0.2404814
966.1618,0.2386946
968.0903,0.2372999
970.0187,0.2354837
971.9472,0.2330454
973.8757,0.2292856
975.8041,0.2243266
977.7326,0.2189637
979.6611,0.2136424
981.5895,0.2086989
983.518,0.2040709
985.4465,0.2000757
987.3749,0.1968036
989.3034,0.1944777
991.2319,0.1935858
993.1603,0.1942822
995.0888,0.1958114
997.0173,0.1972451
998.9457,0.1983878
1000.874,0.1984883
1002.803,0.1975996
1004.731,0.195761
1006.66,0.1934082
1008.588,0.1905388
1010.517,0.1872591
1012.445,0.1844219
1014.373,0.1816181
1016.302,0.1788161
1018.23,0.1765718
1020.159,0.1749857
1022.087,0.1737189
1024.016,0.17251
1025.944,0.1714069
1027.873,0.1699413
1029.801,0.167581
1031.73,0.1649006
1033.658,0.1625668
1035.587,0.1608465
1037.515,0.1601387
1039.444,0.160145
1041.372,0.1603278
1043.301,0.1606064
1045.229,0.1611867
1047.157,0.1617076
1049.086,0.1622992
1051.014,0.1628227
1052.943,0.1626125
1054.871,0.162158
1056.8,0.1614137
1058.728,0.1601963
1060.657,0.1581504
1062.585,0.15535
1064.514,0.1519334
