x,y
399.1926,0.0
401.1211,0.1883977
403.0496,0.1893681
404.978,0.1953099
406.9065,0.1981981
408.835,0.1960524
410.7634,0.1920175
412.6919,0.1918526
414.6204,0.1949698
416.5488,0.1969269
418.4773,0.2007067
420.4058,0.2022516
422.3342,0.2000834
424.2627,0.1966656
426.1912,0.1972811
428.1196,0.2026028
430.0481,0.2053895
431.9766,0.2076983
433.905,0.2118686
435.8335,0.2144433
437.762,0.2161907
439.6904,0.2192872
441.6189,0.2221614
443.5474,0.22459
445.4758,0.2261307
447.4043,0.2277344
449.3328,0.2268811
451.2612,0.2246565
453.1897,0.2210776
455.1182,0.2172903
457.0466,0.215769
458.9751,0.2138239
460.9036,0.2105659
462.832,0.2067989
464.7605,0.2019699
466.689,0.198539
468.6174,0.1948948
470.5459,0.1891993
472.4744,0.1814697
474.4028,0.1737432
476.3313,0.1666187
478.2598,0.1590649
480.1882,0.1504466
482.1167,0.1425297
484.0452,0.1359778
485.9736,0.1306514
487.9021,0.1259496
489.8306,0.1207428
491.759,0.1164505
493.6875,0.1126519
495.616,0.1090719
497.5444,0.1069991
499.4729,0.1053652
501.4014,0.1034873
503.3298,0.1021269
505.2583,0.1024995
507.1868,0.1029747
509.1152,0.1032478
511.0437,0.1043733
512.9722,0.1053922
514.9006,0.1067389
516.8291,0.1068811
518.7576,0.106749
520.686,0.1073967
522.6145,0.1070272
524.543,0.1067072
526.4714,0.1050747
528.3999,0.1036824
530.3284,0.1022768
532.2568,0.1000672
534.1853,0.09907075
536.1138,0.09790096
538.0422,0.096747
539.9707,0.09634238
541.8992,0.09686051
543.8276,0.09756581
545.7561,0.0976481
547.6846,0.09773639
549.613,0.09790447
551.5415,0.09834488
553.47,0.09901879
555.3984,0.0995701
557.3269,0.1004194
559.2554,0.1021335
561.1838,0.1034811
563.1123,0.1038228
565.0408,0.1043507
566.9692,0.1053851
568.8977,0.1061457
570.8262,0.1064829
572.7546,0.1069525
574.6831,0.1074024
576.6116,0.1073641
578.54,0.1071717
580.4685,0.1068775
582.397,0.106792
584.3254,0.1064607
586.2539,0.1055453
588.1824,0.1053466
590.1108,0.105116
592.0393,0.1043558
593.9678,0.103412
595.8962,0.1020686
597.8247,0.100136
599.7532,0.09736877
601.6816,0.0941863
603.6101,0.09088428
605.5386,0.08768172
607.467,0.08450432
609.3955,0.08172301
611.324,0.07926097
613.2524,0.0765251
615.1809,0.07429519
617.1094,0.07275977
619.0378,0.07133605
620.9663,0.07016645
622.8948,0.06896625
624.8232,0.06773018
626.7517,0.06695013
628.6802,0.06621943
630.6086,0.06539847
632.5371,0.06490163
634.4656,0.06476364
636.394,0.06454375
638.3225,0.06432944
640.251,0.06407664
642.1794,0.06424853
644.1079,0.06447173
646.0364,0.06493585
647.9648,0.0657208
649.8933,0.06603165
651.8218,0.06629127
653.7502,0.06721418
655.6787,0.06801473
657.6072,0.0683589
659.5356,0.06888103
661.4641,0.06943463
663.3926,0.06958171
665.321,0.06941272
667.2495,0.06962554
669.178,0.06910875
671.1064,0.06780627
673.0349,0.06669834
674.9634,0.06568675
676.8918,0.06478471
678.8203,0.0639808
680.7488,0.06340693
682.6772,0.06281443
684.6057,0.06219458
686.5342,0.06207556
688.4626,0.0621123
690.3911,0.06208404
692.3196,0.06240332
694.248,0.06275135
696.1765,0.06284186
698.105,0.06314491
700.0334,0.06378089
701.9619,0.06413984
703.8904,0.06469814
705.8188,0.06562503
707.7473,0.0664352
709.6758,0.06706455
711.6042,0.06749392
713.5327,0.0679605
715.4612,0.06858348
717.3896,0.06904015
719.3181,0.06897355
721.2466,0.06889999
723.175,0.06871853
725.1035,0.06829769
727.032,0.06781699
728.9604,0.06728765
730.8889,0.06671818
732.8174,0.0662419
734.7458,0.06522939
736.6743,0.06410256
738.6028,0.06324926
740.5313,0.06214963
742.4597,0.06097822
744.3882,0.06008939
746.3167,0.0591952
748.2451,0.05824294
750.1736,0.05699028
752.1021,0.05619424
754.0305,0.05564931
755.959,0.05489478
757.8875,0.05435457
759.8159,0.05383141
761.7444,0.05339677
763.6729,0.05322276
765.6013,0.05335042
767.5298,0.05360296
769.4583,0.05365772
771.3867,0.05358634
773.3152,0.05379171
775.2437,0.05408897
777.1721,0.05438481
779.1006,0.05473286
781.0291,0.05497458
782.9575,0.0550893
784.886,0.05495743
786.8145,0.05479008
788.7429,0.05450607
790.6714,0.05385183
792.5999,0.05292689
794.5283,0.05171703
796.4568,0.0501655
798.3853,0.04834358
800.3137,0.04662342
802.2422,0.04489185
804.1707,0.04294869
806.0991,0.04098573
808.0276,0.03936753
809.9561,0.03802784
811.8845,0.0367165
813.813,0.03542493
815.7415,0.03416473
817.6699,0.03317717
819.5984,0.03239806
821.5269,0.03176487
823.4553,0.0309576
825.3838,0.03031712
827.3123,0.02965772
829.2407,0.02933569
831.1692,0.02914665
833.0977,0.02876482
835.0261,0.02897313
836.9546,0.0294554
838.8831,0.02981484
840.8115,0.0300388
842.74,0.03029391
844.6685,0.03055252
846.5969,0.03104627
848.5254,0.03151285
850.4539,0.03220728
852.3823,0.03312701
854.3108,0.03394718
856.2393,0.03480391
858.1677,0.03576007
860.0962,0.03673028
862.0247,0.03766388
863.9531,0.03856647
865.8816,0.03928502
867.8101,0.04000654
869.7385,0.04084129
871.667,0.04178711
873.5955,0.04282367
875.5239,0.04395927
877.4524,0.04498735
879.3809,0.04588037
881.3093,0.04675155
883.2378,0.04800167
885.1663,0.04935143
887.0947,0.05039563
889.0232,0.05132066
890.9517,0.05248649
892.8801,0.05382406
894.8085,0.05508691
896.737,0.05624167
898.6655,0.05773095
900.5939,0.05933249
902.5224,0.06079196
904.4509,0.06234966
906.3793,0.06402168
908.3078,0.06596491
910.2363,0.06817002
912.1647,0.07034259
914.0932,0.07279803
916.0217,0.0755952
917.9501,0.07833012
919.8786,0.08132137
921.8071,0.08467188
923.7355,0.08845319
925.664,0.09238816
927.5925,0.09657803
929.5209,0.1014777
931.4494,0.1065562
933.3779,0.1123591
935.3063,0.1189175
937.2348,0.1259463
939.1633,0.1340655
941.0917,0.1428697
943.0202,0.1520419
944.9487,0.1617433
946.8771,0.1717826
948.8056,0.1819246
950.7341,0.1927941
952.6625,0.2048198
954.591,0.2182988
956.5195,0.2324988
958.4479,0.2472174
960.3764,0.262017
