x,y
399.1926,0.0
401.1211,0.2292736
403.0496,0.2303335
404.978,0.2362374
406.9065,0.2373799
408.835,0.2393721
410.7634,0.2368832
412.6919,0.2383079
414.6204,0.2432841
416.5488,0.2383672
418.4773,0.2350355
420.4058,0.2382871
422.3342,0.2399435
424.2627,0.2365799
426.1912,0.2372065
428.1196,0.237687
430.0481,0.2363813
431.9766,0.2393213
433.905,0.247681
435.8335,0.2538196
437.762,0.2581166
439.6904,0.2612995
441.6189,0.2650167
443.5474,0.2703704
445.4758,0.2758008
447.4043,0.2816504
449.3328,0.2832959
451.2612,0.2843335
453.1897,0.2880051
455.1182,0.2916183
457.0466,0.2941883
458.9751,0.2932705
460.9036,0.2931709
462.832,0.2949311
464.7605,0.2958325
466.689,0.2943952
468.6174,0.2923032
470.5459,0.2917052
472.4744,0.2921809
474.4028,0.2925071
476.3313,0.2917643
478.2598,0.2930732
480.1882,0.2965401
482.1167,0.2995718
484.0452,0.3018714
485.9736,0.3027828
487.9021,0.3048565
489.8306,0.3081945
491.759,0.3089155
493.6875,0.3097398
495.616,0.3105639
497.5444,0.3111304
499.4729,0.3123324
501.4014,0.3119372
503.3298,0.3106501
505.2583,0.3101804
507.1868,0.3102213
509.1152,0.3095294
511.0437,0.3090319
512.9722,0.3071448
514.9006,0.3049843
516.8291,0.3029329
518.7576,0.2999645
520.686,0.2961459
522.6145,0.2933577
524.543,0.2914948
526.4714,0.2883863
528.3999,0.2854507
530.3284,0.2830882
532.2568,0.2810695
534.1853,0.2794395
536.1138,0.2778397
538.0422,0.276474
539.9707,0.2748018
541.8992,0.2734146
543.8276,0.2723639
545.7561,0.2714393
547.6846,0.2716214
549.613,0.2727576
551.5415,0.273966
553.47,0.2743857
555.3984,0.2753009
557.3269,0.2780157
559.2554,0.2811259
561.1838,0.2826644
563.1123,0.2853087
565.0408,0.2885904
566.9692,0.290327
568.8977,0.2924954
570.8262,0.2949354
572.7546,0.2971418
574.6831,0.2993167
576.6116,0.3018108
578.54,0.303091
580.4685,0.3032622
582.397,0.3040532
584.3254,0.3060122
586.2539,0.3083728
588.1824,0.3094597
590.1108,0.3095976
592.0393,0.3101822
593.9678,0.3110693
595.8962,0.3114509
597.8247,0.3118194
599.7532,0.3120654
601.6816,0.3121449
603.6101,0.3120932
605.5386,0.3118931
607.467,0.3124961
609.3955,0.3120288
611.324,0.3101356
613.2524,0.3089098
615.1809,0.3085564
617.1094,0.3078483
619.0378,0.3070316
620.9663,0.3057578
622.8948,0.3039545
624.8232,0.3031153
626.7517,0.3024234
628.6802,0.300395
630.6086,0.2982708
632.5371,0.2963611
634.4656,0.2944831
636.394,0.2928004
638.3225,0.2910603
640.251,0.2893558
642.1794,0.2871579
644.1079,0.2852027
646.0364,0.2832039
647.9648,0.2807837
649.8933,0.2781998
651.8218,0.2761202
653.7502,0.2742234
655.6787,0.2719334
657.6072,0.268942
659.5356,0.2665163
661.4641,0.2642524
663.3926,0.2615915
665.321,0.2593968
667.2495,0.2571752
669.178,0.2542195
671.1064,0.2511679
673.0349,0.2483025
674.9634,0.2451598
676.8918,0.2422269
678.8203,0.2395138
680.7488,0.236501
682.6772,0.2337757
684.6057,0.2312522
686.5342,0.2284479
688.4626,0.2257498
690.3911,0.2232469
692.3196,0.2205514
694.248,0.217285
696.1765,0.2147182
698.105,0.2123298
700.0334,0.2094455
701.9619,0.206484
703.8904,0.203573
705.8188,0.2006716
707.7473,0.1976729
709.6758,0.1943376
711.6042,0.1907838
713.5327,0.1874186
715.4612,0.1841895
717.3896,0.1808439
719.3181,0.1773527
721.2466,0.1736556
723.175,0.1698967
725.1035,0.1661569
727.032,0.162525
728.9604,0.1587964
730.8889,0.1552038
732.8174,0.1516563
734.7458,0.1483826
736.6743,0.1452086
738.6028,0.1421724
740.5313,0.1396199
742.4597,0.1377798
744.3882,0.13659
746.3167,0.1356265
748.2451,0.1351398
750.1736,0.1359413
752.1021,0.1372823
754.0305,0.1391344
755.959,0.1415262
757.8875,0.1440872
759.8159,0.14686
761.7444,0.1499492
763.6729,0.1533182
765.6013,0.1567927
767.5298,0.1601373
769.4583,0.1637329
771.3867,0.1668183
773.3152,0.1698377
775.2437,0.1731537
777.1721,0.1765798
779.1006,0.1795051
781.0291,0.1821768
782.9575,0.1850254
784.886,0.1875333
786.8145,0.1898739
788.7429,0.1924229
790.6714,0.1944993
792.5999,0.1961851
794.5283,0.1978586
796.4568,0.1992751
798.3853,0.2002389
800.3137,0.2015007
802.2422,0.2029497
804.1707,0.2035396
806.0991,0.2033766
808.0276,0.2030977
809.9561,0.2031641
811.8845,0.2031296
813.813,0.2025929
815.7415,0.2018937
817.6699,0.2007444
819.5984,0.1995494
821.5269,0.1982871
823.4553,0.1968125
825.3838,0.1949112
827.3123,0.1926056
829.2407,0.1903021
831.1692,0.1881879
833.0977,0.1857321
835.0261,0.1833143
836.9546,0.180717
838.8831,0.1779311
840.8115,0.174839
842.74,0.1719907
844.6685,0.1693263
846.5969,0.1664278
848.5254,0.1637009
850.4539,0.1611259
852.3823,0.1583371
854.3108,0.1557407
856.2393,0.152741
858.1677,0.1492004
860.0962,0.1454076
862.0247,0.1414023
863.9531,0.13725
865.8816,0.1325123
867.8101,0.1275277
869.7385,0.1221086
871.667,0.1164221
873.5955,0.1105213
875.5239,0.1042909
877.4524,0.09776895
879.3809,0.09099594
881.3093,0.08431365
883.2378,0.07727923
885.1663,0.07006665
887.0947,0.06291039
889.0232,0.05626103
890.9517,0.05016756
892.8801,0.04475021
894.8085,0.03993036
896.737,0.03569932
898.6655,0.03258887
900.5939,0.03018493
902.5224,0.02826825
904.4509,0.02682073
906.3793,0.02574212
908.3078,0.02472402
910.2363,0.02380497
912.1647,0.0230798
914.0932,0.0224193
916.0217,0.0220424
917.9501,0.02176771
919.8786,0.02161412
921.8071,0.02147793
923.7355,0.02136986
925.664,0.02123831
927.5925,0.0212886
929.5209,0.02129657
931.4494,0.02088026
933.3779,0.02052747
935.3063,0.02053088
