x,y
399.1926,0.0
401.1211,0.1233222
403.0496,0.1239186
404.978,0.1291085
406.9065,0.1329067
408.835,0.1309611
410.7634,0.1280972
412.6919,0.1284043
414.6204,0.1266107
416.5488,0.1256537
418.4773,0.1321033
420.4058,0.1385769
422.3342,0.141474
424.2627,0.1441491
426.1912,0.1459939
428.1196,0.145075
430.0481,0.1430567
431.9766,0.1406809
433.905,0.136232
435.8335,0.1304447
437.762,0.1236572
439.6904,0.1202712
441.6189,0.1222134
443.5474,0.1267823
445.4758,0.1316116
447.4043,0.135013
449.3328,0.1353
451.2612,0.133806
453.1897,0.1319271
455.1182,0.1295383
457.0466,0.1260649
458.9751,0.1222613
460.9036,0.1169523
462.832,0.1121627
464.7605,0.108548
466.689,0.1049391
468.6174,0.1021496
470.5459,0.09999749
472.4744,0.09861114
474.4028,0.09846694
476.3313,0.09874824
478.2598,0.09802353
480.1882,0.09553661
482.1167,0.09176446
484.0452,0.08764028
485.9736,0.08357908
487.9021,0.07853582
489.8306,0.07289409
491.759,0.06803651
493.6875,0.06506676
495.616,0.06480692
497.5444,0.06765928
499.4729,0.07332813
501.4014,0.07970017
503.3298,0.0858802
505.2583,0.09264472
507.1868,0.09916206
509.1152,0.1035372
511.0437,0.10633
512.9722,0.1082113
514.9006,0.1096209
516.8291,0.1102585
518.7576,0.1093159
520.686,0.1063596
522.6145,0.1014561
524.543,0.09645805
526.4714,0.09297279
528.3999,0.09301164
530.3284,0.09626789
532.2568,0.1013526
534.1853,0.1076888
536.1138,0.1133499
538.0422,0.1173254
539.9707,0.1198385
541.8992,0.1204424
543.8276,0.1193362
545.7561,0.1185338
547.6846,0.1187153
549.613,0.1185423
551.5415,0.1184863
553.47,0.1169391
555.3984,0.1146317
557.3269,0.1119682
559.2554,0.1092087
561.1838,0.1061362
563.1123,0.1043577
565.0408,0.1035125
566.9692,0.1029931
568.8977,0.1028232
570.8262,0.1029757
572.7546,0.1043565
574.6831,0.1067455
576.6116,0.1094753
578.54,0.1114029
580.4685,0.1115717
582.397,0.1100327
584.3254,0.1075931
586.2539,0.103622
588.1824,0.0991982
590.1108,0.09551759
592.0393,0.09240545
593.9678,0.09011932
595.8962,0.08902702
597.8247,0.08827488
599.7532,0.08693144
601.6816,0.08564656
603.6101,0.08380681
605.5386,0.08084588
607.467,0.07712825
609.3955,0.07247074
611.324,0.06665003
613.2524,0.06094445
615.1809,0.05612104
617.1094,0.05209189
619.0378,0.04892437
620.9663,0.04620283
622.8948,0.04417346
624.8232,0.04242534
626.7517,0.0411702
628.6802,0.04026491
630.6086,0.03967765
632.5371,0.03950712
634.4656,0.03927595
636.394,0.03886731
638.3225,0.03758592
640.251,0.03503403
642.1794,0.03220656
644.1079,0.02947487
646.0364,0.02731751
647.9648,0.02618923
649.8933,0.02597683
651.8218,0.02679747
653.7502,0.0287904
655.6787,0.03198061
657.6072,0.03613294
659.5356,0.04079788
661.4641,0.04461553
663.3926,0.04653389
665.321,0.04583184
667.2495,0.0428015
669.178,0.03829389
671.1064,0.03408003
673.0349,0.03046989
674.9634,0.02854371
676.8918,0.02822257
678.8203,0.02801164
680.7488,0.0272713
682.6772,0.0262506
684.6057,0.02481366
686.5342,0.02332429
688.4626,0.02225133
690.3911,0.02139389
692.3196,0.02113134
694.248,0.02098399
696.1765,0.02069755
698.105,0.02078167
700.0334,0.02112088
701.9619,0.02154924
703.8904,0.02201069
705.8188,0.02250662
707.7473,0.0228784
709.6758,0.02339468
711.6042,0.02397195
713.5327,0.02476063
715.4612,0.02546542
717.3896,0.02644663
719.3181,0.0274644
721.2466,0.0282918
723.175,0.02917858
725.1035,0.03010945
727.032,0.03111629
728.9604,0.03237648
730.8889,0.03373435
732.8174,0.03529204
734.7458,0.03676054
736.6743,0.03822619
738.6028,0.03991346
740.5313,0.04168761
742.4597,0.04354836
744.3882,0.04549288
746.3167,0.04782099
748.2451,0.05004055
750.1736,0.05210195
752.1021,0.0547086
754.0305,0.05769762
755.959,0.06087773
757.8875,0.06407649
759.8159,0.0670132
761.7444,0.06995023
763.6729,0.07291457
765.6013,0.07596812
767.5298,0.0789481
769.4583,0.08210425
771.3867,0.08541738
773.3152,0.08865311
775.2437,0.09102562
777.1721,0.09192135
779.1006,0.091502
781.0291,0.0898535
782.9575,0.08736033
784.886,0.08461528
786.8145,0.08269291
788.7429,0.08179619
790.6714,0.08213246
792.5999,0.08340489
794.5283,0.08550064
796.4568,0.08825063
798.3853,0.09112751
800.3137,0.09407528
802.2422,0.09742147
804.1707,0.1010694
806.0991,0.1048146
808.0276,0.1085059
809.9561,0.1124092
811.8845,0.1161957
813.813,0.1197135
815.7415,0.1232212
817.6699,0.1267337
819.5984,0.1302986
821.5269,0.13342
823.4553,0.1358021
825.3838,0.1374065
827.3123,0.1381671
829.2407,0.1380681
831.1692,0.1378684
833.0977,0.1381615
835.0261,0.1390933
836.9546,0.1411541
838.8831,0.1438873
840.8115,0.1466032
842.74,0.1489361
844.6685,0.1515164
846.5969,0.1539368
848.5254,0.1555807
850.4539,0.1565808
852.3823,0.1571716
854.3108,0.1570429
856.2393,0.1561794
858.1677,0.1552997
860.0962,0.155161
862.0247,0.155402
863.9531,0.1560596
865.8816,0.1568898
867.8101,0.1578901
869.7385,0.1587986
871.667,0.1592693
873.5955,0.1592451
875.5239,0.1587165
877.4524,0.1577769
879.3809,0.1565607
881.3093,0.1546259
883.2378,0.1525984
885.1663,0.1509567
887.0947,0.1497303
889.0232,0.1489166
890.9517,0.1477167
892.8801,0.1456893
894.8085,0.1427992
896.737,0.1396965
898.6655,0.136517
900.5939,0.1335405
902.5224,0.131528
904.4509,0.1308641
906.3793,0.1316086
908.3078,0.1340282
910.2363,0.1375258
912.1647,0.1411792
914.0932,0.1447847
916.0217,0.1477069
917.9501,0.1495047
919.8786,0.1502863
921.8071,0.1505217
923.7355,0.150529
925.664,0.1500332
927.5925,0.1488926
929.5209,0.1475192
931.4494,0.1461869
933.3779,0.144371
935.3063,0.1422778
937.2348,0.1401489
939.1633,0.1379945
941.0917,0.1357389
943.0202,0.1330124
944.9487,0.1301807
946.8771,0.1270984
948.8056,0.1236168
950.7341,0.1199519
952.6625,0.1156103
954.591,0.1108517
956.5195,0.1061237
958.4479,0.1014603
960.3764,0.09701997
962.3049,0.09283435
964.2333,0.0892403
966.1618,0.08614077
968.0903,0.0835121
970.0187,0.08151988
971.9472,0.08039402
973.8757,0.07993692
975.8041,0.07991227
977.7326,0.08057025
979.6611,0.08148088
981.5895,0.08208848
983.518,0.08266512
985.4465,0.08320934
987.3749,0.0837123
989.3034,0.08436769
991.2319,0.08578931
993.1603,0.08778138
995.0888,0.09031899
997.0173,0.09296769
998.9457,0.09514853
1000.874,0.09682516
1002.803,0.09791748
1004.731,0.09806867
1006.66,0.0969553
1008.588,0.09449119
1010.517,0.09062473
1012.445,0.08625849
1014.373,0.08264423
1016.302,0.08033684
1018.23,0.07947193
1020.159,0.07987778
1022.087,0.08183306
1024.016,0.08550507
1025.944,0.09026565
1027.873,0.09535354
1029.801,0.100404
1031.73,0.1049103
1033.658,0.1083711
1035.587,0.1106382
1037.515,0.1116361
1039.444,0.1116494
1041.372,0.1105917
1043.301,0.1083336
1045.229,0.1056682
1047.157,0.1026549
1049.086,0.0996249
1051.014,0.09684733
1052.943,0.09432546
1054.871,0.09242614
1056.8,0.09133466
1058.728,0.09087566
1060.657,0.09089535
1062.585,0.09157353
1064.514,0.09225918
1066.442,0.09199204
1068.371,0.09102723
1070.299,0.08929041
1072.228,0.08651621
1074.156,0.08265731
1076.084,0.07835657
1078.013,0.07384531
1079.941,0.06911277
1081.87,0.06443454
1083.798,0.06044939
1085.727,0.05706053
1087.655,0.05430428
1089.584,0.05251064
1091.512,0.05154097
1093.441,0.05073461
