x,y
399.1926,0.0
401.1211,0.02795409
403.0496,0.02798749
404.978,0.02495824
406.9065,0.02382678
408.835,0.02428078
410.7634,0.02231971
412.6919,0.02201817
414.6204,0.02291846
416.5488,0.02324082
418.4773,0.02286669
420.4058,0.02066858
422.3342,0.02091716
424.2627,0.02242084
426.1912,0.0231269
428.1196,0.02344496
430.0481,0.0234316
431.9766,0.02456338
433.905,0.0254306
435.8335,0.02452768
437.762,0.02351507
439.6904,0.02444262
441.6189,0.02621035
443.5474,0.02689747
445.4758,0.02699809
447.4043,0.02787035
449.3328,0.02949782
451.2612,0.03040585
453.1897,0.03128758
455.1182,0.03188013
457.0466,0.03354312
458.9751,0.03523352
460.9036,0.03615021
462.832,0.03777554
464.7605,0.03967582
466.689,0.04117382
468.6174,0.0425638
470.5459,0.04426055
472.4744,0.04493383
474.4028,0.04431503
476.3313,0.04264427
478.2598,0.04049401
480.1882,0.03899063
482.1167,0.03777173
484.0452,0.03655119
485.9736,0.03551778
487.9021,0.03466192
489.8306,0.03406585
491.759,0.03367268
493.6875,0.03332633
495.616,0.03326311
497.5444,0.03300799
499.4729,0.0330877
501.4014,0.03355084
503.3298,0.0340684
505.2583,0.03423358
507.1868,0.03452234
509.1152,0.03523496
511.0437,0.0362495
512.9722,0.03781309
514.9006,0.03998058
516.8291,0.04176054
518.7576,0.04320158
520.686,0.04512873
522.6145,0.04717711
524.543,0.04917898
526.4714,0.05178152
528.3999,0.05471815
530.3284,0.05791953
532.2568,0.06070861
534.1853,0.06391379
536.1138,0.06810392
538.0422,0.0727298
539.9707,0.07690507
541.8992,0.08219572
543.8276,0.08804663
545.7561,0.09433544
547.6846,0.1019813
549.613,0.1104606
551.5415,0.1198946
553.47,0.1304205
555.3984,0.1417611
557.3269,0.1534893
559.2554,0.1652646
561.1838,0.1757293
563.1123,0.1839373
565.0408,0.1903843
566.9692,0.1946086
568.8977,0.196632
570.8262,0.1975335
572.7546,0.1973291
574.6831,0.194072
576.6116,0.1811961
578.54,0.1562676
580.4685,0.1283239
582.397,0.1081635
584.3254,0.09824369
586.2539,0.09555041
588.1824,0.09733506
590.1108,0.1035837
592.0393,0.113991
593.9678,0.1290307
595.8962,0.1478604
597.8247,0.1635512
599.7532,0.1667078
601.6816,0.1540123
603.6101,0.1330247
605.5386,0.1119402
607.467,0.09318456
609.3955,0.07659581
611.324,0.06196786
613.2524,0.0496553
615.1809,0.03874809
617.1094,0.02955094
619.0378,0.02305695
620.9663,0.01878275
622.8948,0.01603329
624.8232,0.01399321
626.7517,0.01283295
628.6802,0.01174725
630.6086,0.01110779
632.5371,0.01080192
634.4656,0.01050595
636.394,0.01021758
638.3225,0.009912567
640.251,0.009841276
642.1794,0.00985207
644.1079,0.009415622
646.0364,0.009237849
647.9648,0.009466751
649.8933,0.009257513
651.8218,0.009260175
653.7502,0.009333472
655.6787,0.009481727
657.6072,0.009400721
659.5356,0.009414384
661.4641,0.009580976
663.3926,0.009649833
665.321,0.009634909
667.2495,0.009815942
669.178,0.009997552
671.1064,0.01010254
673.0349,0.01011445
674.9634,0.01025522
676.8918,0.01033859
678.8203,0.01051858
680.7488,0.01071978
682.6772,0.01104359
684.6057,0.01156554
686.5342,0.01200657
688.4626,0.01245567
690.3911,0.01299884
692.3196,0.01368266
694.248,0.014266
696.1765,0.01432083
698.105,0.01370818
700.0334,0.01309077
701.9619,0.01237008
703.8904,0.01214399
705.8188,0.01259116
707.7473,0.0128846
709.6758,0.01292978
711.6042,0.0130732
713.5327,0.01327578
715.4612,0.01361349
717.3896,0.01394793
719.3181,0.01464191
721.2466,0.01579023
723.175,0.01674684
725.1035,0.01717815
727.032,0.01733163
728.9604,0.01711768
730.8889,0.01666982
732.8174,0.01658352
734.7458,0.0165263
736.6743,0.01665956
738.6028,0.01698631
740.5313,0.01725356
742.4597,0.01770423
744.3882,0.01817822
746.3167,0.01845726
748.2451,0.01857942
750.1736,0.01902736
752.1021,0.01960222
754.0305,0.01985634
755.959,0.02011116
757.8875,0.02033423
759.8159,0.02062305
761.7444,0.02116376
763.6729,0.02175596
765.6013,0.02251299
767.5298,0.02335564
769.4583,0.02402782
771.3867,0.02466491
773.3152,0.02530256
775.2437,0.02635973
777.1721,0.02700742
779.1006,0.0271158
781.0291,0.02718467
782.9575,0.02725442
784.886,0.02707903
786.8145,0.02705534
788.7429,0.02739717
790.6714,0.02804724
792.5999,0.02882127
794.5283,0.02967109
796.4568,0.03028621
798.3853,0.03085977
800.3137,0.03106177
802.2422,0.03027188
804.1707,0.02912341
806.0991,0.02816075
808.0276,0.02718419
809.9561,0.0263099
811.8845,0.02593208
813.813,0.02597333
815.7415,0.02604518
817.6699,0.02599392
819.5984,0.02633793
821.5269,0.02664831
823.4553,0.02689284
825.3838,0.02733003
827.3123,0.0278413
829.2407,0.02838015
