x,y
399.1926,0.0
401.1211,0.07641891
403.0496,0.07664732
404.978,0.08246285
406.9065,0.09018055
408.835,0.09709699
410.7634,0.1034752
412.6919,0.1086503
414.6204,0.1101265
416.5488,0.1075908
418.4773,0.09589832
420.4058,0.08313118
422.3342,0.07458374
424.2627,0.07057238
426.1912,0.06979986
428.1196,0.07115037
430.0481,0.07421653
431.9766,0.07861535
433.905,0.08417699
435.8335,0.09298412
437.762,0.1006631
439.6904,0.1043197
441.6189,0.1085624
443.5474,0.1137858
445.4758,0.1155559
447.4043,0.1154625
449.3328,0.1161313
451.2612,0.1192618
453.1897,0.1236267
455.1182,0.1291328
457.0466,0.1358372
458.9751,0.1425317
460.9036,0.1495369
462.832,0.1573533
464.7605,0.166912
466.689,0.1760864
468.6174,0.1838095
470.5459,0.1895741
472.4744,0.1920496
474.4028,0.1902418
476.3313,0.1819637
478.2598,0.1704123
480.1882,0.1593188
482.1167,0.1527641
484.0452,0.1525207
485.9736,0.1564172
487.9021,0.1640042
489.8306,0.1733963
491.759,0.181353
493.6875,0.1875874
495.616,0.1914722
497.5444,0.1920999
499.4729,0.1890012
501.4014,0.1823532
503.3298,0.1728207
505.2583,0.162552
507.1868,0.1524036
509.1152,0.1421673
511.0437,0.132611
512.9722,0.123853
514.9006,0.1176712
516.8291,0.1141664
518.7576,0.1122201
520.686,0.1129986
522.6145,0.1154391
524.543,0.1193022
526.4714,0.1234336
528.3999,0.1272862
530.3284,0.1312039
532.2568,0.1337373
534.1853,0.1339954
536.1138,0.132143
538.0422,0.1287629
539.9707,0.1235026
541.8992,0.1173552
543.8276,0.1108681
545.7561,0.1032741
547.6846,0.09531005
549.613,0.08828674
551.5415,0.08213694
553.47,0.07508136
555.3984,0.06730379
557.3269,0.06015491
559.2554,0.05352043
561.1838,0.04790583
563.1123,0.0439979
565.0408,0.04152341
566.9692,0.03999555
568.8977,0.03847557
570.8262,0.03769701
572.7546,0.03780829
574.6831,0.03793497
576.6116,0.03888376
578.54,0.04068301
580.4685,0.04254594
582.397,0.04527826
584.3254,0.04886378
586.2539,0.05292408
588.1824,0.05807515
590.1108,0.06459076
592.0393,0.07108184
593.9678,0.0771746
595.8962,0.08217824
597.8247,0.08515593
599.7532,0.08441411
601.6816,0.08070765
603.6101,0.07603937
605.5386,0.07010663
607.467,0.06362264
609.3955,0.05813512
611.324,0.05359656
613.2524,0.04988297
615.1809,0.04743866
617.1094,0.04604824
619.0378,0.04472176
620.9663,0.04398134
622.8948,0.0435996
624.8232,0.04357754
626.7517,0.0432327
628.6802,0.04248204
630.6086,0.0411574
632.5371,0.03975644
634.4656,0.03808202
636.394,0.03577211
638.3225,0.03352022
640.251,0.03144613
642.1794,0.02964935
644.1079,0.02837671
646.0364,0.02723658
647.9648,0.0265134
649.8933,0.02598794
651.8218,0.0259091
653.7502,0.02596585
655.6787,0.02600736
657.6072,0.0261666
659.5356,0.02587238
661.4641,0.02559374
663.3926,0.02558091
665.321,0.02543914
667.2495,0.025221
669.178,0.024579
671.1064,0.02374257
673.0349,0.0231833
674.9634,0.02280959
676.8918,0.02245153
678.8203,0.02223477
680.7488,0.02220439
682.6772,0.02203493
684.6057,0.02193956
686.5342,0.02216228
688.4626,0.02245319
690.3911,0.02263821
692.3196,0.02271417
694.248,0.02291318
696.1765,0.02326215
698.105,0.02370309
700.0334,0.02394822
701.9619,0.02396455
703.8904,0.02417197
705.8188,0.02436689
707.7473,0.02464396
709.6758,0.02500406
711.6042,0.02529688
713.5327,0.02548503
715.4612,0.02630445
717.3896,0.02714218
719.3181,0.02753062
721.2466,0.02800403
723.175,0.0286099
725.1035,0.02946868
727.032,0.03055336
728.9604,0.03147885
730.8889,0.03252915
732.8174,0.03377943
734.7458,0.03509867
736.6743,0.03656993
738.6028,0.03845634
740.5313,0.04058373
742.4597,0.04286888
744.3882,0.0457234
746.3167,0.0491303
748.2451,0.05297349
750.1736,0.05765084
752.1021,0.06373367
754.0305,0.07124177
755.959,0.0797595
757.8875,0.08923225
759.8159,0.09876859
761.7444,0.1061216
763.6729,0.1090207
765.6013,0.1070699
767.5298,0.1015534
769.4583,0.09496256
771.3867,0.08956239
773.3152,0.08616428
775.2437,0.08430889
777.1721,0.08383437
779.1006,0.08436753
781.0291,0.08501245
782.9575,0.08582023
784.886,0.08668309
786.8145,0.08714435
788.7429,0.08707108
790.6714,0.08626387
792.5999,0.08450989
794.5283,0.08173671
796.4568,0.07838085
798.3853,0.07455314
800.3137,0.07015444
802.2422,0.06591314
804.1707,0.06205456
806.0991,0.05828714
808.0276,0.05489654
809.9561,0.05196507
811.8845,0.04962926
813.813,0.04762228
815.7415,0.04592517
817.6699,0.0448236
819.5984,0.04390449
821.5269,0.04304108
823.4553,0.04217616
825.3838,0.04154357
827.3123,0.04133115
829.2407,0.04091064
831.1692,0.04043975
833.0977,0.04011181
835.0261,0.03992173
836.9546,0.03990093
838.8831,0.03979986
840.8115,0.03975584
842.74,0.03965252
844.6685,0.03960252
846.5969,0.03965279
848.5254,0.03966367
850.4539,0.0399158
852.3823,0.04025772
854.3108,0.04040543
856.2393,0.04027371
858.1677,0.04020709
860.0962,0.04063373
862.0247,0.04133771
863.9531,0.04190613
865.8816,0.0422126
