x,y
399.1926,0.0
401.1211,0.1694859
403.0496,0.1700952
404.978,0.1871452
406.9065,0.1873143
408.835,0.1746015
410.7634,0.1696515
412.6919,0.1665518
414.6204,0.1644342
416.5488,0.1550247
418.4773,0.1451458
420.4058,0.1384806
422.3342,0.1329906
424.2627,0.1279402
426.1912,0.1219309
428.1196,0.1148086
430.0481,0.1094637
431.9766,0.1040499
433.905,0.1013252
435.8335,0.09987473
437.762,0.09485439
439.6904,0.09196099
441.6189,0.08957101
443.5474,0.08619838
445.4758,0.08433656
447.4043,0.08048668
449.3328,0.07854784
451.2612,0.07782893
453.1897,0.07897762
455.1182,0.08168589
457.0466,0.08419222
458.9751,0.08601714
460.9036,0.08784903
462.832,0.09084366
464.7605,0.09320323
466.689,0.09252566
468.6174,0.09088396
470.5459,0.09047613
472.4744,0.09010084
474.4028,0.08851345
476.3313,0.08861144
478.2598,0.09006312
480.1882,0.09290136
482.1167,0.09834872
484.0452,0.1063326
485.9736,0.1164985
487.9021,0.1255735
489.8306,0.134024
491.759,0.1408866
493.6875,0.1455137
495.616,0.1491754
497.5444,0.1490149
499.4729,0.1467883
501.4014,0.1424967
503.3298,0.1360711
505.2583,0.1323365
507.1868,0.1295033
509.1152,0.1277035
511.0437,0.1265544
512.9722,0.1242726
514.9006,0.1236838
516.8291,0.1232434
518.7576,0.1216132
520.686,0.119312
522.6145,0.1157324
524.543,0.1111448
526.4714,0.1059371
528.3999,0.1003208
530.3284,0.09541593
532.2568,0.09054544
534.1853,0.08613024
536.1138,0.08308285
538.0422,0.08031053
539.9707,0.07728242
541.8992,0.07418302
543.8276,0.07012045
545.7561,0.06552207
547.6846,0.06157058
549.613,0.05748935
551.5415,0.05351431
553.47,0.04916639
555.3984,0.04545626
557.3269,0.04248789
559.2554,0.03975369
561.1838,0.03730791
563.1123,0.03518322
565.0408,0.03333037
566.9692,0.03187238
568.8977,0.03043367
570.8262,0.02987586
572.7546,0.02939011
574.6831,0.02849787
576.6116,0.02903867
578.54,0.03061191
580.4685,0.03253638
582.397,0.03518279
584.3254,0.03868497
586.2539,0.04310646
588.1824,0.04796229
590.1108,0.05328299
592.0393,0.05855013
593.9678,0.06294526
595.8962,0.0661509
597.8247,0.06796642
599.7532,0.0685212
601.6816,0.06851224
603.6101,0.06793727
605.5386,0.06734244
607.467,0.06618901
609.3955,0.06446496
611.324,0.06215099
613.2524,0.05963511
615.1809,0.05679743
617.1094,0.05351947
619.0378,0.0499192
620.9663,0.04602746
622.8948,0.04270515
624.8232,0.03923063
626.7517,0.03572107
628.6802,0.03256413
630.6086,0.02957109
632.5371,0.02696622
634.4656,0.02467891
636.394,0.02245692
638.3225,0.0205018
640.251,0.01872798
642.1794,0.01730483
644.1079,0.01611985
646.0364,0.01512298
647.9648,0.01448504
649.8933,0.01391933
651.8218,0.01323112
653.7502,0.01282425
655.6787,0.01280048
657.6072,0.01228557
659.5356,0.01188915
661.4641,0.01166164
663.3926,0.0113451
665.321,0.01129874
667.2495,0.01153687
669.178,0.01161352
671.1064,0.01132259
673.0349,0.0108866
674.9634,0.01096126
676.8918,0.0111142
678.8203,0.01133127
680.7488,0.01137359
682.6772,0.01122837
684.6057,0.01117609
686.5342,0.01137519
688.4626,0.01154308
690.3911,0.01162132
692.3196,0.01171286
694.248,0.01187503
696.1765,0.01190458
698.105,0.01208208
700.0334,0.01229829
701.9619,0.01264857
703.8904,0.01278245
705.8188,0.01291269
707.7473,0.01301632
709.6758,0.01320875
711.6042,0.01359932
713.5327,0.01388003
715.4612,0.01420712
717.3896,0.01451274
719.3181,0.01449065
721.2466,0.0147197
723.175,0.01536286
725.1035,0.01561092
727.032,0.01589853
728.9604,0.01651115
730.8889,0.01705229
732.8174,0.01764063
734.7458,0.01818565
736.6743,0.01877276
738.6028,0.01959918
740.5313,0.02006457
742.4597,0.0208903
744.3882,0.02210237
746.3167,0.02277371
748.2451,0.02341923
750.1736,0.02388407
752.1021,0.02468303
754.0305,0.02583554
755.959,0.02695194
757.8875,0.0280719
759.8159,0.02897265
761.7444,0.03005078
763.6729,0.03154235
765.6013,0.03323262
767.5298,0.03450731
769.4583,0.03574789
771.3867,0.03737478
773.3152,0.03903279
775.2437,0.04077603
777.1721,0.0427307
779.1006,0.04487482
781.0291,0.04724667
782.9575,0.04948675
784.886,0.05179019
786.8145,0.05432392
788.7429,0.056826
790.6714,0.0594385
792.5999,0.06244182
794.5283,0.06549302
796.4568,0.0686859
798.3853,0.07225327
800.3137,0.07606749
802.2422,0.07972232
804.1707,0.08342376
806.0991,0.08755451
808.0276,0.09207559
809.9561,0.09665362
811.8845,0.1010221
813.813,0.1058087
815.7415,0.1109526
817.6699,0.1164088
819.5984,0.1223014
821.5269,0.1282467
823.4553,0.1345907
825.3838,0.141316
827.3123,0.1476178
829.2407,0.1539779
831.1692,0.1605788
833.0977,0.1661336
835.0261,0.1697554
836.9546,0.1703609
838.8831,0.1665455
840.8115,0.159607
842.74,0.1532111
844.6685,0.15061
846.5969,0.1526291
848.5254,0.1581728
850.4539,0.1655285
852.3823,0.172844
854.3108,0.1798117
856.2393,0.186377
858.1677,0.1928423
860.0962,0.1994348
862.0247,0.2062405
863.9531,0.2127602
865.8816,0.2184267
867.8101,0.2235112
869.7385,0.2279352
871.667,0.2308386
873.5955,0.2324603
875.5239,0.2331349
877.4524,0.2325863
879.3809,0.2311889
881.3093,0.2286144
883.2378,0.2252293
885.1663,0.2210916
887.0947,0.2159206
889.0232,0.2100917
890.9517,0.2040637
892.8801,0.1979775
894.8085,0.1919705
896.737,0.1860583
898.6655,0.1806559
900.5939,0.1756822
902.5224,0.1709194
904.4509,0.1662808
906.3793,0.1617896
908.3078,0.1575317
910.2363,0.1534135
912.1647,0.1496253
914.0932,0.1461471
916.0217,0.1428805
917.9501,0.1394196
919.8786,0.1363035
921.8071,0.1331589
923.7355,0.1298075
925.664,0.1267785
927.5925,0.1240667
929.5209,0.1212985
931.4494,0.1186284
933.3779,0.1158676
935.3063,0.1133469
937.2348,0.1109963
939.1633,0.1089006
941.0917,0.107177
943.0202,0.1054553
944.9487,0.1037536
946.8771,0.1021456
948.8056,0.09974058
950.7341,0.0957829
952.6625,0.08955585
954.591,0.08173706
956.5195,0.07490596
958.4479,0.07171783
960.3764,0.07246586
962.3049,0.07582521
964.2333,0.08067469
966.1618,0.08630409
968.0903,0.09226781
970.0187,0.09784721
971.9472,0.1021559
973.8757,0.1045725
975.8041,0.1045959
977.7326,0.1024721
979.6611,0.09898302
981.5895,0.09489521
983.518,0.09108755
985.4465,0.08825227
987.3749,0.08641042
989.3034,0.08538708
991.2319,0.08461059
993.1603,0.08377236
995.0888,0.08305077
997.0173,0.08214505
998.9457,0.08093429
1000.874,0.07931248
1002.803,0.07742035
1004.731,0.07546296
1006.66,0.07322438
1008.588,0.07093561
1010.517,0.06841053
1012.445,0.06577874
1014.373,0.06310198
1016.302,0.06033203
1018.23,0.05771169
1020.159,0.05488032
1022.087,0.05194113
1024.016,0.04910219
1025.944,0.04607343
1027.873,0.04324739
1029.801,0.04043661
1031.73,0.03780264
1033.658,0.03541481
1035.587,0.03319969
1037.515,0.03093933
1039.444,0.02860192
1041.372,0.02625619
1043.301,0.02403014
1045.229,0.02207022
1047.157,0.02023518
1049.086,0.01849793
1051.014,0.01660795
1052.943,0.0148714
1054.871,0.01321909
1056.8,0.0116727
1058.728,0.01028278
1060.657,0.008833113
1062.585,0.007687629
1064.514,0.00679232
1066.442,0.005942297
1068.371,0.005071412
1070.299,0.004454453
1072.228,0.004032099
1074.156,0.003457067
1076.084,0.003005238
1078.013,0.002728712
1079.941,0.00237262
1081.87,0.002081425
1083.798,0.001788278
1085.727,0.001423381
1087.655,0.001148119
1089.584,0.0009939247
1091.512,0.0008782422
1093.441,0.0008031243
1095.369,0.0005510818
1097.298,6.055104e-05
1099.226,-0.0001902886
1101.155,-0.0001226202
1103.083,-0.0001226529
1105.011,-0.000426325
1106.94,-0.0006422114
1108.868,-0.0005572294
1110.797,-0.0006221243
1112.725,-0.0007289414
1114.654,-0.0006990995
1116.582,-0.0007028109
1118.511,-0.0006023741
1120.439,-0.0004379612
1122.368,-0.0005896327
1124.296,-0.0007566477
1126.225,-0.0009608388
1128.153,-0.001136275
1130.082,-0.001181352
1132.01,-0.001173652
1133.938,-0.00119102
1135.867,-0.001206316
1137.795,-0.0012741
1139.724,-0.001442464
1141.652,-0.001503076
1143.581,-0.001589092
1145.509,-0.001691932
1147.438,-0.001784181
1149.366,-0.001741929
1151.295,-0.001734948
1153.223,-0.001791693
1155.152,-0.001864523
1157.08,-0.001873806
1159.009,-0.001897479
1160.937,-0.001924791
1162.865,-0.001828232
1164.794,-0.00181413
1166.722,-0.002004789
1168.651,-0.002116018
1170.579,-0.002234177
1172.508,-0.002080455
1174.436,-0.001831683
1176.365,-0.001723492
1178.293,-0.001743164
1180.222,-0.001825599
1182.15,-0.001900976
1184.079,-0.001911744
1186.007,-0.001920982
1187.936,-0.001992739
1189.864,-0.002094611
1191.792,-0.002125363
1193.721,-0.002135843
1195.649,-0.001923425
1197.578,-0.001688045
1199.506,-0.001786626
1201.435,-0.001805959
1203.363,-0.001847972
1205.292,-0.001823521
1207.22,-0.001741352
1209.149,-0.001709093
1211.077,-0.001631968
1213.006,-0.001805327
