x,y
399.1926,0.0
401.1211,0.2895542
403.0496,0.2910616
404.978,0.2893349
406.9065,0.2914269
408.835,0.2994701
410.7634,0.3076093
412.6919,0.3091793
414.6204,0.3120507
416.5488,0.3123383
418.4773,0.310867
420.4058,0.3185807
422.3342,0.3208895
424.2627,0.3234052
426.1912,0.3204769
428.1196,0.3231658
430.0481,0.330965
431.9766,0.3288174
433.905,0.3276053
435.8335,0.32928
437.762,0.3282741
439.6904,0.3237213
441.6189,0.3235979
443.5474,0.3212498
445.4758,0.3151934
447.4043,0.3091148
449.3328,0.304305
451.2612,0.3029454
453.1897,0.2997724
455.1182,0.2938584
457.0466,0.2875213
458.9751,0.2807317
460.9036,0.2715135
462.832,0.2626052
464.7605,0.2540923
466.689,0.2448395
468.6174,0.2358122
470.5459,0.2277089
472.4744,0.2205449
474.4028,0.214601
476.3313,0.2116309
478.2598,0.2112997
480.1882,0.2127197
482.1167,0.2156181
484.0452,0.2181856
485.9736,0.218224
487.9021,0.2178968
489.8306,0.2169349
491.759,0.2145455
493.6875,0.2125428
495.616,0.2103799
497.5444,0.2071257
499.4729,0.2046493
501.4014,0.2037812
503.3298,0.2039724
505.2583,0.2039701
507.1868,0.2048706
509.1152,0.2074497
511.0437,0.2119687
512.9722,0.2169024
514.9006,0.2208754
516.8291,0.2247451
518.7576,0.228148
520.686,0.2299027
522.6145,0.2333167
524.543,0.2379444
526.4714,0.2423526
528.3999,0.2467079
530.3284,0.2522098
532.2568,0.2581873
534.1853,0.2646653
536.1138,0.2702608
538.0422,0.2768271
539.9707,0.2846706
541.8992,0.2918878
543.8276,0.296259
545.7561,0.2995815
547.6846,0.3026088
549.613,0.3042549
551.5415,0.3046532
553.47,0.304381
555.3984,0.3034841
557.3269,0.3018774
559.2554,0.3013123
561.1838,0.3009633
563.1123,0.3024737
565.0408,0.3035083
566.9692,0.3035817
568.8977,0.3023819
570.8262,0.3010381
572.7546,0.2994654
574.6831,0.2969491
576.6116,0.2932279
578.54,0.2895019
580.4685,0.2855754
582.397,0.2824611
584.3254,0.2801836
586.2539,0.278127
588.1824,0.2774149
590.1108,0.2776878
592.0393,0.278026
593.9678,0.2786614
595.8962,0.2794351
597.8247,0.2799242
599.7532,0.2809295
601.6816,0.282769
603.6101,0.2841413
605.5386,0.2854816
607.467,0.2880425
609.3955,0.2898015
611.324,0.2902818
613.2524,0.289645
615.1809,0.2884854
617.1094,0.2867749
619.0378,0.2841279
620.9663,0.280307
622.8948,0.2764387
624.8232,0.2731375
626.7517,0.2706087
628.6802,0.2690273
630.6086,0.2682434
632.5371,0.2686076
634.4656,0.2683937
636.394,0.2672059
638.3225,0.2653859
640.251,0.2619827
642.1794,0.2582052
644.1079,0.2540593
646.0364,0.2489781
647.9648,0.2439499
649.8933,0.2387483
651.8218,0.233454
653.7502,0.2282571
