x,y
399.1926,0.0
401.1211,0.2195373
403.0496,0.2205902
404.978,0.2310786
406.9065,0.2427292
408.835,0.2539556
410.7634,0.2627527
412.6919,0.2704294
414.6204,0.2772804
416.5488,0.2839769
418.4773,0.2869278
420.4058,0.285114
422.3342,0.2857355
424.2627,0.2880427
426.1912,0.2872057
428.1196,0.2896745
430.0481,0.2879013
431.9766,0.2856957
433.905,0.2873747
435.8335,0.2830764
437.762,0.2779203
439.6904,0.2710589
441.6189,0.2637272
443.5474,0.2569762
445.4758,0.2477447
447.4043,0.2397099
449.3328,0.2332039
451.2612,0.2273147
453.1897,0.2223711
455.1182,0.2174471
457.0466,0.2104368
458.9751,0.2027568
460.9036,0.1993366
462.832,0.2004892
464.7605,0.2052735
466.689,0.2074979
468.6174,0.2046102
470.5459,0.1982003
472.4744,0.1889838
474.4028,0.1796516
476.3313,0.172224
478.2598,0.1665746
480.1882,0.1607518
482.1167,0.1553975
484.0452,0.1497255
485.9736,0.1452853
487.9021,0.1415677
489.8306,0.1362177
491.759,0.1315215
493.6875,0.1284049
495.616,0.1251679
497.5444,0.122577
499.4729,0.1208227
501.4014,0.1178297
503.3298,0.1130226
505.2583,0.1074922
507.1868,0.1003539
509.1152,0.09275322
511.0437,0.08642557
512.9722,0.08076311
514.9006,0.07597324
516.8291,0.0733417
518.7576,0.07225707
520.686,0.07297971
522.6145,0.07705256
524.543,0.08475699
526.4714,0.09625261
528.3999,0.1103805
530.3284,0.1249487
532.2568,0.1375993
534.1853,0.1452492
536.1138,0.1443951
538.0422,0.1378875
539.9707,0.1294355
541.8992,0.1196722
543.8276,0.109302
545.7561,0.09924145
547.6846,0.08944543
549.613,0.0810216
551.5415,0.07365647
553.47,0.06640745
555.3984,0.05988739
557.3269,0.05430408
559.2554,0.04954167
561.1838,0.0451348
563.1123,0.04175723
565.0408,0.03933373
566.9692,0.03723907
568.8977,0.03542045
570.8262,0.03348524
572.7546,0.03185389
574.6831,0.03011395
576.6116,0.02800574
578.54,0.02654812
580.4685,0.02585691
582.397,0.02548985
584.3254,0.02471744
586.2539,0.02379674
588.1824,0.0237642
590.1108,0.02432532
592.0393,0.02459187
593.9678,0.02499689
595.8962,0.02660483
597.8247,0.02829792
599.7532,0.03008877
601.6816,0.0328068
603.6101,0.0368451
605.5386,0.04276245
607.467,0.05072383
609.3955,0.05944515
611.324,0.06736071
613.2524,0.07100037
615.1809,0.06826954
617.1094,0.06077182
619.0378,0.05197646
620.9663,0.04370934
622.8948,0.03728513
624.8232,0.03287205
626.7517,0.02933233
628.6802,0.02635421
630.6086,0.02399625
632.5371,0.02215715
634.4656,0.02085732
636.394,0.02000956
638.3225,0.01962296
640.251,0.0190171
642.1794,0.01851464
644.1079,0.01856051
646.0364,0.01874236
647.9648,0.01901419
649.8933,0.01918859
651.8218,0.01920735
653.7502,0.01956907
655.6787,0.01986383
657.6072,0.0198933
659.5356,0.02000318
661.4641,0.02036942
663.3926,0.02094865
665.321,0.0215535
667.2495,0.02226694
669.178,0.02292352
671.1064,0.0231276
673.0349,0.02322127
674.9634,0.02368407
676.8918,0.02454767
678.8203,0.02545138
680.7488,0.0262649
682.6772,0.02659164
684.6057,0.02666655
686.5342,0.0272194
688.4626,0.02811358
690.3911,0.0290038
692.3196,0.03003393
694.248,0.0309861
696.1765,0.03210488
698.105,0.03324701
700.0334,0.03399872
701.9619,0.03503911
703.8904,0.03645408
705.8188,0.03804645
707.7473,0.03938573
709.6758,0.04082195
711.6042,0.04239172
713.5327,0.04389555
715.4612,0.04591109
717.3896,0.0479349
719.3181,0.04978276
721.2466,0.05191912
723.175,0.05432265
725.1035,0.05672499
727.032,0.05926172
728.9604,0.06223407
730.8889,0.0653095
732.8174,0.06802105
734.7458,0.0711667
736.6743,0.07498818
738.6028,0.07887612
740.5313,0.08254369
742.4597,0.08638194
744.3882,0.09034371
746.3167,0.09464701
748.2451,0.09889733
750.1736,0.1028951
752.1021,0.1072513
754.0305,0.1116992
755.959,0.1157662
757.8875,0.1198295
759.8159,0.1241527
761.7444,0.1285006
763.6729,0.1328286
765.6013,0.1377409
767.5298,0.1431204
769.4583,0.1486901
771.3867,0.1543572
773.3152,0.1601257
775.2437,0.1662547
777.1721,0.1724236
779.1006,0.1784434
781.0291,0.1845746
782.9575,0.1906463
784.886,0.1969566
786.8145,0.2033515
788.7429,0.2094245
790.6714,0.21543
792.5999,0.2216361
794.5283,0.2283579
796.4568,0.2348815
798.3853,0.2411295
800.3137,0.2473293
802.2422,0.2535068
804.1707,0.2594947
806.0991,0.2650867
808.0276,0.2702275
809.9561,0.2748724
811.8845,0.2793857
813.813,0.2838561
815.7415,0.2880922
817.6699,0.2919936
819.5984,0.2954436
821.5269,0.2984785
823.4553,0.3011201
825.3838,0.3025399
827.3123,0.3026606
829.2407,0.3019347
831.1692,0.3005074
833.0977,0.297632
835.0261,0.2931619
836.9546,0.2871344
838.8831,0.2795988
840.8115,0.271878
842.74,0.2652084
844.6685,0.2605412
846.5969,0.2586513
848.5254,0.2591106
850.4539,0.2598484
852.3823,0.2588635
854.3108,0.2546532
856.2393,0.2471208
858.1677,0.2379344
860.0962,0.2275179
862.0247,0.2162537
863.9531,0.2051397
865.8816,0.1937986
867.8101,0.1827725
869.7385,0.1724968
871.667,0.1626989
873.5955,0.1532801
875.5239,0.1445437
877.4524,0.1367109
879.3809,0.1306913
881.3093,0.1266709
883.2378,0.1256282
885.1663,0.1290106
887.0947,0.1369772
889.0232,0.1497217
890.9517,0.1674623
892.8801,0.1882325
894.8085,0.2096002
896.737,0.2293345
898.6655,0.2455361
900.5939,0.2570871
902.5224,0.2630374
904.4509,0.2634498
906.3793,0.2598821
908.3078,0.2529084
910.2363,0.2436209
912.1647,0.2335323
914.0932,0.2238334
916.0217,0.2144284
917.9501,0.2053185
919.8786,0.1965394
921.8071,0.1886226
923.7355,0.1816828
925.664,0.1753867
927.5925,0.1696018
929.5209,0.164268
931.4494,0.1590174
933.3779,0.1535016
935.3063,0.1481072
937.2348,0.1429475
939.1633,0.1381338
941.0917,0.1332935
943.0202,0.1283949
944.9487,0.1239303
946.8771,0.1193568
948.8056,0.1144534
950.7341,0.1097178
952.6625,0.105155
954.591,0.1007666
956.5195,0.09646515
958.4479,0.09161317
960.3764,0.08637209
962.3049,0.08128116
964.2333,0.07699449
966.1618,0.07275229
968.0903,0.06863119
970.0187,0.06454327
971.9472,0.06065215
973.8757,0.05694596
975.8041,0.05312614
977.7326,0.04945461
979.6611,0.04596622
981.5895,0.04254028
983.518,0.03934446
985.4465,0.0364887
987.3749,0.03407774
989.3034,0.03186123
991.2319,0.02981982
993.1603,0.02801607
995.0888,0.02653973
997.0173,0.02539007
998.9457,0.02428502
1000.874,0.02316528
1002.803,0.02228465
1004.731,0.02153604
1006.66,0.02106568
1008.588,0.02072623
1010.517,0.02009247
1012.445,0.01944397
1014.373,0.01895698
1016.302,0.01856071
1018.23,0.01824034
1020.159,0.01792401
1022.087,0.01745965
1024.016,0.01681641
1025.944,0.01639907
1027.873,0.01616034
1029.801,0.01553448
1031.73,0.015139
1033.658,0.0151978
1035.587,0.01494064
1037.515,0.01454846
1039.444,0.01404547
1041.372,0.01360757
1043.301,0.01334155
1045.229,0.01310812
1047.157,0.01280436
1049.086,0.01239789
1051.014,0.01187612
1052.943,0.01179426
1054.871,0.01181776
1056.8,0.01151462
1058.728,0.01112137
1060.657,0.01048855
1062.585,0.01036408
1064.514,0.01050326
1066.442,0.01049261
1068.371,0.01036818
1070.299,0.01007084
1072.228,0.00988896
1074.156,0.009756702
1076.084,0.009748427
1078.013,0.009715787
1079.941,0.009537211
1081.87,0.009488557
1083.798,0.009324707
1085.727,0.00916368
1087.655,0.008908903
1089.584,0.008750017
1091.512,0.008875309
1093.441,0.008915076
1095.369,0.008678612
1097.298,0.008460356
1099.226,0.008288633
1101.155,0.008085126
1103.083,0.008111288
1105.011,0.008034226
