x,y
399.1926,0.0
401.1211,0.1016257
403.0496,0.1021527
404.978,0.10115
406.9065,0.1053844
408.835,0.1052042
410.7634,0.1058838
412.6919,0.1095115
414.6204,0.1129209
416.5488,0.111467
418.4773,0.1136021
420.4058,0.1144179
422.3342,0.112038
424.2627,0.1089902
426.1912,0.1082827
428.1196,0.1089521
430.0481,0.1080759
431.9766,0.1054266
433.905,0.1058438
435.8335,0.1070992
437.762,0.1092142
439.6904,0.1118014
441.6189,0.1127539
443.5474,0.1127585
445.4758,0.1138512
447.4043,0.1156378
449.3328,0.1183688
451.2612,0.1172801
453.1897,0.1175781
455.1182,0.1193177
457.0466,0.1208897
458.9751,0.1206632
460.9036,0.1190979
462.832,0.1187409
464.7605,0.1191768
466.689,0.1171721
468.6174,0.116683
470.5459,0.1159494
472.4744,0.114993
474.4028,0.1134577
476.3313,0.1123611
478.2598,0.1105015
480.1882,0.1091813
482.1167,0.1065379
484.0452,0.104175
485.9736,0.102885
487.9021,0.1014389
489.8306,0.0994434
491.759,0.09833957
493.6875,0.09660081
495.616,0.0945508
497.5444,0.09276421
499.4729,0.09100661
501.4014,0.0898513
503.3298,0.08863936
505.2583,0.08764312
507.1868,0.08674109
509.1152,0.08481207
511.0437,0.08283157
512.9722,0.08186793
514.9006,0.08135296
516.8291,0.08049118
518.7576,0.07954512
520.686,0.0791498
522.6145,0.07852995
524.543,0.07823689
526.4714,0.07827302
528.3999,0.07868639
530.3284,0.07953662
532.2568,0.08036081
534.1853,0.08100003
536.1138,0.08186858
538.0422,0.08345803
539.9707,0.08461726
541.8992,0.08603143
543.8276,0.08856144
545.7561,0.09141967
547.6846,0.09397729
549.613,0.09687307
551.5415,0.09976628
553.47,0.1031916
555.3984,0.1069037
557.3269,0.1103662
559.2554,0.1141771
561.1838,0.119188
563.1123,0.1239899
565.0408,0.1294507
566.9692,0.1348806
568.8977,0.1396958
570.8262,0.1442505
572.7546,0.1491428
574.6831,0.1546331
576.6116,0.1594858
578.54,0.1637576
580.4685,0.1687202
582.397,0.1738647
584.3254,0.1793264
586.2539,0.1862114
588.1824,0.1953579
590.1108,0.2062557
592.0393,0.2205626
593.9678,0.2366517
595.8962,0.2500339
597.8247,0.2535558
599.7532,0.2432381
601.6816,0.2230558
603.6101,0.1987254
605.5386,0.1737981
607.467,0.1511913
609.3955,0.1320856
611.324,0.1172507
613.2524,0.1057405
615.1809,0.09696982
617.1094,0.09078283
