x,y
399.1926,0.0
401.1211,0.3027301
403.0496,0.3041805
404.978,0.3040457
406.9065,0.3001355
408.835,0.2949252
410.7634,0.2973983
412.6919,0.2987031
414.6204,0.2976837
416.5488,0.2948071
418.4773,0.29247
420.4058,0.2871333
422.3342,0.2815704
424.2627,0.2773871
426.1912,0.277243
428.1196,0.2717379
430.0481,0.2643778
431.9766,0.265227
433.905,0.2664699
435.8335,0.2641255
437.762,0.263342
439.6904,0.2627074
441.6189,0.2606807
443.5474,0.2568589
445.4758,0.2542123
447.4043,0.2532005
449.3328,0.2538597
451.2612,0.2574724
453.1897,0.2577192
455.1182,0.2583865
457.0466,0.2599324
458.9751,0.2631213
460.9036,0.2665524
462.832,0.2691038
464.7605,0.2715657
466.689,0.2739355
468.6174,0.2777073
470.5459,0.2818578
472.4744,0.2845266
474.4028,0.2864329
476.3313,0.2884585
478.2598,0.2889949
480.1882,0.287672
482.1167,0.2863389
484.0452,0.2852497
485.9736,0.284437
487.9021,0.2825175
489.8306,0.2795
491.759,0.2774079
493.6875,0.2747253
495.616,0.2716476
497.5444,0.2681166
499.4729,0.2646792
501.4014,0.2611341
503.3298,0.2574427
505.2583,0.2539335
507.1868,0.2500777
509.1152,0.245124
511.0437,0.2397809
512.9722,0.2351194
514.9006,0.2303935
516.8291,0.2249973
518.7576,0.2182278
520.686,0.2113185
522.6145,0.2052144
524.543,0.1989368
526.4714,0.1924905
528.3999,0.1865175
530.3284,0.1806641
532.2568,0.1746677
534.1853,0.1676776
536.1138,0.1603336
538.0422,0.1531774
539.9707,0.1457613
541.8992,0.1380191
543.8276,0.1306269
545.7561,0.1234058
547.6846,0.1156065
549.613,0.106828
551.5415,0.09793989
553.47,0.08987435
555.3984,0.08234488
557.3269,0.07678507
559.2554,0.07352058
561.1838,0.07172138
563.1123,0.07213508
565.0408,0.0748517
566.9692,0.07949872
568.8977,0.08620564
570.8262,0.0953532
572.7546,0.1075472
574.6831,0.1230014
576.6116,0.1421798
578.54,0.1652572
580.4685,0.1915959
582.397,0.2206659
584.3254,0.2513912
586.2539,0.2817355
588.1824,0.3083477
590.1108,0.3287872
592.0393,0.341456
593.9678,0.3436402
595.8962,0.3382831
597.8247,0.3296688
599.7532,0.3210484
601.6816,0.3127006
603.6101,0.303705
605.5386,0.2939815
607.467,0.2847169
609.3955,0.2760713
611.324,0.2677177
613.2524,0.2595985
615.1809,0.2516407
617.1094,0.2445533
619.0378,0.2377763
620.9663,0.2311493
622.8948,0.2248011
624.8232,0.2184195
626.7517,0.2119882
628.6802,0.2060564
630.6086,0.199976
632.5371,0.1935414
634.4656,0.1876676
636.394,0.1824903
638.3225,0.1775244
640.251,0.1728397
642.1794,0.1677654
644.1079,0.1624561
646.0364,0.1577354
647.9648,0.1533879
649.8933,0.1488389
651.8218,0.1448473
653.7502,0.1406028
655.6787,0.1361302
657.6072,0.1324962
659.5356,0.1288336
