x,y
399.1926,0.0
401.1211,0.2450362
403.0496,0.2461786
404.978,0.2429909
406.9065,0.2334525
408.835,0.2256358
410.7634,0.224755
412.6919,0.2157879
414.6204,0.2079353
416.5488,0.2077749
418.4773,0.2048151
420.4058,0.2031482
422.3342,0.2013183
424.2627,0.1976871
426.1912,0.1972283
428.1196,0.1951232
430.0481,0.188636
431.9766,0.1835057
433.905,0.1837357
435.8335,0.1816013
437.762,0.1770542
439.6904,0.1744884
441.6189,0.1739459
443.5474,0.1725123
445.4758,0.1697218
447.4043,0.1680559
449.3328,0.1656005
451.2612,0.1633701
453.1897,0.1622468
455.1182,0.1607403
457.0466,0.1593937
458.9751,0.1592224
460.9036,0.1605596
462.832,0.1621881
464.7605,0.1664446
466.689,0.1706395
468.6174,0.1744004
470.5459,0.1774923
472.4744,0.1792641
474.4028,0.180269
476.3313,0.1815252
478.2598,0.1807567
480.1882,0.1789694
482.1167,0.1766212
484.0452,0.1727761
485.9736,0.1669471
487.9021,0.1604716
489.8306,0.1530185
491.759,0.1458053
493.6875,0.1393554
495.616,0.1338983
497.5444,0.1289039
499.4729,0.1236081
501.4014,0.1193591
503.3298,0.1152599
505.2583,0.1100534
507.1868,0.1056194
509.1152,0.1028538
511.0437,0.101615
512.9722,0.1028172
514.9006,0.106199
516.8291,0.1107281
518.7576,0.1173572
520.686,0.1249953
522.6145,0.1326508
524.543,0.1396623
526.4714,0.1449845
528.3999,0.1475078
530.3284,0.1482192
532.2568,0.1476645
534.1853,0.144886
536.1138,0.1411757
538.0422,0.1359371
539.9707,0.1297448
541.8992,0.1236381
543.8276,0.1182022
545.7561,0.1119978
547.6846,0.1063039
549.613,0.1020787
551.5415,0.09841317
553.47,0.09371364
555.3984,0.08821828
557.3269,0.08282822
559.2554,0.07744953
561.1838,0.07246369
563.1123,0.06716534
565.0408,0.06264281
566.9692,0.05906697
568.8977,0.05587902
570.8262,0.05314106
572.7546,0.05132927
574.6831,0.05038261
576.6116,0.04942704
578.54,0.04911155
580.4685,0.04972714
582.397,0.05102139
584.3254,0.05295355
586.2539,0.05553258
588.1824,0.05944481
590.1108,0.06453587
592.0393,0.07033147
593.9678,0.0770215
595.8962,0.08440134
597.8247,0.0920671
599.7532,0.0987476
601.6816,0.104046
603.6101,0.1082232
605.5386,0.1110755
607.467,0.1120644
609.3955,0.1116599
611.324,0.110058
613.2524,0.1076438
615.1809,0.104802
617.1094,0.101192
619.0378,0.09707146
