x,y
399.1926,0.0
401.1211,0.143826
403.0496,0.1445011
404.978,0.1514799
406.9065,0.1548216
408.835,0.1587002
410.7634,0.1660999
412.6919,0.1745536
414.6204,0.1744261
416.5488,0.1757276
418.4773,0.1759906
420.4058,0.1741904
422.3342,0.1791621
424.2627,0.1854258
426.1912,0.1851673
428.1196,0.1830885
430.0481,0.1794648
431.9766,0.1723327
433.905,0.1667664
435.8335,0.1629725
437.762,0.1607555
439.6904,0.1637638
441.6189,0.1701437
443.5474,0.174253
445.4758,0.1780107
447.4043,0.1833093
449.3328,0.1863628
451.2612,0.1867958
453.1897,0.1837866
455.1182,0.1799875
457.0466,0.1780819
458.9751,0.1767747
460.9036,0.1734817
462.832,0.1713519
464.7605,0.1712068
466.689,0.1710684
468.6174,0.1695878
470.5459,0.1675926
472.4744,0.1658511
474.4028,0.1638617
476.3313,0.1618318
478.2598,0.1593865
480.1882,0.1553013
482.1167,0.150875
484.0452,0.1478714
485.9736,0.1448481
487.9021,0.1411999
489.8306,0.1380187
491.759,0.1358491
493.6875,0.1349437
495.616,0.1359268
497.5444,0.1392707
499.4729,0.1454453
501.4014,0.151453
503.3298,0.1560979
505.2583,0.1592101
507.1868,0.1594413
509.1152,0.1568431
511.0437,0.1518689
512.9722,0.1464772
514.9006,0.1410158
516.8291,0.1349669
518.7576,0.1289283
520.686,0.1232846
522.6145,0.1184528
524.543,0.113562
526.4714,0.1077982
528.3999,0.102073
530.3284,0.09767187
532.2568,0.09540308
534.1853,0.09564524
536.1138,0.09840481
538.0422,0.1031514
539.9707,0.1077894
541.8992,0.1120347
543.8276,0.114766
545.7561,0.1163905
547.6846,0.1178225
549.613,0.1180196
551.5415,0.1166701
553.47,0.1149994
555.3984,0.1133064
557.3269,0.1111845
559.2554,0.1089521
561.1838,0.1062193
563.1123,0.1031374
565.0408,0.1002671
566.9692,0.09698875
568.8977,0.09374779
570.8262,0.09076272
572.7546,0.08834025
574.6831,0.08626175
576.6116,0.08439223
578.54,0.08302841
580.4685,0.08220628
582.397,0.08190975
584.3254,0.08168943
586.2539,0.08170849
588.1824,0.08185275
590.1108,0.08103757
592.0393,0.07958936
593.9678,0.07745877
595.8962,0.07428869
597.8247,0.07014628
599.7532,0.0658225
601.6816,0.06221604
603.6101,0.06007396
605.5386,0.05966729
607.467,0.06014632
609.3955,0.06064887
611.324,0.06012977
613.2524,0.05759203
615.1809,0.05426177
617.1094,0.05113044
619.0378,0.04858807
620.9663,0.04744588
622.8948,0.04776395
624.8232,0.04997018
626.7517,0.05434668
628.6802,0.06042328
630.6086,0.06758559
632.5371,0.0740172
634.4656,0.07798976
636.394,0.08101875
638.3225,0.0856251
640.251,0.09214766
642.1794,0.09957966
644.1079,0.1066676
646.0364,0.1123276
647.9648,0.1149326
649.8933,0.1133787
651.8218,0.1086735
653.7502,0.1020377
655.6787,0.0937978
657.6072,0.08454161
659.5356,0.07532776
661.4641,0.06669332
663.3926,0.05868694
665.321,0.05117894
667.2495,0.04504222
669.178,0.0397466
671.1064,0.03513383
673.0349,0.03149064
674.9634,0.02862703
676.8918,0.02660954
678.8203,0.02504601
680.7488,0.02366283
682.6772,0.02286484
684.6057,0.02210086
686.5342,0.02137249
688.4626,0.02086847
690.3911,0.02068247
692.3196,0.02078726
694.248,0.02078247
696.1765,0.02070837
698.105,0.02088111
700.0334,0.0212561
701.9619,0.0216067
703.8904,0.02199103
705.8188,0.02265725
707.7473,0.02312321
709.6758,0.02355102
711.6042,0.02428102
713.5327,0.02524486
715.4612,0.0262876
717.3896,0.02734746
719.3181,0.02861539
721.2466,0.02987069
723.175,0.0312757
725.1035,0.03288226
727.032,0.03467446
728.9604,0.03698269
730.8889,0.03940386
732.8174,0.0415426
734.7458,0.04388203
736.6743,0.04662336
738.6028,0.0498937
740.5313,0.05353174
742.4597,0.05733822
744.3882,0.06157353
746.3167,0.06628714
748.2451,0.07134554
750.1736,0.07673076
752.1021,0.08239154
754.0305,0.08835776
755.959,0.09477004
757.8875,0.1017445
759.8159,0.1089027
761.7444,0.1156953
763.6729,0.1214437
765.6013,0.1264071
767.5298,0.1302056
769.4583,0.1326461
771.3867,0.1335874
773.3152,0.1330428
775.2437,0.1314663
777.1721,0.1287453
779.1006,0.1248997
781.0291,0.1205787
782.9575,0.1161204
784.886,0.1117002
786.8145,0.1072021
788.7429,0.1029416
790.6714,0.09921273
792.5999,0.09623434
794.5283,0.09395183
796.4568,0.09245377
798.3853,0.09157819
800.3137,0.09125465
802.2422,0.09133368
804.1707,0.09172781
806.0991,0.09232064
808.0276,0.0925981
809.9561,0.0920924
811.8845,0.09109262
813.813,0.08989592
815.7415,0.08834083
817.6699,0.08661353
819.5984,0.08450571
821.5269,0.08181662
823.4553,0.07881609
825.3838,0.07573601
827.3123,0.07195868
829.2407,0.06807009
831.1692,0.06419774
833.0977,0.0599639
835.0261,0.055825
836.9546,0.05208776
838.8831,0.04832651
840.8115,0.04406916
842.74,0.0398373
844.6685,0.03599484
846.5969,0.03255155
848.5254,0.02972035
850.4539,0.02781135
852.3823,0.02604237
854.3108,0.02452039
856.2393,0.02314425
858.1677,0.02197598
860.0962,0.02112729
862.0247,0.02057453
863.9531,0.02021348
865.8816,0.0195485
867.8101,0.01893678
869.7385,0.01867329
871.667,0.01864798
873.5955,0.01855076
875.5239,0.01850217
877.4524,0.01862817
879.3809,0.01863281
881.3093,0.01853957
883.2378,0.0185048
885.1663,0.01882648
887.0947,0.01906154
889.0232,0.01934431
890.9517,0.01975029
892.8801,0.02001175
