x,y
399.1926,0.0
401.1211,0.1995923
403.0496,0.2005045
404.978,0.2031467
406.9065,0.2036944
408.835,0.1960622
410.7634,0.1989399
412.6919,0.2039116
414.6204,0.2101521
416.5488,0.2168184
418.4773,0.2219566
420.4058,0.2266742
422.3342,0.2301469
424.2627,0.2325574
426.1912,0.237478
428.1196,0.2374028
430.0481,0.2399775
431.9766,0.2455728
433.905,0.2522269
435.8335,0.2534333
437.762,0.2558246
439.6904,0.2596884
441.6189,0.2651655
443.5474,0.2665517
445.4758,0.2701239
447.4043,0.2740576
449.3328,0.2760566
451.2612,0.2762524
453.1897,0.2770061
455.1182,0.2739646
457.0466,0.2701943
458.9751,0.2639332
460.9036,0.2570218
462.832,0.2485635
464.7605,0.2408488
466.689,0.23586
468.6174,0.2354244
470.5459,0.2352804
472.4744,0.2378557
474.4028,0.2426985
476.3313,0.2470939
478.2598,0.250172
480.1882,0.2514856
482.1167,0.2521248
484.0452,0.2516884
485.9736,0.2495551
487.9021,0.2472328
489.8306,0.2443495
491.759,0.2415737
493.6875,0.237396
495.616,0.2319948
497.5444,0.2246999
499.4729,0.2196219
501.4014,0.2192269
503.3298,0.2228344
505.2583,0.2288413
507.1868,0.2361685
509.1152,0.2437303
511.0437,0.2524412
512.9722,0.2610603
514.9006,0.2680092
516.8291,0.274593
518.7576,0.2800148
520.686,0.2834585
522.6145,0.2874609
524.543,0.2903834
526.4714,0.291866
528.3999,0.2918497
530.3284,0.289441
532.2568,0.2827807
534.1853,0.2757468
536.1138,0.2701909
538.0422,0.265823
539.9707,0.2614953
541.8992,0.2612321
543.8276,0.2628068
545.7561,0.2658082
547.6846,0.2702539
549.613,0.2744647
551.5415,0.277615
553.47,0.2796921
555.3984,0.2792786
557.3269,0.2782153
559.2554,0.2769939
561.1838,0.2749243
563.1123,0.2722724
565.0408,0.2692414
566.9692,0.2656738
568.8977,0.2629082
570.8262,0.261292
572.7546,0.2606727
574.6831,0.2610572
576.6116,0.26407
578.54,0.2692916
580.4685,0.2748508
582.397,0.2806017
584.3254,0.2865517
586.2539,0.291661
588.1824,0.2957856
590.1108,0.2995594
592.0393,0.3029055
593.9678,0.3029333
595.8962,0.2998327
597.8247,0.2940056
599.7532,0.2841979
601.6816,0.2727867
603.6101,0.2623669
605.5386,0.2533619
607.467,0.2458813
609.3955,0.240333
611.324,0.2350806
613.2524,0.2301883
615.1809,0.2263475
617.1094,0.2234681
619.0378,0.2219837
620.9663,0.2214623
622.8948,0.2212987
624.8232,0.2214653
626.7517,0.2227723
628.6802,0.225286
630.6086,0.2287959
632.5371,0.2332067
634.4656,0.2393362
636.394,0.2475331
638.3225,0.2552058
640.251,0.2602291
642.1794,0.2639141
644.1079,0.2678686
646.0364,0.2704518
647.9648,0.2679175
649.8933,0.2578405
651.8218,0.2423288
653.7502,0.2258236
655.6787,0.2102555
657.6072,0.1967141
659.5356,0.1854111
661.4641,0.1762025
663.3926,0.168252
665.321,0.1613339
667.2495,0.1552552
669.178,0.1493914
671.1064,0.1442748
673.0349,0.1399264
674.9634,0.1358006
676.8918,0.131934
678.8203,0.1284047
680.7488,0.1248205
682.6772,0.1213637
684.6057,0.1180032
686.5342,0.1148788
688.4626,0.112078
690.3911,0.1092863
692.3196,0.1061936
694.248,0.1030704
696.1765,0.1005075
698.105,0.0984474
700.0334,0.09644337
701.9619,0.09470079
703.8904,0.09313344
705.8188,0.09188976
707.7473,0.091364
709.6758,0.09178058
711.6042,0.0928544
713.5327,0.09402124
715.4612,0.09525181
717.3896,0.09685601
719.3181,0.09858279
721.2466,0.1002881
723.175,0.1023199
725.1035,0.1043182
727.032,0.1064795
728.9604,0.10875
730.8889,0.1111365
732.8174,0.1139744
734.7458,0.1171604
736.6743,0.1202153
738.6028,0.1235878
740.5313,0.1276268
742.4597,0.1323529
744.3882,0.1374789
746.3167,0.1431243
748.2451,0.1493192
750.1736,0.1564766
752.1021,0.1645404
754.0305,0.1731258
755.959,0.1816842
757.8875,0.1888791
759.8159,0.1940907
761.7444,0.1965032
763.6729,0.1944984
765.6013,0.18736
767.5298,0.1764642
769.4583,0.1630964
771.3867,0.1491063
773.3152,0.1355534
775.2437,0.12329
777.1721,0.1123677
779.1006,0.1028631
781.0291,0.09496662
782.9575,0.08858255
784.886,0.08325023
786.8145,0.07872891
788.7429,0.07473795
790.6714,0.07086875
792.5999,0.06714696
794.5283,0.06360272
796.4568,0.06017385
798.3853,0.05641295
800.3137,0.0521983
802.2422,0.04806639
804.1707,0.04423387
806.0991,0.04040513
808.0276,0.0370267
809.9561,0.03411815
811.8845,0.0313147
813.813,0.02871699
815.7415,0.02658401
817.6699,0.02500376
819.5984,0.02367667
821.5269,0.0227048
823.4553,0.02189384
825.3838,0.02101723
827.3123,0.02045587
829.2407,0.02014982
831.1692,0.01979945
833.0977,0.01944674
835.0261,0.01930211
836.9546,0.01895134
838.8831,0.01867726
840.8115,0.0184589
842.74,0.01814545
844.6685,0.01787925
846.5969,0.0176268
848.5254,0.01741188
850.4539,0.01725374
852.3823,0.01726821
854.3108,0.01706014
856.2393,0.01690667
858.1677,0.01688522
860.0962,0.01674511
862.0247,0.01642432
863.9531,0.01629619
865.8816,0.01616174
867.8101,0.01578806
869.7385,0.01567684
871.667,0.01542148
873.5955,0.01482908
875.5239,0.01408208
877.4524,0.01377201
879.3809,0.0135689
881.3093,0.01324189
883.2378,0.01312225
885.1663,0.01279923
887.0947,0.01229616
889.0232,0.01204321
890.9517,0.01203917
892.8801,0.01195265
894.8085,0.01184968
896.737,0.01169074
898.6655,0.01148188
900.5939,0.01137807
902.5224,0.011149
904.4509,0.01085533
906.3793,0.01084185
908.3078,0.01085596
910.2363,0.01083643
912.1647,0.0106523
914.0932,0.01035372
916.0217,0.01022753
917.9501,0.01019198
919.8786,0.01011823
921.8071,0.01009392
923.7355,0.01006743
925.664,0.009942094
927.5925,0.009907568
929.5209,0.009883363
931.4494,0.009798829
933.3779,0.009788432
935.3063,0.009679828
937.2348,0.009485695
939.1633,0.009812656
941.0917,0.009945688
943.0202,0.009787284
944.9487,0.00962643
946.8771,0.009660547
948.8056,0.009808519
950.7341,0.009817728
952.6625,0.009866753
954.591,0.01009495
956.5195,0.01044336
958.4479,0.01075903
960.3764,0.01093992
962.3049,0.0111013
964.2333,0.0114163
966.1618,0.01165162
968.0903,0.01182195
970.0187,0.01214148
971.9472,0.01248493
973.8757,0.01288537
975.8041,0.01322632
977.7326,0.01354048
979.6611,0.01385225
981.5895,0.01410163
983.518,0.01419221
985.4465,0.01459284
987.3749,0.01513504
989.3034,0.01550677
991.2319,0.01555043
993.1603,0.0156356
995.0888,0.01569576
997.0173,0.01571773
998.9457,0.01597656
1000.874,0.01614824
1002.803,0.01607737
1004.731,0.01609995
1006.66,0.01593568
1008.588,0.01577089
1010.517,0.01585633
1012.445,0.01587453
1014.373,0.01587457
1016.302,0.01604444
1018.23,0.01605016
1020.159,0.01582473
1022.087,0.0158488
1024.016,0.01592933
1025.944,0.01579617
1027.873,0.01575478
1029.801,0.01575509
1031.73,0.01577487
1033.658,0.01585162
1035.587,0.01575952
1037.515,0.01574883
1039.444,0.01593904
1041.372,0.01589442
1043.301,0.01589004
1045.229,0.0160903
1047.157,0.01649961
1049.086,0.01697015
1051.014,0.01739389
1052.943,0.0176623
1054.871,0.01762463
1056.8,0.01793472
1058.728,0.01852541
1060.657,0.01898214
1062.585,0.01917523
1064.514,0.01928492
1066.442,0.01936158
1068.371,0.01926828
1070.299,0.01938119
1072.228,0.01964231
1074.156,0.01954893
1076.084,0.01935602
1078.013,0.01929614
1079.941,0.01917971
1081.87,0.01900288
1083.798,0.01898147
1085.727,0.01886767
1087.655,0.01882233
1089.584,0.01892939
1091.512,0.01904618
1093.441,0.01911096
1095.369,0.01904967
1097.298,0.01896808
1099.226,0.01900207
1101.155,0.01904799
1103.083,0.01916459
1105.011,0.01915345
1106.94,0.01906792
1108.868,0.01909447
1110.797,0.01905149
1112.725,0.01909317
1114.654,0.01901829
1116.582,0.01884008
1118.511,0.01877574
1120.439,0.01894061
1122.368,0.01883792
1124.296,0.01865808
1126.225,0.01866602
1128.153,0.01883297
1130.082,0.01903326
1132.01,0.01912226
1133.938,0.01920958
1135.867,0.01936528
1137.795,0.01936492
1139.724,0.01933614
1141.652,0.01953092
1143.581,0.01987062
1145.509,0.020124
1147.438,0.02028883
1149.366,0.02032635
1151.295,0.02037605
1153.223,0.0205867
1155.152,0.02068057
1157.08,0.02066006
1159.009,0.02066941
1160.937,0.02059561
1162.865,0.02053216
1164.794,0.02043657
1166.722,0.02033599
1168.651,0.02017706
1170.579,0.0201893
1172.508,0.02029219
1174.436,0.02045717
1176.365,0.02062696
1178.293,0.02070152
1180.222,0.02088704
1182.15,0.02108265
1184.079,0.02087883
1186.007,0.0207128
1187.936,0.02057184
1189.864,0.0203105
1191.792,0.02004151
1193.721,0.01994541
1195.649,0.01984427
1197.578,0.01960863
1199.506,0.01934513
1201.435,0.01914485
1203.363,0.01882635
1205.292,0.0186247
1207.22,0.01864983
1209.149,0.01860865
1211.077,0.01846209
1213.006,0.01834054
1214.934,0.01831469
1216.863,0.01832625
1218.791,0.01851525
1220.719,0.01866093
1222.648,0.01851404
1224.576,0.01855376
1226.505,0.01894275
1228.433,0.01897832
1230.362,0.01908117
1232.29,0.01943372
1234.219,0.01963613
1236.147,0.01996581
1238.076,0.02023512
1240.004,0.02052626
1241.933,0.02058488
1243.861,0.02077659
1245.79,0.02118718
1247.718,0.0214729
1249.646,0.02168149
1251.575,0.0218657
1253.503,0.02219293
1255.432,0.02263664
1257.36,0.02300492
1259.289,0.02314778
1261.217,0.02329661
1263.146,0.02355813
1265.074,0.02389746
1267.003,0.02426961
1268.931,0.02469641
1270.86,0.02510411
1272.788,0.02518209
1274.717,0.02496242
1276.645,0.02469942
1278.573,0.02443653
1280.502,0.02435613
1282.43,0.0241489
1284.359,0.02371999
1286.287,0.02337451
1288.216,0.02332648
1290.144,0.02322933
1292.073,0.02295589
1294.001,0.02278221
1295.93,0.02272889
