x,y
399.1926,0.0
401.1211,0.07550858
403.0496,0.0758384
404.978,0.07992011
406.9065,0.08311405
408.835,0.08068744
410.7634,0.07898036
412.6919,0.07885093
414.6204,0.07804585
416.5488,0.0770762
418.4773,0.07691663
420.4058,0.07704425
422.3342,0.07629102
424.2627,0.07628556
426.1912,0.07892428
428.1196,0.0782273
430.0481,0.07459538
431.9766,0.07032001
433.905,0.06835748
435.8335,0.06818579
437.762,0.06883588
439.6904,0.07141306
441.6189,0.07558597
443.5474,0.08026691
445.4758,0.08377567
447.4043,0.08658101
449.3328,0.0884938
451.2612,0.09056544
453.1897,0.09220604
455.1182,0.09323939
457.0466,0.09321164
458.9751,0.09230983
460.9036,0.09036323
462.832,0.08791515
464.7605,0.08362632
466.689,0.07754153
468.6174,0.07115196
470.5459,0.06491917
472.4744,0.05880056
474.4028,0.0525209
476.3313,0.04582927
478.2598,0.04022454
480.1882,0.03586759
482.1167,0.03232333
484.0452,0.02972854
485.9736,0.02819356
487.9021,0.02789776
489.8306,0.02783568
491.759,0.02794963
493.6875,0.02804467
495.616,0.02743732
497.5444,0.02617991
499.4729,0.02504231
501.4014,0.02441684
503.3298,0.02455962
505.2583,0.0259407
507.1868,0.02699364
509.1152,0.02863235
511.0437,0.03070859
512.9722,0.03266583
514.9006,0.03521229
516.8291,0.03840191
518.7576,0.04204942
520.686,0.04505294
522.6145,0.04829423
524.543,0.05229484
526.4714,0.05619464
528.3999,0.06007113
530.3284,0.06395904
532.2568,0.06815699
534.1853,0.07197805
536.1138,0.07577698
538.0422,0.07919779
539.9707,0.08140489
541.8992,0.08248803
543.8276,0.08240367
545.7561,0.08086121
547.6846,0.07864884
549.613,0.07566319
551.5415,0.07139525
553.47,0.06626634
555.3984,0.06147482
557.3269,0.05716842
559.2554,0.05314248
561.1838,0.04776892
563.1123,0.04254627
565.0408,0.03815548
566.9692,0.03414863
568.8977,0.03121204
570.8262,0.02904461
572.7546,0.02735034
574.6831,0.02573675
576.6116,0.02481844
578.54,0.0241318
580.4685,0.02320971
582.397,0.02229404
584.3254,0.02108726
586.2539,0.01995903
588.1824,0.0194791
590.1108,0.01928306
592.0393,0.01880461
593.9678,0.01875526
595.8962,0.01922735
597.8247,0.01999569
599.7532,0.02111582
601.6816,0.02230834
603.6101,0.02387992
605.5386,0.02640145
607.467,0.0299175
609.3955,0.0346978
