x,y
399.1926,0.1271946
401.1211,0.1247588
403.0496,0.1253586
404.978,0.12722
406.9065,0.1319689
408.835,0.1373239
410.7634,0.1409247
412.6919,0.1490665
414.6204,0.1599069
416.5488,0.165008
418.4773,0.1655469
420.4058,0.1670971
422.3342,0.1663757
424.2627,0.1620326
426.1912,0.154741
428.1196,0.1473269
430.0481,0.141019
431.9766,0.1343194
433.905,0.1298112
435.8335,0.1247345
437.762,0.1170271
439.6904,0.1090885
441.6189,0.1025001
443.5474,0.09482171
445.4758,0.08676054
447.4043,0.0784396
449.3328,0.0725007
451.2612,0.06832238
453.1897,0.06577262
455.1182,0.06484413
457.0466,0.06534746
458.9751,0.06662569
460.9036,0.06679474
462.832,0.06762137
464.7605,0.07039505
466.689,0.07326064
468.6174,0.0760361
470.5459,0.07847879
472.4744,0.08127485
474.4028,0.08429565
476.3313,0.08673905
478.2598,0.08866182
480.1882,0.09048539
482.1167,0.09203108
484.0452,0.09388527
485.9736,0.09576247
487.9021,0.09799846
489.8306,0.1000292
491.759,0.1025593
493.6875,0.1051268
495.616,0.1058184
497.5444,0.1062436
499.4729,0.1064456
501.4014,0.1055935
503.3298,0.1047632
505.2583,0.104291
507.1868,0.1033609
509.1152,0.1017281
511.0437,0.1003858
512.9722,0.09891524
514.9006,0.09661683
516.8291,0.0938531
518.7576,0.09197823
520.686,0.0908495
522.6145,0.09061833
524.543,0.09106679
526.4714,0.09196833
528.3999,0.09401166
530.3284,0.09679046
532.2568,0.1007399
534.1853,0.1053702
536.1138,0.1084794
538.0422,0.1108425
539.9707,0.1127238
541.8992,0.1126863
543.8276,0.1106744
545.7561,0.1065865
547.6846,0.1012625
549.613,0.09641886
551.5415,0.0927195
553.47,0.08990173
555.3984,0.08804321
557.3269,0.08709808
559.2554,0.08755057
561.1838,0.08848579
563.1123,0.08901335
565.0408,0.09048095
566.9692,0.09284233
568.8977,0.09428684
570.8262,0.0944432
572.7546,0.09400836
574.6831,0.09246852
576.6116,0.08982987
578.54,0.08761579
580.4685,0.08621556
582.397,0.08553312
584.3254,0.08519602
586.2539,0.08520246
588.1824,0.08545332
590.1108,0.08484052
592.0393,0.08378964
593.9678,0.08371454
595.8962,0.08463768
597.8247,0.08624566
599.7532,0.08899612
601.6816,0.09281605
603.6101,0.09701052
605.5386,0.1012915
607.467,0.105771
609.3955,0.109556
611.324,0.1120734
613.2524,0.1130412
615.1809,0.1137615
617.1094,0.1146617
619.0378,0.1155499
620.9663,0.1155792
622.8948,0.114965
624.8232,0.1138033
626.7517,0.1121788
628.6802,0.1096888
630.6086,0.1062489
632.5371,0.1024912
634.4656,0.09812622
636.394,0.09326622
638.3225,0.08843251
640.251,0.08315282
642.1794,0.07879733
644.1079,0.07564738
646.0364,0.07295104
647.9648,0.07058157
649.8933,0.06901979
651.8218,0.06778538
653.7502,0.06692631
655.6787,0.06625064
657.6072,0.06594822
659.5356,0.06640895
661.4641,0.06730528
663.3926,0.06845264
665.321,0.06988949
667.2495,0.0715353
669.178,0.07170587
671.1064,0.07025042
673.0349,0.06857595
674.9634,0.06780849
676.8918,0.06811592
678.8203,0.06917279
680.7488,0.07169678
682.6772,0.07520863
684.6057,0.07903703
686.5342,0.08232593
688.4626,0.08322711
690.3911,0.08177175
692.3196,0.07876552
694.248,0.07456143
696.1765,0.07014671
