x,y
399.1926,0.1707201
401.1211,0.1713509
403.0496,0.1721747
404.978,0.1736261
406.9065,0.1702745
408.835,0.1642911
410.7634,0.1560542
412.6919,0.1490938
414.6204,0.1400586
416.5488,0.133085
418.4773,0.1254861
420.4058,0.1161156
422.3342,0.1066855
424.2627,0.0974281
426.1912,0.09006245
428.1196,0.08429635
430.0481,0.07725943
431.9766,0.06824018
433.905,0.06082505
435.8335,0.05456331
437.762,0.04906315
439.6904,0.04423414
441.6189,0.03940979
443.5474,0.03487987
445.4758,0.03130985
447.4043,0.02903909
449.3328,0.02668202
451.2612,0.0245093
453.1897,0.02357979
455.1182,0.02275388
457.0466,0.02121085
458.9751,0.02019659
460.9036,0.02000778
462.832,0.01930812
464.7605,0.01879728
466.689,0.01873823
468.6174,0.01853331
470.5459,0.01845183
472.4744,0.01837148
474.4028,0.01841804
476.3313,0.01818136
478.2598,0.01785362
480.1882,0.01801507
482.1167,0.01809853
484.0452,0.01802888
485.9736,0.01799095
487.9021,0.01833392
489.8306,0.01825924
491.759,0.01808308
493.6875,0.01856888
495.616,0.01869036
497.5444,0.01895834
499.4729,0.01921588
501.4014,0.01918541
503.3298,0.01948771
505.2583,0.01998122
507.1868,0.02028583
509.1152,0.02085723
511.0437,0.02119742
512.9722,0.02151671
514.9006,0.02226668
516.8291,0.02262769
518.7576,0.02305931
520.686,0.02408526
522.6145,0.02480643
524.543,0.02558713
526.4714,0.0267213
528.3999,0.02792412
530.3284,0.02902763
532.2568,0.03043578
534.1853,0.03213736
536.1138,0.03352918
538.0422,0.0349597
539.9707,0.03603556
541.8992,0.03684931
543.8276,0.03776139
545.7561,0.03859967
547.6846,0.03975148
549.613,0.04130466
551.5415,0.04254629
553.47,0.04364582
555.3984,0.04441331
557.3269,0.04524751
559.2554,0.04709278
561.1838,0.04940019
563.1123,0.05164909
565.0408,0.05356776
566.9692,0.05401093
568.8977,0.05353518
570.8262,0.05303041
572.7546,0.05328267
574.6831,0.05417674
576.6116,0.05543554
578.54,0.05707575
580.4685,0.05852229
582.397,0.06000036
584.3254,0.06147927
586.2539,0.06307577
588.1824,0.06484949
590.1108,0.06662416
592.0393,0.06839117
593.9678,0.07028772
595.8962,0.07235809
597.8247,0.07402725
599.7532,0.0757584
601.6816,0.07746296
603.6101,0.0793385
605.5386,0.08114436
607.467,0.08300651
609.3955,0.08519965
611.324,0.08697478
613.2524,0.08834273
615.1809,0.09005011
617.1094,0.09205886
619.0378,0.09386276
620.9663,0.09552744
622.8948,0.09734069
624.8232,0.09949375
626.7517,0.1017686
628.6802,0.1035639
630.6086,0.105255
632.5371,0.1071954
634.4656,0.1092231
636.394,0.1113238
638.3225,0.1136139
640.251,0.1158551
642.1794,0.1179523
644.1079,0.1200902
646.0364,0.122347
647.9648,0.1249291
649.8933,0.1272397
651.8218,0.1293148
653.7502,0.1316611
655.6787,0.13427
657.6072,0.1366142
659.5356,0.1388043
661.4641,0.1414084
663.3926,0.1441516
665.321,0.1470365
667.2495,0.149388
669.178,0.1517745
671.1064,0.1545406
673.0349,0.1569377
674.9634,0.1592473
676.8918,0.1619594
678.8203,0.1646495
680.7488,0.1674377
682.6772,0.1702299
684.6057,0.1727257
686.5342,0.1753049
688.4626,0.1779931
690.3911,0.1809223
692.3196,0.1839505
694.248,0.1869496
696.1765,0.1897653
698.105,0.1926646
700.0334,0.1960347
701.9619,0.1992505
703.8904,0.2019586
705.8188,0.2052708
707.7473,0.2087424
709.6758,0.2122749
711.6042,0.2151935
713.5327,0.2178151
715.4612,0.221018
717.3896,0.2244691
719.3181,0.2277806
721.2466,0.2308938
723.175,0.2341897
725.1035,0.2376426
727.032,0.2414571
