x,y
399.1926,0.0
401.1211,0.3316308
403.0496,0.3332191
404.978,0.331122
406.9065,0.3352649
408.835,0.3410215
410.7634,0.352309
412.6919,0.3604323
414.6204,0.3610347
416.5488,0.3598146
418.4773,0.3603821
420.4058,0.3598128
422.3342,0.3590415
424.2627,0.3637817
426.1912,0.3629281
428.1196,0.3595949
430.0481,0.356611
431.9766,0.3531642
433.905,0.3559315
435.8335,0.360734
437.762,0.3655102
439.6904,0.3715597
441.6189,0.3731571
443.5474,0.3733401
445.4758,0.3770346
447.4043,0.3805625
449.3328,0.3851783
451.2612,0.3859843
453.1897,0.3828369
455.1182,0.3806566
457.0466,0.3822379
458.9751,0.3831518
460.9036,0.3785988
462.832,0.3721637
464.7605,0.364066
466.689,0.3572254
468.6174,0.3482616
470.5459,0.3354431
472.4744,0.3235328
474.4028,0.3134587
476.3313,0.3024706
478.2598,0.2930517
480.1882,0.2857852
482.1167,0.2798201
484.0452,0.2749613
485.9736,0.2731888
487.9021,0.2738599
489.8306,0.2760732
491.759,0.2793991
493.6875,0.2827244
495.616,0.2901047
497.5444,0.2971833
499.4729,0.304427
501.4014,0.3133815
503.3298,0.3227504
505.2583,0.3303615
507.1868,0.335705
509.1152,0.337035
511.0437,0.3344677
512.9722,0.3315594
514.9006,0.3267064
516.8291,0.3193247
518.7576,0.3096177
520.686,0.3001652
522.6145,0.2920459
524.543,0.2835484
526.4714,0.2731803
528.3999,0.2638265
530.3284,0.2561156
532.2568,0.2482923
534.1853,0.2392201
536.1138,0.2318019
538.0422,0.2248518
539.9707,0.2174523
541.8992,0.2108121
543.8276,0.2051311
545.7561,0.2004044
547.6846,0.1955657
549.613,0.1903913
551.5415,0.1860847
553.47,0.1823453
555.3984,0.1781583
557.3269,0.1737332
559.2554,0.1695359
561.1838,0.1658625
563.1123,0.1635272
565.0408,0.1612621
566.9692,0.1580373
568.8977,0.1553783
570.8262,0.1536985
572.7546,0.1512824
574.6831,0.1491591
576.6116,0.1481865
578.54,0.1465793
580.4685,0.1456648
582.397,0.1451895
584.3254,0.1447992
586.2539,0.1448926
588.1824,0.1444974
590.1108,0.1445331
592.0393,0.1452496
593.9678,0.1459117
595.8962,0.1462269
597.8247,0.1462601
599.7532,0.146557
601.6816,0.1476434
603.6101,0.1488175
605.5386,0.1494197
607.467,0.1496013
609.3955,0.1499875
611.324,0.1505317
613.2524,0.150919
615.1809,0.1506184
617.1094,0.1499093
619.0378,0.1492386
620.9663,0.1482421
622.8948,0.146686
624.8232,0.1446079
626.7517,0.1426221
628.6802,0.1413066
630.6086,0.1412055
632.5371,0.1417496
634.4656,0.1429985
636.394,0.1440667
638.3225,0.1447563
640.251,0.1456469
642.1794,0.14659
644.1079,0.1471233
646.0364,0.1473356
647.9648,0.1473681
649.8933,0.1474448
651.8218,0.147569
653.7502,0.1479453
655.6787,0.1482846
657.6072,0.148515
659.5356,0.1487868
661.4641,0.1488745
663.3926,0.1490562
665.321,0.1494045
667.2495,0.149795
669.178,0.1500745
671.1064,0.1500755
673.0349,0.1500647
674.9634,0.1494987
676.8918,0.1486282
678.8203,0.1479628
680.7488,0.1473802
682.6772,0.1466328
684.6057,0.1458456
686.5342,0.1447385
688.4626,0.1439956
690.3911,0.143396
692.3196,0.1424875
694.248,0.1418046
696.1765,0.1414068
698.105,0.1407148
700.0334,0.1398983
701.9619,0.1392902
703.8904,0.138708
705.8188,0.1381723
707.7473,0.1379658
709.6758,0.1378386
711.6042,0.1376697
713.5327,0.1371768
715.4612,0.1362013
717.3896,0.136057
719.3181,0.136336
721.2466,0.1362738
723.175,0.1362122
725.1035,0.1368247
727.032,0.1381852
728.9604,0.1396636
730.8889,0.1411741
732.8174,0.1430679
734.7458,0.1453675
736.6743,0.1474909
738.6028,0.1491814
740.5313,0.1508632
742.4597,0.1519186
744.3882,0.1520434
746.3167,0.1513976
748.2451,0.1498004
750.1736,0.1475555
752.1021,0.1445341
754.0305,0.1411813
755.959,0.1376204
757.8875,0.1337972
759.8159,0.1306461
761.7444,0.1281171
763.6729,0.1259566
765.6013,0.1246502
767.5298,0.1240577
769.4583,0.1241066
771.3867,0.1246948
773.3152,0.1257141
775.2437,0.1269423
777.1721,0.1283582
779.1006,0.1294839
781.0291,0.1305427
782.9575,0.1320203
784.886,0.133807
786.8145,0.1355944
788.7429,0.137297
790.6714,0.1389544
792.5999,0.1408285
794.5283,0.1426393
796.4568,0.1443514
798.3853,0.1462779
800.3137,0.1475222
802.2422,0.1481736
804.1707,0.1489956
806.0991,0.1498611
808.0276,0.1508277
809.9561,0.1518089
811.8845,0.1532808
813.813,0.1549858
815.7415,0.1561458
817.6699,0.1563213
819.5984,0.155741
821.5269,0.1544608
823.4553,0.1521818
825.3838,0.148719
827.3123,0.1450137
829.2407,0.1413689
831.1692,0.1380398
833.0977,0.1355041
835.0261,0.1334383
836.9546,0.13213
838.8831,0.1317192
840.8115,0.131658
842.74,0.1321538
844.6685,0.1333811
846.5969,0.1353133
848.5254,0.1375519
850.4539,0.1401437
852.3823,0.143333
854.3108,0.1470438
856.2393,0.1513657
858.1677,0.1557496
860.0962,0.1601679
862.0247,0.165063
863.9531,0.1700239
865.8816,0.1751847
867.8101,0.1802386
869.7385,0.1854411
871.667,0.1911037
873.5955,0.196877
875.5239,0.2026379
877.4524,0.2084821
879.3809,0.2140241
881.3093,0.2197877
883.2378,0.2256307
