x,y
399.1926,0.0
401.1211,0.147708
403.0496,0.1482349
404.978,0.1577219
406.9065,0.1636178
408.835,0.1696363
410.7634,0.1754361
412.6919,0.1784842
414.6204,0.1811644
416.5488,0.1805221
418.4773,0.1758176
420.4058,0.1649181
422.3342,0.1475492
424.2627,0.1299461
426.1912,0.1141017
428.1196,0.09913155
430.0481,0.08561415
431.9766,0.07526381
433.905,0.07045158
435.8335,0.06975734
437.762,0.07290421
439.6904,0.07907233
441.6189,0.08322459
443.5474,0.07968942
445.4758,0.06754702
447.4043,0.05537413
449.3328,0.04732612
451.2612,0.0421349
453.1897,0.03812172
455.1182,0.03546038
457.0466,0.03584426
458.9751,0.03701912
460.9036,0.03853451
462.832,0.04091899
464.7605,0.04443674
466.689,0.04849726
468.6174,0.05288939
470.5459,0.05806773
472.4744,0.06583526
474.4028,0.07376131
476.3313,0.08132491
478.2598,0.09022491
480.1882,0.09821732
482.1167,0.1045331
484.0452,0.1093542
485.9736,0.1116607
487.9021,0.1117598
489.8306,0.109509
491.759,0.1063187
493.6875,0.1041777
495.616,0.1021956
497.5444,0.100605
499.4729,0.1009762
501.4014,0.1026656
503.3298,0.1043348
505.2583,0.1056977
507.1868,0.1060256
509.1152,0.1045505
511.0437,0.1013251
512.9722,0.09685192
514.9006,0.09125385
516.8291,0.08475696
518.7576,0.07749655
520.686,0.07079188
522.6145,0.06543626
524.543,0.06226264
526.4714,0.06117833
528.3999,0.06130363
530.3284,0.06200248
532.2568,0.06306297
534.1853,0.06467121
536.1138,0.06737194
538.0422,0.0704347
539.9707,0.07219299
541.8992,0.07205644
543.8276,0.07173934
545.7561,0.07162048
547.6846,0.07054328
549.613,0.06826808
551.5415,0.06612194
553.47,0.06481972
555.3984,0.06375604
557.3269,0.06302503
559.2554,0.06259351
561.1838,0.0626392
563.1123,0.06317268
565.0408,0.06460681
566.9692,0.06677818
568.8977,0.07071871
570.8262,0.07635869
572.7546,0.08234069
574.6831,0.08731076
576.6116,0.08948216
578.54,0.08814012
580.4685,0.08411574
582.397,0.07996967
584.3254,0.07651962
586.2539,0.07472581
588.1824,0.07549221
590.1108,0.07908398
592.0393,0.08477535
593.9678,0.09197145
595.8962,0.09936514
597.8247,0.1046556
599.7532,0.1066194
601.6816,0.1063603
603.6101,0.1054628
605.5386,0.1043656
607.467,0.1040565
609.3955,0.105179
611.324,0.1082731
613.2524,0.1128201
615.1809,0.1176039
617.1094,0.1222284
619.0378,0.1254761
620.9663,0.1264713
622.8948,0.1245562
624.8232,0.1203067
626.7517,0.1139952
628.6802,0.1062849
630.6086,0.09797117
632.5371,0.09009591
634.4656,0.08241393
636.394,0.07525215
638.3225,0.06914674
640.251,0.06471699
642.1794,0.06143372
644.1079,0.05937256
646.0364,0.05847772
647.9648,0.05826297
649.8933,0.05836591
651.8218,0.05891132
653.7502,0.05889623
655.6787,0.05815619
657.6072,0.05693336
659.5356,0.05521444
661.4641,0.0534907
663.3926,0.05234541
665.321,0.0516071
667.2495,0.05162351
669.178,0.05297043
671.1064,0.05570514
673.0349,0.05919363
674.9634,0.06273001
676.8918,0.06529627
