x,y
399.1926,0.0
401.1211,0.1471538
403.0496,0.1478295
404.978,0.1490853
406.9065,0.1554838
408.835,0.1627807
410.7634,0.1595293
412.6919,0.1587282
414.6204,0.1626072
416.5488,0.1680885
418.4773,0.1715265
420.4058,0.1738971
422.3342,0.1761274
424.2627,0.1763616
426.1912,0.1780084
428.1196,0.1830612
430.0481,0.1860681
431.9766,0.1885324
433.905,0.1920134
435.8335,0.1941852
437.762,0.1956148
439.6904,0.1956785
441.6189,0.1968944
443.5474,0.1992097
445.4758,0.1990526
447.4043,0.1991276
449.3328,0.1983615
451.2612,0.2001865
453.1897,0.2009202
455.1182,0.2002653
457.0466,0.2005507
458.9751,0.1980997
460.9036,0.19501
462.832,0.1927542
464.7605,0.1891751
466.689,0.1840654
468.6174,0.1786747
470.5459,0.1720493
472.4744,0.1630671
474.4028,0.1539391
476.3313,0.1447707
478.2598,0.1355251
480.1882,0.1259825
482.1167,0.1167291
484.0452,0.1086792
485.9736,0.1009517
487.9021,0.09395601
489.8306,0.08820216
491.759,0.08224941
493.6875,0.07690057
495.616,0.07291862
497.5444,0.06924452
499.4729,0.06573064
501.4014,0.06276388
503.3298,0.05981508
505.2583,0.05686099
507.1868,0.05437546
509.1152,0.05251085
511.0437,0.05082557
512.9722,0.04911765
514.9006,0.04823562
516.8291,0.04786711
518.7576,0.0471829
520.686,0.0465123
522.6145,0.04625225
524.543,0.0464476
526.4714,0.04664492
528.3999,0.04654607
530.3284,0.04680321
532.2568,0.04704088
534.1853,0.04655435
536.1138,0.04687015
538.0422,0.0473824
539.9707,0.04705675
541.8992,0.04688717
543.8276,0.04677543
545.7561,0.04640736
547.6846,0.04631906
549.613,0.04622825
551.5415,0.04545044
553.47,0.04488127
555.3984,0.04485438
557.3269,0.04453781
559.2554,0.04409436
561.1838,0.04390364
563.1123,0.04376977
565.0408,0.04300543
566.9692,0.04215569
568.8977,0.04149588
570.8262,0.04060807
572.7546,0.0400562
574.6831,0.03974216
576.6116,0.03887316
578.54,0.03792399
580.4685,0.03706704
582.397,0.03620263
584.3254,0.03547356
586.2539,0.03493005
588.1824,0.03484433
590.1108,0.03448421
592.0393,0.0335688
593.9678,0.03281998
595.8962,0.03242369
597.8247,0.03219667
599.7532,0.03166214
601.6816,0.03111513
603.6101,0.03065772
605.5386,0.03041305
607.467,0.03025863
609.3955,0.02991722
611.324,0.02905739
613.2524,0.02851644
615.1809,0.02857539
617.1094,0.02830609
619.0378,0.02803305
620.9663,0.0279888
622.8948,0.02778632
624.8232,0.02750422
626.7517,0.02709537
628.6802,0.02674043
630.6086,0.02642093
632.5371,0.02623122
634.4656,0.02643887
636.394,0.0265013
638.3225,0.02639639
640.251,0.02620561
642.1794,0.02604216
644.1079,0.02615442
646.0364,0.02630752
647.9648,0.02633986
649.8933,0.0262802
651.8218,0.02635255
653.7502,0.02652703
655.6787,0.02674403
657.6072,0.02681021
659.5356,0.02682026
661.4641,0.02685581
663.3926,0.02677564
665.321,0.0266571
667.2495,0.02688457
669.178,0.02708311
671.1064,0.02708993
673.0349,0.02713309
674.9634,0.02715382
676.8918,0.02731075
678.8203,0.02730396
680.7488,0.02722218
682.6772,0.02737585
684.6057,0.02753397
686.5342,0.02752206
688.4626,0.02753125
690.3911,0.02759326
692.3196,0.02774015
694.248,0.02800985
696.1765,0.02812093
698.105,0.02832187
700.0334,0.02846324
701.9619,0.02837389
703.8904,0.02864608
705.8188,0.02887368
707.7473,0.02905459
709.6758,0.02907708
711.6042,0.02917712
713.5327,0.02948983
715.4612,0.02970752
717.3896,0.02984291
719.3181,0.02996455
721.2466,0.02997741
723.175,0.03012787
725.1035,0.03036454
727.032,0.03066363
728.9604,0.03102448
730.8889,0.03106663
732.8174,0.03124008
734.7458,0.03155147
736.6743,0.03166561
738.6028,0.03204681
740.5313,0.03222387
742.4597,0.03231552
744.3882,0.0326447
746.3167,0.03300248
748.2451,0.03317768
750.1736,0.03347563
752.1021,0.03391428
754.0305,0.03424287
755.959,0.0346113
757.8875,0.03499571
759.8159,0.03554212
761.7444,0.03634669
763.6729,0.03697404
765.6013,0.03795384
767.5298,0.03947951
769.4583,0.04132693
771.3867,0.04402097
773.3152,0.04737502
775.2437,0.05074612
777.1721,0.05424895
779.1006,0.05777287
781.0291,0.0606217
782.9575,0.0627678
784.886,0.06474414
786.8145,0.06611583
788.7429,0.0670872
790.6714,0.06781245
792.5999,0.06804111
794.5283,0.06802915
796.4568,0.06798101
798.3853,0.06755983
800.3137,0.0667678
802.2422,0.06559361
804.1707,0.06428531
806.0991,0.06291928
808.0276,0.06145705
809.9561,0.05990934
811.8845,0.05820389
813.813,0.0562763
815.7415,0.05425165
817.6699,0.052191
819.5984,0.05029494
821.5269,0.04831004
823.4553,0.04592574
825.3838,0.04378734
827.3123,0.04194883
829.2407,0.03991337
831.1692,0.03787827
833.0977,0.03594594
835.0261,0.03408608
836.9546,0.03234531
838.8831,0.03074917
840.8115,0.02883283
842.74,0.0270297
844.6685,0.02556568
846.5969,0.02435322
848.5254,0.0235091
850.4539,0.02290232
852.3823,0.02236249
854.3108,0.02200485
856.2393,0.02191147
858.1677,0.0219662
860.0962,0.02197543
862.0247,0.02184064
863.9531,0.02190226
865.8816,0.02224797
867.8101,0.02241174
869.7385,0.02270759
871.667,0.02347515
873.5955,0.02401217
875.5239,0.02439917
877.4524,0.02491701
879.3809,0.02555006
881.3093,0.02632501
883.2378,0.02702877
885.1663,0.02779639
887.0947,0.02848024
889.0232,0.02921506
890.9517,0.03000446
892.8801,0.03087696
894.8085,0.03167026
896.737,0.03251408
898.6655,0.0333781
900.5939,0.03428356
902.5224,0.03550788
904.4509,0.03669079
906.3793,0.03752141
908.3078,0.03845379
910.2363,0.03943686
912.1647,0.04051219
914.0932,0.04159993
916.0217,0.04258091
917.9501,0.04339165
919.8786,0.04417745
921.8071,0.04521997
923.7355,0.04642047
925.664,0.04745678
927.5925,0.04841016
929.5209,0.04942014
931.4494,0.05052847
933.3779,0.05154752
935.3063,0.05245438
937.2348,0.05336577
939.1633,0.05419515
941.0917,0.05487131
943.0202,0.0556065
944.9487,0.05640023
946.8771,0.05712676
948.8056,0.0577872
950.7341,0.05854176
952.6625,0.05917196
954.591,0.05995382
956.5195,0.06091099
958.4479,0.0617449
960.3764,0.06277046
962.3049,0.06407306
964.2333,0.06555034
966.1618,0.06713519
968.0903,0.06895528
970.0187,0.0710483
971.9472,0.07352395
973.8757,0.07644635
975.8041,0.07973308
977.7326,0.08312108
979.6611,0.08689509
981.5895,0.09136691
983.518,0.09621503
985.4465,0.1012982
987.3749,0.1067407
989.3034,0.1127398
991.2319,0.1190881
993.1603,0.1257303
995.0888,0.1325919
997.0173,0.1398377
998.9457,0.1472045
1000.874,0.1545809
1002.803,0.1623894
1004.731,0.1703856
1006.66,0.1782799
1008.588,0.1862563
1010.517,0.1941146
1012.445,0.2017704
1014.373,0.2091412
1016.302,0.2165966
1018.23,0.2239823
1020.159,0.2309221
1022.087,0.2374707
1024.016,0.2437381
1025.944,0.2501033
1027.873,0.2560457
1029.801,0.26156
1031.73,0.2669224
1033.658,0.2721912
1035.587,0.2766933
1037.515,0.2808403
1039.444,0.2847153
1041.372,0.2879243
1043.301,0.2908342
1045.229,0.2933292
1047.157,0.2955348
1049.086,0.297383
1051.014,0.2988612
1052.943,0.2999179
1054.871,0.3008051
1056.8,0.3015118
1058.728,0.3017896
1060.657,0.3019271
1062.585,0.3018321
1064.514,0.3013405
1066.442,0.3007601
1068.371,0.3004381
1070.299,0.2996545
1072.228,0.2984804
1074.156,0.2972074
1076.084,0.2958016
1078.013,0.2943366
1079.941,0.2928886
1081.87,0.2911071
1083.798,0.2888527
1085.727,0.286697
1087.655,0.2844018
1089.584,0.2817343
1091.512,0.2787982
1093.441,0.2755192
1095.369,0.2717469
1097.298,0.2676625
1099.226,0.2630365
1101.155,0.2578995
1103.083,0.2526076
1105.011,0.2468925
1106.94,0.240186
1108.868,0.2327934
1110.797,0.2251847
1112.725,0.2172727
1114.654,0.2095615
1116.582,0.2018599
1118.511,0.1942617
1120.439,0.1874171
1122.368,0.1809762
1124.296,0.1748658
1126.225,0.1693793
1128.153,0.164396
1130.082,0.1597383
1132.01,0.1554678
1133.938,0.1515558
1135.867,0.1478941
1137.795,0.1443535
1139.724,0.1411047
1141.652,0.1379362
1143.581,0.1351146
1145.509,0.1328603
1147.438,0.1305271
1149.366,0.1280208
1151.295,0.1255901
1153.223,0.1236739
1155.152,0.1218356
1157.08,0.119917
1159.009,0.1182449
1160.937,0.1165021
1162.865,0.1147633
1164.794,0.1129
1166.722,0.1111223
1168.651,0.1096055
1170.579,0.1082668
1172.508,0.1068685
1174.436,0.1054109
1176.365,0.1039627
1178.293,0.1024351
1180.222,0.1008666
1182.15,0.09947104
1184.079,0.09815346
1186.007,0.09674491
1187.936,0.09542219
1189.864,0.09410175
1191.792,0.09275601
1193.721,0.09140105
1195.649,0.09016603
1197.578,0.08896761
1199.506,0.08755516
1201.435,0.08602814
1203.363,0.08443915
1205.292,0.08301529
1207.22,0.08166999
1209.149,0.08021004
1211.077,0.07846498
1213.006,0.07676846
1214.934,0.07519826
1216.863,0.07341359
1218.791,0.07133944
1220.719,0.06942366
1222.648,0.06758795
1224.576,0.06563697
1226.505,0.0634933
1228.433,0.06133054
1230.362,0.0590188
1232.29,0.05667475
1234.219,0.05432861
