x,y
399.1926,0.0
401.1211,0.3741995
403.0496,0.3759266
404.978,0.3670911
406.9065,0.3908054
408.835,0.3947157
410.7634,0.3789044
412.6919,0.3866698
414.6204,0.4020177
416.5488,0.3993585
418.4773,0.3972951
420.4058,0.3969198
422.3342,0.4064385
424.2627,0.4098873
426.1912,0.4029328
428.1196,0.4049321
430.0481,0.4054986
431.9766,0.396023
433.905,0.3884862
435.8335,0.3895852
437.762,0.3892336
439.6904,0.3846211
441.6189,0.3764947
443.5474,0.3691216
445.4758,0.3619338
447.4043,0.3527687
449.3328,0.3442816
451.2612,0.3356597
453.1897,0.3265553
455.1182,0.3163148
457.0466,0.3056199
458.9751,0.2945085
460.9036,0.2820792
462.832,0.2693399
464.7605,0.2584228
466.689,0.2466694
468.6174,0.2353951
470.5459,0.2256172
472.4744,0.2177761
474.4028,0.210144
476.3313,0.2051813
478.2598,0.2037631
480.1882,0.2029376
482.1167,0.201981
484.0452,0.1999821
485.9736,0.197254
487.9021,0.1961863
489.8306,0.1955767
491.759,0.1926469
493.6875,0.1887918
495.616,0.1850763
497.5444,0.1804819
499.4729,0.1759664
501.4014,0.1726627
503.3298,0.1694979
505.2583,0.1664148
507.1868,0.1644108
509.1152,0.1636353
511.0437,0.1629952
512.9722,0.162187
514.9006,0.1623766
516.8291,0.1641294
518.7576,0.1656392
520.686,0.1660746
522.6145,0.167355
524.543,0.1700369
526.4714,0.1731123
528.3999,0.1770616
530.3284,0.1808744
532.2568,0.1847685
534.1853,0.1889635
536.1138,0.1938105
538.0422,0.199608
539.9707,0.2046645
541.8992,0.2099096
543.8276,0.216133
545.7561,0.2227663
547.6846,0.2294567
549.613,0.2362449
551.5415,0.2440144
553.47,0.252572
555.3984,0.2592648
557.3269,0.2655904
559.2554,0.2724695
561.1838,0.2788484
563.1123,0.284689
565.0408,0.2896176
566.9692,0.2945928
568.8977,0.2997059
570.8262,0.3037077
572.7546,0.3077282
574.6831,0.3114162
576.6116,0.3137413
578.54,0.3158987
580.4685,0.3182074
582.397,0.3201196
584.3254,0.3223269
586.2539,0.3239506
588.1824,0.3248216
590.1108,0.3244056
592.0393,0.3235848
593.9678,0.3235898
595.8962,0.3241022
597.8247,0.3243793
599.7532,0.3228655
