x,y
399.1926,0.2342443
401.1211,0.2525735
403.0496,0.2537878
404.978,0.2495888
406.9065,0.2467005
408.835,0.2526646
410.7634,0.2612658
412.6919,0.2593853
414.6204,0.2517207
416.5488,0.2510894
418.4773,0.2585932
420.4058,0.2638599
422.3342,0.2656852
424.2627,0.2674502
426.1912,0.2691806
428.1196,0.2746356
430.0481,0.2844012
431.9766,0.2906855
433.905,0.2928498
435.8335,0.2959053
437.762,0.2995671
439.6904,0.3056818
441.6189,0.3088834
443.5474,0.3106262
445.4758,0.3111795
447.4043,0.309575
449.3328,0.3093626
451.2612,0.3096612
453.1897,0.3067682
455.1182,0.3002381
457.0466,0.2932114
458.9751,0.2862934
460.9036,0.2796636
462.832,0.2710024
464.7605,0.2607817
466.689,0.2499119
468.6174,0.2364531
470.5459,0.2234332
472.4744,0.2111288
474.4028,0.1999604
476.3313,0.1904845
478.2598,0.182352
480.1882,0.1754636
482.1167,0.1713909
484.0452,0.1684961
485.9736,0.1654944
487.9021,0.1623845
489.8306,0.1597705
491.759,0.1568494
493.6875,0.1535066
495.616,0.1507478
497.5444,0.1472688
499.4729,0.1425658
501.4014,0.1392118
503.3298,0.1364772
505.2583,0.1332183
507.1868,0.1304615
509.1152,0.1273772
511.0437,0.1241956
512.9722,0.120938
514.9006,0.1169392
516.8291,0.1135726
518.7576,0.1107379
520.686,0.1079847
522.6145,0.1058391
524.543,0.103457
526.4714,0.1008078
528.3999,0.09914345
530.3284,0.09741702
532.2568,0.09626468
534.1853,0.09579141
536.1138,0.09621401
538.0422,0.09652986
539.9707,0.09640268
541.8992,0.09687416
543.8276,0.09845176
545.7561,0.1000799
547.6846,0.1017667
549.613,0.1040513
551.5415,0.1068257
553.47,0.1106281
555.3984,0.1137106
557.3269,0.1172104
559.2554,0.1213936
561.1838,0.1258579
563.1123,0.1306472
565.0408,0.1353174
566.9692,0.1397156
568.8977,0.1441314
570.8262,0.1486644
572.7546,0.1533023
574.6831,0.1580603
576.6116,0.162158
578.54,0.1664264
580.4685,0.1711275
582.397,0.1756777
584.3254,0.1796314
586.2539,0.1838553
588.1824,0.1883121
590.1108,0.1923885
592.0393,0.1960723
593.9678,0.1990389
595.8962,0.2016475
597.8247,0.2041387
599.7532,0.2066495
601.6816,0.2090688
603.6101,0.2111329
605.5386,0.212193
607.467,0.212716
609.3955,0.2132256
611.324,0.2138416
613.2524,0.2128991
615.1809,0.2110959
617.1094,0.2087885
619.0378,0.2065315
620.9663,0.2039095
622.8948,0.2007919
624.8232,0.1978661
626.7517,0.1956401
628.6802,0.195265
630.6086,0.1973922
632.5371,0.2012332
634.4656,0.2057351
636.394,0.2098194
638.3225,0.2128594
640.251,0.2148679
642.1794,0.2162507
644.1079,0.216539
646.0364,0.2159044
647.9648,0.2153629
649.8933,0.2140676
651.8218,0.2122291
653.7502,0.2105584
655.6787,0.2091968
657.6072,0.2072459
659.5356,0.2047324
661.4641,0.2025147
663.3926,0.2000873
665.321,0.1977073
667.2495,0.1954434
669.178,0.1932798
671.1064,0.1909316
673.0349,0.1887488
674.9634,0.1864264
676.8918,0.1844702
678.8203,0.1823744
680.7488,0.1799373
682.6772,0.1777595
684.6057,0.1759443
686.5342,0.1739024
688.4626,0.171288
690.3911,0.1680571
692.3196,0.1643301
694.248,0.1610707
696.1765,0.1586653
698.105,0.1567434
700.0334,0.1554523
701.9619,0.1547133
703.8904,0.1538018
705.8188,0.1531116
707.7473,0.1526721
709.6758,0.1521641
711.6042,0.1517098
713.5327,0.1509251
715.4612,0.150113
717.3896,0.1494769
719.3181,0.1488123
721.2466,0.1478815
723.175,0.1466608
725.1035,0.1453859
727.032,0.1439946
728.9604,0.1420342
730.8889,0.1402396
732.8174,0.1385809
734.7458,0.1363972
736.6743,0.1338906
738.6028,0.1316138
740.5313,0.1298411
742.4597,0.1282222
744.3882,0.1264434
746.3167,0.1245249
748.2451,0.123146
750.1736,0.1221606
752.1021,0.1212313
754.0305,0.120027
755.959,0.1189224
757.8875,0.1181158
759.8159,0.1173379
761.7444,0.11664
763.6729,0.1159899
765.6013,0.1153623
767.5298,0.1146985
769.4583,0.1139591
771.3867,0.1132429
773.3152,0.1126463
775.2437,0.1121207
777.1721,0.1113808
779.1006,0.1102418
781.0291,0.109199
782.9575,0.1084033
784.886,0.1074458
786.8145,0.1065586
788.7429,0.1058737
790.6714,0.1052424
792.5999,0.1046774
794.5283,0.1041968
796.4568,0.1042027
798.3853,0.104472
800.3137,0.1044496
802.2422,0.1039712
804.1707,0.1034509
806.0991,0.1030108
808.0276,0.1023605
809.9561,0.1012316
811.8845,0.09966808
813.813,0.09728735
815.7415,0.09476613
817.6699,0.09218341
819.5984,0.08974796
821.5269,0.08763236
823.4553,0.08586962
825.3838,0.08444022
827.3123,0.08353779
829.2407,0.08302147
831.1692,0.08223031
833.0977,0.0813254
835.0261,0.08041218
836.9546,0.07925284
838.8831,0.07838876
840.8115,0.07782619
842.74,0.07716706
844.6685,0.0763278
846.5969,0.07515415
848.5254,0.07423531
850.4539,0.07344484
852.3823,0.07215298
854.3108,0.0706918
856.2393,0.06940099
858.1677,0.06820642
860.0962,0.06702455
862.0247,0.06593901
863.9531,0.06489292
