x,y
399.1926,0.2527083
401.1211,0.2454676
403.0496,0.2466477
404.978,0.2540221
406.9065,0.2622884
408.835,0.2591582
410.7634,0.2588592
412.6919,0.2639859
414.6204,0.2696671
416.5488,0.2728516
418.4773,0.2733793
420.4058,0.2764456
422.3342,0.281618
424.2627,0.2861857
426.1912,0.2851049
428.1196,0.2845317
430.0481,0.2875661
431.9766,0.2915766
433.905,0.2941199
435.8335,0.2924768
437.762,0.2920422
439.6904,0.2906598
441.6189,0.2896009
443.5474,0.2891772
445.4758,0.2899792
447.4043,0.288175
449.3328,0.282489
451.2612,0.2781172
453.1897,0.2736079
455.1182,0.2690749
457.0466,0.2633187
458.9751,0.2544172
460.9036,0.2433395
462.832,0.2320724
464.7605,0.2224707
466.689,0.2137578
468.6174,0.2035228
470.5459,0.1916497
472.4744,0.1812567
474.4028,0.1729748
476.3313,0.1661003
478.2598,0.1622935
480.1882,0.1617594
482.1167,0.1632193
484.0452,0.1656046
485.9736,0.1672776
487.9021,0.1680309
489.8306,0.1668099
491.759,0.164914
493.6875,0.1622736
495.616,0.1586535
497.5444,0.1539394
499.4729,0.1501565
501.4014,0.1478719
503.3298,0.1464012
505.2583,0.1469983
507.1868,0.1488235
509.1152,0.1522747
511.0437,0.1569238
512.9722,0.1616214
514.9006,0.1675506
516.8291,0.1750225
518.7576,0.1821588
520.686,0.1896317
522.6145,0.1981279
524.543,0.2070442
526.4714,0.2160919
528.3999,0.2247512
530.3284,0.2324837
532.2568,0.2390556
534.1853,0.2464135
536.1138,0.2524434
538.0422,0.2566368
539.9707,0.2611193
541.8992,0.2663245
543.8276,0.2709917
545.7561,0.2753615
547.6846,0.2791265
549.613,0.2832961
551.5415,0.2871637
553.47,0.2901642
555.3984,0.2938941
557.3269,0.2966977
559.2554,0.2983299
561.1838,0.2999439
563.1123,0.301424
565.0408,0.3023038
566.9692,0.303261
568.8977,0.3044407
570.8262,0.30503
572.7546,0.3053829
574.6831,0.3051541
576.6116,0.3040409
578.54,0.3038081
580.4685,0.3034968
582.397,0.3030209
584.3254,0.3026115
586.2539,0.3012841
588.1824,0.2998402
590.1108,0.2982536
592.0393,0.2964982
593.9678,0.2947873
595.8962,0.2938161
597.8247,0.292519
599.7532,0.2907118
601.6816,0.2895167
603.6101,0.2879908
605.5386,0.2863695
607.467,0.2842916
609.3955,0.2824829
611.324,0.279523
613.2524,0.2747581
615.1809,0.2704169
617.1094,0.2664607
619.0378,0.26186
620.9663,0.2569627
622.8948,0.2525305
624.8232,0.2488323
626.7517,0.2472336
628.6802,0.2483335
630.6086,0.2516535
632.5371,0.256377
634.4656,0.2605971
636.394,0.263329
638.3225,0.2644841
640.251,0.2642144
642.1794,0.2628379
644.1079,0.2605917
646.0364,0.2578322
647.9648,0.2549353
649.8933,0.2514409
651.8218,0.2485692
653.7502,0.2461969
655.6787,0.2430888
657.6072,0.2394488
659.5356,0.2362549
661.4641,0.2335231
663.3926,0.2307009
665.321,0.2278232
667.2495,0.2248221
669.178,0.2215465
671.1064,0.2185189
673.0349,0.2155969
674.9634,0.2127849
676.8918,0.2107871
678.8203,0.2087376
680.7488,0.206197
682.6772,0.2033547
684.6057,0.2011193
686.5342,0.1990115
688.4626,0.1962933
690.3911,0.1939564
692.3196,0.1923164
694.248,0.1905409
696.1765,0.1882495
698.105,0.1863906
700.0334,0.1844573
701.9619,0.1823511
703.8904,0.180562
705.8188,0.1787842
707.7473,0.1768607
709.6758,0.1748057
711.6042,0.1728885
713.5327,0.1715881
715.4612,0.170264
717.3896,0.168209
719.3181,0.1662538
721.2466,0.1644296
723.175,0.1628089
725.1035,0.1612038
727.032,0.1594466
728.9604,0.1576192
730.8889,0.1561314
732.8174,0.1549722
734.7458,0.1535152
736.6743,0.151946
738.6028,0.1504257
740.5313,0.1489431
742.4597,0.1476833
744.3882,0.1464527
746.3167,0.1450156
748.2451,0.1436616
750.1736,0.1421333
752.1021,0.1410289
754.0305,0.1400581
755.959,0.1389716
757.8875,0.138056
759.8159,0.1371245
761.7444,0.136194
763.6729,0.1352009
765.6013,0.1339765
767.5298,0.1329161
769.4583,0.1319947
771.3867,0.1307216
773.3152,0.1295239
775.2437,0.1286401
777.1721,0.1276356
779.1006,0.1267196
781.0291,0.1257641
782.9575,0.1247187
784.886,0.1235562
786.8145,0.122612
788.7429,0.1213895
790.6714,0.120019
792.5999,0.1191468
794.5283,0.1184153
796.4568,0.1177354
798.3853,0.1166572
800.3137,0.1155067
802.2422,0.1144518
804.1707,0.1134275
806.0991,0.1123309
808.0276,0.1112818
809.9561,0.110493
811.8845,0.1093915
813.813,0.1081747
815.7415,0.1068983
817.6699,0.1057288
819.5984,0.1045736
821.5269,0.1034515
823.4553,0.102108
825.3838,0.100886
827.3123,0.0993048
829.2407,0.09773511
831.1692,0.09634198
833.0977,0.09483536
835.0261,0.09343729
