x,y
399.1926,0.2591628
401.1211,0.2757299
403.0496,0.2770555
404.978,0.2810396
406.9065,0.2837419
408.835,0.2801517
410.7634,0.2770339
412.6919,0.2632891
414.6204,0.2539402
416.5488,0.2551821
418.4773,0.2609213
420.4058,0.2645292
422.3342,0.2719808
424.2627,0.276446
426.1912,0.2791573
428.1196,0.2837572
430.0481,0.2844469
431.9766,0.2787607
433.905,0.2676188
435.8335,0.2591104
437.762,0.2567306
439.6904,0.253244
441.6189,0.2512948
443.5474,0.247237
445.4758,0.237682
447.4043,0.2250516
449.3328,0.215369
451.2612,0.210226
453.1897,0.2066752
455.1182,0.2042118
457.0466,0.2049881
458.9751,0.2076776
460.9036,0.2096946
462.832,0.2122173
464.7605,0.2160744
466.689,0.2188143
468.6174,0.2196789
470.5459,0.2193428
472.4744,0.2207645
474.4028,0.2222542
476.3313,0.2220095
478.2598,0.2215577
480.1882,0.2212072
482.1167,0.2208361
484.0452,0.2194156
485.9736,0.2173905
487.9021,0.213655
489.8306,0.2070508
491.759,0.1989647
493.6875,0.1906874
495.616,0.1836059
497.5444,0.1769246
499.4729,0.1716542
501.4014,0.1674495
503.3298,0.1623381
505.2583,0.1572472
507.1868,0.1505825
509.1152,0.142979
511.0437,0.1361724
512.9722,0.1301735
514.9006,0.1268994
516.8291,0.1249559
518.7576,0.1232714
520.686,0.1223754
522.6145,0.1220772
524.543,0.1224856
526.4714,0.1220576
528.3999,0.1210626
530.3284,0.1196765
532.2568,0.118022
534.1853,0.1167696
536.1138,0.1141181
538.0422,0.1113621
539.9707,0.1106407
541.8992,0.1103994
543.8276,0.1095192
545.7561,0.1085194
547.6846,0.1081214
549.613,0.1080217
551.5415,0.1075648
553.47,0.1075643
555.3984,0.1087866
557.3269,0.1104701
559.2554,0.1135186
561.1838,0.1173658
563.1123,0.1216977
565.0408,0.1269454
566.9692,0.1330239
568.8977,0.1382942
570.8262,0.1420185
572.7546,0.1442373
574.6831,0.1435741
576.6116,0.1397517
578.54,0.1349732
580.4685,0.1306094
582.397,0.1269535
584.3254,0.1226471
586.2539,0.1188895
588.1824,0.1172534
590.1108,0.1175735
592.0393,0.1192916
593.9678,0.1223592
595.8962,0.1260383
597.8247,0.1290347
599.7532,0.1312276
601.6816,0.1324395
603.6101,0.1329075
605.5386,0.1326148
607.467,0.130749
609.3955,0.127484
611.324,0.123713
613.2524,0.1196912
615.1809,0.1165612
617.1094,0.1140926
619.0378,0.1121683
620.9663,0.1104229
622.8948,0.1086308
624.8232,0.1067489
626.7517,0.1043857
628.6802,0.101197
630.6086,0.09818848
632.5371,0.09557096
634.4656,0.09244109
636.394,0.08982641
638.3225,0.08742797
640.251,0.084521
642.1794,0.08188968
644.1079,0.079541
646.0364,0.07742541
647.9648,0.07563297
649.8933,0.07384772
651.8218,0.07311375
653.7502,0.07304099
655.6787,0.07223023
657.6072,0.07162591
659.5356,0.07154689
661.4641,0.07125535
663.3926,0.07005072
665.321,0.0678383
667.2495,0.06553657
669.178,0.06248702
671.1064,0.05921353
673.0349,0.05665068
674.9634,0.05509763
676.8918,0.05450387
678.8203,0.05430276
680.7488,0.05419041
682.6772,0.05414359
684.6057,0.05439481
686.5342,0.05517957
688.4626,0.05581524
690.3911,0.05645157
692.3196,0.05700712
694.248,0.05721563
696.1765,0.05707593
698.105,0.0568348
700.0334,0.05708849
701.9619,0.05795043
703.8904,0.05924366
705.8188,0.0608174
707.7473,0.06172686
709.6758,0.06212861
711.6042,0.0618797
713.5327,0.06091009
715.4612,0.05979797
717.3896,0.05839034
719.3181,0.05726233
721.2466,0.05679231
723.175,0.05694851
725.1035,0.05718851
727.032,0.05770313
728.9604,0.05915558
730.8889,0.0604209
732.8174,0.06144823
734.7458,0.06267951
736.6743,0.0642894
738.6028,0.06594957
740.5313,0.06719956
742.4597,0.06870607
744.3882,0.07048588
746.3167,0.072234
748.2451,0.07359244
750.1736,0.0747344
752.1021,0.07641294
754.0305,0.07879254
755.959,0.08162481
757.8875,0.08439681
759.8159,0.08708993
761.7444,0.09016701
763.6729,0.09379499
765.6013,0.09788369
767.5298,0.1027695
769.4583,0.1081804
771.3867,0.1141105
773.3152,0.1211702
775.2437,0.1290599
777.1721,0.1377489
779.1006,0.1469031
781.0291,0.1564487
782.9575,0.1661235
784.886,0.1751399
786.8145,0.1833478
788.7429,0.1904531
790.6714,0.1959911
792.5999,0.2002548
794.5283,0.203444
796.4568,0.2053182
798.3853,0.2056492
800.3137,0.2051186
802.2422,0.2040927
804.1707,0.2029593
806.0991,0.2022284
808.0276,0.2015964
809.9561,0.2013527
811.8845,0.201745
813.813,0.2023515
815.7415,0.2030221
817.6699,0.2044798
819.5984,0.2069406
821.5269,0.2102852
823.4553,0.214668
825.3838,0.2206261
827.3123,0.2267919
829.2407,0.2325765
831.1692,0.2380623
833.0977,0.2428405
835.0261,0.2474002
836.9546,0.2516331
838.8831,0.2556494
840.8115,0.2595419
842.74,0.2626805
844.6685,0.265408
846.5969,0.2678017
848.5254,0.2691393
850.4539,0.2696099
852.3823,0.2696087
854.3108,0.2690794
856.2393,0.2680524
858.1677,0.2668448
860.0962,0.2653476
862.0247,0.2633715
863.9531,0.261593
865.8816,0.2602315
867.8101,0.2592695
869.7385,0.2589457
871.667,0.2595166
873.5955,0.2611069
875.5239,0.2636467
877.4524,0.2662576
879.3809,0.2686443
881.3093,0.2703432
883.2378,0.2714676
885.1663,0.2718336
887.0947,0.2708754
889.0232,0.2686615
890.9517,0.2659455
892.8801,0.2620012
894.8085,0.2576283
896.737,0.2536889
898.6655,0.2501265
900.5939,0.2473538
902.5224,0.2454577
904.4509,0.244971
906.3793,0.2462256
908.3078,0.2485255
910.2363,0.2504514
912.1647,0.252168
914.0932,0.2528053
916.0217,0.2511777
917.9501,0.2473308
919.8786,0.2411456
921.8071,0.233252
923.7355,0.2254422
925.664,0.2179836
927.5925,0.2112116
929.5209,0.2054487
931.4494,0.2012496
933.3779,0.1987476
935.3063,0.1978395
937.2348,0.1981881
939.1633,0.2001026
941.0917,0.2029649
943.0202,0.2060026
944.9487,0.2088523
946.8771,0.211371
948.8056,0.2136786
950.7341,0.2157753
952.6625,0.2171346
954.591,0.2183894
956.5195,0.2191171
958.4479,0.2184563
960.3764,0.2162903
962.3049,0.2133524
964.2333,0.2099343
966.1618,0.205865
968.0903,0.2013179
970.0187,0.1959577
971.9472,0.190065
973.8757,0.1837389
975.8041,0.1773494
977.7326,0.1713079
979.6611,0.1654785
981.5895,0.1596603
983.518,0.1541592
985.4465,0.1495189
987.3749,0.1459949
989.3034,0.1430404
991.2319,0.1406167
993.1603,0.1396117
995.0888,0.1403285
997.0173,0.1428569
998.9457,0.1471779
1000.874,0.1533216
1002.803,0.1604141
1004.731,0.167075
1006.66,0.1724711
1008.588,0.1761149
1010.517,0.1778875
1012.445,0.1787058
1014.373,0.1782903
1016.302,0.1764167
1018.23,0.1720425
1020.159,0.1652228
1022.087,0.1568241
1024.016,0.1470432
1025.944,0.1364262
1027.873,0.126029
1029.801,0.1155568
1031.73,0.1055768
1033.658,0.09680147
1035.587,0.08857106
1037.515,0.08068153
1039.444,0.07307863
1041.372,0.06591832
1043.301,0.05922553
1045.229,0.05336566
1047.157,0.048403
1049.086,0.04365382
1051.014,0.03947753
1052.943,0.03644446
1054.871,0.03388317
1056.8,0.03136049
1058.728,0.02916973
1060.657,0.02752877
1062.585,0.02642787
1064.514,0.02578254
1066.442,0.02495904
1068.371,0.02418212
1070.299,0.02355942
1072.228,0.02275419
1074.156,0.02203243
1076.084,0.02168087
1078.013,0.02109371
1079.941,0.02029425
1081.87,0.01983047
1083.798,0.01938673
1085.727,0.01891427
1087.655,0.01855542
1089.584,0.0182019
1091.512,0.01787286
1093.441,0.01730212
1095.369,0.01674524
1097.298,0.01648643
1099.226,0.01620806
1101.155,0.01579267
1103.083,0.01578062
1105.011,0.01524992
1106.94,0.01480952
1108.868,0.01502217
1110.797,0.01485749
1112.725,0.01425514
1114.654,0.01396891
1116.582,0.01364384
1118.511,0.01325634
1120.439,0.01292279
1122.368,0.012469
1124.296,0.01234568
1126.225,0.01196105
1128.153,0.01149328
1130.082,0.01109458
1132.01,0.01070523
1133.938,0.01046429
1135.867,0.01013828
1137.795,0.009927755
