x,y
399.1926,0.1378018
401.1211,0.1478421
403.0496,0.1485528
404.978,0.1471055
406.9065,0.1507242
408.835,0.1514405
410.7634,0.151971
412.6919,0.154949
414.6204,0.1554361
416.5488,0.1556646
418.4773,0.1589042
420.4058,0.1610449
422.3342,0.161262
424.2627,0.1589501
426.1912,0.1554375
428.1196,0.1522782
430.0481,0.1471119
431.9766,0.1425515
433.905,0.1433106
435.8335,0.1475212
437.762,0.1524526
439.6904,0.15823
441.6189,0.1628539
443.5474,0.1648156
445.4758,0.163021
447.4043,0.1570961
449.3328,0.149269
451.2612,0.1410921
453.1897,0.134873
455.1182,0.1297761
457.0466,0.1262866
458.9751,0.1260832
460.9036,0.1279286
462.832,0.1307434
464.7605,0.1348952
466.689,0.1392671
468.6174,0.1440066
470.5459,0.1485191
472.4744,0.1500247
474.4028,0.1489025
476.3313,0.1478078
478.2598,0.1480812
480.1882,0.1483697
482.1167,0.1481683
484.0452,0.147518
485.9736,0.1476927
487.9021,0.1488658
489.8306,0.1494838
491.759,0.1498615
493.6875,0.1512082
495.616,0.152228
497.5444,0.1524078
499.4729,0.1524322
501.4014,0.1524345
503.3298,0.1526832
505.2583,0.1538243
507.1868,0.1554099
509.1152,0.1568525
511.0437,0.1579023
512.9722,0.1580859
514.9006,0.1588817
516.8291,0.1608324
518.7576,0.1629671
520.686,0.1657978
522.6145,0.1686081
524.543,0.1722252
526.4714,0.1758756
528.3999,0.1789959
530.3284,0.18139
532.2568,0.1821513
534.1853,0.1810961
536.1138,0.1785773
538.0422,0.1749312
539.9707,0.1714724
541.8992,0.1681315
543.8276,0.1642038
545.7561,0.1612982
547.6846,0.1584657
549.613,0.1554082
551.5415,0.1523507
553.47,0.1492031
555.3984,0.1466009
557.3269,0.1444088
559.2554,0.1421852
561.1838,0.139303
563.1123,0.1372648
565.0408,0.1365883
566.9692,0.1361068
568.8977,0.1353442
570.8262,0.1350332
572.7546,0.1351441
574.6831,0.1350663
576.6116,0.1350692
578.54,0.1354653
580.4685,0.1357018
582.397,0.1366087
584.3254,0.1380286
586.2539,0.1391056
588.1824,0.1402357
590.1108,0.1411616
592.0393,0.1414643
593.9678,0.1420467
595.8962,0.1428737
597.8247,0.1432782
599.7532,0.1439001
601.6816,0.1452068
603.6101,0.1461697
605.5386,0.1465003
607.467,0.1467607
609.3955,0.1465372
611.324,0.1454796
613.2524,0.1438697
615.1809,0.1429031
617.1094,0.1418636
619.0378,0.1408381
620.9663,0.1404377
622.8948,0.1405798
624.8232,0.1409547
626.7517,0.1422411
628.6802,0.1445804
630.6086,0.1471754
632.5371,0.1499555
634.4656,0.1525562
636.394,0.1548957
638.3225,0.1566952
640.251,0.1573598
642.1794,0.1573954
644.1079,0.1565762
646.0364,0.1551096
647.9648,0.153098
649.8933,0.1505591
651.8218,0.1471288
653.7502,0.1440652
655.6787,0.1413631
657.6072,0.1383284
659.5356,0.135728
661.4641,0.1334881
663.3926,0.1316244
665.321,0.1304515
667.2495,0.1298803
669.178,0.1294297
671.1064,0.1293018
673.0349,0.12946
674.9634,0.1298922
676.8918,0.1309669
678.8203,0.1318028
680.7488,0.1323934
682.6772,0.1329483
684.6057,0.1332161
686.5342,0.1336333
688.4626,0.1345566
690.3911,0.1358237
692.3196,0.1375999
694.248,0.1401697
696.1765,0.1433577
698.105,0.1475097
700.0334,0.1522136
701.9619,0.1571635
703.8904,0.1629002
705.8188,0.1692591
707.7473,0.1757772
709.6758,0.1811032
711.6042,0.1839176
713.5327,0.1834666
715.4612,0.1782582
717.3896,0.1690084
719.3181,0.1585454
721.2466,0.1490949
723.175,0.1411474
725.1035,0.1350766
727.032,0.1308034
728.9604,0.1284014
730.8889,0.1273479
732.8174,0.1278677
734.7458,0.1298387
736.6743,0.1332968
738.6028,0.1379548
740.5313,0.1417257
742.4597,0.143779
744.3882,0.1434028
746.3167,0.1406446
