x,y
399.1926,0.2430716
401.1211,0.2459003
403.0496,0.2470825
404.978,0.2632592
406.9065,0.2697088
408.835,0.276028
410.7634,0.2774089
412.6919,0.2684118
414.6204,0.2599612
416.5488,0.2519446
418.4773,0.2407209
420.4058,0.2210785
422.3342,0.2027805
424.2627,0.1862187
426.1912,0.1676308
428.1196,0.1462725
430.0481,0.1256998
431.9766,0.1065433
433.905,0.08370005
435.8335,0.05787392
437.762,0.03953011
439.6904,0.03522649
441.6189,0.0390646
443.5474,0.04822785
445.4758,0.06347798
447.4043,0.0839645
449.3328,0.1055149
451.2612,0.1245121
453.1897,0.1399232
455.1182,0.1533452
457.0466,0.1648986
458.9751,0.1746896
460.9036,0.1831268
462.832,0.1897347
464.7605,0.194885
466.689,0.1991051
468.6174,0.2028264
470.5459,0.205343
472.4744,0.207755
474.4028,0.2108733
476.3313,0.2146125
478.2598,0.2167947
480.1882,0.2188907
482.1167,0.2214934
484.0452,0.2228751
485.9736,0.2255661
487.9021,0.2286784
489.8306,0.2300342
491.759,0.2314973
493.6875,0.2345134
495.616,0.2367682
497.5444,0.2389397
499.4729,0.2411997
501.4014,0.2434875
503.3298,0.2455233
505.2583,0.2472861
507.1868,0.2501698
509.1152,0.2536863
511.0437,0.2563924
512.9722,0.2574456
514.9006,0.2588036
516.8291,0.2611362
518.7576,0.2623993
520.686,0.2627007
522.6145,0.263425
524.543,0.2645448
526.4714,0.2660063
528.3999,0.2660299
530.3284,0.2647106
532.2568,0.2648866
534.1853,0.2658883
536.1138,0.2664137
538.0422,0.2665057
539.9707,0.26562
541.8992,0.2654333
543.8276,0.2657512
545.7561,0.2661429
547.6846,0.2660509
549.613,0.2653756
551.5415,0.2642612
553.47,0.264219
555.3984,0.2639517
557.3269,0.2630545
559.2554,0.2623895
561.1838,0.2618684
563.1123,0.2614578
565.0408,0.2604866
566.9692,0.2599545
568.8977,0.2597686
570.8262,0.2601322
572.7546,0.2613342
574.6831,0.2617283
576.6116,0.2616805
578.54,0.2618786
580.4685,0.262872
582.397,0.264172
584.3254,0.2647775
586.2539,0.2651998
588.1824,0.2648214
590.1108,0.2631221
592.0393,0.2624286
593.9678,0.2626625
595.8962,0.2630498
597.8247,0.2638804
599.7532,0.2667104
601.6816,0.2681206
603.6101,0.2658376
605.5386,0.2611368
607.467,0.2568653
609.3955,0.2555647
611.324,0.2568508
613.2524,0.2589279
615.1809,0.2618465
617.1094,0.2647744
619.0378,0.2675273
620.9663,0.270085
622.8948,0.2711439
624.8232,0.2691049
626.7517,0.2638837
628.6802,0.2583566
630.6086,0.2553425
632.5371,0.2553188
634.4656,0.2567724
636.394,0.2579139
638.3225,0.2594586
640.251,0.2607486
642.1794,0.2620569
644.1079,0.2636589
646.0364,0.2657432
647.9648,0.2681324
649.8933,0.2701291
651.8218,0.2716818
653.7502,0.2730961
655.6787,0.2748116
657.6072,0.2767621
659.5356,0.278214
661.4641,0.279204
663.3926,0.2794722
665.321,0.2776009
667.2495,0.2729351
669.178,0.265841
671.1064,0.258815
673.0349,0.2543575
674.9634,0.2529747
676.8918,0.2532697
678.8203,0.2538741
680.7488,0.2544509
682.6772,0.2548433
684.6057,0.2555925
686.5342,0.2564707
688.4626,0.2573292
690.3911,0.258203
692.3196,0.2585923
694.248,0.2593062
696.1765,0.2598988
698.105,0.2603032
700.0334,0.2610861
701.9619,0.2618355
703.8904,0.2620436
705.8188,0.2626975
707.7473,0.2634459
709.6758,0.2639501
711.6042,0.2643814
713.5327,0.2648963
715.4612,0.2655019
717.3896,0.2660248
719.3181,0.2666886
721.2466,0.2668381
723.175,0.2669773
725.1035,0.2675959
727.032,0.2681558
728.9604,0.2684706
730.8889,0.2691112
732.8174,0.2698033
734.7458,0.2703609
736.6743,0.2708476
738.6028,0.2714335
740.5313,0.2722689
742.4597,0.2726341
744.3882,0.2727547
746.3167,0.2729366
748.2451,0.2734065
750.1736,0.274123
752.1021,0.2746265
754.0305,0.2749145
755.959,0.2753324
757.8875,0.2760112
759.8159,0.2765891
761.7444,0.2767675
763.6729,0.2767852
765.6013,0.2774061
767.5298,0.2779922
769.4583,0.278528
771.3867,0.2793428
773.3152,0.2799665
775.2437,0.2805701
777.1721,0.2811175
779.1006,0.2819791
781.0291,0.2832341
782.9575,0.2843664
784.886,0.2854174
786.8145,0.2866791
788.7429,0.2880903
790.6714,0.2895012
792.5999,0.2906149
794.5283,0.291816
796.4568,0.2934135
798.3853,0.2951125
800.3137,0.2963729
802.2422,0.2978456
804.1707,0.2994919
806.0991,0.3006968
808.0276,0.3021319
809.9561,0.3036362
811.8845,0.3046968
813.813,0.3050515
815.7415,0.3051962
817.6699,0.3049273
819.5984,0.3041998
821.5269,0.3030004
823.4553,0.3016928
825.3838,0.3006318
827.3123,0.2991572
829.2407,0.2971459
831.1692,0.2948715
833.0977,0.2923124
835.0261,0.2898542
836.9546,0.2877928
838.8831,0.2860324
840.8115,0.28438
842.74,0.2827244
844.6685,0.28108
846.5969,0.2796471
848.5254,0.2784144
850.4539,0.2773542
852.3823,0.276648
854.3108,0.2762852
856.2393,0.2761348
858.1677,0.2759713
860.0962,0.2757084
862.0247,0.2759168
863.9531,0.2761493
865.8816,0.2766142
867.8101,0.2770877
869.7385,0.2776386
871.667,0.2782319
873.5955,0.2790048
875.5239,0.2799092
877.4524,0.2807176
879.3809,0.2815071
881.3093,0.2824034
883.2378,0.2831451
885.1663,0.2835635
887.0947,0.2840728
889.0232,0.2850952
890.9517,0.2861278
892.8801,0.2865362
894.8085,0.2868891
896.737,0.2877707
898.6655,0.2885778
900.5939,0.2893767
902.5224,0.2902462
904.4509,0.2910113
906.3793,0.2917039
908.3078,0.2922153
910.2363,0.2924377
912.1647,0.2929428
914.0932,0.2938456
916.0217,0.2948652
917.9501,0.2956021
919.8786,0.2962006
921.8071,0.2967722
923.7355,0.2976924
925.664,0.2987266
927.5925,0.2995236
929.5209,0.3004629
931.4494,0.30126
933.3779,0.3017981
935.3063,0.3028199
937.2348,0.303595
939.1633,0.3044187
941.0917,0.3054793
943.0202,0.3063738
944.9487,0.3069853
946.8771,0.3077692
948.8056,0.3087482
950.7341,0.3096269
952.6625,0.3103863
954.591,0.3112742
956.5195,0.3124519
958.4479,0.3136594
960.3764,0.3143989
962.3049,0.3151541
964.2333,0.3159897
966.1618,0.3171306
968.0903,0.3182565
970.0187,0.3191884
971.9472,0.3204139
973.8757,0.3217337
975.8041,0.3226662
977.7326,0.32387
979.6611,0.325244
981.5895,0.3264416
983.518,0.3277474
985.4465,0.3292062
987.3749,0.3306541
989.3034,0.3323844
991.2319,0.3340192
993.1603,0.335655
995.0888,0.3377974
997.0173,0.3397303
998.9457,0.3414771
1000.874,0.3441301
1002.803,0.3470383
1004.731,0.3495558
1006.66,0.3526533
1008.588,0.3562776
1010.517,0.3599803
1012.445,0.3637809
1014.373,0.3671079
1016.302,0.3680731
1018.23,0.3646212
1020.159,0.3589057
1022.087,0.3547876
1024.016,0.3525326
1025.944,0.3522895
1027.873,0.3552899
1029.801,0.3601207
1031.73,0.363658
1033.658,0.364935
1035.587,0.3646477
1037.515,0.3631985
1039.444,0.3609574
1041.372,0.3581855
1043.301,0.355854
1045.229,0.3544098
1047.157,0.3533598
1049.086,0.3524016
1051.014,0.3522577
1052.943,0.3525525
1054.871,0.3529353
1056.8,0.3535685
1058.728,0.354665
1060.657,0.3560469
1062.585,0.3577639
1064.514,0.3598665
1066.442,0.3622012
1068.371,0.3649401
1070.299,0.3677683
1072.228,0.3707553
1074.156,0.3734394
1076.084,0.3750363
1078.013,0.3750773
1079.941,0.3740739
1081.87,0.3724321
1083.798,0.3704987
1085.727,0.3684706
1087.655,0.3665439
1089.584,0.3645833
1091.512,0.3634017
1093.441,0.3622974
1095.369,0.3610277
1097.298,0.3600936
1099.226,0.3594628
1101.155,0.3592893
1103.083,0.3590894
1105.011,0.3589794
1106.94,0.3594756
1108.868,0.3602698
1110.797,0.3610515
1112.725,0.3617525
1114.654,0.3619886
1116.582,0.3620346
1118.511,0.3618198
1120.439,0.36114
1122.368,0.3604926
1124.296,0.3598272
1126.225,0.3589621
1128.153,0.3580979
1130.082,0.3573264
1132.01,0.3565421
1133.938,0.3553654
1135.867,0.3542365
1137.795,0.3532563
1139.724,0.3520223
1141.652,0.3506078
1143.581,0.3496375
1145.509,0.3486469
1147.438,0.3475333
1149.366,0.3464099
1151.295,0.3450297
1153.223,0.3434723
1155.152,0.3416472
1157.08,0.3391248
1159.009,0.336327
1160.937,0.3335336
1162.865,0.3305968
1164.794,0.3273865
1166.722,0.3239466
1168.651,0.3201598
1170.579,0.3161888
1172.508,0.3121555
1174.436,0.308159
1176.365,0.3037985
1178.293,0.2995228
1180.222,0.2953431
1182.15,0.2911398
1184.079,0.2870771
1186.007,0.2829663
1187.936,0.2786944
1189.864,0.274679
1191.792,0.2708346
1193.721,0.2670989
1195.649,0.2633493
1197.578,0.2595311
1199.506,0.2556823
1201.435,0.251856
1203.363,0.2480259
1205.292,0.2444066
1207.22,0.2408596
1209.149,0.2373219
1211.077,0.2342357
1213.006,0.2317047
1214.934,0.2294541
1216.863,0.2276618
1218.791,0.2261188
1220.719,0.2249452
1222.648,0.2240572
1224.576,0.2233028
1226.505,0.2229117
1228.433,0.2227695
1230.362,0.2226784
1232.29,0.2229652
1234.219,0.2236389
1236.147,0.2244902
1238.076,0.2253996
1240.004,0.2263446
1241.933,0.2274701
1243.861,0.228602
1245.79,0.2294607
1247.718,0.2303529
1249.646,0.2314051
1251.575,0.2322623
1253.503,0.2330409
1255.432,0.2338982
1257.36,0.234595
1259.289,0.2352388
1261.217,0.2358375
1263.146,0.2366162
1265.074,0.2373389
1267.003,0.2381261
1268.931,0.2389982
1270.86,0.2398501
1272.788,0.2405933
1274.717,0.2412509
1276.645,0.242029
1278.573,0.2427689
1280.502,0.243374
1282.43,0.2440524
1284.359,0.2448771
1286.287,0.2456975
1288.216,0.2465415
1290.144,0.2474174
1292.073,0.2480063
1294.001,0.2484535
