x,y
399.1926,0.0
401.1211,0.06134461
403.0496,0.06165257
404.978,0.06610508
406.9065,0.07053514
408.835,0.07326655
410.7634,0.07671683
412.6919,0.08100912
414.6204,0.0853139
416.5488,0.08937787
418.4773,0.09358053
420.4058,0.09776358
422.3342,0.09890965
424.2627,0.09828208
426.1912,0.09639884
428.1196,0.09534373
430.0481,0.09660065
431.9766,0.09758157
433.905,0.09682867
435.8335,0.0952443
437.762,0.09082592
439.6904,0.08452696
441.6189,0.08031718
443.5474,0.07940994
445.4758,0.08120834
447.4043,0.08265681
449.3328,0.08458519
451.2612,0.08738007
453.1897,0.08997877
455.1182,0.09442462
457.0466,0.09914774
458.9751,0.1017392
460.9036,0.1041809
462.832,0.1071246
464.7605,0.1116805
466.689,0.1172512
468.6174,0.1227471
470.5459,0.1274562
472.4744,0.1321304
474.4028,0.1373218
476.3313,0.1416262
478.2598,0.14545
480.1882,0.1491757
482.1167,0.1536005
484.0452,0.1587505
485.9736,0.1655155
487.9021,0.1723347
489.8306,0.1786191
491.759,0.1859582
493.6875,0.1935436
495.616,0.2010508
497.5444,0.2091351
499.4729,0.2180552
501.4014,0.226503
503.3298,0.2341846
505.2583,0.2417213
507.1868,0.2488955
509.1152,0.2572005
511.0437,0.2664498
512.9722,0.2762991
514.9006,0.2862781
516.8291,0.2972649
518.7576,0.3096989
520.686,0.3210603
522.6145,0.3322074
524.543,0.3438609
526.4714,0.3547976
528.3999,0.366279
530.3284,0.375636
532.2568,0.380432
534.1853,0.3794622
536.1138,0.3700012
538.0422,0.3531479
539.9707,0.3254423
541.8992,0.2872888
543.8276,0.2435305
545.7561,0.2024046
547.6846,0.1691897
549.613,0.146635
551.5415,0.134315
553.47,0.1295524
555.3984,0.132039
557.3269,0.1418934
559.2554,0.1592727
561.1838,0.1833768
563.1123,0.2116221
565.0408,0.2403732
566.9692,0.2596728
568.8977,0.2596307
570.8262,0.2390692
572.7546,0.2084364
574.6831,0.1772903
576.6116,0.1478599
578.54,0.1207135
580.4685,0.0962432
582.397,0.07574376
584.3254,0.05930889
586.2539,0.04763326
588.1824,0.04051526
590.1108,0.03579595
592.0393,0.03284557
593.9678,0.03092586
595.8962,0.0294846
597.8247,0.02842361
599.7532,0.02794215
601.6816,0.02791221
603.6101,0.02803271
605.5386,0.02828975
607.467,0.02838978
609.3955,0.02815128
611.324,0.02806737
613.2524,0.02855668
615.1809,0.02931836
617.1094,0.03003208
619.0378,0.03096936
620.9663,0.0319241
622.8948,0.03248106
624.8232,0.03321305
626.7517,0.03409071
628.6802,0.0349992
630.6086,0.03602081
632.5371,0.03721765
634.4656,0.03845374
636.394,0.03976109
638.3225,0.04117613
640.251,0.04235567
642.1794,0.04325662
644.1079,0.04443777
646.0364,0.04566238
647.9648,0.04649859
649.8933,0.04752972
651.8218,0.04895984
653.7502,0.05024366
655.6787,0.0514369
657.6072,0.05288511
659.5356,0.05417613
661.4641,0.05552968
663.3926,0.05725249
665.321,0.05898691
667.2495,0.06036851
669.178,0.0617597
671.1064,0.06336475
673.0349,0.06504918
674.9634,0.06656469
676.8918,0.06812698
678.8203,0.06959619
680.7488,0.07112711
682.6772,0.07279043
684.6057,0.07465088
686.5342,0.07632157
688.4626,0.07796681
690.3911,0.0797133
692.3196,0.08138294
694.248,0.08276139
696.1765,0.08426233
698.105,0.08634081
700.0334,0.08828601
701.9619,0.08973875
703.8904,0.09141274
705.8188,0.09337033
707.7473,0.09541168
709.6758,0.0974135
711.6042,0.09941916
713.5327,0.101302
715.4612,0.1036308
717.3896,0.1054664
719.3181,0.1074494
721.2466,0.1095435
723.175,0.1117964
725.1035,0.1142107
727.032,0.1164326
728.9604,0.1188843
730.8889,0.1211186
732.8174,0.123466
734.7458,0.1262856
736.6743,0.1286765
738.6028,0.130762
740.5313,0.1331056
742.4597,0.135801
744.3882,0.1385204
746.3167,0.1412014
748.2451,0.1436351
750.1736,0.1463804
752.1021,0.1499552
754.0305,0.1533187
755.959,0.1564374
757.8875,0.1596807
759.8159,0.1630539
761.7444,0.1668102
763.6729,0.1703257
765.6013,0.1734078
767.5298,0.1767216
769.4583,0.1804798
771.3867,0.1842609
773.3152,0.1881774
775.2437,0.1927847
777.1721,0.1980721
779.1006,0.2031973
781.0291,0.208607
782.9575,0.2141363
784.886,0.218742
786.8145,0.2207598
788.7429,0.218785
790.6714,0.2142003
792.5999,0.2103772
794.5283,0.2105022
796.4568,0.2152946
798.3853,0.2221237
800.3137,0.2280968
802.2422,0.2296422
804.1707,0.2251447
806.0991,0.2183676
808.0276,0.2154248
809.9561,0.2177444
811.8845,0.2237194
813.813,0.231195
815.7415,0.2386645
817.6699,0.2420743
819.5984,0.2362604
821.5269,0.2233186
823.4553,0.2129952
825.3838,0.2099559
827.3123,0.2115088
829.2407,0.2148482
831.1692,0.2195498
833.0977,0.2251426
835.0261,0.2308591
836.9546,0.2364713
838.8831,0.2418131
840.8115,0.246961
842.74,0.2519659
844.6685,0.2564351
846.5969,0.2605986
848.5254,0.2649264
850.4539,0.269211
852.3823,0.2736844
854.3108,0.2782873
856.2393,0.2822847
858.1677,0.2861209
860.0962,0.2906
862.0247,0.2951751
863.9531,0.2996536
865.8816,0.3045428
867.8101,0.3092088
869.7385,0.3140241
871.667,0.3187234
873.5955,0.3238199
875.5239,0.3290735
877.4524,0.333975
879.3809,0.3391307
881.3093,0.3440607
883.2378,0.3491259
885.1663,0.3544867
887.0947,0.3594786
889.0232,0.364219
890.9517,0.3695261
892.8801,0.3752164
894.8085,0.380234
896.737,0.3852685
898.6655,0.3911732
900.5939,0.3971703
902.5224,0.4027547
904.4509,0.4089411
906.3793,0.4151736
908.3078,0.4214205
910.2363,0.4276208
912.1647,0.4334979
914.0932,0.4401885
916.0217,0.4467853
917.9501,0.4529844
919.8786,0.4587963
921.8071,0.4631573
923.7355,0.4620402
925.664,0.4539245
927.5925,0.4470488
929.5209,0.4496363
931.4494,0.4586517
933.3779,0.4682211
935.3063,0.477466
937.2348,0.4859462
939.1633,0.4932102
941.0917,0.4990852
943.0202,0.5036293
944.9487,0.5074283
946.8771,0.5104244
948.8056,0.5119199
950.7341,0.5115482
952.6625,0.5095061
954.591,0.5058506
956.5195,0.4997734
958.4479,0.4913884
960.3764,0.4803078
962.3049,0.4670947
964.2333,0.4519112
966.1618,0.435524
968.0903,0.4185705
970.0187,0.4016864
971.9472,0.3852766
973.8757,0.3699904
975.8041,0.3562534
977.7326,0.3445857
979.6611,0.3350629
981.5895,0.3264887
983.518,0.3190202
985.4465,0.3132478
987.3749,0.3095664
989.3034,0.3076803
991.2319,0.3073455
993.1603,0.3087993
995.0888,0.3111439
997.0173,0.3141797
998.9457,0.3173611
1000.874,0.3203162
1002.803,0.3228192
1004.731,0.3248658
1006.66,0.326836
1008.588,0.3283948
1010.517,0.3290771
1012.445,0.328711
1014.373,0.3270892
1016.302,0.3234647
1018.23,0.3178656
1020.159,0.3105814
1022.087,0.3017731
1024.016,0.2912278
1025.944,0.2795896
1027.873,0.2674479
1029.801,0.2552536
1031.73,0.243359
1033.658,0.2315892
1035.587,0.2199536
1037.515,0.2088419
1039.444,0.1985396
1041.372,0.1886788
1043.301,0.1793685
1045.229,0.1708953
1047.157,0.1626055
1049.086,0.1544165
1051.014,0.146675
1052.943,0.1391211
1054.871,0.1315214
1056.8,0.1241287
1058.728,0.1170073
1060.657,0.1098442
1062.585,0.1028902
1064.514,0.09612335
1066.442,0.08967871
1068.371,0.08348572
1070.299,0.07759716
1072.228,0.07199244
1074.156,0.06672522
1076.084,0.06191393
1078.013,0.05762423
1079.941,0.05368443
1081.87,0.0502469
1083.798,0.04730428
1085.727,0.04458126
1087.655,0.04220739
1089.584,0.03994353
1091.512,0.03781822
1093.441,0.03580038
1095.369,0.03394175
1097.298,0.03226623
1099.226,0.03065444
1101.155,0.02913343
1103.083,0.02771345
1105.011,0.0264668
1106.94,0.02536336
1108.868,0.02439615
1110.797,0.02357354
1112.725,0.02273731
1114.654,0.02213598
1116.582,0.02164651
1118.511,0.02113047
1120.439,0.02057012
1122.368,0.02004332
1124.296,0.01954076
1126.225,0.0191896
1128.153,0.0186628
1130.082,0.01805835
1132.01,0.01756892
1133.938,0.01726191
1135.867,0.01694954
1137.795,0.01638692
1139.724,0.01574098
1141.652,0.01505566
1143.581,0.01462827
1145.509,0.01445811
1147.438,0.01408416
1149.366,0.0136318
1151.295,0.01331705
1153.223,0.01314368
1155.152,0.01308468
1157.08,0.0128967
1159.009,0.01261942
1160.937,0.01239482
1162.865,0.0123311
1164.794,0.01227511
1166.722,0.01228573
1168.651,0.01220657
1170.579,0.01213351
1172.508,0.01213687
1174.436,0.01221457
1176.365,0.01241699
1178.293,0.01236506
1180.222,0.01225767
1182.15,0.01236271
1184.079,0.01238062
1186.007,0.01252228
1187.936,0.01264851
1189.864,0.01260654
1191.792,0.01253593
1193.721,0.01281047
1195.649,0.01295182
1197.578,0.01283457
1199.506,0.01299123
1201.435,0.0131649
1203.363,0.01316132
1205.292,0.01328469
1207.22,0.01356308
1209.149,0.0138115
1211.077,0.01391666
1213.006,0.01386586
1214.934,0.01407085
1216.863,0.01432463
1218.791,0.0144553
1220.719,0.01469798
1222.648,0.01500278
1224.576,0.01512119
1226.505,0.01526882
1228.433,0.01546492
1230.362,0.0154244
1232.29,0.01531306
1234.219,0.01558123
1236.147,0.01592322
1238.076,0.01611834
1240.004,0.0161398
1241.933,0.01627698
1243.861,0.01664723
1245.79,0.0170337
1247.718,0.0172322
1249.646,0.01734219
1251.575,0.01747645
1253.503,0.01766674
1255.432,0.01793864
1257.36,0.01817518
1259.289,0.01852173
1261.217,0.01897987
1263.146,0.01939422
1265.074,0.01961445
1267.003,0.01988199
1268.931,0.02013251
1270.86,0.02044421
1272.788,0.02081614
1274.717,0.02099231
1276.645,0.02128632
1278.573,0.02180767
1280.502,0.02245391
1282.43,0.02296156
1284.359,0.02342757
1286.287,0.02393146
1288.216,0.02451444
1290.144,0.02527274
1292.073,0.02598481
1294.001,0.02660162
1295.93,0.02754713
1297.858,0.02851498
1299.787,0.02949646
1301.715,0.03060236
1303.644,0.0316742
1305.572,0.03269395
1307.5,0.03348914
1309.429,0.03424631
1311.357,0.03481758
