x,y
399.1926,0.4595666
401.1211,0.4974118
403.0496,0.4998031
404.978,0.5159584
406.9065,0.5012213
408.835,0.4820509
410.7634,0.4865488
412.6919,0.4764211
414.6204,0.4575823
416.5488,0.4796898
418.4773,0.4977311
420.4058,0.484428
422.3342,0.4829512
424.2627,0.4872807
426.1912,0.4844414
428.1196,0.4784464
430.0481,0.4727432
431.9766,0.4774297
433.905,0.4803837
435.8335,0.4713142
437.762,0.4626184
439.6904,0.459269
441.6189,0.4542052
443.5474,0.4494752
445.4758,0.4382834
447.4043,0.4255278
449.3328,0.4170663
451.2612,0.4094832
453.1897,0.402233
455.1182,0.3923867
457.0466,0.3781258
458.9751,0.3674915
460.9036,0.3585357
462.832,0.3482889
464.7605,0.3416676
466.689,0.3379602
468.6174,0.3353922
470.5459,0.3326076
472.4744,0.3320228
474.4028,0.3335808
476.3313,0.3318227
478.2598,0.3253631
480.1882,0.313082
482.1167,0.2953037
484.0452,0.2776321
485.9736,0.2631773
487.9021,0.2523012
489.8306,0.2424798
491.759,0.2340388
493.6875,0.225955
495.616,0.2192884
497.5444,0.2145048
499.4729,0.2114848
501.4014,0.2125131
503.3298,0.2205228
505.2583,0.236483
507.1868,0.2598586
509.1152,0.2869585
511.0437,0.3144774
512.9722,0.3378941
514.9006,0.354588
516.8291,0.3646494
518.7576,0.3697937
520.686,0.377185
522.6145,0.3875928
524.543,0.4001143
526.4714,0.4159713
528.3999,0.4325839
530.3284,0.4464526
532.2568,0.4556132
534.1853,0.4585461
536.1138,0.452961
538.0422,0.4427508
539.9707,0.4287271
541.8992,0.4147855
543.8276,0.4054588
545.7561,0.3993903
547.6846,0.3946234
549.613,0.3906321
551.5415,0.387601
553.47,0.3859161
555.3984,0.3862356
557.3269,0.386746
559.2554,0.3844398
561.1838,0.3818713
563.1123,0.3801447
565.0408,0.3770598
566.9692,0.3727167
568.8977,0.3679998
570.8262,0.3623297
572.7546,0.3557404
574.6831,0.3508597
576.6116,0.347609
578.54,0.3444668
580.4685,0.3429453
582.397,0.3428214
584.3254,0.3441336
586.2539,0.3455704
588.1824,0.3475618
590.1108,0.3486707
592.0393,0.3491012
593.9678,0.3498553
595.8962,0.3503622
597.8247,0.3500234
599.7532,0.3490769
601.6816,0.3483905
603.6101,0.3473494
605.5386,0.3444319
607.467,0.3417218
609.3955,0.3390818
611.324,0.335638
613.2524,0.3317289
615.1809,0.3273094
617.1094,0.3228163
619.0378,0.3183077
620.9663,0.3136064
622.8948,0.3095259
624.8232,0.3072572
626.7517,0.3070562
628.6802,0.30934
630.6086,0.3151706
632.5371,0.3222828
634.4656,0.3270034
636.394,0.3293066
638.3225,0.329199
640.251,0.3276564
642.1794,0.3252758
644.1079,0.3213077
646.0364,0.3160453
647.9648,0.3115252
649.8933,0.3076756
651.8218,0.3032121
653.7502,0.2978453
655.6787,0.2927512
657.6072,0.2888027
659.5356,0.2849894
661.4641,0.2807505
663.3926,0.2761736
665.321,0.2719087
667.2495,0.2683374
669.178,0.2646278
671.1064,0.2608333
673.0349,0.2569846
674.9634,0.2536486
676.8918,0.2507682
678.8203,0.2473578
680.7488,0.2438701
682.6772,0.2411317
684.6057,0.2383888
686.5342,0.2355319
688.4626,0.2326284
690.3911,0.2296659
692.3196,0.2270358
694.248,0.2248012
696.1765,0.222446
698.105,0.2198986
700.0334,0.2174726
701.9619,0.2150128
703.8904,0.2127715
705.8188,0.210572
707.7473,0.207919
709.6758,0.2057482
711.6042,0.2036309
713.5327,0.2012226
715.4612,0.1988235
717.3896,0.1969415
719.3181,0.1949126
721.2466,0.1928543
723.175,0.1909208
725.1035,0.1890179
727.032,0.18705
728.9604,0.1850465
730.8889,0.1834377
732.8174,0.1818746
734.7458,0.1801872
736.6743,0.1782842
738.6028,0.1763346
740.5313,0.174355
742.4597,0.172485
744.3882,0.1709546
746.3167,0.1693353
748.2451,0.1674473
750.1736,0.1661382
752.1021,0.165203
