x,y
399.1926,0.0
401.1211,0.05829698
403.0496,0.05860032
404.978,0.04354292
406.9065,0.04480486
408.835,0.04665312
410.7634,0.05519825
412.6919,0.06926498
414.6204,0.07984093
416.5488,0.0858629
418.4773,0.09655032
420.4058,0.1063085
422.3342,0.1133016
424.2627,0.1208343
426.1912,0.1327602
428.1196,0.1435767
430.0481,0.1530931
431.9766,0.1609015
433.905,0.168989
435.8335,0.1773404
437.762,0.1857057
439.6904,0.1922567
441.6189,0.2000781
443.5474,0.2072466
445.4758,0.2130836
447.4043,0.2207903
449.3328,0.2295189
451.2612,0.2344386
453.1897,0.2377681
455.1182,0.2373081
457.0466,0.2350792
458.9751,0.2290933
460.9036,0.2212451
462.832,0.2127433
464.7605,0.2055924
466.689,0.1963575
468.6174,0.1889585
470.5459,0.1812408
472.4744,0.1737196
474.4028,0.1650299
476.3313,0.1584035
478.2598,0.1524652
480.1882,0.1461632
482.1167,0.1386189
484.0452,0.1327426
485.9736,0.1273508
487.9021,0.1218577
489.8306,0.1159018
491.759,0.1108986
493.6875,0.1055748
495.616,0.09856308
497.5444,0.09143484
499.4729,0.08450121
501.4014,0.07738323
503.3298,0.07116021
505.2583,0.06726079
507.1868,0.06581265
509.1152,0.0662263
511.0437,0.06777838
512.9722,0.06939889
514.9006,0.07081192
516.8291,0.07094649
518.7576,0.06950162
520.686,0.06771228
522.6145,0.0651225
524.543,0.06219998
526.4714,0.05844838
528.3999,0.05407572
530.3284,0.0500741
532.2568,0.0457701
534.1853,0.04019163
536.1138,0.03468985
538.0422,0.02998029
539.9707,0.02502312
541.8992,0.02049395
543.8276,0.01643978
545.7561,0.01357967
547.6846,0.01119517
549.613,0.009044453
551.5415,0.00731948
553.47,0.005928441
555.3984,0.00476454
557.3269,0.004348168
559.2554,0.004119608
561.1838,0.004623866
563.1123,0.004502277
565.0408,0.00416119
566.9692,0.004214021
568.8977,0.004220524
570.8262,0.003877452
572.7546,0.003715108
574.6831,0.003774701
576.6116,0.003707809
578.54,0.003402458
580.4685,0.003492875
582.397,0.003866083
584.3254,0.004205021
586.2539,0.004396601
588.1824,0.004612276
590.1108,0.004648554
592.0393,0.004879395
593.9678,0.005024076
595.8962,0.005300205
597.8247,0.005344644
599.7532,0.005288415
601.6816,0.005562329
603.6101,0.006115469
605.5386,0.006330422
607.467,0.006182128
609.3955,0.006488436
611.324,0.006919343
613.2524,0.007060716
615.1809,0.007130243
617.1094,0.007516723
619.0378,0.007898013
620.9663,0.008308625
622.8948,0.008367352
624.8232,0.008481162
626.7517,0.008410153
628.6802,0.008925468
630.6086,0.009162471
632.5371,0.009123179
634.4656,0.009624904
636.394,0.009948415
638.3225,0.01012799
640.251,0.01049921
642.1794,0.01099425
644.1079,0.01158124
646.0364,0.01170178
647.9648,0.01214954
649.8933,0.01263771
651.8218,0.01300518
653.7502,0.01361513
655.6787,0.01392813
657.6072,0.0141992
659.5356,0.01467028
661.4641,0.01518106
663.3926,0.01591648
665.321,0.01653042
667.2495,0.01724425
669.178,0.01802994
671.1064,0.01856824
673.0349,0.01927825
674.9634,0.02045525
676.8918,0.02212936
678.8203,0.02396185
680.7488,0.02589091
682.6772,0.0284094
684.6057,0.03157238
686.5342,0.03587292
688.4626,0.04175768
690.3911,0.04992066
692.3196,0.05936572
694.248,0.0651881
696.1765,0.06135915
698.105,0.04971223
700.0334,0.03804591
701.9619,0.03056475
703.8904,0.0266188
705.8188,0.02471757
707.7473,0.0235803
709.6758,0.02320704
711.6042,0.02320636
713.5327,0.02379351
715.4612,0.02429545
717.3896,0.02465666
719.3181,0.0249173
721.2466,0.0255929
723.175,0.02667564
725.1035,0.02787677
727.032,0.02876848
728.9604,0.03011269
730.8889,0.03135202
732.8174,0.03251929
734.7458,0.03412561
736.6743,0.03578576
738.6028,0.03745509
740.5313,0.03929092
742.4597,0.04122495
744.3882,0.04349306
746.3167,0.0458357
748.2451,0.04862405
750.1736,0.05197293
752.1021,0.05591318
754.0305,0.05971714
755.959,0.0639206
757.8875,0.06911755
759.8159,0.07532118
761.7444,0.08196425
763.6729,0.08956608
765.6013,0.09845868
767.5298,0.1083025
769.4583,0.1192424
771.3867,0.1312566
773.3152,0.1436749
775.2437,0.1543533
777.1721,0.159377
779.1006,0.1568355
781.0291,0.1483975
782.9575,0.1380031
784.886,0.1289041
786.8145,0.1241462
788.7429,0.1243878
790.6714,0.1284617
792.5999,0.1342877
794.5283,0.1399837
796.4568,0.1416747
798.3853,0.135886
800.3137,0.1224151
802.2422,0.1045635
804.1707,0.08519838
806.0991,0.06684186
808.0276,0.05124759
809.9561,0.03972971
811.8845,0.03163417
813.813,0.0261045
815.7415,0.02226205
817.6699,0.01984177
819.5984,0.01815187
821.5269,0.016882
823.4553,0.01595611
825.3838,0.01539166
827.3123,0.01484385
829.2407,0.01453887
831.1692,0.01421388
833.0977,0.01409937
835.0261,0.01409973
836.9546,0.01446951
838.8831,0.01485518
840.8115,0.01527617
842.74,0.01521141
844.6685,0.01560264
846.5969,0.01629256
848.5254,0.01674642
850.4539,0.01692041
852.3823,0.01734482
854.3108,0.017763
856.2393,0.01852878
858.1677,0.01933551
860.0962,0.02003927
862.0247,0.02056636
863.9531,0.02121568
865.8816,0.0218577
867.8101,0.0228474
869.7385,0.02370142
871.667,0.02427917
873.5955,0.025063
875.5239,0.02612411
877.4524,0.02686271
879.3809,0.02768637
881.3093,0.02843014
883.2378,0.02944279
885.1663,0.03064207
887.0947,0.03186389
889.0232,0.03281052
890.9517,0.03387664
892.8801,0.03478922
894.8085,0.03591944
896.737,0.03699729
898.6655,0.0382814
900.5939,0.03981566
902.5224,0.04133413
904.4509,0.04250722
906.3793,0.04386257
908.3078,0.04539606
910.2363,0.04678974
912.1647,0.04827616
914.0932,0.04992292
916.0217,0.05149158
917.9501,0.05322111
919.8786,0.05483138
921.8071,0.05641657
923.7355,0.05809577
925.664,0.06028623
927.5925,0.06256324
929.5209,0.06462997
931.4494,0.06648614
933.3779,0.06846253
935.3063,0.07051508
937.2348,0.07282821
939.1633,0.07476886
941.0917,0.07697961
943.0202,0.07942913
944.9487,0.0817393
946.8771,0.08380089
948.8056,0.08603784
950.7341,0.08821642
952.6625,0.09063818
954.591,0.09298839
956.5195,0.09558835
958.4479,0.09822677
960.3764,0.1007211
962.3049,0.1033942
964.2333,0.106435
966.1618,0.1094823
968.0903,0.1126568
970.0187,0.1156581
971.9472,0.1187373
973.8757,0.1220925
975.8041,0.1256912
977.7326,0.1291422
979.6611,0.1326096
981.5895,0.136155
983.518,0.139807
985.4465,0.1433117
987.3749,0.1467172
989.3034,0.1501272
991.2319,0.1539047
993.1603,0.1574946
995.0888,0.1609926
997.0173,0.1644858
998.9457,0.1679339
1000.874,0.1712588
1002.803,0.1751067
1004.731,0.1787886
1006.66,0.1827726
1008.588,0.1867102
1010.517,0.1906964
1012.445,0.1946836
1014.373,0.1987546
1016.302,0.2028261
1018.23,0.2069511
1020.159,0.2109137
1022.087,0.2149502
1024.016,0.2189797
1025.944,0.223273
1027.873,0.2274428
1029.801,0.2316705
1031.73,0.2357578
1033.658,0.2402034
1035.587,0.2446257
1037.515,0.2486747
1039.444,0.2523387
1041.372,0.2558159
1043.301,0.2593287
1045.229,0.2633027
1047.157,0.2676091
1049.086,0.2720819
1051.014,0.2761494
1052.943,0.2793548
1054.871,0.2821172
1056.8,0.2842503
1058.728,0.2846344
1060.657,0.2835509
1062.585,0.2809386
1064.514,0.2772762
1066.442,0.2738348
1068.371,0.2722712
1070.299,0.2722917
1072.228,0.2735359
1074.156,0.2753132
1076.084,0.2768162
1078.013,0.2773041
1079.941,0.2769222
1081.87,0.2754136
1083.798,0.2729232
1085.727,0.2693922
1087.655,0.2652241
1089.584,0.2605202
1091.512,0.2553949
1093.441,0.249502
1095.369,0.2436005
1097.298,0.2374783
1099.226,0.231358
1101.155,0.225462
1103.083,0.2200207
1105.011,0.2146947
1106.94,0.209424
1108.868,0.2043407
1110.797,0.1995192
1112.725,0.1946838
1114.654,0.1901895
1116.582,0.1854908
1118.511,0.1808916
1120.439,0.1765362
1122.368,0.1720975
1124.296,0.1674834
1126.225,0.162824
1128.153,0.1581534
1130.082,0.153723
1132.01,0.1493555
1133.938,0.1452038
1135.867,0.1409948
1137.795,0.1369278
1139.724,0.1331261
1141.652,0.1296373
1143.581,0.1256275
1145.509,0.1215879
1147.438,0.1177205
1149.366,0.1138262
1151.295,0.1097595
1153.223,0.1060836
1155.152,0.1038979
1157.08,0.104959
1159.009,0.1096275
1160.937,0.1155023
1162.865,0.1181188
1164.794,0.1159932
1166.722,0.1112198
1168.651,0.106019
1170.579,0.1006802
1172.508,0.09550285
1174.436,0.09054914
1176.365,0.08608473
1178.293,0.08201642
1180.222,0.07813702
1182.15,0.07450569
1184.079,0.07149757
1186.007,0.06868833
1187.936,0.0660255
1189.864,0.06333145
1191.792,0.0607688
1193.721,0.05819689
1195.649,0.05575347
1197.578,0.05302377
1199.506,0.05063855
1201.435,0.04809305
1203.363,0.04523532
1205.292,0.04249424
1207.22,0.03973147
1209.149,0.03679787
1211.077,0.03389329
1213.006,0.03098972
1214.934,0.02837027
1216.863,0.02575468
1218.791,0.02330983
1220.719,0.0209711
1222.648,0.01886227
1224.576,0.01703515
1226.505,0.01561698
1228.433,0.01444183
1230.362,0.01366493
1232.29,0.01281318
1234.219,0.0121501
1236.147,0.01158927
1238.076,0.01102328
1240.004,0.01036448
1241.933,0.009947482
1243.861,0.009418374
1245.79,0.0089899
1247.718,0.008523915
1249.646,0.008055964
1251.575,0.007564319
1253.503,0.007112612
1255.432,0.006617618
1257.36,0.006345374
1259.289,0.006176378
1261.217,0.00606003
1263.146,0.005719458
1265.074,0.005570238
1267.003,0.005594022
1268.931,0.005590091
1270.86,0.005312356
1272.788,0.005195021
1274.717,0.005095358
1276.645,0.005041165
1278.573,0.004723466
1280.502,0.004551709
1282.43,0.004325951
1284.359,0.003981799
1286.287,0.003652752
1288.216,0.00347295
1290.144,0.003145706
1292.073,0.00291449
1294.001,0.002643148
1295.93,0.002503481
1297.858,0.002117645
1299.787,0.001864137
1301.715,0.001778846
1303.644,0.001534702
1305.572,0.001286994
1307.5,0.001352748
1309.429,0.001211095
1311.357,0.00119204
1313.286,0.001134133
1315.214,0.001093882
1317.143,0.0008209891
1319.071,0.0007240725
1321.0,0.0005551555
1322.928,0.00044148
1324.857,0.0004693733
1326.785,0.0003855026
1328.714,0.000163489
1330.642,0.0001061911
1332.571,0.0001154846
1334.499,0.000200968
1336.427,0.0001802674
1338.356,0.0002303933
1340.284,-9.52031e-05
1342.213,-0.0003071761
1344.141,-0.0002820673
1346.07,-0.0001633239
1347.998,-0.0002534091
1349.927,-0.000226224
1351.855,-0.0003094964
1353.784,-0.0003713405
1355.712,-0.0005535377
1357.641,-0.0005132316
1359.569,-0.0004853332
1361.498,-0.0005393554
1363.426,-0.0006774182
1365.354,-0.0005692967
1367.283,-0.0005541574
1369.211,-0.0005729423
1371.14,-0.0004634334
1373.068,-0.0005623943
1374.997,-0.0008303686
1376.925,-0.0007469202
1378.854,-0.0008083107
1380.782,-0.0007715632
1382.711,-0.000888837
1384.639,-0.0008571317
1386.568,-0.0008997479
1388.496,-0.001021325
1390.424,-0.001061487
1392.353,-0.001075172
1394.281,-0.001152894
1396.21,-0.001142004
1398.138,-0.0009512461
1400.067,-0.0009669317
1401.995,-0.001050599
1403.924,-0.001053997
1405.852,-0.0009036255
1407.781,-0.0005899161
1409.709,-0.0007052088
1411.638,-0.0007287618
1413.566,-0.0007865172
1415.495,-0.0007477547
1417.423,-0.0005813939
1419.351,-0.0003974091
1421.28,-0.0004709968
1423.208,-0.000398555
1425.137,-0.0005357009
1427.065,-0.0006211387
1428.994,-0.0006806517
1430.922,-0.0006446483
1432.851,-0.0005216657
1434.779,-0.000463874
1436.708,-0.000606852
1438.636,-0.0004511892
1440.565,-0.0005347405
1442.493,-0.0007218107
1444.422,-0.0007948754
1446.35,-0.0006395182
1448.278,-0.0006794193
1450.207,-0.0006704469
1452.135,-0.0006641252
1454.064,-0.0003657424
1455.992,-0.0003708874
1457.921,-0.000615623
1459.849,-0.0003557481
1461.778,-0.000459033
1463.706,-0.0005340732
1465.635,-0.0006311153
1467.563,-0.0003312274
1469.492,-0.0001658729
1471.42,-0.0001634429
1473.349,-0.0003375307
1475.277,9.48277e-06
1477.205,-2.289817e-05
1479.134,-5.627016e-05
1481.062,-0.0001506772
1482.991,-0.0002410557
1484.919,-1.712362e-05
1486.848,6.592e-05
1488.776,-9.784788e-06
1490.705,-0.0001581458
1492.633,7.948419e-05
1494.562,0.0001321419
1496.49,4.55045e-05
1498.419,2.611373e-05
1500.347,-0.0001915649
1502.276,-0.0001615323
1504.204,8.663851e-05
1506.132,-0.0002824051
1508.061,-0.0007551467
1509.989,-0.0005656846
1511.918,-0.000243766
1513.846,-0.0001152742
1515.775,1.98254e-05
1517.703,-0.0001324954
1519.632,0.0002489218
1521.56,-0.0001332411
1523.489,4.570237e-05
1525.417,0.0002128197
1527.346,-1.193284e-05
1529.274,-0.0002003015
1531.203,2.110028e-05
1533.131,-0.0001912717
1535.059,-0.0004508549
1536.988,-0.0002525306
1538.916,-0.0004535959
1540.845,-0.0009966674
1542.773,-0.0007876452
