x,y
399.1926,0.0
401.1211,0.1031505
403.0496,0.1036026
404.978,0.1063751
406.9065,0.1104749
408.835,0.1141834
410.7634,0.1177734
412.6919,0.1192952
414.6204,0.1186913
416.5488,0.1205561
418.4773,0.1242213
420.4058,0.127617
422.3342,0.1329265
424.2627,0.1366709
426.1912,0.142431
428.1196,0.1534308
430.0481,0.1643849
431.9766,0.1740332
433.905,0.1819668
435.8335,0.1886401
437.762,0.1978747
439.6904,0.2043902
441.6189,0.2103291
443.5474,0.2175384
445.4758,0.2244309
447.4043,0.2306437
449.3328,0.2329336
451.2612,0.2361504
453.1897,0.235832
455.1182,0.2320217
457.0466,0.2269115
458.9751,0.2173383
460.9036,0.2069163
462.832,0.1981535
464.7605,0.1893624
466.689,0.1817363
468.6174,0.1762886
470.5459,0.1712097
472.4744,0.1676165
474.4028,0.1652732
476.3313,0.1632238
478.2598,0.1624945
480.1882,0.163231
482.1167,0.1656432
484.0452,0.1703771
485.9736,0.1758368
487.9021,0.1798818
489.8306,0.1801063
491.759,0.1767429
493.6875,0.171618
495.616,0.1649763
497.5444,0.1595259
499.4729,0.1533786
501.4014,0.1451003
503.3298,0.1376209
505.2583,0.1319248
507.1868,0.1271509
509.1152,0.1215621
511.0437,0.1177786
512.9722,0.1162591
514.9006,0.1146228
516.8291,0.1111464
518.7576,0.1057772
520.686,0.09848646
522.6145,0.09005416
524.543,0.08328177
526.4714,0.07909356
528.3999,0.07703894
530.3284,0.07762866
532.2568,0.07854473
534.1853,0.07735284
536.1138,0.07269201
538.0422,0.0665109
539.9707,0.06175163
541.8992,0.05795928
543.8276,0.05523076
545.7561,0.05482978
547.6846,0.05644751
549.613,0.0600904
551.5415,0.06567737
553.47,0.07239591
555.3984,0.07982672
557.3269,0.08616793
559.2554,0.08964223
561.1838,0.08950642
563.1123,0.08632367
565.0408,0.08240639
566.9692,0.07927907
568.8977,0.07795727
570.8262,0.07887917
572.7546,0.0814266
574.6831,0.08399087
576.6116,0.08508402
578.54,0.08333901
580.4685,0.07769285
582.397,0.06907636
584.3254,0.05925499
586.2539,0.05012626
588.1824,0.0429705
590.1108,0.03794377
592.0393,0.03387617
593.9678,0.03082623
595.8962,0.02888069
597.8247,0.02752275
599.7532,0.0267949
601.6816,0.0256743
603.6101,0.02491403
605.5386,0.02493933
607.467,0.02524309
609.3955,0.02528005
611.324,0.02568766
613.2524,0.02574251
615.1809,0.02595465
617.1094,0.0263618
619.0378,0.02678359
620.9663,0.02720171
622.8948,0.02739609
624.8232,0.02768224
626.7517,0.02837987
628.6802,0.02923017
630.6086,0.03029703
632.5371,0.0320055
634.4656,0.03392093
636.394,0.03607112
638.3225,0.03870607
640.251,0.0412545
642.1794,0.04399082
644.1079,0.04704743
646.0364,0.04985904
647.9648,0.05301087
649.8933,0.0559462
651.8218,0.0585732
653.7502,0.06153354
655.6787,0.06494035
657.6072,0.06940513
659.5356,0.07524768
661.4641,0.08076891
663.3926,0.08425651
665.321,0.08430593
667.2495,0.08035427
669.178,0.07244562
671.1064,0.0628142
673.0349,0.05365289
674.9634,0.04588456
676.8918,0.04021006
678.8203,0.0367516
680.7488,0.03459432
682.6772,0.03325457
684.6057,0.0330724
686.5342,0.03426329
688.4626,0.03617167
690.3911,0.03829782
692.3196,0.03997651
694.248,0.04005369
696.1765,0.03856746
698.105,0.03680084
700.0334,0.03555418
701.9619,0.03490414
703.8904,0.03535232
705.8188,0.03698636
707.7473,0.03953296
709.6758,0.04288054
711.6042,0.04686737
713.5327,0.05158455
715.4612,0.05685422
717.3896,0.06127799
719.3181,0.06311508
721.2466,0.06135602
723.175,0.05588305
725.1035,0.04884022
727.032,0.04311145
728.9604,0.03930595
730.8889,0.03657897
732.8174,0.03473791
734.7458,0.03353223
736.6743,0.03281808
738.6028,0.03226664
740.5313,0.03181044
742.4597,0.03168148
744.3882,0.03183294
746.3167,0.03204949
748.2451,0.03204393
750.1736,0.03191827
752.1021,0.03233626
754.0305,0.0328468
755.959,0.03337307
757.8875,0.03414076
759.8159,0.0350519
761.7444,0.03612269
763.6729,0.03703699
765.6013,0.0378999
767.5298,0.03898042
769.4583,0.03991041
771.3867,0.04083491
773.3152,0.0416931
775.2437,0.04273951
777.1721,0.04398256
779.1006,0.0449933
781.0291,0.04622039
782.9575,0.04776347
784.886,0.04898937
786.8145,0.05038296
788.7429,0.05184233
790.6714,0.0530632
792.5999,0.05439484
794.5283,0.05615814
796.4568,0.05824628
798.3853,0.0603581
800.3137,0.06226174
802.2422,0.06441668
804.1707,0.06654171
806.0991,0.06872312
808.0276,0.07125046
809.9561,0.07419074
811.8845,0.07700752
813.813,0.07982908
815.7415,0.08321846
817.6699,0.08669041
819.5984,0.09012144
821.5269,0.09370326
823.4553,0.09747276
825.3838,0.1017026
827.3123,0.1063508
829.2407,0.1111805
831.1692,0.1160879
833.0977,0.1214043
835.0261,0.1275894
836.9546,0.1339911
838.8831,0.1404312
840.8115,0.1474343
842.74,0.154512
844.6685,0.1617974
846.5969,0.1693396
848.5254,0.1772346
850.4539,0.1857024
852.3823,0.1945024
854.3108,0.2039956
856.2393,0.2136551
858.1677,0.2237574
860.0962,0.2340845
862.0247,0.2435735
863.9531,0.2520232
865.8816,0.2592038
867.8101,0.2640437
869.7385,0.2665528
871.667,0.2672763
873.5955,0.2671696
875.5239,0.2677516
877.4524,0.2699425
879.3809,0.2735667
881.3093,0.2781679
883.2378,0.2824158
885.1663,0.2855597
887.0947,0.2871628
889.0232,0.2870385
890.9517,0.2857193
892.8801,0.2826849
894.8085,0.278178
896.737,0.2735396
898.6655,0.2691359
900.5939,0.2650551
902.5224,0.2618184
904.4509,0.2597367
906.3793,0.2581095
908.3078,0.256061
910.2363,0.2540903
912.1647,0.2525698
914.0932,0.251218
916.0217,0.2501102
917.9501,0.249022
919.8786,0.2476199
921.8071,0.245611
923.7355,0.243357
925.664,0.2414007
927.5925,0.2397394
929.5209,0.2393278
931.4494,0.2402335
933.3779,0.2421207
935.3063,0.2455368
937.2348,0.2501144
939.1633,0.2554998
941.0917,0.2609915
943.0202,0.2649668
944.9487,0.2663791
946.8771,0.2646216
948.8056,0.2589582
950.7341,0.2501346
952.6625,0.2392545
954.591,0.2271945
956.5195,0.2148707
958.4479,0.2031418
960.3764,0.192284
962.3049,0.1829708
964.2333,0.1756954
966.1618,0.1707111
968.0903,0.1677323
970.0187,0.165956
971.9472,0.1647849
973.8757,0.1635502
975.8041,0.1626649
977.7326,0.1626362
979.6611,0.1632133
981.5895,0.1640193
983.518,0.1651528
985.4465,0.1664971
987.3749,0.1680956
989.3034,0.1697683
991.2319,0.1712615
993.1603,0.1725603
995.0888,0.1741443
997.0173,0.175759
998.9457,0.1771931
1000.874,0.1784503
1002.803,0.1799452
1004.731,0.1818826
1006.66,0.1835396
1008.588,0.1848139
1010.517,0.185936
1012.445,0.1868433
1014.373,0.1874614
1016.302,0.1878515
1018.23,0.1874518
1020.159,0.1863632
1022.087,0.1844979
1024.016,0.1820847
1025.944,0.1792446
1027.873,0.1761773
