x,y
399.1926,0.06878006
401.1211,0.0610751
403.0496,0.06136872
404.978,0.06119758
406.9065,0.06293758
408.835,0.06335193
410.7634,0.0635913
412.6919,0.06659793
414.6204,0.07084794
416.5488,0.07548923
418.4773,0.08079495
420.4058,0.08702924
422.3342,0.09263423
424.2627,0.09886112
426.1912,0.1069725
428.1196,0.1173588
430.0481,0.1280767
431.9766,0.132951
433.905,0.1292911
435.8335,0.1251585
437.762,0.1255319
439.6904,0.1293752
441.6189,0.1345428
443.5474,0.1420562
445.4758,0.1499772
447.4043,0.1593423
449.3328,0.170056
451.2612,0.1812362
453.1897,0.1887637
455.1182,0.1913461
457.0466,0.192189
458.9751,0.1913232
460.9036,0.1871786
462.832,0.1812505
464.7605,0.1754567
466.689,0.1698531
468.6174,0.1660896
470.5459,0.1667801
472.4744,0.1726712
474.4028,0.1805726
476.3313,0.183696
478.2598,0.1801841
480.1882,0.1711451
482.1167,0.1588042
484.0452,0.1466568
485.9736,0.1352378
487.9021,0.1249552
489.8306,0.1160851
491.759,0.1096912
493.6875,0.1031755
495.616,0.09326024
497.5444,0.08197773
499.4729,0.0714049
501.4014,0.06291363
503.3298,0.05734879
505.2583,0.05492289
507.1868,0.05467166
509.1152,0.05643747
511.0437,0.05940271
512.9722,0.06333515
514.9006,0.0685729
516.8291,0.07502606
518.7576,0.08316393
520.686,0.09165719
522.6145,0.09973342
524.543,0.1070712
526.4714,0.1115768
528.3999,0.1124011
530.3284,0.1089137
532.2568,0.1013574
534.1853,0.09373124
536.1138,0.08965312
538.0422,0.08930329
539.9707,0.08988922
541.8992,0.08832265
543.8276,0.08356401
545.7561,0.07671822
547.6846,0.06928287
549.613,0.06163727
551.5415,0.05383953
553.47,0.04617484
555.3984,0.03941163
557.3269,0.03431868
559.2554,0.03053705
561.1838,0.02647319
563.1123,0.02262652
565.0408,0.02004226
566.9692,0.01819465
568.8977,0.01684265
570.8262,0.01604972
572.7546,0.01561465
574.6831,0.01543819
576.6116,0.01527017
578.54,0.01530281
