x,y
399.1926,0.0
401.1211,0.2603774
403.0496,0.2615968
404.978,0.2594561
406.9065,0.2562617
408.835,0.259392
410.7634,0.2573764
412.6919,0.2561783
414.6204,0.2590654
416.5488,0.2627072
418.4773,0.2560709
420.4058,0.2477509
422.3342,0.2428969
424.2627,0.236449
426.1912,0.2251567
428.1196,0.2155217
430.0481,0.206686
431.9766,0.1922868
433.905,0.1784174
435.8335,0.1680267
437.762,0.1563756
439.6904,0.1463937
441.6189,0.1371057
443.5474,0.1259853
445.4758,0.1147182
447.4043,0.1053752
449.3328,0.09694709
451.2612,0.08998707
453.1897,0.0839463
455.1182,0.07964505
457.0466,0.07611746
458.9751,0.07283138
460.9036,0.07007241
462.832,0.06766901
464.7605,0.06553956
466.689,0.06351198
468.6174,0.06022155
470.5459,0.05694432
472.4744,0.05400638
474.4028,0.0506941
476.3313,0.04861616
478.2598,0.04706957
480.1882,0.04466886
482.1167,0.0426137
484.0452,0.04090715
485.9736,0.03989862
487.9021,0.03909428
489.8306,0.03735926
491.759,0.03641381
493.6875,0.03649319
495.616,0.03590573
497.5444,0.03531994
499.4729,0.03559243
501.4014,0.03653751
503.3298,0.03774856
505.2583,0.03986091
507.1868,0.04162358
509.1152,0.04282788
511.0437,0.04426699
512.9722,0.04501009
514.9006,0.04548672
516.8291,0.04611674
518.7576,0.0473579
520.686,0.04894274
522.6145,0.05125562
524.543,0.05557014
526.4714,0.06098742
528.3999,0.06682783
530.3284,0.07440122
532.2568,0.0839096
534.1853,0.09541065
536.1138,0.10914
538.0422,0.1249061
539.9707,0.1407415
541.8992,0.1532709
543.8276,0.1587453
545.7561,0.1565664
547.6846,0.1478657
549.613,0.1375415
551.5415,0.1294735
553.47,0.1252659
555.3984,0.1254006
557.3269,0.1290425
559.2554,0.1350137
561.1838,0.1422763
563.1123,0.150349
565.0408,0.158995
566.9692,0.1679118
568.8977,0.1757594
570.8262,0.1818288
572.7546,0.1866584
574.6831,0.1904379
576.6116,0.1921664
578.54,0.1918067
580.4685,0.1902546
582.397,0.1875373
584.3254,0.1831119
586.2539,0.1777215
588.1824,0.1718486
590.1108,0.1644218
592.0393,0.1558955
593.9678,0.147483
595.8962,0.1393054
597.8247,0.1314627
599.7532,0.1237909
601.6816,0.1163678
603.6101,0.1093831
605.5386,0.1022508
607.467,0.09593494
609.3955,0.090404
611.324,0.08491352
613.2524,0.07969956
