x,y
399.1926,0.0
401.1211,0.1812695
403.0496,0.1819861
404.978,0.1817852
406.9065,0.1866954
408.835,0.1892746
410.7634,0.1920565
412.6919,0.1929782
414.6204,0.1929578
416.5488,0.1962972
418.4773,0.1998552
420.4058,0.2009823
422.3342,0.2064313
424.2627,0.2137051
426.1912,0.2087061
428.1196,0.1927896
430.0481,0.1771834
431.9766,0.165396
433.905,0.1576486
435.8335,0.1509129
437.762,0.1428656
439.6904,0.1357135
441.6189,0.1319194
443.5474,0.1281151
445.4758,0.1233854
447.4043,0.1188064
449.3328,0.1157336
451.2612,0.1127113
453.1897,0.1085889
455.1182,0.1052846
457.0466,0.1035154
458.9751,0.1021344
460.9036,0.1006531
462.832,0.09979204
464.7605,0.1002356
466.689,0.1009233
468.6174,0.1029901
470.5459,0.1064046
472.4744,0.1113138
474.4028,0.1161317
476.3313,0.1209628
478.2598,0.1265375
480.1882,0.131383
482.1167,0.1351689
484.0452,0.138515
485.9736,0.140211
487.9021,0.1406737
489.8306,0.1399358
491.759,0.138965
493.6875,0.137907
495.616,0.1356917
497.5444,0.1325429
499.4729,0.1292605
501.4014,0.1265204
503.3298,0.1235007
505.2583,0.1203412
507.1868,0.1177844
509.1152,0.1149145
511.0437,0.1121644
512.9722,0.1098371
514.9006,0.1077958
516.8291,0.1058635
518.7576,0.1038443
520.686,0.1021101
522.6145,0.1002912
524.543,0.09856177
526.4714,0.09645282
528.3999,0.09419932
530.3284,0.09202589
532.2568,0.09001605
534.1853,0.08871991
536.1138,0.08766609
538.0422,0.08650481
539.9707,0.08469439
541.8992,0.08255626
543.8276,0.08148324
545.7561,0.08106612
547.6846,0.08061086
549.613,0.0804411
551.5415,0.08083135
553.47,0.08210725
555.3984,0.08411904
557.3269,0.08668544
559.2554,0.08925223
561.1838,0.09151303
563.1123,0.09343805
565.0408,0.09575662
566.9692,0.09815133
568.8977,0.1002866
570.8262,0.1026465
572.7546,0.104388
574.6831,0.10553
576.6116,0.1072322
578.54,0.1087926
580.4685,0.1100051
582.397,0.1118261
584.3254,0.1140585
586.2539,0.1163447
588.1824,0.1184925
590.1108,0.1203957
592.0393,0.1222421
593.9678,0.1245444
595.8962,0.1263593
597.8247,0.127571
599.7532,0.127996
601.6816,0.1269535
603.6101,0.1258123
605.5386,0.1250141
607.467,0.1241174
609.3955,0.1240121
611.324,0.1253962
613.2524,0.1275043
615.1809,0.1296217
617.1094,0.1323535
619.0378,0.1354329
620.9663,0.1377104
622.8948,0.1397586
624.8232,0.1412114
626.7517,0.1404154
628.6802,0.1379115
630.6086,0.1344687
632.5371,0.1305081
634.4656,0.1257171
636.394,0.1206389
638.3225,0.1151701
640.251,0.1098252
642.1794,0.10446
644.1079,0.09958318
646.0364,0.09541087
647.9648,0.09209514
649.8933,0.08946042
651.8218,0.08796699
653.7502,0.08713461
655.6787,0.08679812
657.6072,0.08734914
659.5356,0.08849196
661.4641,0.09060915
663.3926,0.09321882
665.321,0.09565567
667.2495,0.09790321
669.178,0.09931223
671.1064,0.1000505
673.0349,0.09989002
674.9634,0.09887914
676.8918,0.09776183
678.8203,0.09742541
680.7488,0.09824526
682.6772,0.1008338
684.6057,0.1048396
686.5342,0.1092506
688.4626,0.1127078
690.3911,0.1136594
692.3196,0.1109742
694.248,0.1050452
696.1765,0.09730224
698.105,0.09017642
700.0334,0.08472161
701.9619,0.08071049
703.8904,0.0784727
705.8188,0.07804193
707.7473,0.07885329
709.6758,0.08120231
711.6042,0.08473038
713.5327,0.08804084
715.4612,0.09070494
717.3896,0.09254315
719.3181,0.0929998
721.2466,0.09161022
723.175,0.08779921
725.1035,0.08202278
727.032,0.07501227
728.9604,0.06817338
730.8889,0.06189849
732.8174,0.05561303
734.7458,0.04922407
736.6743,0.04316426
738.6028,0.03782492
740.5313,0.03384259
742.4597,0.03112723
744.3882,0.02869963
746.3167,0.02704844
748.2451,0.02620441
750.1736,0.02534242
752.1021,0.02475137
754.0305,0.02440282
755.959,0.0241047
757.8875,0.02382493
759.8159,0.0234333
761.7444,0.02321436
763.6729,0.02307057
765.6013,0.02300808
767.5298,0.02285806
769.4583,0.02236036
771.3867,0.02200457
773.3152,0.02180075
775.2437,0.0214898
777.1721,0.02139976
779.1006,0.02143051
781.0291,0.02129399
782.9575,0.02135948
784.886,0.02135719
786.8145,0.0211521
788.7429,0.02097039
790.6714,0.02111157
792.5999,0.02128395
794.5283,0.02128707
796.4568,0.02109754
798.3853,0.02138918
800.3137,0.02172785
802.2422,0.02157703
804.1707,0.02142001
806.0991,0.02176062
808.0276,0.02203451
809.9561,0.02223626
811.8845,0.02246387
813.813,0.02271226
815.7415,0.02302724
817.6699,0.02351959
819.5984,0.02384896
821.5269,0.02434906
823.4553,0.02474797
825.3838,0.02531581
827.3123,0.02594498
829.2407,0.02650181
831.1692,0.02714692
833.0977,0.02778046
835.0261,0.02842384
836.9546,0.02921952
838.8831,0.02996367
840.8115,0.03090553
842.74,0.03185696
844.6685,0.03285823
846.5969,0.03405215
848.5254,0.03528209
850.4539,0.03650513
852.3823,0.03766027
854.3108,0.03894389
856.2393,0.0402959
858.1677,0.04140271
860.0962,0.04292401
862.0247,0.04452431
863.9531,0.04622668
865.8816,0.04811145
867.8101,0.05009021
869.7385,0.05214074
871.667,0.05447011
873.5955,0.05708875
875.5239,0.05993901
877.4524,0.06295652
879.3809,0.06611247
881.3093,0.06935827
883.2378,0.07310309
885.1663,0.07722276
887.0947,0.08165246
889.0232,0.08623065
890.9517,0.09114552
892.8801,0.09632261
894.8085,0.1018332
896.737,0.107839
898.6655,0.1144674
900.5939,0.1218082
902.5224,0.1300814
904.4509,0.1390216
906.3793,0.149367
