x,y
399.1926,0.0
401.1211,0.2277309
403.0496,0.228893
404.978,0.226124
406.9065,0.2262858
408.835,0.2334279
410.7634,0.2393685
412.6919,0.2388555
414.6204,0.2372068
416.5488,0.2412031
418.4773,0.2440662
420.4058,0.2432928
422.3342,0.2451557
424.2627,0.2452638
426.1912,0.2413703
428.1196,0.2402489
430.0481,0.243376
431.9766,0.243581
433.905,0.243296
435.8335,0.2456347
437.762,0.2471825
439.6904,0.2468784
441.6189,0.247556
443.5474,0.2493831
445.4758,0.2495454
447.4043,0.2474518
449.3328,0.2474801
451.2612,0.2499048
453.1897,0.2525091
455.1182,0.2530083
457.0466,0.2521571
458.9751,0.2518079
460.9036,0.2529124
462.832,0.2555182
464.7605,0.2579841
466.689,0.2580847
468.6174,0.2569918
470.5459,0.2572921
472.4744,0.2575888
474.4028,0.2571633
476.3313,0.2584606
478.2598,0.2596155
480.1882,0.2591454
482.1167,0.2581211
484.0452,0.2588281
485.9736,0.2612815
487.9021,0.2612571
489.8306,0.261233
491.759,0.2621988
493.6875,0.2640652
495.616,0.2649657
497.5444,0.2654423
499.4729,0.2663429
501.4014,0.2664618
503.3298,0.2663065
505.2583,0.2667187
507.1868,0.2671941
509.1152,0.2677502
511.0437,0.2686744
512.9722,0.2690957
514.9006,0.2690746
516.8291,0.2700084
518.7576,0.2708572
520.686,0.2706433
522.6145,0.2709148
524.543,0.2708005
526.4714,0.2707297
528.3999,0.2721468
530.3284,0.2729996
532.2568,0.2729123
534.1853,0.2733997
536.1138,0.2729066
538.0422,0.2728297
539.9707,0.2739981
541.8992,0.2753101
543.8276,0.2756233
545.7561,0.2761793
547.6846,0.2768484
549.613,0.2770761
551.5415,0.2774554
553.47,0.2771828
555.3984,0.2782724
557.3269,0.2790937
559.2554,0.278788
561.1838,0.2786166
563.1123,0.2799834
565.0408,0.2811601
566.9692,0.2810049
568.8977,0.2802545
570.8262,0.2795855
572.7546,0.2805051
574.6831,0.2812193
576.6116,0.2808019
578.54,0.2811944
580.4685,0.2820124
582.397,0.2831892
584.3254,0.2834705
586.2539,0.2833099
588.1824,0.2838306
590.1108,0.2844974
592.0393,0.2848628
593.9678,0.2847735
595.8962,0.2852609
597.8247,0.2860168
599.7532,0.2863303
601.6816,0.2855269
603.6101,0.2858272
605.5386,0.2869011
607.467,0.2876156
609.3955,0.2874798
611.324,0.2876774
613.2524,0.2876445
615.1809,0.2876714
617.1094,0.2880599
619.0378,0.2885934
620.9663,0.2885143
622.8948,0.2883798
624.8232,0.2881232
626.7517,0.2880996
628.6802,0.2880876
630.6086,0.2879002
632.5371,0.2877416
634.4656,0.288162
636.394,0.2882961
638.3225,0.2885664
640.251,0.2883636
642.1794,0.2882018
644.1079,0.288628
646.0364,0.2892065
647.9648,0.2897731
649.8933,0.2897485
651.8218,0.2897533
653.7502,0.2897277
655.6787,0.2899501
657.6072,0.2904455
659.5356,0.2908668
661.4641,0.2909216
663.3926,0.2912842
665.321,0.29141
667.2495,0.2917065
669.178,0.2916649
671.1064,0.2916513
673.0349,0.2921629
674.9634,0.2920399
676.8918,0.2920171
678.8203,0.2923953
680.7488,0.2928959
682.6772,0.2933154
684.6057,0.2933837
686.5342,0.2932952
688.4626,0.2937689
690.3911,0.2941895
692.3196,0.2944925
694.248,0.295141
696.1765,0.295174
698.105,0.2950664
700.0334,0.2955512
701.9619,0.2958555
703.8904,0.2958408
705.8188,0.2959025
707.7473,0.2963191
709.6758,0.2969659
711.6042,0.2971373
713.5327,0.2974758
715.4612,0.2985002
717.3896,0.2991662
719.3181,0.299394
721.2466,0.2994047
723.175,0.2995267
725.1035,0.299729
727.032,0.3003391
728.9604,0.3008396
730.8889,0.3007948
732.8174,0.3006482
734.7458,0.3010758
736.6743,0.3016019
738.6028,0.3021341
740.5313,0.3025997
742.4597,0.302944
744.3882,0.3033325
746.3167,0.3039743
748.2451,0.3045276
750.1736,0.3047999
752.1021,0.3049414
754.0305,0.3052917
755.959,0.3057351
757.8875,0.3057953
759.8159,0.3062433
761.7444,0.3067967
763.6729,0.3068239
765.6013,0.3072354
767.5298,0.3074015
769.4583,0.3075583
771.3867,0.3077988
773.3152,0.3080504
775.2437,0.3083151
777.1721,0.3089682
779.1006,0.3097573
781.0291,0.3098795
782.9575,0.3099537
784.886,0.3102406
786.8145,0.3107312
788.7429,0.3111795
790.6714,0.3114508
792.5999,0.3117968
794.5283,0.3121991
796.4568,0.3123132
798.3853,0.3123793
800.3137,0.312705
802.2422,0.3135437
804.1707,0.3140853
806.0991,0.3140341
808.0276,0.3143205
809.9561,0.3146392
811.8845,0.3149867
813.813,0.3151891
815.7415,0.3153802
817.6699,0.3157085
819.5984,0.3161231
821.5269,0.3168371
823.4553,0.3174101
825.3838,0.3176696
827.3123,0.3178288
829.2407,0.3180038
831.1692,0.3182681
833.0977,0.3187688
835.0261,0.3193568
836.9546,0.3198526
838.8831,0.3200571
840.8115,0.3201117
842.74,0.3202429
844.6685,0.3201661
846.5969,0.3205846
848.5254,0.3211699
850.4539,0.3212681
852.3823,0.3212387
854.3108,0.321436
856.2393,0.3221128
858.1677,0.3226736
860.0962,0.3230813
862.0247,0.323257
863.9531,0.3235698
865.8816,0.32376
867.8101,0.3239093
869.7385,0.3241733
871.667,0.3246882
873.5955,0.3254174
875.5239,0.325677
877.4524,0.3256015
879.3809,0.3260466
881.3093,0.3266361
883.2378,0.3270316
885.1663,0.3274787
887.0947,0.3275945
889.0232,0.3277028
890.9517,0.3281483
892.8801,0.3285422
894.8085,0.3287928
896.737,0.3289343
898.6655,0.3294908
900.5939,0.3300228
902.5224,0.3303415
904.4509,0.3308347
906.3793,0.3312465
908.3078,0.3315726
910.2363,0.3319567
912.1647,0.3320801
914.0932,0.3322493
916.0217,0.3326863
917.9501,0.3333114
919.8786,0.3336548
921.8071,0.3339733
923.7355,0.334383
925.664,0.3350064
927.5925,0.3353145
929.5209,0.3352894
931.4494,0.3355659
933.3779,0.3363301
935.3063,0.3368159
937.2348,0.3369064
939.1633,0.3373778
941.0917,0.3377647
943.0202,0.3377461
944.9487,0.3382942
946.8771,0.3391846
948.8056,0.339487
950.7341,0.3396029
952.6625,0.3399734
954.591,0.3404704
956.5195,0.3408964
958.4479,0.3414843
960.3764,0.3419404
962.3049,0.3422529
964.2333,0.3426242
966.1618,0.3430228
968.0903,0.3433625
970.0187,0.3439172
971.9472,0.3443421
973.8757,0.3447568
975.8041,0.3455486
977.7326,0.345996
979.6611,0.3461469
981.5895,0.3464234
983.518,0.3464034
985.4465,0.3463989
987.3749,0.3468917
989.3034,0.3474465
991.2319,0.3481886
993.1603,0.3486523
995.0888,0.348678
997.0173,0.348793
998.9457,0.348949
1000.874,0.3490604
1002.803,0.3490532
1004.731,0.3493663
1006.66,0.3495991
1008.588,0.3497136
1010.517,0.34977
1012.445,0.3495916
1014.373,0.3497134
1016.302,0.3504697
1018.23,0.3508823
1020.159,0.3509804
1022.087,0.3510222
1024.016,0.3513046
1025.944,0.3517569
1027.873,0.3524449
1029.801,0.3528654
1031.73,0.3530422
1033.658,0.3529961
1035.587,0.3530765
1037.515,0.3535796
1039.444,0.3540585
1041.372,0.3542489
1043.301,0.3543755
1045.229,0.3545597
1047.157,0.3549679
1049.086,0.355174
1051.014,0.3553239
1052.943,0.3556415
1054.871,0.3563625
1056.8,0.3566697
1058.728,0.3566319
1060.657,0.3568896
1062.585,0.3569801
1064.514,0.3572457
1066.442,0.3576579
1068.371,0.3579485
1070.299,0.3579637
1072.228,0.3578203
1074.156,0.3580859
1076.084,0.3582887
1078.013,0.3585204
1079.941,0.3585716
1081.87,0.3582693
1083.798,0.357933
1085.727,0.3576336
1087.655,0.3574368
1089.584,0.3573316
1091.512,0.3572414
1093.441,0.3570656
1095.369,0.35695
1097.298,0.3569959
1099.226,0.356645
1101.155,0.3563519
1103.083,0.356157
1105.011,0.355893
1106.94,0.3557116
1108.868,0.3557999
1110.797,0.3556257
1112.725,0.3551303
1114.654,0.3548999
1116.582,0.3545949
1118.511,0.3540489
