x,y
399.1926,0.0
401.1211,0.23691
403.0496,0.2380669
404.978,0.2408921
406.9065,0.2470598
408.835,0.2530069
410.7634,0.2566603
412.6919,0.2585694
414.6204,0.2658262
416.5488,0.274078
418.4773,0.2804993
420.4058,0.283539
422.3342,0.2890678
424.2627,0.2893985
426.1912,0.2880237
428.1196,0.2908375
430.0481,0.2952504
431.9766,0.295892
433.905,0.2930748
435.8335,0.2892298
437.762,0.2855126
439.6904,0.2830009
441.6189,0.2782867
443.5474,0.271117
445.4758,0.2640942
447.4043,0.2576708
449.3328,0.2522067
451.2612,0.2486946
453.1897,0.247657
455.1182,0.2491045
457.0466,0.2502532
458.9751,0.2490597
460.9036,0.244989
462.832,0.2400006
464.7605,0.2338667
466.689,0.2267862
468.6174,0.2212587
470.5459,0.2150338
472.4744,0.2075233
474.4028,0.2004998
476.3313,0.1942013
478.2598,0.1892466
480.1882,0.1844227
482.1167,0.177927
484.0452,0.1718698
485.9736,0.1673206
487.9021,0.162835
489.8306,0.1578774
491.759,0.1523614
493.6875,0.1466003
495.616,0.1411576
497.5444,0.1358063
499.4729,0.1298629
501.4014,0.1236347
503.3298,0.1180331
505.2583,0.1132718
507.1868,0.1087005
509.1152,0.1052841
511.0437,0.1016231
512.9722,0.09759494
514.9006,0.09429248
516.8291,0.09186976
518.7576,0.0908445
520.686,0.09114404
522.6145,0.0909346
524.543,0.09124884
526.4714,0.09182744
528.3999,0.09199341
530.3284,0.09162995
532.2568,0.09164508
534.1853,0.09252709
536.1138,0.09358737
538.0422,0.09540148
539.9707,0.09916199
541.8992,0.103854
543.8276,0.109746
545.7561,0.1176077
547.6846,0.1262128
549.613,0.1347446
551.5415,0.1436083
553.47,0.1522504
555.3984,0.160396
557.3269,0.1669923
559.2554,0.1709607
561.1838,0.1714837
563.1123,0.1689816
565.0408,0.1641866
566.9692,0.1571655
568.8977,0.1479864
570.8262,0.137955
572.7546,0.1277706
574.6831,0.1176539
576.6116,0.1082229
578.54,0.09936229
580.4685,0.09125019
582.397,0.08404487
584.3254,0.07672475
586.2539,0.06992435
588.1824,0.06467632
590.1108,0.05983067
592.0393,0.05548927
593.9678,0.05225514
595.8962,0.04948439
597.8247,0.04692918
599.7532,0.04459859
601.6816,0.04271838
603.6101,0.04149836
605.5386,0.04048335
607.467,0.03981765
609.3955,0.03924662
611.324,0.03909717
613.2524,0.03938097
615.1809,0.04026633
617.1094,0.04203785
619.0378,0.04484454
620.9663,0.04842728
622.8948,0.05203857
624.8232,0.0551077
626.7517,0.05691154
628.6802,0.05608771
630.6086,0.05252939
632.5371,0.04780932
634.4656,0.04274108
636.394,0.03824953
638.3225,0.03456985
640.251,0.0314551
642.1794,0.02933952
644.1079,0.02809319
646.0364,0.02703836
647.9648,0.02648157
649.8933,0.02608931
651.8218,0.02557991
653.7502,0.02529621
655.6787,0.02491323
657.6072,0.02455358
659.5356,0.02482739
661.4641,0.02513597
663.3926,0.0251357
