x,y
399.1926,0.0
401.1211,0.1891967
403.0496,0.190065
404.978,0.1665536
406.9065,0.1547704
408.835,0.1472996
410.7634,0.1472096
412.6919,0.1508128
414.6204,0.1588381
416.5488,0.1724384
418.4773,0.1845711
420.4058,0.1946949
422.3342,0.2104657
424.2627,0.2264766
426.1912,0.2324819
428.1196,0.2373598
430.0481,0.2497319
431.9766,0.2589427
433.905,0.2662636
435.8335,0.2756886
437.762,0.2857699
439.6904,0.2905963
441.6189,0.2941518
443.5474,0.2976751
445.4758,0.3030953
447.4043,0.3046229
449.3328,0.3000357
451.2612,0.2959716
453.1897,0.2917074
455.1182,0.2884341
457.0466,0.2886765
458.9751,0.2911281
460.9036,0.2922949
462.832,0.2918832
464.7605,0.2900502
466.689,0.2888183
468.6174,0.2870992
470.5459,0.2817989
472.4744,0.2760248
474.4028,0.271041
476.3313,0.2645042
478.2598,0.2577623
480.1882,0.249701
482.1167,0.2416524
484.0452,0.2335007
485.9736,0.2277563
487.9021,0.2223109
489.8306,0.2153761
491.759,0.2085054
493.6875,0.2028724
495.616,0.1976443
497.5444,0.1935223
499.4729,0.1892425
501.4014,0.1829685
503.3298,0.1770285
505.2583,0.1710553
507.1868,0.1644939
509.1152,0.1583375
511.0437,0.1522298
512.9722,0.1475054
514.9006,0.1458124
516.8291,0.1460543
518.7576,0.1475356
520.686,0.1487527
522.6145,0.1490699
524.543,0.1487548
526.4714,0.1479938
528.3999,0.147127
530.3284,0.145615
532.2568,0.1433723
534.1853,0.1409339
536.1138,0.1379896
538.0422,0.1348211
539.9707,0.1317073
541.8992,0.1279438
543.8276,0.1229389
545.7561,0.1179102
547.6846,0.1132441
549.613,0.1079172
551.5415,0.1025027
553.47,0.09815405
555.3984,0.09538785
557.3269,0.09502093
559.2554,0.0970216
561.1838,0.1007039
563.1123,0.1061545
565.0408,0.1126437
566.9692,0.1193392
568.8977,0.1258848
570.8262,0.1315524
572.7546,0.1366069
574.6831,0.1401876
576.6116,0.1423501
578.54,0.1444045
580.4685,0.1460382
582.397,0.147238
584.3254,0.1475241
586.2539,0.1467895
588.1824,0.1455869
590.1108,0.1441564
592.0393,0.1425491
593.9678,0.140417
595.8962,0.1382187
597.8247,0.1359095
599.7532,0.1329332
601.6816,0.1297178
603.6101,0.1263919
605.5386,0.12299
