x,y
399.1926,0.0
401.1211,0.2140711
403.0496,0.2150705
404.978,0.2191018
406.9065,0.2208169
408.835,0.2213203
410.7634,0.2280894
412.6919,0.2311161
414.6204,0.2290742
416.5488,0.2303684
418.4773,0.238712
420.4058,0.2414063
422.3342,0.2427071
424.2627,0.2454457
426.1912,0.2446814
428.1196,0.2474049
430.0481,0.2534519
431.9766,0.2564345
433.905,0.2582391
435.8335,0.2601553
437.762,0.2626511
439.6904,0.2654267
441.6189,0.2661824
443.5474,0.2686553
445.4758,0.2713524
447.4043,0.2740415
449.3328,0.2755297
451.2612,0.2768744
453.1897,0.2780806
455.1182,0.2786295
457.0466,0.27781
458.9751,0.2783482
460.9036,0.2786876
462.832,0.2793264
464.7605,0.2809237
466.689,0.282879
468.6174,0.2813399
470.5459,0.2798458
472.4744,0.2797175
474.4028,0.2800981
476.3313,0.2795756
478.2598,0.2795336
480.1882,0.279458
482.1167,0.2784445
484.0452,0.2774904
485.9736,0.2784015
487.9021,0.2804196
489.8306,0.2810897
491.759,0.2816021
493.6875,0.282071
495.616,0.281371
497.5444,0.2831906
499.4729,0.2857898
501.4014,0.2861028
503.3298,0.2847818
505.2583,0.2850533
507.1868,0.2861185
509.1152,0.2863511
511.0437,0.2870351
512.9722,0.2885318
514.9006,0.2883897
516.8291,0.2876604
518.7576,0.2884256
520.686,0.2890882
522.6145,0.2891032
524.543,0.2890941
526.4714,0.2886732
528.3999,0.2888466
530.3284,0.2891924
532.2568,0.2899599
534.1853,0.2906517
536.1138,0.2911042
538.0422,0.2914098
539.9707,0.2913077
541.8992,0.2911695
543.8276,0.2922754
545.7561,0.2942231
547.6846,0.295083
549.613,0.2955243
551.5415,0.2965441
553.47,0.297481
555.3984,0.2973577
557.3269,0.2973103
559.2554,0.2977512
561.1838,0.2992791
563.1123,0.3004873
565.0408,0.3010808
566.9692,0.3020419
568.8977,0.3034518
570.8262,0.3045461
572.7546,0.3058452
574.6831,0.3070774
576.6116,0.3078319
578.54,0.3092308
580.4685,0.3113832
582.397,0.3129701
584.3254,0.3138152
586.2539,0.3155651
588.1824,0.3176435
590.1108,0.3191881
592.0393,0.3201498
593.9678,0.321081
595.8962,0.321221
597.8247,0.3197581
599.7532,0.319373
601.6816,0.3193197
603.6101,0.3186709
605.5386,0.3186965
607.467,0.3189428
609.3955,0.3193933
611.324,0.319463
613.2524,0.3202144
615.1809,0.3206115
617.1094,0.3210195
619.0378,0.3211609
620.9663,0.3215721
622.8948,0.3225244
624.8232,0.3224792
626.7517,0.322012
628.6802,0.3210733
630.6086,0.3197682
632.5371,0.3184845
634.4656,0.317996
636.394,0.317705
638.3225,0.317335
640.251,0.3175506
642.1794,0.3182189
644.1079,0.3185619
646.0364,0.3187376
