x,y
399.1926,0.1582818
401.1211,0.1621215
403.0496,0.1629009
404.978,0.1667545
406.9065,0.167948
408.835,0.1635366
410.7634,0.1638294
412.6919,0.1681625
414.6204,0.1695751
416.5488,0.1691382
418.4773,0.1730214
420.4058,0.1753752
422.3342,0.174683
424.2627,0.1728841
426.1912,0.169076
428.1196,0.166709
430.0481,0.1667608
431.9766,0.165255
433.905,0.1632186
435.8335,0.162657
437.762,0.1611849
439.6904,0.1597004
441.6189,0.1606063
443.5474,0.1595473
445.4758,0.1570054
447.4043,0.1539848
449.3328,0.1521457
451.2612,0.1525238
453.1897,0.1529791
455.1182,0.1523307
457.0466,0.1508535
458.9751,0.1496349
460.9036,0.148827
462.832,0.1479957
464.7605,0.1470217
466.689,0.1449163
468.6174,0.1439383
470.5459,0.1437338
472.4744,0.1432741
474.4028,0.1413586
476.3313,0.1400714
478.2598,0.1383404
480.1882,0.1367535
482.1167,0.1357099
484.0452,0.1349371
485.9736,0.1348664
487.9021,0.1350489
489.8306,0.1335441
491.759,0.1327939
493.6875,0.1331645
495.616,0.1320742
497.5444,0.129672
499.4729,0.1284813
501.4014,0.1263443
503.3298,0.1237577
505.2583,0.1219861
507.1868,0.1201153
509.1152,0.1182617
511.0437,0.1163239
512.9722,0.1139476
514.9006,0.112352
516.8291,0.1115361
518.7576,0.1103228
520.686,0.1096056
522.6145,0.10973
524.543,0.1103801
526.4714,0.1110821
528.3999,0.1111142
530.3284,0.1108147
532.2568,0.1114192
534.1853,0.1123242
536.1138,0.112565
538.0422,0.1133233
539.9707,0.114765
541.8992,0.1161996
543.8276,0.1176009
545.7561,0.1189905
547.6846,0.120233
549.613,0.1221486
551.5415,0.1238958
553.47,0.124677
555.3984,0.12553
557.3269,0.1260805
559.2554,0.1264286
561.1838,0.1263288
563.1123,0.125105
565.0408,0.1243721
566.9692,0.1234418
568.8977,0.1217794
570.8262,0.119945
572.7546,0.1191131
574.6831,0.1180424
576.6116,0.1163348
578.54,0.1151183
580.4685,0.1140474
582.397,0.1132154
584.3254,0.1120543
586.2539,0.1105211
588.1824,0.1096798
590.1108,0.1094687
592.0393,0.1088145
593.9678,0.1079839
595.8962,0.1078454
597.8247,0.1077236
599.7532,0.1069838
601.6816,0.106387
603.6101,0.1063454
605.5386,0.106701
607.467,0.107248
609.3955,0.1071015
611.324,0.107083
613.2524,0.1071365
615.1809,0.10706
617.1094,0.1073371
619.0378,0.1081685
620.9663,0.1083117
622.8948,0.1075027
624.8232,0.1073098
626.7517,0.1075706
628.6802,0.1077244
630.6086,0.107586
632.5371,0.1073911
634.4656,0.1072077
636.394,0.1071481
638.3225,0.1073864
640.251,0.1072377
642.1794,0.1070379
644.1079,0.1075108
646.0364,0.1079167
647.9648,0.1079076
649.8933,0.1078282
651.8218,0.1081944
653.7502,0.1085987
655.6787,0.1085733
657.6072,0.1084399
659.5356,0.1087456
661.4641,0.1090486
663.3926,0.1094836
665.321,0.1096511
667.2495,0.109818
669.178,0.1099628
671.1064,0.1097756
673.0349,0.1096313
674.9634,0.1100976
676.8918,0.111131
678.8203,0.1118635
680.7488,0.1119791
682.6772,0.1120262
684.6057,0.112138
686.5342,0.1123205
688.4626,0.1124737
690.3911,0.1130964
692.3196,0.1138364
694.248,0.1138938
696.1765,0.1138117
698.105,0.114163
700.0334,0.1142529
701.9619,0.1139237
703.8904,0.1140241
705.8188,0.114532
707.7473,0.1144924
709.6758,0.1142823
711.6042,0.1144385
713.5327,0.114426
715.4612,0.1145716
717.3896,0.1147128
719.3181,0.114688
721.2466,0.1146315
723.175,0.1145592
725.1035,0.1145437
727.032,0.1148369
728.9604,0.1150575
730.8889,0.1149511
732.8174,0.1148026
734.7458,0.1150539
736.6743,0.1152697
738.6028,0.115495
740.5313,0.1155168
742.4597,0.1156097
744.3882,0.1159456
746.3167,0.1163995
748.2451,0.116494
750.1736,0.1162929
752.1021,0.1166868
754.0305,0.117175
755.959,0.1177304
757.8875,0.1184874
759.8159,0.1192444
761.7444,0.1199353
763.6729,0.1206856
765.6013,0.1214531
767.5298,0.1222196
769.4583,0.1233196
771.3867,0.1248336
773.3152,0.1264336
775.2437,0.127845
777.1721,0.1292706
779.1006,0.1309794
781.0291,0.1329259
782.9575,0.1347889
784.886,0.1368161
786.8145,0.1390591
788.7429,0.1413688
790.6714,0.1436975
792.5999,0.1459736
794.5283,0.1487225
796.4568,0.1517236
798.3853,0.1541889
800.3137,0.1566834
802.2422,0.1595365
804.1707,0.1624601
806.0991,0.1654648
808.0276,0.1682657
809.9561,0.1713906
811.8845,0.174779
813.813,0.1777484
815.7415,0.1806214
817.6699,0.1835463
819.5984,0.1864454
821.5269,0.1893649
823.4553,0.1920861
825.3838,0.1947439
827.3123,0.1967131
829.2407,0.1987922
831.1692,0.2008119
833.0977,0.2019983
835.0261,0.2034816
836.9546,0.2054405
838.8831,0.2068259
840.8115,0.2076941
842.74,0.2084096
844.6685,0.2088947
846.5969,0.2088215
848.5254,0.2088596
850.4539,0.2093372
852.3823,0.2095799
854.3108,0.2094383
856.2393,0.2088942
858.1677,0.2082275
860.0962,0.2073927
862.0247,0.2060995
863.9531,0.2051594
865.8816,0.2038099
867.8101,0.2020178
869.7385,0.2005731
871.667,0.1989462
873.5955,0.196915
875.5239,0.1951371
877.4524,0.1935781
879.3809,0.1922496
881.3093,0.1904476
883.2378,0.1890542
885.1663,0.1886341
887.0947,0.1880733
889.0232,0.1869754
890.9517,0.1866063
892.8801,0.1858186
894.8085,0.1843312
896.737,0.1829511
898.6655,0.1819421
900.5939,0.1805739
902.5224,0.1784668
904.4509,0.1762545
906.3793,0.1744849
908.3078,0.1722793
910.2363,0.1697648
912.1647,0.1677399
914.0932,0.1658911
916.0217,0.1637413
917.9501,0.1615035
919.8786,0.1590412
921.8071,0.1566741
923.7355,0.1547024
925.664,0.1526773
927.5925,0.1500401
929.5209,0.147386
931.4494,0.1446888
933.3779,0.1418132
935.3063,0.1393484
937.2348,0.1367518
939.1633,0.1343958
941.0917,0.1323316
943.0202,0.1298424
944.9487,0.1276778
946.8771,0.125482
948.8056,0.1229873
950.7341,0.1206305
952.6625,0.1181843
954.591,0.1159648
956.5195,0.1140422
958.4479,0.1118113
960.3764,0.1091483
962.3049,0.1065427
964.2333,0.1043333
966.1618,0.1018535
968.0903,0.09957416
970.0187,0.09715717
971.9472,0.09465155
973.8757,0.09185991
975.8041,0.08885083
977.7326,0.0861264
979.6611,0.08368994
981.5895,0.0809508
983.518,0.07786597
