x,y
399.1926,0.0
401.1211,0.1904618
403.0496,0.191179
404.978,0.193566
406.9065,0.1899338
408.835,0.1931735
410.7634,0.1991136
412.6919,0.1977051
414.6204,0.1989238
416.5488,0.2031537
418.4773,0.201739
420.4058,0.1993239
422.3342,0.2024584
424.2627,0.2068716
426.1912,0.2108378
428.1196,0.2160892
430.0481,0.2179116
431.9766,0.2157183
433.905,0.217413
435.8335,0.2218268
437.762,0.2203116
439.6904,0.2184592
441.6189,0.2167305
443.5474,0.2138709
445.4758,0.2112531
447.4043,0.2084818
449.3328,0.2063259
451.2612,0.2043926
453.1897,0.2031723
455.1182,0.2023506
457.0466,0.1994577
458.9751,0.1946206
460.9036,0.1891118
462.832,0.1834519
464.7605,0.1777509
466.689,0.1715873
468.6174,0.1651329
470.5459,0.1580864
472.4744,0.1522915
474.4028,0.147509
476.3313,0.1417417
478.2598,0.1368709
480.1882,0.1331151
482.1167,0.1293112
484.0452,0.1254727
485.9736,0.1226139
487.9021,0.1211785
489.8306,0.1193096
491.759,0.1171026
493.6875,0.1162227
495.616,0.1155732
497.5444,0.1142632
499.4729,0.111941
501.4014,0.1089694
503.3298,0.1063703
505.2583,0.1045231
507.1868,0.1023717
509.1152,0.0996009
511.0437,0.09683356
512.9722,0.09434893
514.9006,0.09226897
516.8291,0.08993632
518.7576,0.08713781
520.686,0.08475782
522.6145,0.0824061
524.543,0.07971261
526.4714,0.07744238
528.3999,0.07571614
530.3284,0.0749354
532.2568,0.07392215
534.1853,0.07261901
536.1138,0.07187742
538.0422,0.07174918
539.9707,0.07182087
541.8992,0.0721468
543.8276,0.07209528
545.7561,0.07243466
547.6846,0.07342216
549.613,0.0744963
551.5415,0.07568663
553.47,0.07695743
555.3984,0.07708067
557.3269,0.07623173
559.2554,0.07508927
561.1838,0.07418216
563.1123,0.0735934
565.0408,0.0733601
566.9692,0.07343526
568.8977,0.0737755
570.8262,0.07484733
572.7546,0.07640839
574.6831,0.07877131
576.6116,0.0808717
578.54,0.08319406
580.4685,0.0859137
582.397,0.08907805
584.3254,0.09254145
586.2539,0.09565803
588.1824,0.09861726
590.1108,0.1018058
592.0393,0.1052598
593.9678,0.1085284
595.8962,0.1122978
597.8247,0.1161612
599.7532,0.1197294
601.6816,0.1234628
603.6101,0.1271343
605.5386,0.1309651
607.467,0.1347921
609.3955,0.1380322
611.324,0.1409737
613.2524,0.1438026
615.1809,0.1463786
617.1094,0.1486375
619.0378,0.1506511
620.9663,0.1522646
622.8948,0.1540293
624.8232,0.1559474
626.7517,0.1584154
628.6802,0.1615138
630.6086,0.1655423
632.5371,0.1697423
634.4656,0.1748797
636.394,0.1797323
638.3225,0.1834046
640.251,0.1867431
642.1794,0.1896248
644.1079,0.1915446
646.0364,0.1925286
647.9648,0.1927137
649.8933,0.1919931
651.8218,0.190422
653.7502,0.1876546
655.6787,0.1840533
657.6072,0.1799983
659.5356,0.1755486
661.4641,0.1705969
663.3926,0.1652466
665.321,0.1598924
667.2495,0.1549067
669.178,0.1502992
671.1064,0.1464553
673.0349,0.1426786
674.9634,0.1388986
676.8918,0.1357378
678.8203,0.1329753
680.7488,0.1304589
682.6772,0.1283509
684.6057,0.1263202
686.5342,0.1241643
688.4626,0.1219832
690.3911,0.1198172
692.3196,0.1180518
694.248,0.1164623
696.1765,0.1149472
698.105,0.113335
700.0334,0.1123174
701.9619,0.111277
703.8904,0.1106687
705.8188,0.110523
707.7473,0.1105823
709.6758,0.1109194
711.6042,0.1111546
713.5327,0.1104663
715.4612,0.1092233
717.3896,0.1081856
719.3181,0.1079812
721.2466,0.1084663
723.175,0.1082961
725.1035,0.1076123
727.032,0.1077682
728.9604,0.1080626
730.8889,0.1078429
732.8174,0.1077079
734.7458,0.1071724
736.6743,0.1065036
738.6028,0.1062429
740.5313,0.1059784
742.4597,0.106049
744.3882,0.1062824
746.3167,0.1063932
748.2451,0.1065474
750.1736,0.1066996
752.1021,0.1070643
754.0305,0.1073205
755.959,0.1069552
757.8875,0.1062803
759.8159,0.1054883
761.7444,0.104621
763.6729,0.1036038
765.6013,0.1023017
767.5298,0.1007796
769.4583,0.09933235
771.3867,0.09786348
773.3152,0.09663477
